 	a66	a87	a23	a83	a34	a44	a21	a47	a61	a75	a56	a34	a70	a66	a9	a3	a97	a99	a97	a40	a47	a36	a21	a5	a61	a75	a92	a56	a31	a24	a31	a62	a96	a56	a94	a24	a47	a56	a36	a26	a82	a97	a99	a97	a83	a44	a34	a44	a34	a5	a36	a18	a36	a2	a57	a87	a23	a99	a97	</S>
la	0.0354031	0.0231106	0.0112724	0.0120874	0.00835465	0.00192988	0.00156938	0.00182372	0.00365391	0.00783258	0.0132995	0.0172929	0.0103212	0.0151077	0.0147566	0.01436	0.0204484	0.023427	0.0279673	0.0277791	0.0301562	0.0395001	0.0275531	0.0255873	0.0330744	0.0142673	0.0225742	0.0188027	0.0253786	0.0231593	0.0146317	0.0219522	0.0217813	0.0143638	0.011407	0.015842	0.0173693	0.0142292	0.0138629	0.0258859	0.0264324	0.017695	0.00936559	0.0113631	0.0108669	0.0254142	0.0134548	0.0102822	0.00582144	0.0063802	0.00655666	0.00402374	0.00680625	0.00442195	0.00688076	0.0138074	0.01238	0.0189254	0.0181879	0.0477584
main	0.0264786	0.013482	0.00709168	0.00644066	0.00525837	0.00332881	0.0028355	0.00337608	0.00439416	0.00947156	0.0101895	0.0170505	0.011298	0.0111443	0.015487	0.0120218	0.0140502	0.0167329	0.0229519	0.0143986	0.0303813	0.0394219	0.0393748	0.0306006	0.032038	0.0163489	0.0338062	0.0297176	0.0306469	0.0315895	0.0275288	0.0382585	0.0384621	0.0333578	0.0225739	0.0222383	0.0165352	0.0164495	0.0111715	0.0141656	0.0205601	0.0184813	0.0129193	0.0100739	0.0186949	0.00816384	0.0118552	0.00777585	0.00456886	0.00605418	0.00667258	0.00548648	0.00491841	0.00629253	0.00895246	0.0116	0.0132145	0.0138656	0.0107326	0.0169684
dans	0.0274504	0.0173095	0.0068386	0.017717	0.00881975	0.00247607	0.00747647	0.00697979	0.00763249	0.0124607	0.00860719	0.0122645	0.0119943	0.013717	0.0131958	0.00963404	0.014837	0.0194357	0.0245864	0.019072	0.0326497	0.0384411	0.0356443	0.0258055	0.0388129	0.0196149	0.0250724	0.0218241	0.026998	0.0227158	0.0166316	0.0180008	0.0167326	0.0109954	0.00727385	0.00634371	0.00572124	0.00568888	0.00439477	0.0121751	0.0141405	0.009907	0.00309966	0.00245213	0.00396377	0.00396644	0.00983832	0.012771	0.00854295	0.0138428	0.0214089	0.0160386	0.0184098	0.0151857	0.0241882	0.0319368	0.0347954	0.0365555	0.0279351	0.0369803
le	0.0323805	0.018858	0.00843927	0.0120315	0.0057499	0.00176938	0.00522275	0.00347779	0.00970047	0.00831045	0.0136138	0.0184525	0.0118753	0.0265238	0.0158997	0.0146272	0.0204235	0.0234783	0.0217015	0.0185444	0.0268754	0.0343486	0.0292121	0.0263934	0.0340026	0.022271	0.0259305	0.0237992	0.0322206	0.0327192	0.0276767	0.0363388	0.0359006	0.0313874	0.0237254	0.0240124	0.0178196	0.0178004	0.0125857	0.0251443	0.0213129	0.0128633	0.006101	0.00506455	0.00585073	0.00311727	0.00384109	0.00684208	0.00434572	0.00675864	0.00806831	0.00641493	0.00682357	0.00551269	0.00818984	0.0112255	0.0117639	0.0124674	0.00896114	0.0132316
sac	0.0302035	0.0258314	0.00859631	0.0146393	0.0108619	0.00490974	0.00878477	0.00660533	0.0109054	0.00997617	0.0117414	0.0146848	0.0123864	0.0242465	0.014966	0.0151006	0.0185308	0.0201749	0.0178964	0.0052386	0.0281011	0.0521927	0.0239969	0.0181194	0.0115113	0.0182438	0.0265779	0.0295374	0.0351929	0.0453762	0.019062	0.0140697	0.00905443	0.0140142	0.0137208	0.0115123	0.0106951	0.0154942	0.0139499	0.0441578	0.0451171	0.0227722	0.0108999	0.0078896	0.0118352	0.00464764	0.01014	0.01405	0.00926144	0.0139005	0.0187404	0.0146618	0.0121761	0.0124704	0.00998185	0.0111539	0.0103735	0.00659718	0.0099115	0.00255932
tu	0.0267747	0.0288191	0.0271165	0.030097	0.0271608	0.0128399	0.0106469	0.0124043	0.0126119	0.0138737	0.0155243	0.0164851	0.0153099	0.0292588	0.0159523	0.0159496	0.0205163	0.0237363	0.0216961	0.012197	0.0220993	0.0343927	0.0194805	0.0267914	0.0146998	0.0287558	0.0252816	0.0286243	0.0345309	0.0433664	0.0313877	0.020566	0.0174602	0.0235852	0.0235051	0.0190511	0.0118894	0.0150094	0.0130731	0.0334105	0.0287041	0.0194893	0.00603901	0.00536708	0.0050392	0.00247752	0.00287905	0.00488624	0.00267162	0.00408147	0.00476687	0.00355735	0.00350474	0.00284861	0.00317727	0.00476436	0.00528884	0.0038676	0.00599443	0.00466416
n'	0.0256846	0.0447275	0.0561064	0.0778424	0.061806	0.0244893	0.0111821	0.0148929	0.0128943	0.0120074	0.0147698	0.0162313	0.0149922	0.0247599	0.0166122	0.019238	0.021034	0.023833	0.0185372	0.00986298	0.0148523	0.022535	0.0108076	0.0184966	0.00982349	0.0128699	0.0140641	0.013312	0.0163033	0.0250412	0.0129582	0.011017	0.008983	0.0133426	0.0129973	0.010797	0.00722342	0.0100017	0.00985113	0.0237424	0.0258958	0.0193092	0.0097221	0.0138052	0.00804629	0.0109947	0.00595467	0.0130611	0.00515478	0.00722834	0.00828199	0.00439334	0.0066137	0.00508203	0.00497602	0.010845	0.010291	0.00647205	0.014619	0.00873082
acceptes	0.0308859	0.0422257	0.03752	0.0561019	0.0537049	0.0256434	0.0135803	0.012173	0.0123542	0.0100375	0.0094131	0.0101101	0.0114733	0.0135236	0.0131524	0.0148255	0.0134221	0.0150741	0.0121496	0.00534185	0.0101045	0.0157211	0.0112015	0.0133011	0.00718376	0.007745	0.00987575	0.00958732	0.0104552	0.0137286	0.00897985	0.00864615	0.00682566	0.00927564	0.00789438	0.00635456	0.00533051	0.00931009	0.0114124	0.0149395	0.0166781	0.0143646	0.0117025	0.0182804	0.0152331	0.0200803	0.016314	0.0346548	0.0158358	0.0212428	0.0258998	0.0187617	0.0183551	0.0199254	0.0167963	0.0265957	0.0252038	0.0146158	0.0280855	0.0107896
pas	0.021253	0.0191	0.0209664	0.0297511	0.0272324	0.0148385	0.0103028	0.00936327	0.0123008	0.0127908	0.012168	0.0144519	0.0134875	0.0196288	0.0153735	0.0166373	0.0161444	0.017399	0.0180735	0.0155805	0.0157919	0.0187599	0.020243	0.0199818	0.021672	0.011983	0.0145964	0.010854	0.0135357	0.0142298	0.0107471	0.0145349	0.0149771	0.0127992	0.0105429	0.00879399	0.00888701	0.00884137	0.00679237	0.0093698	0.0107603	0.00775382	0.00483507	0.00524942	0.00652257	0.00828631	0.00923664	0.015746	0.010027	0.0129481	0.0171291	0.0146455	0.0170459	0.0141287	0.0166954	0.0266139	0.0318943	0.0396033	0.0329559	0.0931463
</S>	0.0185448	0.0132533	0.0120679	0.0150691	0.0136967	0.0111149	0.0155993	0.0134071	0.0170777	0.0157665	0.0130243	0.0161356	0.0169461	0.0215139	0.0175687	0.0162671	0.0158701	0.0160034	0.0175912	0.014686	0.016992	0.0182856	0.0204048	0.0192277	0.0202662	0.0152316	0.0181888	0.0177602	0.0185165	0.0172723	0.0165883	0.0168381	0.0182416	0.0174759	0.0138118	0.0114328	0.00944339	0.00882768	0.00672841	0.0112618	0.0118212	0.00932056	0.00545443	0.00469859	0.00714114	0.0048228	0.00932667	0.0151607	0.0128222	0.0152687	0.0206924	0.0212762	0.0178676	0.0247553	0.0241602	0.0256513	0.031607	0.0349831	0.0291214	0.0500495
