 	a87	a97	a87	a97	a87	a57	a10	a87	a40	a2	a57	a10	a75	a21	a66	a98	a47	a41	a27	a57	a38	a75	a85	a44	a38	a11	a70	a66	a70	a9	a10	a75	a44	a98	a85	a96	a75	a37	a70	a75	a47	a21	a88	a61	a62	a21	a85	a47	a44	a98	a47	a11	a75	a44	a84	a57	a38	a4	a13	a53	a20	a7	a57	a87	a23	a87	a23	a38	</S>
qu'	0.0172349	0.011951	0.0108394	0.0101713	0.0114331	0.0117796	0.0160741	0.0152187	0.0120133	0.00628377	0.00913318	0.00766556	0.00787428	0.00850124	0.0139254	0.014994	0.00906146	0.00974376	0.0129392	0.0194105	0.0370812	0.0268426	0.0315016	0.0329884	0.0222807	0.0295631	0.0428431	0.0266357	0.0393198	0.031616	0.0277463	0.0260111	0.0228696	0.0222421	0.0216825	0.0235989	0.0193144	0.0142452	0.0100444	0.0118159	0.00649899	0.00916065	0.011025	0.00911303	0.0129164	0.00834238	0.00956625	0.00866503	0.00705674	0.0108361	0.00892669	0.00699304	0.00875879	0.00806698	0.00750196	0.00607309	0.00672142	0.00408911	0.00624865	0.00865007	0.00751436	0.00939266	0.00846929	0.00875311	0.00984433	0.0063625	0.00997271	0.00853057	0.00945977
ils	0.0217652	0.0109799	0.00580825	0.0037463	0.00140661	0.00159479	0.00109843	0.000788302	0.000840433	0.00103374	0.000477805	0.000446393	0.000472105	0.000345082	0.000516168	0.000748633	0.00161917	0.00256157	0.00510462	0.010314	0.0147822	0.0188	0.0306699	0.0300697	0.0328231	0.0400343	0.0314325	0.0194585	0.0115407	0.011643	0.0144016	0.0148535	0.0250822	0.0132575	0.0125399	0.0141824	0.008647	0.00977084	0.00981391	0.00840287	0.00749279	0.00732046	0.00991343	0.0113709	0.0209853	0.00628395	0.0131212	0.0174182	0.00704037	0.0153651	0.0125065	0.00624007	0.0178735	0.0109618	0.0198418	0.0255016	0.0145029	0.00810652	0.0234776	0.0373385	0.0310456	0.0302649	0.0207735	0.0312788	0.0369535	0.0201791	0.0263927	0.0309253	0.0356508
viennent	0.0200861	0.0137164	0.0117553	0.0104444	0.00676855	0.00620714	0.00659094	0.00498091	0.00408069	0.00363139	0.00205275	0.00231418	0.00182999	0.00245983	0.00437784	0.00487868	0.00563181	0.00778242	0.0110406	0.0164839	0.0224563	0.0229582	0.0274943	0.0300043	0.017053	0.0184954	0.0264862	0.0114046	0.0172655	0.0137565	0.0182139	0.0150481	0.0153179	0.0178645	0.0180495	0.0151139	0.0172235	0.0153053	0.0145795	0.0176671	0.0140282	0.0155706	0.0164802	0.0151003	0.0226207	0.019057	0.020736	0.0205984	0.0155582	0.0287262	0.0219444	0.0221307	0.038515	0.0215569	0.0180909	0.0256824	0.0167412	0.0149042	0.0204582	0.0146177	0.00938416	0.00856287	0.00744253	0.00337764	0.00749096	0.00553541	0.0070091	0.0171834	0.0120253
d'	0.0161366	0.0117139	0.010917	0.00863401	0.00364199	0.0024661	0.00247045	0.00165316	0.00115382	0.00140449	0.00154205	0.00191497	0.00205525	0.00154935	0.00230633	0.00275717	0.00353035	0.00596097	0.00570693	0.0097739	0.00996401	0.0103299	0.0193174	0.0237095	0.017388	0.0164845	0.0182916	0.0114396	0.0114809	0.0101072	0.0102951	0.00900963	0.0139631	0.00866293	0.00749257	0.0092093	0.00750645	0.00897091	0.00840524	0.00858708	0.00646794	0.00780911	0.00884474	0.0124333	0.0295513	0.0138956	0.0274799	0.0387337	0.0147078	0.0284132	0.0215273	0.0227347	0.0595563	0.0226998	0.029817	0.0502	0.0310909	0.0229996	0.0360909	0.022553	0.014327	0.0131788	0.0120538	0.00999386	0.012909	0.0107419	0.0132049	0.0302903	0.037791
implanter	0.0164595	0.00887086	0.0071608	0.00671561	0.00416801	0.00370401	0.00458302	0.00204089	0.00207204	0.00144634	0.00164526	0.00257989	0.0023558	0.00242348	0.00264481	0.00358066	0.00398109	0.00750241	0.00946848	0.01723	0.0243239	0.0254455	0.0326653	0.042781	0.0275845	0.0296227	0.0339568	0.0157086	0.0161919	0.0155923	0.018491	0.0179392	0.0212633	0.0182066	0.0176691	0.0199116	0.0166741	0.0145199	0.0131795	0.0161703	0.00930419	0.0105441	0.0132105	0.0166029	0.0211521	0.0150861	0.0219834	0.0220176	0.0151159	0.0342304	0.0244647	0.0257471	0.0293394	0.0168364	0.0180132	0.0172365	0.0175502	0.0128947	0.015445	0.0135225	0.00685479	0.0069037	0.00798498	0.00572256	0.0105951	0.0094596	0.0102597	0.01327	0.0101225
ici	0.0395683	0.0215017	0.0134889	0.00970177	0.00558021	0.00442099	0.00433066	0.00450414	0.00463157	0.00536828	0.00294037	0.00263786	0.00307907	0.00312289	0.00556561	0.0109074	0.0122831	0.0137815	0.0175968	0.0154486	0.0210424	0.0161896	0.0269299	0.0260025	0.0261675	0.0230694	0.0207848	0.0140792	0.0154825	0.0146723	0.0210604	0.0189246	0.0226948	0.0217812	0.0225482	0.0217539	0.0231576	0.0188287	0.0164588	0.0191036	0.0186097	0.0180056	0.0203452	0.0238871	0.0203105	0.0205693	0.0248485	0.0270598	0.0150079	0.0148036	0.0121817	0.0118731	0.0128517	0.0116725	0.0134219	0.00995512	0.0137527	0.00960898	0.0116294	0.00960667	0.00905929	0.00745572	0.00780529	0.00627556	0.00573545	0.00616259	0.00579603	0.00807566	0.0124416
dans	0.0366627	0.0198346	0.0173128	0.0118626	0.00547314	0.00428454	0.00344147	0.00167225	0.00173575	0.00199778	0.00172237	0.00223237	0.00251517	0.00180245	0.00234508	0.00501417	0.00597499	0.00929657	0.0119317	0.0177922	0.0222816	0.0177416	0.0324883	0.0297856	0.0233119	0.0266756	0.0334611	0.019457	0.0180681	0.019964	0.0251055	0.0294257	0.028503	0.0258955	0.017631	0.0203379	0.0185281	0.0149834	0.0150538	0.0156307	0.00967573	0.00950887	0.0155295	0.0181557	0.019325	0.011893	0.0172314	0.0207748	0.012914	0.0138059	0.011453	0.0100131	0.0126013	0.0093964	0.0116553	0.0104529	0.0110967	0.0107477	0.0126611	0.0143607	0.0169341	0.0148927	0.0144678	0.0101647	0.011036	0.00768392	0.00945581	0.0138053	0.0190736
le	0.0395531	0.0243202	0.0261826	0.0184008	0.00657813	0.00560337	0.00437805	0.00259742	0.00257204	0.00325938	0.00238618	0.00300169	0.00313801	0.00228245	0.00264399	0.0054692	0.00687341	0.00959042	0.0118121	0.0144429	0.0190139	0.0150429	0.026412	0.026001	0.0276746	0.0282774	0.0295925	0.0191838	0.0162131	0.0180279	0.0216588	0.0252195	0.0293531	0.0228907	0.0176053	0.0219857	0.0162208	0.0140794	0.0143445	0.0143588	0.00892049	0.00943977	0.015303	0.0201721	0.0210706	0.0118681	0.0166559	0.021145	0.00892355	0.0116238	0.00969262	0.00817276	0.0125081	0.00944373	0.0120284	0.0118095	0.0123657	0.0075963	0.0130879	0.0147879	0.0146721	0.0124328	0.0110164	0.0103649	0.0112249	0.00783863	0.00967676	0.0145693	0.033348
village	0.0234192	0.0142062	0.0110398	0.00970045	0.00576852	0.00513584	0.0050591	0.00267639	0.00270732	0.00322344	0.00229507	0.00320567	0.00363669	0.00336519	0.00320537	0.00644129	0.006496	0.00968028	0.0115318	0.0183566	0.0264126	0.0249223	0.0318717	0.0335852	0.0220067	0.0258621	0.0328964	0.0193677	0.021206	0.0220805	0.0263615	0.0266321	0.0232724	0.0260674	0.0222429	0.0229622	0.0227172	0.017428	0.016612	0.0180612	0.0114339	0.0129398	0.0188647	0.0199233	0.0214163	0.0148361	0.0171152	0.0166583	0.0119833	0.0130011	0.0127958	0.010115	0.00908398	0.00794545	0.00810985	0.00676829	0.00847257	0.0090187	0.00894852	0.0131154	0.0121642	0.0130619	0.0125394	0.0113865	0.0140218	0.009704	0.014156	0.0139243	0.0127776
</S>	0.0347652	0.0207881	0.025319	0.0196212	0.0106375	0.0103501	0.00787629	0.00550428	0.00437555	0.00429119	0.0048429	0.00508047	0.00515446	0.00432791	0.00366868	0.00540706	0.00592627	0.00781225	0.00897968	0.0102794	0.0143986	0.0156725	0.0232664	0.0236601	0.0206359	0.0177663	0.0157009	0.0132955	0.0101103	0.012243	0.0149131	0.0171353	0.0163333	0.0177729	0.0133123	0.0177143	0.0166612	0.0183823	0.0160464	0.0156082	0.0119597	0.0123041	0.0154359	0.0196173	0.0225708	0.0129342	0.0159254	0.0174371	0.0118447	0.0170216	0.0153959	0.0156984	0.0234843	0.0178054	0.0217641	0.020086	0.0215968	0.01708	0.0165204	0.0186443	0.010858	0.0100209	0.00783752	0.00822296	0.0102014	0.00797872	0.00987524	0.0153286	0.0389141
