 	a66	a87	a23	a87	a40	a2	a11	a12	a94	a98	a47	a7	a98	a47	a36	a56	a93	a70	a96	a66	a71	a38	a70	a66	a75	a12	a47	a96	a62	a96	a66	a62	a21	a5	a56	a75	a92	a44	a90	a44	a69	a58	a82	a87	a23	a83	a54	a79	a37	a6	a47	a37	a21	a5	a98	a47	a7	a26	a82	a87	a23	a99	a87	</S>
qu'	0.0259299	0.00995713	0.00572743	0.00296465	0.00251555	0.00464564	0.0033623	0.0022836	0.00470011	0.00447353	0.00457808	0.00723173	0.00797061	0.00574693	0.0100631	0.0187726	0.0205948	0.0234207	0.0239804	0.0300324	0.0267794	0.0184054	0.0346158	0.0241025	0.0234674	0.0282979	0.0433529	0.0297381	0.032312	0.0382553	0.0338814	0.018657	0.0350848	0.0320171	0.0309555	0.0256582	0.0196954	0.00661853	0.0135212	0.00777911	0.0111023	0.0107601	0.00815197	0.00661734	0.00680219	0.00758946	0.0105264	0.00477611	0.00760668	0.00863924	0.00697752	0.00750121	0.00588571	0.010114	0.0126163	0.0152715	0.0191246	0.0137453	0.0155552	0.0133005	0.00873087	0.00878226	0.00985424	0.0278226
elle	0.0222993	0.00911877	0.00549553	0.00323284	0.00248466	0.00423981	0.00338226	0.002389	0.00352574	0.00356185	0.00355317	0.00555518	0.00605814	0.00558777	0.00874913	0.0194604	0.0166708	0.0207571	0.022901	0.0270826	0.0239018	0.0135659	0.0329324	0.0190369	0.0199747	0.019715	0.0370179	0.0232465	0.0217183	0.0309148	0.0263119	0.0130924	0.0237123	0.0244659	0.0218885	0.023443	0.0164942	0.0120755	0.0189725	0.0127005	0.0189187	0.0188971	0.0205151	0.0179045	0.0181805	0.0181633	0.0220135	0.0103516	0.0148763	0.0126007	0.0103775	0.0113724	0.00883474	0.0122193	0.014202	0.0119216	0.0126914	0.0127297	0.0147033	0.0122663	0.0110337	0.0136202	0.014341	0.0359795
prononçait	0.0224093	0.00869345	0.00500992	0.00343265	0.00250296	0.00196772	0.00173559	0.00142165	0.0013542	0.00198123	0.00209887	0.00410342	0.00336023	0.00564011	0.00942547	0.0100957	0.017043	0.0323347	0.034455	0.031901	0.0306732	0.0234353	0.0302996	0.0295365	0.0258126	0.0274527	0.0521313	0.0366734	0.0252336	0.0316453	0.030236	0.0189805	0.019255	0.0303428	0.0206759	0.0273099	0.0178898	0.0152769	0.0217604	0.019794	0.0197693	0.0204081	0.0108985	0.0143523	0.00957107	0.0131582	0.0115019	0.00522474	0.00745438	0.00846393	0.00702834	0.0118346	0.0139536	0.0108092	0.0113073	0.00485267	0.00491748	0.00906346	0.00903808	0.00690018	0.010119	0.0121076	0.0169357	0.0149495
des	0.0158673	0.00987513	0.00674512	0.00458244	0.00507874	0.00677473	0.00552068	0.00322788	0.00471136	0.00432797	0.00305624	0.00564172	0.00695389	0.00845871	0.0115863	0.0126106	0.0231599	0.0328383	0.0421593	0.0336383	0.0281343	0.0253297	0.0280024	0.031954	0.0246124	0.0324092	0.0569674	0.0447035	0.0324596	0.0207294	0.031414	0.0256081	0.0306215	0.0278493	0.0240714	0.0242814	0.0155127	0.00721912	0.0114782	0.00863017	0.0105511	0.00907241	0.00633649	0.00829792	0.00817284	0.0110588	0.0132891	0.00627199	0.00872856	0.0136461	0.0123619	0.0117018	0.0129825	0.00779938	0.0081382	0.00476858	0.00719116	0.00851347	0.00723237	0.00622412	0.00724017	0.00761971	0.0146006	0.00939861
malédictions	0.010784	0.00667582	0.00373944	0.00247611	0.00478752	0.00465974	0.00409469	0.00431844	0.00437639	0.00380269	0.00595951	0.0123198	0.0118135	0.0094845	0.0154484	0.017037	0.0330947	0.0426745	0.0388464	0.0239573	0.0379078	0.0261865	0.029633	0.0299781	0.0272764	0.0320985	0.0496377	0.0328229	0.03002	0.0236043	0.0165336	0.0223834	0.0203454	0.0261397	0.0219443	0.0148905	0.0152747	0.0064171	0.0104403	0.013464	0.00957863	0.0134987	0.00443146	0.00582528	0.0044141	0.00409255	0.004546	0.00330485	0.00478364	0.00864656	0.00762523	0.00885385	0.0170515	0.0138767	0.0190194	0.0157361	0.0215177	0.0174434	0.0139613	0.0101828	0.0116942	0.0089162	0.0193646	0.00428668
à	0.0368875	0.0237225	0.0163587	0.0119497	0.0116917	0.00916162	0.00959493	0.00532097	0.00558461	0.00535448	0.00814438	0.0138879	0.012615	0.00920153	0.0133015	0.0129833	0.0222755	0.0269071	0.0329045	0.0286339	0.0360454	0.028851	0.0273877	0.0354636	0.0306862	0.0379088	0.0500837	0.0362903	0.0327506	0.0271236	0.0176257	0.031346	0.0231463	0.0260882	0.0149211	0.0141816	0.0113066	0.00818761	0.0106113	0.00769557	0.0104158	0.00791621	0.00514558	0.00539621	0.00376174	0.00542496	0.00467053	0.00527393	0.0078273	0.00975515	0.00939908	0.0116909	0.0100919	0.0101765	0.00814064	0.0103038	0.0144848	0.00603993	0.00753558	0.00512782	0.00392999	0.00313025	0.00519351	0.00498573
leur	0.0364584	0.0298288	0.0249831	0.0250824	0.0166458	0.00869593	0.00826222	0.00652878	0.0049779	0.00461002	0.00666711	0.00691113	0.00747964	0.00608743	0.0102864	0.00812962	0.0124302	0.0141114	0.0195506	0.0199932	0.0263029	0.0166651	0.0191496	0.0236267	0.0184032	0.0218075	0.0341575	0.0237908	0.0243887	0.0290795	0.0301608	0.0195757	0.0206239	0.0248587	0.0132879	0.0227206	0.0163242	0.0132979	0.0181281	0.0154723	0.0133057	0.0134039	0.0098125	0.0115149	0.00881825	0.0125995	0.0130439	0.0150359	0.0141295	0.0190001	0.018352	0.0197035	0.0156208	0.0171655	0.0122325	0.00913234	0.00972219	0.00639056	0.00511879	0.0049843	0.00591935	0.00768238	0.0112006	0.016569
endroit	0.0234578	0.0198167	0.018542	0.0174619	0.0136339	0.00936102	0.0106089	0.014208	0.00936083	0.0108814	0.010311	0.0119002	0.0101156	0.00923089	0.0128311	0.0147481	0.0194684	0.0298584	0.0224731	0.0272722	0.0341813	0.0246333	0.0247414	0.0259757	0.0260235	0.0298814	0.0357328	0.0216607	0.0245608	0.0335933	0.00871068	0.0250409	0.0243019	0.0390133	0.0159722	0.0137921	0.0165442	0.0206627	0.0181349	0.0180845	0.0174691	0.0188247	0.0141299	0.00765797	0.00651787	0.00673216	0.00555015	0.00638453	0.0148731	0.00984174	0.00672351	0.00997328	0.0136305	0.00624886	0.00558798	0.00704852	0.00779918	0.00516057	0.0067038	0.00526138	0.00520324	0.00476344	0.00685072	0.00428066
de	0.0172027	0.0177229	0.0205121	0.0165226	0.00922429	0.0239348	0.0148919	0.0127192	0.0131249	0.00926741	0.00755658	0.00499172	0.00550038	0.00341658	0.00440673	0.0139723	0.0172569	0.0217486	0.0365593	0.0281503	0.0449667	0.0374184	0.029298	0.0452399	0.0387212	0.0373931	0.0561535	0.0435966	0.0406179	0.0325444	0.0539335	0.030366	0.027976	0.0230401	0.0160345	0.0124525	0.0104197	0.00393879	0.00537951	0.00370757	0.00457088	0.00313626	0.00294497	0.00285253	0.00246466	0.00419082	0.00463288	0.00276929	0.00354455	0.0076298	0.00874675	0.00567866	0.00634071	0.00518076	0.00508133	0.00328465	0.00221488	0.00298064	0.00277526	0.00276169	0.00327529	0.00295114	0.00646704	0.0116448
son	0.0295451	0.0507533	0.0281425	0.0178253	0.0137334	0.0279449	0.0178024	0.0132841	0.0163105	0.0132759	0.0103733	0.0151319	0.0154707	0.0152944	0.0154118	0.0249527	0.0280012	0.0363015	0.0328127	0.0238851	0.0577879	0.043191	0.0300826	0.0488876	0.046332	0.0455152	0.0286811	0.0200116	0.0235391	0.021517	0.00860925	0.0179429	0.0155323	0.0154374	0.0070285	0.00547648	0.0061185	0.0113796	0.00711779	0.00589494	0.0097665	0.0069037	0.00726126	0.00383855	0.00264547	0.00322358	0.00279504	0.00316015	0.00512733	0.0036866	0.00286279	0.00374898	0.00258236	0.00185872	0.0028472	0.00392061	0.00280453	0.0031377	0.00207426	0.00215717	0.00205805	0.00151266	0.00217345	0.0055179
vivant	0.0177988	0.0531004	0.0325916	0.0322733	0.0260795	0.0469128	0.0457834	0.0411098	0.0516679	0.0416612	0.0173476	0.0234173	0.0165369	0.0206934	0.0182515	0.014476	0.0196986	0.0335645	0.0172001	0.0163943	0.0485221	0.0375786	0.0178934	0.0264086	0.0347052	0.0292064	0.0151716	0.0110314	0.0127415	0.0130788	0.00859668	0.0131483	0.00861552	0.0102572	0.00590724	0.00492272	0.00456577	0.00697456	0.00514303	0.00437038	0.00585316	0.0041298	0.00323423	0.00252145	0.00190098	0.00233305	0.00204698	0.00155317	0.00268889	0.00312294	0.00289586	0.00368909	0.00367173	0.00495624	0.00619542	0.00926265	0.00623144	0.00522321	0.00465965	0.00398991	0.00319316	0.00239867	0.00300759	0.00584272
</S>	0.0299447	0.0338247	0.0340012	0.0342808	0.0198894	0.0181243	0.0129656	0.0155909	0.0114131	0.0126386	0.0134086	0.0121903	0.0100111	0.00970817	0.0114706	0.0150332	0.0207281	0.0276325	0.0300111	0.0286498	0.0427219	0.0359225	0.0278314	0.0389549	0.0365984	0.0350294	0.0382171	0.0314614	0.0303789	0.0350404	0.0139694	0.02979	0.0240707	0.0286125	0.0122547	0.0108902	0.010068	0.0148148	0.0114945	0.00954462	0.0124678	0.00879012	0.0061453	0.00408382	0.00213453	0.00305131	0.00224284	0.00297977	0.00411566	0.00362346	0.00274345	0.00374459	0.00342643	0.00173379	0.00175508	0.00227625	0.00169756	0.001447	0.00173175	0.00170389	0.00162518	0.00112896	0.0017066	0.00446263
