 	a66	a87	a23	a40	a7	a75	a62	a75	a85	a47	a0	a37	a93	a4	a13	a75	a47	a62	a88	a71	a9	a99	a87	a23	a97	a87	a23	a10	a50	a96	a56	a25	a69	a90	a25	a79	a56	a75	a98	a79	a98	a85	a6	a75	a12	a61	a31	a18	a38	a75	a5	a37	a12	a96	a18	a71	a9	a10	a87	a23	a99	a97	</S>
eux	0.0260568	0.0151215	0.00968463	0.00949814	0.0053577	0.00579358	0.00812458	0.00609522	0.00448715	0.0114328	0.0153213	0.0195486	0.0386144	0.0321093	0.0298509	0.0310446	0.0334494	0.0360932	0.0361088	0.0307531	0.0313239	0.0312889	0.0310923	0.0317131	0.0303328	0.02627	0.0206642	0.0203739	0.0127779	0.00931511	0.00645436	0.013347	0.00741719	0.00657383	0.00691614	0.00929974	0.0111165	0.0111642	0.00776248	0.0126243	0.0086026	0.00378394	0.00193468	0.00211334	0.00219542	0.00145761	0.00170821	0.00239068	0.00989636	0.00643271	0.0030465	0.00630368	0.00795682	0.00922356	0.0142373	0.0105468	0.0170233	0.0134921	0.0212915	0.0238351	0.0263815	0.0316891	0.0320833
portait	0.0236653	0.0123207	0.0050831	0.00258499	0.00145468	0.00197069	0.00373944	0.00223592	0.00498532	0.00544618	0.00761863	0.0123386	0.0234769	0.0272437	0.0196203	0.028203	0.028564	0.0285544	0.0325852	0.0378069	0.0384729	0.0372605	0.0361649	0.0351238	0.0210005	0.0254399	0.0102814	0.0151332	0.00947519	0.00849787	0.00807995	0.0117301	0.0080963	0.00854567	0.00384699	0.00438552	0.0109641	0.00790254	0.00339296	0.00875514	0.00517194	0.0028754	0.0022546	0.00225294	0.00407636	0.00415086	0.00353402	0.00556566	0.0153697	0.010525	0.00408948	0.0112469	0.00948926	0.0157614	0.0282721	0.0195015	0.0294247	0.0211187	0.0358832	0.0429071	0.0384413	0.0432188	0.0228219
la	0.0484148	0.0262951	0.0127778	0.00633516	0.00300185	0.00274757	0.00827823	0.00370056	0.00752347	0.00665409	0.00456378	0.00685493	0.0149691	0.0189795	0.0221551	0.0195991	0.0308224	0.0246562	0.0367483	0.0323604	0.0364907	0.0328518	0.0236246	0.0219103	0.0177021	0.0194719	0.00934128	0.0125761	0.00827666	0.00887774	0.00750824	0.00655859	0.00394137	0.00399463	0.00244478	0.0027464	0.0067847	0.00764396	0.00274331	0.0083797	0.00559834	0.00286262	0.00285224	0.00303681	0.00437141	0.00344767	0.00418318	0.00785886	0.010771	0.00796888	0.00427624	0.00753221	0.00649561	0.0170493	0.023521	0.0274249	0.0241465	0.0238804	0.0492612	0.0459285	0.0412826	0.0547411	0.0402032
malchance	0.0664026	0.0297021	0.0181097	0.0128343	0.00810921	0.00660826	0.00703	0.0103872	0.0088936	0.0161828	0.0100461	0.0154184	0.0257581	0.0281751	0.034055	0.0306231	0.0356173	0.0274357	0.03093	0.0345214	0.0346921	0.0360852	0.0256894	0.0415087	0.0252211	0.0265883	0.0114194	0.0163358	0.00964327	0.00573285	0.00411667	0.00448196	0.00357704	0.00341477	0.00394664	0.00500654	0.00421802	0.00675226	0.0068519	0.00690308	0.00585855	0.00371339	0.00208099	0.00200159	0.00167413	0.00118505	0.00148165	0.00151323	0.00475415	0.00359132	0.00273082	0.00612861	0.00681547	0.00847304	0.0153174	0.0152608	0.0199855	0.0185268	0.0275715	0.0243946	0.0287387	0.0313458	0.027832
à	0.0236458	0.0366544	0.0487205	0.0296551	0.0260164	0.034681	0.0674783	0.0159465	0.0150851	0.00922883	0.011142	0.0196411	0.0342425	0.0201851	0.0264674	0.0278542	0.0241114	0.021502	0.0262976	0.0267329	0.0271659	0.0217139	0.0181027	0.0264994	0.0200634	0.0259232	0.0131878	0.0195583	0.0129357	0.0125731	0.0124478	0.0145431	0.014395	0.0133313	0.0086781	0.00829567	0.014739	0.00915686	0.00589733	0.00976022	0.00558262	0.00256826	0.00226905	0.0022319	0.00321197	0.0022361	0.00155144	0.00282827	0.0049582	0.00340577	0.0029663	0.00577053	0.0037823	0.00572012	0.00789264	0.00573719	0.00813735	0.00672785	0.00997842	0.0127481	0.0180815	0.0159578	0.0114002
cause	0.0367939	0.0376407	0.0259629	0.0145679	0.0127185	0.0132408	0.022717	0.0168031	0.0086718	0.0105332	0.00912225	0.0104803	0.0153872	0.0140785	0.0251397	0.0167898	0.0279979	0.0278142	0.0362986	0.0222554	0.0275483	0.0201122	0.0167225	0.0152939	0.022121	0.0173266	0.016862	0.0171221	0.0112017	0.0101087	0.00897234	0.0115433	0.0123682	0.0104186	0.0193846	0.0184454	0.0173705	0.00826736	0.0155867	0.0181435	0.0161005	0.0166809	0.0121993	0.0119344	0.00863677	0.00750936	0.00792305	0.0132203	0.0160218	0.0213166	0.0173417	0.014492	0.0107701	0.00957444	0.00721802	0.00651422	0.00660041	0.00694662	0.00973838	0.0116467	0.0156859	0.0144609	0.0175345
de	0.0354163	0.0290885	0.0274598	0.0215447	0.0181377	0.0159609	0.0185916	0.0147668	0.0123143	0.0135315	0.0108176	0.0118202	0.0134908	0.0148666	0.0195587	0.0148041	0.0226159	0.0159142	0.0218441	0.0201464	0.0229674	0.0246275	0.0187656	0.0233663	0.022245	0.0216766	0.0134952	0.0209542	0.012036	0.00864424	0.00692859	0.0119076	0.00589709	0.00585234	0.0083051	0.00517657	0.00757211	0.00766072	0.00566137	0.00837996	0.00645285	0.00586221	0.00502917	0.00574798	0.00531442	0.00491738	0.00611969	0.00821944	0.0100017	0.0117855	0.0141521	0.0159314	0.013608	0.0125447	0.0136032	0.0109522	0.011775	0.0135898	0.0212154	0.0191532	0.0263407	0.0202806	0.102593
sa	0.0399109	0.0271143	0.0223126	0.014951	0.0108475	0.00828005	0.00955646	0.00950312	0.0138184	0.0163836	0.0109606	0.0116526	0.0142084	0.0173956	0.0213764	0.0170692	0.0230116	0.0178573	0.0221873	0.0214795	0.0228007	0.0211329	0.0189954	0.0196233	0.0163838	0.0161031	0.0108966	0.0134348	0.0107069	0.00915124	0.00892828	0.0125116	0.00850809	0.00895267	0.01275	0.00859087	0.0111261	0.0147175	0.00887015	0.0150968	0.0122388	0.0112615	0.0074415	0.00808423	0.00754328	0.00699581	0.00750899	0.00764027	0.0104994	0.0117283	0.00884492	0.0123257	0.0109885	0.0116435	0.0180512	0.0144732	0.0155089	0.0162676	0.0250087	0.0179101	0.0239507	0.0192116	0.095716
soeur	0.0306761	0.0231228	0.0206855	0.0115264	0.00895894	0.0087011	0.00854913	0.0116275	0.0144429	0.0167861	0.0148287	0.016207	0.018154	0.0212527	0.0230043	0.0239069	0.0232984	0.0228582	0.0213672	0.0246381	0.025307	0.0216502	0.0211567	0.0252038	0.0199107	0.0221915	0.0158994	0.0178197	0.016576	0.0116777	0.0112179	0.0126182	0.00909034	0.00950248	0.012289	0.00893268	0.0115197	0.0136051	0.00863786	0.0140784	0.0130915	0.0111745	0.0078152	0.00856486	0.00808112	0.0069749	0.00756884	0.0071235	0.0142061	0.0126365	0.0087749	0.0135826	0.0137494	0.0153656	0.016358	0.0136393	0.0166155	0.0154331	0.0219698	0.0146128	0.0160425	0.0157679	0.0473752
qui	0.0311876	0.0250449	0.0238603	0.0102068	0.00646606	0.00488155	0.00451702	0.00553513	0.00634926	0.00764204	0.0073556	0.00864774	0.0103169	0.0146468	0.0159076	0.0159287	0.0157632	0.0153042	0.015338	0.0172986	0.0194304	0.0178801	0.0196801	0.0272095	0.0237507	0.0293524	0.0183683	0.020745	0.0142927	0.00886099	0.00795633	0.0101341	0.00648255	0.00658175	0.00863786	0.0047029	0.00803908	0.011311	0.00500298	0.00898126	0.0073408	0.00543072	0.00263741	0.00279859	0.00247654	0.00267085	0.00294741	0.00430534	0.0084165	0.00764022	0.00573135	0.0130666	0.0126994	0.0158097	0.027858	0.0289257	0.0514815	0.0381179	0.0450211	0.0302469	0.040075	0.0297511	0.0749533
était	0.0309874	0.0285453	0.0310258	0.0164676	0.00819156	0.00628625	0.00625413	0.00701302	0.00608558	0.0075464	0.00724123	0.00928617	0.0136955	0.0135145	0.0143054	0.0129368	0.0153781	0.0142707	0.0156619	0.0133033	0.0145661	0.0166805	0.0184992	0.0191418	0.0185114	0.0199084	0.0165617	0.0148988	0.0126518	0.0103036	0.00828853	0.0147335	0.00866363	0.00738726	0.0110294	0.00774245	0.00990794	0.0107533	0.00651916	0.0105767	0.00869409	0.00719976	0.00458247	0.00531623	0.00470305	0.00491687	0.00460228	0.00529656	0.00993033	0.0121242	0.0101924	0.0158382	0.0170332	0.0184076	0.0264023	0.0241184	0.0432457	0.029372	0.0334649	0.02782	0.0373911	0.0258933	0.0881334
enceinte	0.0189898	0.0181715	0.0171802	0.0126121	0.00860681	0.00690026	0.00729553	0.0105706	0.007565	0.0104514	0.00967345	0.012909	0.0153999	0.0178299	0.0199271	0.0193841	0.0200923	0.020758	0.0199727	0.020383	0.0213224	0.0203899	0.0204389	0.0220049	0.0186639	0.0209512	0.014794	0.0178624	0.0169995	0.0144546	0.013764	0.0157641	0.013813	0.0112561	0.012649	0.0123242	0.0121226	0.0133689	0.0127375	0.0141428	0.0141601	0.0134141	0.0106546	0.0114631	0.0101342	0.0112992	0.0105769	0.0121317	0.0185751	0.0180224	0.0150378	0.018449	0.0185407	0.0186186	0.019222	0.0186859	0.0229618	0.0195356	0.021764	0.0187787	0.0185597	0.0172699	0.0276481
</S>	0.0173397	0.0137356	0.0101277	0.00918501	0.00765887	0.00752512	0.00806028	0.0112086	0.0105898	0.0127707	0.0115394	0.0144126	0.0153539	0.0199921	0.0210927	0.022222	0.0213837	0.0216968	0.0191883	0.0223175	0.0225497	0.0201988	0.0201013	0.0224362	0.0176554	0.020535	0.0133069	0.0187997	0.0172766	0.0139619	0.0149533	0.0131085	0.0120083	0.0126615	0.0123349	0.00965635	0.0126083	0.0160616	0.0113402	0.0142517	0.0140614	0.0119905	0.0101175	0.0101994	0.0105567	0.0127858	0.0137054	0.0174199	0.0206329	0.0163294	0.0135084	0.0188559	0.0165042	0.0186672	0.0195335	0.0214643	0.0215503	0.0218752	0.0229893	0.0189515	0.0179225	0.0192409	0.0179311
