 	a23	a87	a40	a36	a24	a31	a12	a0	a21	a85	a5	a18	a24	a0	a96	a98	a7	a2	a98	a44	a90	a58	a11	a75	a41	a27	a40	a75	a47	a7	a2	a57	a87	a23	a24	a83	a75	a5	a61	a70	a61	a21	a5	a21	a37	a27	a53	a90	a25	a56	a75	a66	a61	a88	a71	a93	a70	a83	a54	a36	a26	a57	a87	</S>
que	0.023593	0.0211082	0.010769	0.00207455	0.00118995	0.00199107	0.00139423	0.00265499	0.00492575	0.00294793	0.00439514	0.0039052	0.0051648	0.00554706	0.00628959	0.00996271	0.0139839	0.0190866	0.0267329	0.0255595	0.0223554	0.0294952	0.0262432	0.0309872	0.0260604	0.0269297	0.0224151	0.0299827	0.02823	0.0272945	0.0309852	0.0534152	0.0358947	0.0534214	0.0363583	0.0474798	0.0315231	0.0116967	0.0224647	0.0152472	0.0136554	0.0102228	0.0101977	0.00799785	0.00553226	0.00732362	0.00612841	0.00436216	0.00770675	0.00764064	0.0053853	0.00320249	0.00632218	0.00368122	0.0076997	0.00439461	0.00518606	0.00388179	0.00486493	0.0117573	0.00816629	0.015791	0.0174853	0.0196586
les	0.0224749	0.0137657	0.0090213	0.00205832	0.00166843	0.00210808	0.00132287	0.00565876	0.00660307	0.00230708	0.0024307	0.00251675	0.00439181	0.00430781	0.00525148	0.00691638	0.0142891	0.0295331	0.0247599	0.0235519	0.017293	0.028715	0.0209577	0.031047	0.0243878	0.0234143	0.0179099	0.024628	0.0198813	0.0251246	0.0309948	0.0372743	0.0355887	0.0524343	0.0415013	0.0453205	0.0267337	0.0105126	0.0156126	0.0143611	0.0108246	0.0108625	0.0115785	0.0126045	0.011442	0.0156945	0.0218938	0.0129984	0.0227665	0.0146963	0.0127511	0.0141936	0.0128959	0.00771214	0.00839705	0.00348401	0.00352608	0.00508614	0.00474719	0.00762098	0.00682117	0.00898947	0.0103819	0.0194018
murs	0.0157448	0.00500771	0.00460695	0.00163045	0.000920696	0.000891896	0.00112117	0.000894869	0.00221918	0.00207502	0.00506972	0.00618419	0.00645425	0.00918858	0.0114863	0.0119595	0.0190662	0.0247373	0.0191258	0.017247	0.0154397	0.0205043	0.0187758	0.0201387	0.0155852	0.0207023	0.0180831	0.0254261	0.0259249	0.0223248	0.0370944	0.0502591	0.0408715	0.0439449	0.0368467	0.0449386	0.0233496	0.0119458	0.0196932	0.0126434	0.00811797	0.00414829	0.00847546	0.00800265	0.00772748	0.00983324	0.0154689	0.0145335	0.0201442	0.0137181	0.0132796	0.0154286	0.0132543	0.0106966	0.0137366	0.00893108	0.0104292	0.0120939	0.0127475	0.016948	0.00942516	0.0227207	0.02222	0.0177952
de	0.0229202	0.0140347	0.0100254	0.00320582	0.00197935	0.00210811	0.00201805	0.00366176	0.00934965	0.00509764	0.0105894	0.0103945	0.00903225	0.0129855	0.0119354	0.0131339	0.019837	0.0168607	0.0247996	0.020548	0.0299307	0.0201495	0.026267	0.0241062	0.0201987	0.0263796	0.0260946	0.02329	0.0260573	0.0248396	0.0300028	0.0271233	0.0210136	0.0250676	0.0211769	0.028776	0.0248271	0.0197554	0.02119	0.024213	0.0157055	0.0150344	0.0122773	0.0128261	0.0126982	0.0148034	0.016237	0.0122514	0.0240539	0.00930444	0.00745942	0.0075265	0.00556581	0.00564261	0.00682011	0.00543221	0.00683757	0.00675187	0.00809537	0.0129761	0.0123903	0.016239	0.0153851	0.0227107
l'	0.0243643	0.0115651	0.00774419	0.00427605	0.00282381	0.00283659	0.0029357	0.00334242	0.00512196	0.00532722	0.0057469	0.00598521	0.00443263	0.00678431	0.00590781	0.00686826	0.0100684	0.0123358	0.0118782	0.013161	0.0138258	0.0129276	0.0117548	0.0138017	0.010349	0.0134503	0.0125785	0.0152372	0.0155442	0.016915	0.0234682	0.0290999	0.0252152	0.0300846	0.0281796	0.0338298	0.0306797	0.0189214	0.0229839	0.0232995	0.014845	0.0143623	0.0156129	0.0174585	0.0136728	0.0130001	0.0160609	0.0186285	0.0226423	0.0133625	0.0141482	0.025209	0.0138537	0.0172112	0.016973	0.021212	0.0244184	0.0264219	0.0237816	0.0221124	0.0128734	0.0214567	0.018916	0.0261147
école	0.0363505	0.0145673	0.0131462	0.00842863	0.00525908	0.0032309	0.00494125	0.00346315	0.00753438	0.00735239	0.0167344	0.0183361	0.00947457	0.0177469	0.0164038	0.0202399	0.0175866	0.0163279	0.016125	0.0127478	0.0188794	0.0120604	0.0165785	0.0152559	0.0119388	0.0163613	0.0155952	0.0145348	0.017061	0.0176918	0.0208243	0.0280782	0.0196088	0.0216187	0.021516	0.030372	0.0280527	0.0268527	0.0281685	0.0248289	0.012129	0.0101924	0.011601	0.00993766	0.0106265	0.0101671	0.0104736	0.00881631	0.0141804	0.0119959	0.0112614	0.0148567	0.0102127	0.0115164	0.0141866	0.0117706	0.0149383	0.0147738	0.0138639	0.0185656	0.010371	0.0234033	0.0217268	0.0265585
sont	0.0329696	0.0255946	0.0226783	0.014419	0.0148246	0.0104912	0.00883564	0.0127897	0.018914	0.0115657	0.00614884	0.00854272	0.00687412	0.00940431	0.0102198	0.0138701	0.0162146	0.0229663	0.0189796	0.0145702	0.0119314	0.0160263	0.0167352	0.0222394	0.0147481	0.0183997	0.0163055	0.0212604	0.0145163	0.0181556	0.0205992	0.0206927	0.0206751	0.0227781	0.0228831	0.0232324	0.0208511	0.0137818	0.0188018	0.0121091	0.0131231	0.0154325	0.0173444	0.014732	0.0159749	0.0138685	0.0129452	0.00963518	0.0150275	0.0102551	0.0106172	0.0146306	0.0105169	0.011716	0.0119969	0.0100223	0.0139439	0.0158525	0.0110144	0.0123848	0.0117922	0.0158106	0.0105524	0.0332157
devenus	0.0437673	0.0320788	0.0320904	0.021443	0.0135093	0.00779473	0.0060868	0.00890757	0.0131306	0.00718064	0.00633751	0.00929187	0.0065752	0.00913951	0.010332	0.0149913	0.0115387	0.0139255	0.00948629	0.00809724	0.0083801	0.0093752	0.00872098	0.0115673	0.00911032	0.00988397	0.00860846	0.0100641	0.00836165	0.0129509	0.0123838	0.0135672	0.0129206	0.0129325	0.0115501	0.0148892	0.0109542	0.00747127	0.0113639	0.00864781	0.00711448	0.0118151	0.010796	0.0100429	0.0116524	0.0113634	0.0117483	0.012108	0.0145309	0.0174159	0.0168236	0.0278149	0.0211318	0.0294376	0.0234425	0.0282723	0.0329402	0.0371843	0.0315188	0.0245096	0.0227233	0.026525	0.0213098	0.0383714
penchés	0.0505913	0.0223024	0.0174733	0.0081921	0.00522945	0.00390786	0.00412951	0.00488072	0.00686981	0.00656533	0.00929404	0.010038	0.00515771	0.00712023	0.00695978	0.00988234	0.00919052	0.0080204	0.0101539	0.00896307	0.011943	0.00831351	0.010593	0.00972782	0.00824622	0.0105965	0.0109443	0.0100953	0.0121274	0.0117504	0.0139408	0.0161742	0.0125399	0.0149636	0.0129657	0.0164776	0.0160943	0.0145966	0.0146845	0.014671	0.00884838	0.011775	0.00786518	0.00769964	0.00743043	0.00710824	0.00726218	0.00650427	0.0102874	0.00928427	0.010901	0.0147903	0.0157214	0.0216132	0.0351443	0.0441837	0.0448562	0.0465658	0.0414393	0.0409124	0.0289604	0.0378312	0.0322809	0.0343674
</S>	0.0380658	0.0184592	0.0172964	0.00855448	0.00585596	0.00434037	0.00417578	0.00603271	0.00751347	0.0054644	0.00766922	0.00948692	0.00560698	0.00976694	0.00882792	0.0137132	0.0124766	0.0111114	0.0103235	0.0100974	0.013486	0.010293	0.011807	0.0121693	0.0110081	0.0123312	0.0115934	0.0104101	0.0122225	0.0133841	0.0137862	0.0148604	0.0118404	0.0155553	0.013463	0.0171099	0.0177956	0.0136356	0.0148554	0.014325	0.0100168	0.0119716	0.00884404	0.00797347	0.00848567	0.00841569	0.00692458	0.00581495	0.00878283	0.00667624	0.00724374	0.0124676	0.012168	0.0166292	0.0269154	0.0380026	0.0407437	0.0453789	0.0395033	0.0376346	0.0399465	0.0378793	0.0310136	0.0497975
