 	a66	a87	a23	a12	a18	a31	a88	a31	a43	a75	a90	a69	a90	a56	a94	a54	a47	a36	a2	a57	a87	a23	a99	a83	a0	a47	a21	a12	a18	a47	a88	a75	a85	a6	a98	a47	a6	a36	a47	a0	a24	a9	a87	a23	a54	a36	a37	a79	a69	a90	a79	a7	a32	a54	a37	a94	a13	a57	a82	a87	a23	a87	a23	a87	</S>
petits	0.0302199	0.0150695	0.01046	0.0104329	0.00748745	0.00669968	0.00512999	0.00558797	0.00530605	0.0132567	0.00898521	0.00800414	0.00995161	0.0103398	0.00883035	0.00946681	0.0199138	0.0240578	0.0215559	0.0154264	0.0209788	0.0167826	0.033648	0.0196236	0.00958911	0.0211087	0.018708	0.0202156	0.0176912	0.0392555	0.0118554	0.0252217	0.0174251	0.0213771	0.0282808	0.0236905	0.0267581	0.0266721	0.03283	0.0292549	0.0229357	0.0174551	0.0240114	0.0157334	0.0151108	0.00641687	0.00874088	0.00657829	0.00852041	0.0136232	0.00654749	0.00670089	0.00893432	0.0141796	0.00312411	0.00390576	0.00600608	0.00728227	0.00839071	0.0129229	0.0141148	0.013479	0.0154162	0.0167978	0.0159233
enfants	0.0428455	0.0193667	0.0153777	0.0183964	0.0159452	0.0109692	0.00977817	0.00857443	0.00573771	0.00767065	0.0092463	0.00793464	0.00878903	0.00914127	0.00568852	0.0105483	0.0166669	0.0190249	0.0147923	0.0159434	0.0171586	0.0103194	0.0299573	0.0158845	0.00558605	0.0136206	0.0156224	0.0150491	0.0233486	0.0342912	0.011022	0.0236464	0.0171809	0.019792	0.0192668	0.0159943	0.0254956	0.023024	0.0290101	0.0199083	0.0161978	0.0134902	0.0177957	0.0150441	0.0114753	0.0125842	0.0155972	0.0148785	0.0161293	0.0117444	0.0150249	0.00635484	0.00771796	0.0157848	0.00623808	0.00742119	0.0118149	0.00972717	0.00984442	0.0149806	0.0130954	0.0214464	0.0184623	0.0217152	0.0178196
pêcher	0.0261584	0.0146967	0.00909457	0.0132074	0.00594536	0.00773128	0.00578386	0.00767322	0.010311	0.0110935	0.0120824	0.0108816	0.0110472	0.0111727	0.0102612	0.01192	0.0184685	0.0264939	0.0275812	0.0163586	0.0244875	0.0164607	0.0289997	0.0230758	0.0115726	0.0154288	0.0219333	0.0204003	0.0279598	0.0342969	0.0140334	0.0215298	0.0156399	0.0159706	0.0134415	0.0119501	0.0165099	0.0159893	0.0367847	0.0239839	0.019973	0.0139958	0.0190484	0.011862	0.0142401	0.00910623	0.0105122	0.00983913	0.00963294	0.011646	0.00630303	0.00763424	0.00744264	0.0128549	0.00752904	0.00816136	0.00907102	0.011442	0.00786718	0.015962	0.0115028	0.0196099	0.0199815	0.0217023	0.0246692
à	0.0290053	0.0100244	0.00527601	0.00801911	0.00465455	0.00566821	0.00668429	0.00385529	0.00450866	0.00624351	0.00715952	0.00460318	0.00641961	0.00842025	0.00699503	0.0089714	0.0142765	0.0241945	0.0164242	0.011232	0.0173266	0.0114175	0.0236987	0.0112385	0.00435983	0.0081887	0.0107	0.012255	0.0160321	0.0235293	0.00839661	0.0175858	0.0126247	0.0140661	0.0205576	0.0162486	0.0241039	0.0352984	0.0411213	0.0397699	0.0273772	0.0181649	0.0318851	0.0196409	0.0220214	0.0136156	0.0186922	0.0162339	0.01757	0.0243005	0.0110516	0.016064	0.0210096	0.0219633	0.0134133	0.0161869	0.0216401	0.0183027	0.0118667	0.0160701	0.0106324	0.0149879	0.0155771	0.00939147	0.0111866
la	0.03821	0.014817	0.00775787	0.00921671	0.00552749	0.00619533	0.00959645	0.00540213	0.00691424	0.00805985	0.00743083	0.00525871	0.00612489	0.00711676	0.00667845	0.00848842	0.0137741	0.0223315	0.0151066	0.00966179	0.0159418	0.00997588	0.0189859	0.00981193	0.00363198	0.00811818	0.00916319	0.0103064	0.0147277	0.0199177	0.00727509	0.0169449	0.0123061	0.0101784	0.0211337	0.0143861	0.0183294	0.0277699	0.0307371	0.0276323	0.019795	0.0170673	0.0236443	0.0164355	0.0143946	0.0111978	0.0169202	0.0125523	0.0149131	0.0185061	0.0110656	0.0138471	0.0182037	0.0237995	0.0192715	0.0231265	0.0319962	0.0264417	0.0261058	0.0279384	0.019255	0.0227257	0.0231369	0.0152242	0.0114933
ligne	0.0286139	0.00953493	0.00514633	0.00625147	0.00469679	0.00336585	0.00550096	0.00330359	0.00437894	0.00418226	0.0110782	0.00663046	0.0078215	0.00796115	0.00860088	0.0085444	0.00794246	0.0110974	0.00747185	0.00453781	0.00766503	0.00476043	0.0114208	0.00563585	0.00336626	0.00591855	0.00675287	0.00685395	0.0122987	0.0117621	0.00559753	0.0145358	0.00967152	0.00869049	0.0148888	0.00752493	0.0202132	0.0138639	0.0207948	0.0187446	0.0173093	0.0127058	0.0213772	0.0177123	0.0112216	0.0215534	0.0145167	0.0143839	0.0139156	0.00810802	0.00949191	0.0118482	0.0124914	0.0175323	0.0309123	0.0429108	0.0522265	0.0426253	0.0434345	0.0565097	0.0367163	0.0444773	0.0316982	0.0243935	0.0223067
dans	0.0376247	0.0974873	0.0697748	0.0530495	0.033378	0.0237009	0.0251735	0.0130575	0.020726	0.0157224	0.0186368	0.0222922	0.0220984	0.0237181	0.051672	0.0208112	0.0130121	0.00935226	0.00796329	0.00872943	0.0125858	0.00921061	0.00711553	0.00713373	0.00595026	0.00643139	0.00723897	0.00630262	0.00737541	0.00633165	0.00631745	0.00640103	0.00596282	0.0041079	0.00643874	0.00442572	0.00891373	0.00593528	0.0109867	0.0113673	0.0103396	0.0117192	0.0104432	0.00844552	0.00529228	0.00508324	0.00437946	0.00213847	0.00182027	0.00367791	0.00376183	0.00240968	0.00202989	0.00317505	0.00343915	0.00586121	0.0106077	0.0157747	0.0300686	0.0237166	0.0312815	0.0247775	0.0131519	0.0191309	0.0129619
un	0.0169199	0.0315522	0.0411034	0.0498276	0.0397481	0.0292429	0.0219521	0.00917132	0.00393892	0.00363189	0.00344723	0.00317344	0.00377145	0.00429237	0.00923799	0.00564151	0.00515314	0.00877915	0.00733563	0.00821241	0.00904914	0.00763238	0.0150676	0.0095269	0.00651742	0.0126688	0.00581627	0.00885316	0.00706708	0.0132114	0.00582388	0.015974	0.00681204	0.00492528	0.010541	0.00678532	0.00769057	0.0133156	0.0101988	0.00825378	0.00733171	0.00811566	0.00875279	0.00700909	0.00452963	0.00453423	0.00380139	0.00248484	0.00214483	0.00382639	0.00537583	0.00547899	0.00524604	0.0177488	0.0174992	0.0339905	0.0479016	0.0648263	0.049851	0.0475808	0.0391316	0.0436745	0.0305683	0.0174228	0.02931
étang	0.0336592	0.0392972	0.0354409	0.0372553	0.013303	0.0206821	0.0162178	0.00282909	0.00497342	0.00515937	0.00697025	0.00491683	0.00578778	0.00662143	0.00782756	0.00822704	0.00452062	0.00716448	0.00615396	0.0091038	0.00782345	0.00940342	0.0164735	0.0129939	0.00724361	0.011373	0.00595564	0.00739592	0.00676487	0.0120902	0.00599987	0.00848948	0.00828108	0.00731742	0.0103004	0.010457	0.0152791	0.0169207	0.0223465	0.0299465	0.0279252	0.0326924	0.0535958	0.0483763	0.0230199	0.0219353	0.0142321	0.0110307	0.0078665	0.0109122	0.0123332	0.0116644	0.0138573	0.0197683	0.0138525	0.0249026	0.0124702	0.0190866	0.0127971	0.0263957	0.0135634	0.0225024	0.0147094	0.00719245	0.0143514
où	0.0413423	0.0609965	0.0619605	0.0395854	0.0418677	0.0227572	0.0354737	0.0147642	0.0123585	0.0136114	0.0161248	0.0136903	0.0188069	0.0330619	0.048968	0.0266888	0.0146333	0.0267831	0.0178438	0.0137067	0.0365227	0.0234444	0.0264784	0.0200402	0.0148849	0.0183574	0.0232917	0.0138322	0.0121284	0.0109317	0.0127469	0.00908196	0.010699	0.00923191	0.00878333	0.0101992	0.00949438	0.0115322	0.0129138	0.0122976	0.00861056	0.00875057	0.00684456	0.00692985	0.00547272	0.00458275	0.00481212	0.00230572	0.00141258	0.00407818	0.00359836	0.00236267	0.00287251	0.00455253	0.00175843	0.00186275	0.00164397	0.00440567	0.00146493	0.00464634	0.00334429	0.00664901	0.0065965	0.00862769	0.00989729
des	0.0432982	0.0446778	0.0443753	0.0351226	0.0500842	0.0329468	0.0440915	0.0271618	0.0260349	0.0229912	0.0242507	0.019947	0.0282702	0.0439636	0.0346027	0.0416963	0.025813	0.0336519	0.0184344	0.0149931	0.0376072	0.021394	0.0181815	0.0109148	0.00710144	0.00798776	0.0205005	0.00840816	0.0118467	0.00772706	0.0116553	0.00771922	0.00857492	0.00631112	0.00697148	0.00628104	0.00632796	0.00623087	0.00764631	0.00635011	0.00407961	0.00443219	0.00356958	0.00321723	0.00272505	0.00208375	0.00225411	0.0010294	0.00099394	0.00450078	0.00242325	0.00144438	0.00246957	0.00334227	0.00159127	0.00158298	0.00270849	0.00516341	0.00149925	0.00621903	0.00482197	0.00863999	0.0125802	0.0217099	0.0127735
femmes	0.0194418	0.0760738	0.105423	0.0826735	0.0447649	0.0562221	0.0356907	0.0108245	0.00923243	0.00643359	0.00796013	0.00765642	0.00806932	0.0109672	0.0161746	0.0107373	0.00784416	0.00989693	0.0123708	0.0203173	0.013873	0.0146056	0.0150691	0.021361	0.0130898	0.0191486	0.0127326	0.0115949	0.0120521	0.0152481	0.0105872	0.0111184	0.0149441	0.0112579	0.0112924	0.0124806	0.0104669	0.0120633	0.0160004	0.0161938	0.0123154	0.0157725	0.0144742	0.0135764	0.00993648	0.00727794	0.00622641	0.0061244	0.00321939	0.00645896	0.00734964	0.00549567	0.00651036	0.00714741	0.00278381	0.00318624	0.00286315	0.00428921	0.00212797	0.00338241	0.00305825	0.0037651	0.00355579	0.00322516	0.0119238
avaient	0.0439986	0.0631818	0.0677131	0.0470527	0.0524419	0.0418534	0.0500628	0.032673	0.0210217	0.0113327	0.0168128	0.0174126	0.0184578	0.0213464	0.0209991	0.0229913	0.014196	0.0170587	0.0115648	0.0114107	0.0228067	0.0137704	0.0168418	0.0118864	0.00889643	0.0132735	0.0153855	0.00907616	0.011094	0.0125077	0.00765889	0.0102468	0.00937592	0.00789408	0.01038	0.0078923	0.00834475	0.00946515	0.0144777	0.0114045	0.0108566	0.0100757	0.00926031	0.0077674	0.0061479	0.0044392	0.00441729	0.00250774	0.00135074	0.00379018	0.00331118	0.00286869	0.0040777	0.00596671	0.005403	0.00499223	0.00435787	0.00698457	0.00419809	0.00843535	0.00691288	0.0116398	0.00836024	0.0114701	0.0141479
déjà	0.0821904	0.0541028	0.0365671	0.0387112	0.0284994	0.0316093	0.0311736	0.0194768	0.0145275	0.0112428	0.0171249	0.0147899	0.0150532	0.0201674	0.0163088	0.0216017	0.0184063	0.0267033	0.019228	0.0104349	0.0368237	0.0285137	0.0307145	0.0112327	0.0118943	0.0062683	0.0266762	0.00829815	0.0137654	0.0080685	0.0128857	0.00478213	0.00542137	0.00651299	0.00446016	0.00521095	0.00868452	0.00675938	0.0142263	0.0121661	0.0159876	0.00864844	0.00784266	0.00857536	0.0119008	0.0165134	0.0191732	0.0102394	0.00666105	0.0154549	0.00832296	0.00865474	0.0151911	0.0125299	0.00903283	0.00475415	0.00232207	0.00376932	0.00113141	0.00325552	0.00180695	0.00514394	0.00344853	0.00367558	0.00468001
péché	0.0647906	0.0474659	0.0363143	0.0437205	0.0373115	0.035111	0.0257878	0.0201656	0.0115174	0.0104134	0.0129158	0.0107092	0.0134584	0.013941	0.0112128	0.0173859	0.0201048	0.0256925	0.0237496	0.0132865	0.0316186	0.0205048	0.0317603	0.0127249	0.0125936	0.00524714	0.0280958	0.0123794	0.021796	0.0102278	0.0152882	0.00528917	0.00469479	0.00778066	0.0042223	0.00399175	0.0127384	0.00597478	0.0213201	0.0141356	0.0201431	0.00855205	0.00773339	0.00779806	0.0127551	0.0144302	0.0137814	0.00886314	0.00648115	0.0131538	0.00689663	0.00693209	0.0167488	0.015916	0.0127298	0.007619	0.0031405	0.00559179	0.00183164	0.00523831	0.00321102	0.0065722	0.00501279	0.0045256	0.0069038
à	0.0549496	0.0280677	0.0312881	0.0475416	0.0606607	0.0305588	0.026048	0.0191208	0.0110467	0.010024	0.00861301	0.00833668	0.00932298	0.00988268	0.00892384	0.0127199	0.0147795	0.0216808	0.0172501	0.0204365	0.0197626	0.0128777	0.0150118	0.00955817	0.00564934	0.00395673	0.0136318	0.00872196	0.0175353	0.0101051	0.00969823	0.00785062	0.0041278	0.00573001	0.0048303	0.00235565	0.00958783	0.00463562	0.0155872	0.0086889	0.00808508	0.00519053	0.0039796	0.00487331	0.00619193	0.00530074	0.00673393	0.0051216	0.0056463	0.00916188	0.00862821	0.0110855	0.0113772	0.0248151	0.0160168	0.0223638	0.0163654	0.0264501	0.0092403	0.0247936	0.0178445	0.0279373	0.0227686	0.0228734	0.0360003
l'	0.060547	0.0302778	0.0294467	0.0287063	0.0224843	0.0221069	0.0208224	0.0139518	0.021607	0.0147257	0.0136112	0.0129519	0.0124847	0.0136312	0.00809893	0.0158301	0.0146983	0.0230135	0.0156818	0.0222365	0.020616	0.0152315	0.0153603	0.0127425	0.00733054	0.00423393	0.016887	0.0118283	0.0203428	0.0128118	0.0129053	0.00613323	0.00631719	0.00948981	0.00520536	0.00351963	0.0146954	0.00662387	0.0265452	0.0179457	0.0165943	0.0115824	0.00973683	0.011463	0.0125152	0.00970434	0.0082957	0.00699233	0.00544021	0.0112345	0.00830063	0.00866146	0.0131116	0.0156008	0.0123135	0.0122591	0.00819511	0.013193	0.00687079	0.0205102	0.0149644	0.0221189	0.0209262	0.0282548	0.0274815
écope	0.0711301	0.0464154	0.0321722	0.0465428	0.0290093	0.038933	0.0358346	0.0181417	0.0237966	0.0219904	0.0178009	0.0182182	0.0187718	0.019556	0.0145735	0.0209818	0.0206095	0.0388777	0.0185107	0.00819161	0.0270357	0.0173448	0.0180934	0.00595804	0.00443852	0.00258966	0.0157218	0.00654961	0.010868	0.00674078	0.0113593	0.00461001	0.0043674	0.00530691	0.00508898	0.0041638	0.0097791	0.00688062	0.0150115	0.0115854	0.0177545	0.00845996	0.00897926	0.00886823	0.0123783	0.0239714	0.0234533	0.0105598	0.00860608	0.01858	0.00634142	0.00582631	0.0131863	0.0108622	0.011317	0.00664184	0.00331743	0.0045042	0.00208984	0.00679876	0.00331316	0.00985801	0.00819781	0.00867628	0.00390734
</S>	0.030454	0.0579495	0.0710614	0.0635072	0.077355	0.0731072	0.0629571	0.0631473	0.036483	0.0121074	0.0141904	0.0158872	0.0143998	0.0173881	0.0180145	0.0197263	0.0133521	0.0180472	0.00961023	0.0110129	0.0180801	0.00901381	0.0109807	0.00883263	0.00563182	0.010409	0.0113721	0.00684728	0.0105737	0.00973454	0.00591262	0.0106621	0.0105418	0.00663577	0.011134	0.00649569	0.00673707	0.0080552	0.0105842	0.0067514	0.00521076	0.00543485	0.00449478	0.00432836	0.00332734	0.00320894	0.00380203	0.00240903	0.00152915	0.00312415	0.00252925	0.00238692	0.00342754	0.00536735	0.00502845	0.00434131	0.00421415	0.00474297	0.0034504	0.00501316	0.00411102	0.00726995	0.00614762	0.0101615	0.0101956
