 	a66	a87	a23	a87	a23	a50	a62	a88	a11	a62	a31	a24	a21	a47	a31	a43	a62	a75	a25	a56	a47	a96	a21	a85	a47	a37	a85	a47	a36	a2	a57	a87	a23	a50	a62	a21	a12	a43	a47	a21	a92	a90	a98	a79	a44	a94	a62	a21	a92	a37	a79	a56	a93	a70	a11	a88	a0	a11	a75	a79	a44	a4	a13	a57	a82	a87	a23	a10	a87	a23	a99	a97	a10	</S>
ma	0.0130387	0.0117141	0.00747227	0.00991699	0.00750856	0.00491885	0.00526025	0.00364071	0.002769	0.00349782	0.00767636	0.00435949	0.00411226	0.00704084	0.0157168	0.0141906	0.0144372	0.0274789	0.0324895	0.0115341	0.0131538	0.0119551	0.0148998	0.0123885	0.0214473	0.0131912	0.0127099	0.015097	0.0215343	0.0188584	0.026504	0.0325221	0.0374491	0.0215192	0.020881	0.0251585	0.0240802	0.0205308	0.0166783	0.0192162	0.0206572	0.0191896	0.0138442	0.013912	0.0169028	0.0123002	0.0153589	0.0130747	0.0139986	0.00642914	0.00807576	0.012319	0.00776252	0.0116599	0.00666481	0.00573171	0.00385255	0.0041633	0.00659633	0.00718473	0.00714984	0.00891448	0.010501	0.00672735	0.00727513	0.00551318	0.00690238	0.00841319	0.00675476	0.0112716	0.0163701	0.0138218	0.0272219	0.0349374
cuisine	0.0130827	0.00867727	0.00547648	0.00777479	0.00682796	0.00534001	0.00497503	0.00380611	0.00335786	0.00381974	0.00625684	0.00466086	0.00431776	0.00631035	0.0134051	0.0196859	0.0165957	0.022831	0.0244662	0.00964883	0.00896135	0.00848296	0.0110086	0.00811177	0.0145356	0.0115208	0.00829018	0.0124198	0.0143625	0.0132452	0.0209143	0.0259422	0.03613	0.0254739	0.0242384	0.0248182	0.0297121	0.024143	0.026781	0.0253157	0.025571	0.0205366	0.0193547	0.015799	0.0176306	0.0155192	0.0246601	0.0228202	0.0247566	0.0158148	0.0156015	0.0177963	0.0113662	0.0107069	0.00475645	0.00444772	0.00356765	0.0033141	0.00571964	0.00569921	0.0052877	0.00955082	0.0127439	0.00861622	0.00847559	0.00735782	0.00805844	0.00955585	0.00940639	0.0127386	0.0130164	0.0107613	0.0132302	0.0200382
prouve	0.0212636	0.017197	0.00906007	0.0170532	0.0176532	0.0125141	0.0155176	0.0150778	0.0135097	0.0127884	0.0160157	0.0104266	0.00704694	0.0137241	0.0173215	0.014711	0.0124452	0.0196415	0.0190923	0.0103783	0.0128223	0.0102072	0.0114006	0.00961909	0.0131609	0.0100028	0.00996192	0.0123991	0.0160561	0.0134996	0.0221196	0.0226793	0.0319575	0.0178974	0.0153832	0.0188526	0.0147642	0.0147782	0.0168585	0.0153579	0.0136241	0.0141965	0.0135917	0.0106936	0.0110978	0.00939455	0.0122725	0.0126128	0.0125044	0.00854632	0.0099702	0.0123996	0.00688272	0.00968789	0.005974	0.00480226	0.00200218	0.00355598	0.00583953	0.00616608	0.00741217	0.0135477	0.0132647	0.0116204	0.00868818	0.00771248	0.00944271	0.00966409	0.0101958	0.0153456	0.0227144	0.020126	0.0329124	0.0293226
qu'	0.0251874	0.0159088	0.0128221	0.0195934	0.0269706	0.0198314	0.0155744	0.0124598	0.0103344	0.00857897	0.015071	0.00936353	0.00627496	0.00844367	0.0141401	0.0143837	0.012217	0.0140873	0.0118199	0.0103469	0.00900526	0.010334	0.00679036	0.00796791	0.00745306	0.00819024	0.00657791	0.0101175	0.010204	0.0101314	0.0144439	0.020787	0.0221516	0.0184653	0.0143584	0.0124769	0.0100876	0.0121998	0.0200659	0.0226158	0.0181681	0.0217771	0.0224862	0.0188829	0.0179817	0.0139979	0.0171645	0.0182633	0.0169019	0.0107549	0.0133394	0.0159491	0.00988889	0.0118648	0.00958285	0.00596082	0.00181035	0.00272437	0.00401383	0.00390035	0.00642415	0.0142411	0.00928479	0.00813182	0.00834399	0.00693887	0.0065776	0.0105894	0.00990656	0.0200126	0.0218601	0.0215847	0.0302826	0.0325756
il	0.0304185	0.0171114	0.0123633	0.0128778	0.0134165	0.0190255	0.0118829	0.00704841	0.00686449	0.00520412	0.0129593	0.00472022	0.00467494	0.00639784	0.00945287	0.0080054	0.0104422	0.0150518	0.0158912	0.0106721	0.00714757	0.00640571	0.0089772	0.00865122	0.0103848	0.0106746	0.00667383	0.0128117	0.014061	0.0100629	0.0148099	0.0262913	0.0185492	0.0149094	0.0160658	0.0177004	0.0148488	0.0133266	0.0225377	0.0262052	0.0165052	0.0173047	0.021515	0.0163097	0.0128261	0.00878967	0.0120378	0.0141399	0.0136405	0.00876292	0.013286	0.0217154	0.0113853	0.0188032	0.0127561	0.0121857	0.00865413	0.0106465	0.0106814	0.00863804	0.00780781	0.0142125	0.00728409	0.00821308	0.00699253	0.00567809	0.00683131	0.0107256	0.0136391	0.0179081	0.0225889	0.0222971	0.0173732	0.05229
a	0.0298854	0.0128023	0.0110907	0.010367	0.0136941	0.0100592	0.00598234	0.00536804	0.00689484	0.006174	0.00627006	0.00537929	0.00585784	0.00760053	0.0065718	0.00778221	0.00743889	0.00863229	0.00760005	0.00638813	0.00628163	0.00627153	0.00501843	0.0054331	0.00574422	0.00670883	0.00381224	0.00887827	0.00568796	0.00460354	0.00651912	0.00828793	0.0126666	0.00853824	0.00602518	0.00641763	0.00768897	0.00657229	0.0103005	0.0112677	0.0159878	0.00936102	0.0175493	0.0105177	0.00980225	0.0127181	0.025281	0.0291394	0.0216475	0.0405027	0.0301122	0.0447332	0.0385663	0.0491818	0.0373301	0.0323141	0.0153981	0.0152808	0.0205322	0.0137024	0.00902592	0.00908657	0.00788824	0.00490971	0.00272838	0.00478791	0.00732519	0.00618374	0.00943258	0.0133982	0.0158252	0.0159848	0.0178367	0.0613659
trouvé	0.0226307	0.00875217	0.00610767	0.00609312	0.00863856	0.00483301	0.00634852	0.00560808	0.00567117	0.00427576	0.00660232	0.00388061	0.00315108	0.00479313	0.00424806	0.0049957	0.00364273	0.00822365	0.0112762	0.00502328	0.00456231	0.0060753	0.00563152	0.00601973	0.00627243	0.00672474	0.00365495	0.00782823	0.00498497	0.00434705	0.00515513	0.0141887	0.013602	0.0152612	0.00993778	0.00931264	0.0117912	0.0129517	0.0219236	0.0166148	0.0281716	0.0188659	0.0359483	0.030209	0.0258485	0.0338249	0.0414392	0.0334106	0.0320098	0.0238363	0.0204033	0.030442	0.019859	0.0353557	0.029622	0.0218233	0.00823077	0.0167732	0.0144953	0.0150988	0.00977033	0.017648	0.0102293	0.00500331	0.0066813	0.00611742	0.00797842	0.00843084	0.0096366	0.0132558	0.00859071	0.0109508	0.0129423	0.035462
une	0.0313127	0.0136979	0.00872037	0.00872635	0.0123041	0.00577269	0.00919371	0.00778174	0.00813001	0.00534652	0.00792293	0.00363744	0.00263834	0.00500555	0.00481148	0.00513892	0.00424876	0.00811273	0.0132584	0.00480391	0.00427138	0.00533989	0.00649095	0.00515351	0.0072874	0.00669637	0.00462681	0.00874293	0.00694957	0.00502655	0.00683203	0.0149068	0.0126507	0.0108205	0.00822807	0.0105956	0.0106299	0.0114631	0.0156177	0.015333	0.0258006	0.0197713	0.0281149	0.0220098	0.0180529	0.0242271	0.0217535	0.0171227	0.018527	0.0144091	0.0139774	0.0156999	0.00967556	0.0151579	0.0130907	0.0101972	0.00693142	0.0196856	0.0115207	0.0173892	0.0140994	0.023427	0.0299057	0.0233022	0.0225898	0.0173456	0.0184558	0.0226087	0.0213732	0.0235455	0.018721	0.0213025	0.0211528	0.0308291
autre	0.0129388	0.00518621	0.00434119	0.00536924	0.00401472	0.00362192	0.00345626	0.00323459	0.00323754	0.00334534	0.00359251	0.00421916	0.00260487	0.00362526	0.00482962	0.00548934	0.0039935	0.00472229	0.00965855	0.0034645	0.00365402	0.00353433	0.00491362	0.00389362	0.00514829	0.00390666	0.00351225	0.0064686	0.00543188	0.00344051	0.00597884	0.00932499	0.0139142	0.00929794	0.00769137	0.00877755	0.0139333	0.010142	0.0145933	0.0131493	0.0145809	0.01168	0.0190073	0.0175848	0.0150723	0.0161372	0.0268818	0.0257834	0.0218859	0.027247	0.025059	0.0307522	0.0275766	0.0270782	0.0196416	0.0246325	0.0214218	0.0215498	0.0254327	0.0213649	0.0205537	0.0270282	0.0313394	0.0208004	0.0186632	0.0217655	0.0213189	0.0189865	0.0358335	0.024018	0.0187913	0.0187286	0.014648	0.021503
femme	0.0110633	0.00659912	0.00582698	0.00677654	0.00500525	0.00352189	0.00236433	0.00220549	0.00194663	0.00246805	0.00253623	0.00333867	0.00261865	0.00357847	0.00895095	0.0117651	0.00975298	0.0118458	0.0206826	0.00764662	0.00482514	0.00608179	0.0103979	0.00792511	0.0100219	0.00743933	0.00677341	0.0104547	0.010063	0.00622703	0.011133	0.0155027	0.0224817	0.0175352	0.0134574	0.0147449	0.0223054	0.0188514	0.02269	0.0175118	0.0225723	0.017447	0.0217232	0.0229867	0.0243607	0.0243218	0.02934	0.0284838	0.0290956	0.0211861	0.0204874	0.0273079	0.0239386	0.0218378	0.021498	0.0238926	0.0126405	0.0153472	0.0161103	0.0123872	0.00930661	0.0129749	0.0149503	0.0107995	0.0102124	0.0108708	0.0108479	0.011849	0.0177762	0.014825	0.0119345	0.0113788	0.0103001	0.0180927
dans	0.0122696	0.0102457	0.00888588	0.00875689	0.00755553	0.0080128	0.00649934	0.00679062	0.00551639	0.00774815	0.00778737	0.00851337	0.00747331	0.0110434	0.0153677	0.0163275	0.0155419	0.0218508	0.0237987	0.0126327	0.0132638	0.0105214	0.0172918	0.0121895	0.0166689	0.0115786	0.0110217	0.0139469	0.0140196	0.0103961	0.0152363	0.0174282	0.0199278	0.0175055	0.0178986	0.0173538	0.019652	0.0188113	0.0196462	0.0178173	0.019967	0.0184185	0.0192322	0.0189223	0.0193252	0.0191395	0.0196197	0.0194309	0.0192638	0.0148183	0.0137067	0.0165731	0.0138194	0.0134749	0.0136	0.0128308	0.0081963	0.00896024	0.0092202	0.00824038	0.00557035	0.00787726	0.0104787	0.00824243	0.00972457	0.0108869	0.0102071	0.0107491	0.0164709	0.0132425	0.0120171	0.0105687	0.00900101	0.0234108
le	0.0189265	0.0149009	0.0108738	0.00985766	0.0125363	0.00793286	0.00827843	0.0083308	0.00725445	0.00829732	0.00776962	0.0058155	0.00664248	0.00724074	0.0130423	0.0131648	0.0123536	0.0141962	0.0143823	0.0127071	0.0103427	0.0112107	0.0127614	0.0121992	0.0130043	0.0132989	0.0143392	0.0151418	0.0178129	0.0176118	0.0225089	0.0195938	0.0245653	0.0170232	0.0138727	0.0165503	0.0142354	0.0149746	0.0148858	0.0153362	0.0150291	0.0152071	0.0152569	0.0145864	0.0149815	0.0142674	0.0147145	0.0145682	0.0141353	0.0109547	0.0105437	0.0136601	0.0100913	0.0108926	0.0111791	0.00978088	0.00739882	0.0103748	0.0120724	0.0138451	0.0111959	0.0139312	0.0161344	0.0139084	0.0159944	0.0141506	0.0139968	0.0164738	0.0151285	0.0178662	0.0152111	0.0148228	0.015037	0.0268363
village	0.00999229	0.00389543	0.0025538	0.00282868	0.00307262	0.00140524	0.00225635	0.00340378	0.00265445	0.00326637	0.0035104	0.00428358	0.00502594	0.00681031	0.00958883	0.0115219	0.0120302	0.0100698	0.0119138	0.00848341	0.00704761	0.00620257	0.00789986	0.00733678	0.0067262	0.00980953	0.00864604	0.0180599	0.014632	0.00897949	0.0145116	0.0158848	0.0200658	0.0118485	0.00654397	0.0128572	0.0124133	0.00997984	0.0135647	0.020138	0.0158342	0.0143962	0.0193666	0.0160053	0.0149921	0.0159871	0.022856	0.0217666	0.0184298	0.0151673	0.014793	0.01647	0.0155641	0.0131937	0.0157498	0.0141046	0.00869792	0.0103875	0.014327	0.0157153	0.0152634	0.0207148	0.0209238	0.0113367	0.0253709	0.0240903	0.0212919	0.0292383	0.0338344	0.0378249	0.0282462	0.0230759	0.0230186	0.0202514
</S>	0.0207912	0.00964019	0.00585633	0.0070577	0.00743648	0.0063062	0.006099	0.00542986	0.00447706	0.00441699	0.00600064	0.00603554	0.0046321	0.00652598	0.0171665	0.0154022	0.0202874	0.0161178	0.0179414	0.0121821	0.00757541	0.00744341	0.0126855	0.00914623	0.0117463	0.0109515	0.00883723	0.0169606	0.0185561	0.0119096	0.0188775	0.0205949	0.0196829	0.0131696	0.0129646	0.0165147	0.0183821	0.0129067	0.0186758	0.0193842	0.00873877	0.00785659	0.0112611	0.00725823	0.00629972	0.00651679	0.0103407	0.0114539	0.0117939	0.00849631	0.0086658	0.0101444	0.00707745	0.00988196	0.00806801	0.00650134	0.00539341	0.00589573	0.00543547	0.0069169	0.00715729	0.0160336	0.0205026	0.0174009	0.0214961	0.024161	0.0297425	0.0307724	0.0363903	0.0366855	0.0339098	0.0297345	0.0185702	0.0266792
