 	a85	a87	a23	a87	a23	a87	a23	a79	a93	a13	a61	a75	a96	a90	a25	a92	a85	a73	a69	a15	a79	a94	a75	a66	a9	a57	a4	a57	a9	a99	a87	a97	a62	a75	a5	a18	a9	a75	a47	a7	a26	a57	a75	a5	a96	a75	a73	a44	a13	a90	a94	a98	a6	a96	a62	a96	a93	a53	a7	a57	a99	a97	a87	a97	a87	a23	a99	a87	</S>
m'	0.0189931	0.0224042	0.0221208	0.0236062	0.0190854	0.0141135	0.017095	0.0185385	0.0129905	0.01186	0.00778603	0.0139998	0.00964946	0.0138787	0.00572864	0.00589289	0.0120787	0.00696863	0.00634269	0.0106876	0.00939409	0.00717461	0.0104562	0.0126195	0.0152857	0.0155502	0.024372	0.0264043	0.0270567	0.0205861	0.0215827	0.0211526	0.0306664	0.0302784	0.0168629	0.0160618	0.0183259	0.0193192	0.0214027	0.0241987	0.0150147	0.0124334	0.01389	0.0124283	0.00982729	0.00956798	0.00989927	0.0107307	0.0120596	0.0138988	0.0219136	0.0140663	0.0160767	0.00927189	0.0091699	0.00359274	0.00481448	0.00651814	0.00666651	0.00806191	0.00841326	0.00580711	0.00659717	0.00987462	0.0132651	0.0147566	0.0112294	0.0240469	0.0235365
a	0.0186805	0.0219869	0.0195266	0.0233952	0.0210931	0.020793	0.0178855	0.016799	0.0163431	0.0152047	0.0129712	0.0137189	0.0109376	0.0105609	0.006486	0.00674758	0.00807051	0.00722549	0.00731147	0.0116417	0.0113772	0.0111824	0.0145973	0.0145157	0.0160876	0.0182681	0.0236823	0.023826	0.0269336	0.0186237	0.021621	0.0224506	0.0275574	0.0294782	0.0219025	0.0188992	0.0219149	0.0223469	0.0247529	0.0201235	0.0181732	0.0155722	0.0163397	0.0158856	0.0150769	0.0140881	0.0142711	0.0108964	0.00997681	0.00965422	0.0113678	0.0096978	0.00709127	0.00563925	0.00702845	0.00479162	0.00488091	0.00798131	0.00636077	0.00479724	0.00717279	0.00660895	0.00665022	0.00573881	0.00784297	0.0089655	0.00793703	0.0222365	0.0197568
donné	0.0203493	0.0192872	0.0167121	0.0143826	0.0124644	0.0141597	0.0124817	0.0121601	0.017709	0.0150899	0.013296	0.0141149	0.00854284	0.00876233	0.00553632	0.00454181	0.00699425	0.00550763	0.00915654	0.013768	0.0137757	0.00883634	0.0126137	0.0130141	0.0132712	0.0186988	0.0203855	0.0230094	0.026267	0.0177321	0.023628	0.0234593	0.023556	0.0239569	0.0248443	0.0193627	0.0191943	0.0200506	0.0283439	0.0224353	0.0234884	0.020618	0.0178856	0.0155378	0.0130574	0.0107652	0.0119605	0.0124264	0.012361	0.0145716	0.0116338	0.0125034	0.0165354	0.0119136	0.0125462	0.01177	0.00776373	0.0121595	0.00703673	0.00732701	0.00870751	0.00874749	0.00923807	0.0073633	0.00984397	0.0103715	0.00952528	0.014801	0.0160888
de	0.019375	0.019199	0.0167176	0.0130302	0.0134138	0.0128904	0.00785438	0.00846245	0.0212336	0.0165432	0.012504	0.0145533	0.00837073	0.0110909	0.0106324	0.00547194	0.0106528	0.00872321	0.0115008	0.0179958	0.0124367	0.0111406	0.0130972	0.0131934	0.016419	0.0223987	0.0204704	0.0217198	0.0237082	0.0145369	0.0251862	0.0239039	0.0199944	0.0229462	0.0255155	0.017389	0.0141982	0.0148987	0.0247501	0.0234566	0.0209586	0.0213681	0.0195272	0.0209473	0.0158774	0.0102898	0.013199	0.0133363	0.0139949	0.0138355	0.0108161	0.0122218	0.0130921	0.0114331	0.0102951	0.0112999	0.00666749	0.0101038	0.00811775	0.0085321	0.00830482	0.00875165	0.0111588	0.00716768	0.00835745	0.00959834	0.00860077	0.0110044	0.0195679
l'	0.0216734	0.0163651	0.0157662	0.0116092	0.00970932	0.00951015	0.00841972	0.00724807	0.0124634	0.00904123	0.00604472	0.00817483	0.00543539	0.00757996	0.0085166	0.00401519	0.00779368	0.00733186	0.00909114	0.0172187	0.0117783	0.0135677	0.0129835	0.0115147	0.0157218	0.018783	0.0202741	0.0190611	0.0234556	0.0104892	0.0228904	0.0204042	0.0189466	0.0192342	0.0222622	0.0164608	0.013514	0.0158871	0.0231009	0.020677	0.0159407	0.0151868	0.0142155	0.0160878	0.0162321	0.0118356	0.015903	0.0151461	0.0153308	0.016829	0.0147152	0.015155	0.0173416	0.0134388	0.0141141	0.0143494	0.010314	0.0135037	0.0143983	0.0144139	0.0152068	0.0152432	0.0201322	0.0126563	0.0130951	0.0175631	0.0154019	0.0191753	0.0230605
argent	0.0308206	0.0150956	0.0188569	0.0113121	0.00771394	0.0108563	0.0129624	0.0100725	0.0142565	0.0101378	0.00774348	0.00696313	0.00446566	0.00489049	0.00555471	0.00356125	0.00646365	0.00664318	0.0113675	0.0146264	0.0141523	0.0154584	0.011415	0.0081284	0.0107697	0.0142224	0.0159141	0.0151906	0.0245037	0.00901103	0.0198862	0.0171816	0.0202401	0.016439	0.0229095	0.0156054	0.014731	0.0175533	0.0268873	0.0148075	0.0132522	0.0125776	0.0110851	0.0101328	0.0153184	0.0138275	0.0205872	0.0192944	0.0175202	0.0200392	0.0187236	0.0181869	0.0224588	0.0146789	0.0232334	0.0145075	0.00656545	0.00701367	0.00637313	0.00821694	0.00831657	0.00967361	0.0195515	0.014276	0.0215887	0.0234303	0.0212855	0.0270669	0.0218476
et	0.0423761	0.0323173	0.0302604	0.0262321	0.024561	0.0224801	0.0234806	0.0222064	0.0218502	0.0107178	0.0058552	0.00765562	0.0047221	0.00614661	0.00605536	0.00390292	0.00648544	0.00640677	0.00928215	0.0128538	0.0107119	0.0144445	0.0103045	0.0074101	0.010482	0.013429	0.0139571	0.0142117	0.0215811	0.00774639	0.0205151	0.0161066	0.016945	0.0144037	0.0166696	0.00949569	0.00875404	0.0105691	0.0148026	0.0118261	0.00850818	0.0111828	0.0116259	0.0104211	0.0136585	0.0104883	0.0175549	0.016271	0.0168863	0.0217934	0.0189702	0.0209322	0.0223916	0.0208214	0.0207478	0.0149908	0.00695805	0.00892245	0.00859144	0.00969172	0.00971066	0.00783509	0.0132294	0.00989974	0.00916969	0.0133461	0.0135009	0.0171818	0.0245045
lui	0.0368438	0.0294545	0.0281526	0.0223822	0.0232399	0.0219626	0.02469	0.0213367	0.0200054	0.010042	0.00746265	0.00947332	0.00577442	0.00769409	0.00775894	0.00511334	0.00699286	0.0093211	0.0106717	0.0126762	0.00974395	0.0135826	0.0101267	0.00782883	0.0095644	0.0116662	0.0110438	0.0121169	0.0167128	0.00657608	0.0170641	0.0139011	0.014538	0.0124384	0.012801	0.00826891	0.00846908	0.00896861	0.0110189	0.0104562	0.00879097	0.015271	0.0202367	0.0218632	0.0224424	0.0136026	0.0193119	0.0162464	0.0155466	0.0212283	0.0197558	0.0208664	0.0217528	0.0215524	0.0179999	0.013942	0.00940155	0.0106531	0.0126479	0.0113831	0.0127847	0.0119452	0.0146619	0.0117974	0.0101047	0.0128458	0.0138934	0.0141126	0.0154245
en	0.0210217	0.0163946	0.0141112	0.0107615	0.0117552	0.0106813	0.0127737	0.0125114	0.0142524	0.0109842	0.00958231	0.00932475	0.0059126	0.00628048	0.00918132	0.00656383	0.00831754	0.0113084	0.0145876	0.0145047	0.0149703	0.0177992	0.0161097	0.0130897	0.014618	0.0157068	0.0163857	0.0167163	0.0196415	0.00931169	0.0182177	0.0175411	0.0207335	0.0199496	0.0186598	0.0121733	0.014201	0.0136966	0.0154768	0.0131597	0.012652	0.0142495	0.0154234	0.0141186	0.015418	0.0107953	0.0156577	0.0116228	0.00952647	0.0124576	0.0129936	0.0108845	0.0141896	0.013792	0.0203143	0.0197485	0.0125746	0.0144462	0.0154166	0.0138414	0.016944	0.0199686	0.0241464	0.0155921	0.0154549	0.0194962	0.0185999	0.020475	0.0202314
a	0.0189568	0.0172212	0.0163398	0.0144596	0.0149865	0.0135099	0.0156519	0.0149873	0.016125	0.0125444	0.00986713	0.0113402	0.00972698	0.0108812	0.0137949	0.0113152	0.0120955	0.0145793	0.0160351	0.0175196	0.0171985	0.015765	0.0148453	0.01212	0.0138015	0.0169799	0.0157679	0.0166929	0.017643	0.0112144	0.0180389	0.0169576	0.0139671	0.0166037	0.0183499	0.0169827	0.0146234	0.015922	0.0189536	0.0173816	0.0166174	0.0147639	0.0133116	0.0119682	0.0126146	0.0122397	0.0112416	0.00946191	0.00907953	0.00980541	0.0100754	0.00899605	0.0102636	0.010476	0.0120052	0.0114147	0.00926352	0.010578	0.0124409	0.011165	0.0147685	0.0137188	0.0194939	0.0172093	0.0152733	0.0177787	0.0203334	0.0227454	0.0291502
refusé	0.0190634	0.0170214	0.0151939	0.0139282	0.0148012	0.0127148	0.01544	0.0180744	0.0179172	0.014993	0.0103848	0.0112636	0.0107235	0.0117249	0.0133583	0.0116585	0.013061	0.0133831	0.0151638	0.0163225	0.0159208	0.0133918	0.013407	0.0114394	0.0130264	0.0174702	0.0158061	0.0164344	0.0173409	0.0128029	0.0174305	0.0165564	0.0140425	0.017836	0.0186633	0.0167136	0.0144164	0.0164326	0.0199134	0.0166546	0.016109	0.0131687	0.0114684	0.0101886	0.0104547	0.0105194	0.0101131	0.0089145	0.00865514	0.00921244	0.00929867	0.00832249	0.0104559	0.0100597	0.0130585	0.0133875	0.0104901	0.013196	0.0147321	0.0128947	0.016386	0.0136255	0.0177939	0.0152529	0.0128684	0.017407	0.0198069	0.0243799	0.0358894
</S>	0.0230987	0.0202329	0.0157227	0.0112528	0.0130902	0.00947064	0.0124545	0.0145258	0.0139966	0.0111638	0.0085301	0.010162	0.00847782	0.0100506	0.0114766	0.00825776	0.0110339	0.0126042	0.0127306	0.0136615	0.0134818	0.0145173	0.0137287	0.0133992	0.0143135	0.0152767	0.015244	0.0151588	0.0155162	0.0116079	0.0158391	0.0151981	0.01784	0.0184665	0.0162121	0.0133683	0.0142042	0.014975	0.0156179	0.0135786	0.0128925	0.0114085	0.0107411	0.009909	0.0103512	0.00991706	0.0138769	0.011998	0.0113051	0.0168971	0.0158216	0.0135653	0.020422	0.0198076	0.0229349	0.0187345	0.0156794	0.0199844	0.0178153	0.015393	0.0162797	0.0165757	0.0195698	0.0126298	0.0120442	0.0172088	0.015333	0.0194792	0.0218877
