 	a10	a87	a23	a53	a15	a98	a92	a37	a62	a88	a9	a75	a79	a37	a90	a15	a92	a34	a21	a5	a43	a25	a56	a62	a83	a38	a75	a47	a26	a57	a99	a87	a23	a87	a23	a10	a50	a75	a79	a90	a98	a85	a6	a26	a56	a70	a75	a25	a4	a13	a53	a75	a21	a44	a98	a85	a92	a44	a98	a85	a37	a62	a47	a88	a24	a88	a71	a11	a93	a70	a96	a18	a26	a9	a97	a87	a97	a9	a99	a97	</S>
elle	0.0172468	0.0171252	0.0102844	0.0099645	0.00759058	0.00701218	0.00528268	0.00479374	0.00425365	0.00913764	0.0119201	0.00971015	0.00790481	0.00786786	0.00653278	0.00869701	0.00909312	0.00958565	0.0158054	0.011158	0.00792135	0.00562118	0.00585068	0.00514734	0.00879391	0.013655	0.0125042	0.0179007	0.0161209	0.0192563	0.0163287	0.0163688	0.0136993	0.0120026	0.0126296	0.0128948	0.0101544	0.0119716	0.0190297	0.0151704	0.0158995	0.0168597	0.00760263	0.00822696	0.0121833	0.0124544	0.00939771	0.00711648	0.0102699	0.0113327	0.0157487	0.0178553	0.0179566	0.0180289	0.0185793	0.0152421	0.0267283	0.021246	0.0184413	0.017321	0.0179806	0.00889494	0.0103959	0.0101893	0.0132007	0.016534	0.0104597	0.0123118	0.00926649	0.0117023	0.00825404	0.0139925	0.00798094	0.0102985	0.0159069	0.0106817	0.0106504	0.0110983	0.013494	0.0150766	0.0191524
prononce	0.0225341	0.0101521	0.00655688	0.00568607	0.00751658	0.00929071	0.00964426	0.00855884	0.00757739	0.0132947	0.0173367	0.0244477	0.0152038	0.0120729	0.013339	0.0181563	0.0191343	0.0334793	0.0216763	0.0233833	0.0144862	0.00966933	0.00611825	0.00499162	0.00770638	0.00893421	0.0107033	0.0133542	0.0118355	0.0127688	0.0144741	0.010572	0.0098129	0.0095517	0.0105966	0.0127578	0.0113201	0.0095296	0.0079338	0.00787603	0.00739108	0.00691759	0.00509592	0.00342884	0.00560069	0.00672292	0.00570323	0.00373172	0.0042447	0.0058447	0.00629113	0.0112897	0.0103934	0.00921892	0.0113949	0.0108735	0.0142531	0.0120421	0.0114915	0.0108872	0.0207523	0.011156	0.0145079	0.012348	0.0166885	0.0150564	0.0109739	0.0157619	0.00593731	0.0165977	0.00939939	0.0231232	0.0177322	0.0164392	0.0214432	0.0165161	0.0162968	0.0150481	0.0205304	0.0237865	0.0130546
tout	0.0304766	0.0130111	0.00998338	0.00383665	0.00957763	0.00612565	0.00354189	0.00379859	0.00221998	0.00973437	0.00977385	0.00965206	0.00811369	0.00951519	0.0076504	0.0100831	0.00901869	0.01116	0.0114559	0.0123407	0.00957388	0.00627316	0.0062592	0.00443464	0.00709278	0.00973459	0.0100638	0.0129793	0.0113634	0.0136238	0.0150102	0.011833	0.00915016	0.0111083	0.0103838	0.0151288	0.0132874	0.00959526	0.0114159	0.0116214	0.0104473	0.0114464	0.00974695	0.00849493	0.0080698	0.0115489	0.00863675	0.00576704	0.00729883	0.00725017	0.00940415	0.0132252	0.010561	0.00967199	0.0113394	0.0104235	0.01132	0.0116038	0.0112085	0.0121821	0.0167802	0.00894181	0.0132047	0.00936767	0.016648	0.0206783	0.0205596	0.0220249	0.0130173	0.0227463	0.0127275	0.0212118	0.0217501	0.0210509	0.0234142	0.0248255	0.022259	0.0245447	0.0212732	0.0264216	0.0159036
temps	0.0190548	0.0122086	0.0119503	0.00876767	0.0105627	0.0123961	0.0109073	0.0102027	0.00610123	0.00969443	0.00924762	0.00747386	0.00421061	0.00474751	0.00509411	0.00604909	0.00471609	0.00879363	0.00761379	0.00636042	0.00522176	0.0040796	0.0036583	0.00498786	0.00624607	0.00672791	0.0069782	0.00862966	0.00804226	0.00837226	0.0100555	0.0072529	0.00639723	0.00744993	0.00773266	0.00809254	0.00843559	0.00635067	0.00574938	0.00603392	0.00588416	0.00613796	0.00611546	0.00611341	0.00602752	0.00825823	0.00823334	0.00556965	0.00621723	0.00752138	0.00692449	0.0110993	0.00869601	0.0083306	0.0106613	0.0117451	0.0097439	0.00957986	0.00973759	0.00890731	0.0122001	0.00905695	0.0134647	0.0109682	0.0132872	0.0141772	0.0169289	0.0174445	0.0114902	0.0279988	0.0150825	0.0344232	0.0386653	0.0372467	0.0510176	0.0404005	0.0388031	0.033344	0.0346976	0.0331982	0.0219544
des	0.0151614	0.00895807	0.0130546	0.00623395	0.0104524	0.00676303	0.00444729	0.00392068	0.00256648	0.00798162	0.00965188	0.0129866	0.0109178	0.0147474	0.0134544	0.0118013	0.0103426	0.0124538	0.00996087	0.00965476	0.0111264	0.0103135	0.0109106	0.0101697	0.0103142	0.0119619	0.0103891	0.0145898	0.0139034	0.0161048	0.0172835	0.0159996	0.0113192	0.0152332	0.0138949	0.0139571	0.0157484	0.0138167	0.0174216	0.0176682	0.0209481	0.0172622	0.0175874	0.0191175	0.0131129	0.0177613	0.0182528	0.011068	0.01162	0.010657	0.0136468	0.0181704	0.0114491	0.00960831	0.0123552	0.00923244	0.0104663	0.00804014	0.00912368	0.00915769	0.013009	0.00826075	0.0079595	0.00782117	0.00748052	0.00806752	0.0110941	0.012178	0.0168303	0.0186135	0.0129218	0.0143842	0.0134205	0.0127324	0.0142473	0.0158337	0.0114165	0.0143443	0.012034	0.014974	0.0161026
malédictions	0.019647	0.0121296	0.0163012	0.0129884	0.0159278	0.0124824	0.00990992	0.00862483	0.00467663	0.00732209	0.00681136	0.00622766	0.00614641	0.00647706	0.00669977	0.00734051	0.00693308	0.0102766	0.0122691	0.0118034	0.0132406	0.00963178	0.00686268	0.00862709	0.00840766	0.00925545	0.0085843	0.0117713	0.01144	0.0118609	0.0123759	0.0118215	0.0106919	0.011673	0.0113732	0.0114422	0.011695	0.0111809	0.0115782	0.0111676	0.0120612	0.011372	0.0123492	0.0122167	0.0108119	0.0125161	0.0133231	0.0111574	0.0113123	0.0111343	0.0120497	0.0138121	0.0115334	0.0106032	0.0116035	0.0106895	0.010292	0.0095068	0.0112506	0.0107091	0.0131542	0.0110064	0.0120261	0.012036	0.0124081	0.0112428	0.0165858	0.0165511	0.0180632	0.0216886	0.0133281	0.0178705	0.0162329	0.0155086	0.0160287	0.0193205	0.0202163	0.0211502	0.0245012	0.0241386	0.0209619
sur	0.0261462	0.0191113	0.0221742	0.0162792	0.0180399	0.0160579	0.0147377	0.0138378	0.00940385	0.0109271	0.0112319	0.0091726	0.00899645	0.00923738	0.0111589	0.0117915	0.0114277	0.013134	0.0129384	0.0124766	0.0146048	0.0139438	0.0101747	0.0134969	0.0113263	0.0113695	0.0100723	0.0123676	0.0111195	0.0123857	0.0144234	0.0147221	0.0132461	0.0126205	0.0140544	0.0142587	0.014202	0.014375	0.0155307	0.0150147	0.0162658	0.0142393	0.0122368	0.0121949	0.0112854	0.0115018	0.0115468	0.00825248	0.00980216	0.0105653	0.0095631	0.0126027	0.00995144	0.0106184	0.0100688	0.010133	0.00975479	0.00589531	0.007482	0.00755228	0.00977653	0.00738303	0.00948134	0.00941979	0.0091493	0.00965379	0.0123316	0.0106067	0.0163066	0.0155724	0.0158821	0.0147233	0.013665	0.0113962	0.0117033	0.0135644	0.00843303	0.0109645	0.0111389	0.0121839	0.0135621
les	0.0155301	0.0105296	0.0150715	0.00975775	0.0143395	0.0107357	0.00883601	0.00955486	0.00482055	0.0093197	0.0106053	0.0119208	0.012174	0.0132528	0.0143546	0.0152455	0.0140593	0.0162247	0.0136781	0.0147974	0.0199032	0.0192988	0.0127893	0.0181408	0.0124855	0.0141437	0.00823151	0.0108183	0.0106333	0.0116881	0.0121502	0.0110426	0.0071977	0.012293	0.0104921	0.0100626	0.0135062	0.0104986	0.01231	0.0132771	0.017998	0.0116505	0.0163861	0.0145444	0.00811315	0.0111599	0.0152655	0.00685852	0.00854486	0.00724746	0.00743711	0.00987813	0.00665988	0.00607355	0.0055667	0.0052945	0.0052326	0.00306158	0.00395581	0.00364828	0.0047819	0.00338261	0.00442801	0.0041857	0.00486566	0.00460816	0.00649471	0.00873637	0.024721	0.0198744	0.0247116	0.018566	0.0221268	0.0238597	0.0225811	0.0305521	0.0183767	0.0212514	0.0172151	0.0217351	0.0225989
enfants	0.0133259	0.00511098	0.00721268	0.0043864	0.00821242	0.00490842	0.00417707	0.00376837	0.00194707	0.00578437	0.00427374	0.00908697	0.00949565	0.00846404	0.0070362	0.00749791	0.00832977	0.0133692	0.0116399	0.0217233	0.0185436	0.0162214	0.0115089	0.0127657	0.0123893	0.0138229	0.0122486	0.0178263	0.0163296	0.0175204	0.0197892	0.0172748	0.013707	0.0200743	0.0173883	0.0170831	0.0187829	0.0141491	0.0143096	0.0150566	0.0155692	0.0148737	0.0177773	0.0132931	0.0117928	0.013953	0.01454	0.0089101	0.00960156	0.00966948	0.00960084	0.0139705	0.00972669	0.00711632	0.00770936	0.00956112	0.00536827	0.00486536	0.00719552	0.00598898	0.00687899	0.0056264	0.0044856	0.00466234	0.00429507	0.00535732	0.00826543	0.00869181	0.0173278	0.0157122	0.0203747	0.0199418	0.0192793	0.0215001	0.0193154	0.0242057	0.0192766	0.0179428	0.0228028	0.0235237	0.0229089
</S>	0.0128113	0.00815872	0.0124516	0.00844895	0.0168509	0.0123424	0.00930876	0.00944432	0.00436473	0.0131838	0.0106253	0.0139205	0.0134013	0.0147858	0.0117269	0.0110955	0.0114847	0.0131461	0.0150262	0.0171328	0.0163555	0.0121279	0.0132563	0.0120043	0.0165566	0.0174878	0.0141925	0.0162435	0.0163662	0.0193246	0.0165219	0.0175052	0.0120444	0.0197178	0.0159405	0.0152744	0.0178497	0.0141022	0.0151587	0.0160545	0.0187629	0.0178715	0.0180506	0.0175384	0.010203	0.0134184	0.0164271	0.00853808	0.00958039	0.00752895	0.00880876	0.0119102	0.00743022	0.00432888	0.00530761	0.00810948	0.00321019	0.00386421	0.00631034	0.00561601	0.00706311	0.00587515	0.00442483	0.00446193	0.00432779	0.00505508	0.00746594	0.0104777	0.0212515	0.0166383	0.0143646	0.0107598	0.0103174	0.0117732	0.012228	0.0153217	0.0118989	0.0127803	0.0143142	0.0176139	0.0249767
