 	a66	a97	a30	a57	a87	a23	a30	a53	a90	a56	a34	a98	a25	a79	a15	a20	a69	a44	a93	a44	a4	a44	a98	a79	a37	a44	a26	a3	a97	a87	a23	a12	a18	a23	a75	a47	a79	a98	a85	a5	a36	a6	a37	a92	a44	a21	a56	a34	a54	a47	a36	a7	a84	a57	a62	a21	a85	a47	a98	a47	a36	a2	a57	a87	a23	a10	a87	</S>
faut	0.0264409	0.0260748	0.021282	0.00646713	0.0115367	0.00735769	0.00139907	0.00591949	0.0069314	0.0071326	0.0211849	0.0175711	0.0336002	0.0248328	0.0162415	0.0188524	0.0136178	0.011892	0.0110078	0.00979182	0.00804879	0.0136712	0.0114904	0.0123475	0.0143173	0.0122915	0.012594	0.0150512	0.0168069	0.0149838	0.0169839	0.0151702	0.0156584	0.0161231	0.016059	0.0174377	0.0163793	0.0193391	0.0161606	0.0168308	0.0136257	0.00363869	0.00551981	0.0122513	0.00210985	0.0034164	0.00636798	0.00666101	0.00397334	0.00630475	0.00817967	0.00685268	0.00622955	0.00875254	0.0105466	0.0197538	0.0327419	0.016612	0.00685181	0.0115441	0.0133191	0.00879557	0.0250502	0.0229865	0.0263487	0.0296765	0.0389526	0.0460587
pas	0.0129408	0.0127957	0.00738835	0.00327615	0.00571196	0.00317894	0.00128061	0.00137019	0.00356252	0.00329055	0.00464723	0.00519139	0.0059102	0.00699024	0.00516885	0.00841296	0.00752899	0.0060433	0.0080731	0.00766963	0.00610966	0.0136716	0.00871715	0.0122123	0.0132858	0.0123593	0.0134493	0.0149691	0.0163168	0.0134771	0.0192412	0.0193339	0.0148916	0.0206803	0.0132985	0.0165007	0.0232378	0.0246017	0.0160898	0.0244628	0.0192798	0.0230752	0.0215499	0.0268753	0.0184627	0.0131758	0.00941516	0.0113387	0.00633301	0.0139778	0.00756529	0.00423518	0.00709367	0.0100023	0.00762201	0.0174104	0.0281568	0.0188105	0.0140869	0.0211144	0.0261998	0.0209604	0.0324201	0.0317533	0.0315993	0.03597	0.038098	0.0460806
espérer	0.00838442	0.0102802	0.00737926	0.00266164	0.00602024	0.00306721	0.00137095	0.0021993	0.00474845	0.00345989	0.00719251	0.00522738	0.00754343	0.00825387	0.0064397	0.0132771	0.0111861	0.0116237	0.014143	0.0113041	0.00798657	0.0195678	0.0134512	0.013846	0.0155574	0.0143429	0.0155754	0.0188829	0.0208637	0.017255	0.0241556	0.0237019	0.020526	0.0248794	0.0184398	0.0207177	0.0245701	0.0239837	0.0196368	0.0275026	0.018961	0.004933	0.0100113	0.0214236	0.00410696	0.00848431	0.0129548	0.0179929	0.0149618	0.0224728	0.0178114	0.0114815	0.0152404	0.0192658	0.0134681	0.0209081	0.0297404	0.0160615	0.00803987	0.0133294	0.00928298	0.00709129	0.0170431	0.0184645	0.0185192	0.029634	0.0312394	0.0358717
c'	0.00818128	0.00756297	0.00729873	0.00505	0.0051503	0.00518877	0.00168952	0.00407644	0.00417619	0.00491426	0.00559941	0.00383057	0.00334911	0.00520505	0.00575037	0.0130383	0.0141761	0.00907544	0.00896115	0.005765	0.00614079	0.0127673	0.00767866	0.0112059	0.0125675	0.012986	0.0126453	0.0138188	0.0130896	0.0116396	0.0137326	0.0128125	0.0171539	0.0113751	0.0112528	0.0107078	0.0152839	0.0164702	0.0164715	0.0256017	0.012482	0.00207447	0.00410923	0.0167314	0.00241837	0.00532712	0.00895142	0.0123271	0.00772908	0.0126969	0.010768	0.0117553	0.0117899	0.0121606	0.00773087	0.0215971	0.0433905	0.0355401	0.0165578	0.0284283	0.0195958	0.0128951	0.0315127	0.0340772	0.0378269	0.0598706	0.057991	0.0682248
est	0.00929366	0.00760537	0.00801729	0.00658355	0.00990314	0.00915733	0.00639002	0.00461373	0.00374172	0.00309648	0.00270943	0.00230718	0.0035728	0.00310698	0.00309829	0.00445176	0.00475369	0.00317612	0.00385979	0.00284006	0.00438466	0.00640875	0.00434678	0.00534598	0.00565657	0.00747576	0.00807429	0.00798208	0.00888012	0.00788315	0.00832061	0.00648866	0.00746902	0.0061514	0.0060421	0.00547071	0.00735512	0.00583953	0.00920259	0.0103207	0.00513056	0.00342586	0.0054372	0.0149018	0.00662175	0.00923105	0.00610939	0.0074197	0.00631125	0.01348	0.00789435	0.00806647	0.00655733	0.013701	0.00560372	0.0137719	0.0336111	0.0501934	0.0631326	0.0461464	0.0531486	0.0465596	0.0408131	0.0499376	0.0419842	0.0549653	0.0501891	0.0942787
l'	0.0235251	0.0285495	0.0283736	0.0168581	0.0269308	0.0237615	0.0128228	0.0122405	0.00686696	0.00810769	0.0113592	0.0103761	0.0130616	0.00747577	0.00627827	0.00476321	0.00552937	0.00546295	0.00443578	0.0041303	0.00465736	0.00670511	0.00447095	0.00418582	0.00455019	0.00407157	0.00536902	0.00503121	0.00705663	0.0052999	0.00644989	0.00564146	0.00525552	0.00596925	0.00499637	0.00574508	0.00616516	0.00767468	0.00716901	0.00846715	0.00522772	0.00156481	0.00425027	0.017477	0.00402588	0.00996609	0.016637	0.0161872	0.0135821	0.0166515	0.0195686	0.0256635	0.0189211	0.0170857	0.0176002	0.0284119	0.0415177	0.0331036	0.0167482	0.0221753	0.0260326	0.0118925	0.0218025	0.0295851	0.0258568	0.0418573	0.0469035	0.0738637
héritage	0.00903965	0.00721472	0.00972563	0.00354232	0.00561003	0.00661653	0.00258242	0.00475789	0.00319523	0.00493612	0.00773985	0.00780283	0.0171364	0.00882262	0.00706087	0.0107111	0.0140931	0.0105999	0.0078322	0.00567072	0.00742848	0.0122819	0.0123591	0.0125778	0.0132109	0.0127604	0.013214	0.0116843	0.0136119	0.0107616	0.0112195	0.00982652	0.015768	0.00852586	0.012204	0.0123696	0.0135137	0.014742	0.0183332	0.0216735	0.0149685	0.0028003	0.00478625	0.0184459	0.00277846	0.00697569	0.0108457	0.0155699	0.0112096	0.0140895	0.0150869	0.0233943	0.016043	0.0155808	0.017824	0.0272872	0.0354021	0.0340142	0.0171456	0.0268699	0.0225708	0.0126371	0.0225999	0.027779	0.0292445	0.0434161	0.0423588	0.0555196
de	0.0117785	0.00832206	0.0106017	0.00512345	0.00688401	0.00936047	0.00441061	0.00485993	0.00277268	0.00383572	0.00329808	0.0041433	0.00861087	0.01002	0.0071299	0.0158104	0.0157463	0.0135155	0.0121683	0.00942532	0.00818312	0.0121867	0.01296	0.0129008	0.0141726	0.0129583	0.0130525	0.0166975	0.0160584	0.0171995	0.0173134	0.0156215	0.0185148	0.0140963	0.0196039	0.0207827	0.0239645	0.023678	0.0320184	0.0258433	0.0242087	0.00879804	0.0118288	0.0226678	0.00544766	0.00995104	0.00768608	0.0104755	0.00818653	0.0116211	0.00877596	0.0101531	0.0065031	0.0131076	0.00894127	0.00955939	0.0159493	0.0237823	0.0136544	0.0148915	0.0186517	0.0176351	0.0225728	0.0255783	0.0290014	0.0329001	0.0268295	0.0650185
ses	0.0111437	0.00811365	0.0102332	0.00455294	0.00617013	0.00627959	0.00263647	0.00539191	0.00413321	0.00786469	0.0102569	0.0115225	0.0155996	0.0115914	0.00926563	0.0101698	0.00863833	0.00607751	0.00704483	0.00733857	0.0077858	0.00967264	0.00508009	0.00657108	0.00725605	0.00628703	0.00801199	0.00793083	0.00750657	0.00664642	0.00863031	0.00795038	0.00913563	0.00773429	0.00681701	0.00764288	0.0119631	0.0148852	0.0129697	0.0173994	0.0167255	0.0230723	0.0223818	0.0277344	0.0263797	0.0228428	0.0172037	0.0168024	0.00987019	0.0107774	0.00997624	0.0166607	0.0116511	0.010355	0.012441	0.0165528	0.0214938	0.028893	0.0323688	0.0307109	0.0400783	0.0386986	0.0271716	0.0327668	0.0318928	0.0349079	0.0298417	0.0378478
enfants	0.00640417	0.00255306	0.00262686	0.00107601	0.0010554	0.00133757	0.000687653	0.00126755	0.00125439	0.00281443	0.00410594	0.00434946	0.00506196	0.00566383	0.00396627	0.00823619	0.00993048	0.00541333	0.00513552	0.00389318	0.00397299	0.011967	0.00909814	0.00943914	0.0115961	0.0078958	0.0107086	0.0111604	0.0120689	0.00817022	0.0168147	0.0112311	0.0203926	0.0144382	0.019618	0.0216283	0.0247712	0.0218332	0.0280766	0.0292608	0.0286732	0.0115995	0.0139029	0.0245859	0.00746393	0.0124169	0.0120247	0.0188997	0.012898	0.0159076	0.0130522	0.015	0.0128931	0.0151309	0.0158273	0.0202146	0.0240012	0.0296106	0.0225672	0.0293148	0.0331884	0.0260458	0.0300416	0.0337504	0.0362147	0.0376252	0.0342118	0.0319626
</S>	0.00708777	0.00332582	0.00323142	0.00247388	0.0021292	0.00203812	0.0013149	0.00270494	0.00153012	0.00306042	0.00302884	0.00327259	0.00285367	0.00388543	0.00338909	0.00643518	0.0103667	0.00509589	0.00515997	0.00346664	0.00381661	0.00974591	0.00986915	0.00999974	0.0121097	0.0142372	0.0170927	0.0180132	0.0186395	0.0179181	0.0205903	0.0146956	0.0317834	0.0194911	0.0269081	0.0144563	0.0198704	0.0200298	0.0261831	0.0276626	0.0162439	0.002898	0.00313387	0.00723809	0.00213419	0.00330824	0.00818773	0.0067043	0.00512296	0.00729859	0.00981533	0.0145559	0.00764707	0.00858408	0.010465	0.0195062	0.0412395	0.0259989	0.0150729	0.0285184	0.0204368	0.0122864	0.0269491	0.0383019	0.0387024	0.0694852	0.0691496	0.0520523
