 	a15	a87	a23	a61	a94	a96	a56	a96	a24	a76	a25	a44	a24	a61	a31	a62	a47	a21	a61	a75	a25	a69	a58	a90	a25	a56	a96	a83	a21	a24	a26	a75	a56	a90	a98	a85	a61	a47	a31	a24	a96	a35	a90	a98	a85	a43	a75	a44	a98	a85	a44	a98	a47	a37	a36	a27	a82	a87	a23	a97	</S>
de	0.0222737	0.0216507	0.0172476	0.0120566	0.0174062	0.0169457	0.0242111	0.0227896	0.017759	0.00945788	0.0119008	0.0149192	0.0164165	0.016558	0.0146413	0.0166364	0.01198	0.0144498	0.0159642	0.0170564	0.0151798	0.0148476	0.0179749	0.0190644	0.021197	0.0171371	0.017251	0.0211961	0.0191877	0.0197908	0.0180055	0.0181406	0.0177663	0.0137682	0.0076091	0.0048836	0.00439085	0.00339169	0.00499691	0.00741018	0.0063119	0.00736683	0.00518726	0.00716035	0.00745239	0.00859788	0.00488284	0.00456956	0.00547511	0.00854327	0.00871238	0.0154723	0.0178964	0.0305577	0.0187987	0.0253729	0.0192336	0.0283109	0.0300687	0.0446364	0.0798827
la	0.0294256	0.0245707	0.0217029	0.0170392	0.0195916	0.0176545	0.0210117	0.0178017	0.0153199	0.00998615	0.0124367	0.0149388	0.0178554	0.015349	0.0192033	0.0158105	0.0117795	0.0136283	0.0167088	0.0191277	0.0148269	0.0131189	0.0207232	0.0267689	0.0251694	0.0225909	0.0193925	0.0244787	0.0237222	0.0247631	0.0258555	0.0234555	0.0284785	0.0215183	0.0154578	0.0123953	0.0133999	0.0115203	0.0143379	0.0191866	0.0156677	0.0147719	0.0135896	0.0148027	0.0134042	0.0116786	0.00866708	0.0095864	0.00912724	0.00857173	0.00661043	0.00905384	0.00447754	0.0120788	0.0051002	0.00442228	0.00373916	0.0154439	0.0157604	0.0234907	0.0278535
bastonnade	0.0161053	0.0108719	0.00929317	0.011577	0.0101732	0.00782464	0.004301	0.00558881	0.0069901	0.00325266	0.00501721	0.00651508	0.0108019	0.0178696	0.0277318	0.0321028	0.0289353	0.0355904	0.0413902	0.0341172	0.0447175	0.0392886	0.0371162	0.0360027	0.0419359	0.0341621	0.0203766	0.0287111	0.0377571	0.0280527	0.0328559	0.0285598	0.0324937	0.0225926	0.012899	0.010392	0.00856676	0.00814505	0.0099289	0.0136989	0.0116939	0.0137728	0.0129109	0.00990761	0.0121359	0.0102037	0.00711893	0.00964391	0.00778191	0.00550777	0.00506588	0.00551981	0.00334634	0.00360788	0.00140696	0.00130028	0.0011151	0.00463299	0.00565083	0.00933315	0.00404123
qu'	0.0230378	0.0110162	0.00931043	0.0100135	0.0192568	0.0224852	0.00627256	0.0117429	0.0128762	0.00961437	0.010893	0.0122926	0.0246645	0.0124256	0.0288056	0.0210465	0.0408239	0.0378655	0.0267584	0.0566935	0.0373185	0.0259549	0.0292689	0.0307536	0.0189026	0.0173451	0.0100194	0.0190064	0.0219245	0.012879	0.0243048	0.00853921	0.0279193	0.0161832	0.0106014	0.0105322	0.00881554	0.0112308	0.0143829	0.0124482	0.00771208	0.00736089	0.00455036	0.00576158	0.00570445	0.00448604	0.00409507	0.00550134	0.00724921	0.00717976	0.00614482	0.0102731	0.0125313	0.0131285	0.0114128	0.00731749	0.00711895	0.0213542	0.0208261	0.0358742	0.0181921
il	0.0167522	0.0109442	0.00819303	0.00693368	0.0109381	0.0127503	0.00925503	0.0109618	0.0136108	0.011716	0.0293153	0.0247748	0.0385662	0.0251496	0.0239858	0.0240966	0.0251538	0.0214008	0.0209622	0.0223742	0.0254709	0.0179647	0.0224287	0.0212069	0.0156771	0.0141561	0.0101605	0.017163	0.0123808	0.0142966	0.017352	0.0102539	0.0161985	0.0135974	0.0128588	0.0158722	0.0205737	0.0276991	0.0314871	0.0314606	0.0219967	0.024271	0.0135153	0.0197824	0.0159544	0.00962092	0.00741271	0.00821282	0.0130104	0.010526	0.00736144	0.011133	0.0143004	0.0143495	0.0130709	0.00443086	0.0070696	0.014308	0.00971824	0.0147954	0.00906657
a	0.0294809	0.0288809	0.0189002	0.0179996	0.017188	0.0175611	0.0130218	0.0131761	0.0128922	0.0128912	0.0247628	0.01864	0.0285927	0.0173626	0.0188181	0.0158133	0.0217134	0.0153216	0.0142822	0.0144881	0.0168961	0.0127015	0.0159968	0.0137035	0.0132779	0.0130656	0.00747651	0.0133149	0.0138976	0.0130487	0.0172862	0.0106018	0.0171382	0.0181154	0.0200773	0.0201749	0.0243077	0.0348949	0.0419738	0.0371979	0.026276	0.0301163	0.0164087	0.0219113	0.0161122	0.00982083	0.0102364	0.00998676	0.0145378	0.00918731	0.00908876	0.00853552	0.0111215	0.00690833	0.00373712	0.00353925	0.00455293	0.0124221	0.00777859	0.0149473	0.00584068
reçue	0.0357361	0.0304439	0.017686	0.0152427	0.0151547	0.0131443	0.0140177	0.014122	0.0128392	0.0117152	0.0204936	0.0169099	0.0158525	0.0134207	0.0119239	0.0117625	0.0202865	0.0184472	0.0172422	0.0154514	0.0156759	0.0137908	0.0190127	0.0126105	0.0135816	0.0108092	0.00851449	0.0118187	0.0129813	0.012223	0.014195	0.0110744	0.0175129	0.0214952	0.0234153	0.0230296	0.0236361	0.0289835	0.0364569	0.0316989	0.0235636	0.0267948	0.0167497	0.0191729	0.0187082	0.0177331	0.0163199	0.0155238	0.0206007	0.012461	0.0137398	0.012195	0.0145859	0.00819093	0.00447296	0.00317423	0.00531972	0.0097178	0.00812208	0.017688	0.0107574
dans	0.0379554	0.0216767	0.0226151	0.0153174	0.0199062	0.0116216	0.0120688	0.0111457	0.012019	0.00865292	0.014492	0.0124455	0.0168346	0.0130026	0.0129923	0.0143017	0.0141399	0.0135833	0.0150694	0.0171218	0.0154254	0.0175521	0.0186843	0.0214818	0.0209234	0.0282034	0.0186185	0.0233614	0.0253477	0.0234921	0.0246752	0.0168161	0.0227042	0.0209891	0.0230648	0.0267766	0.0263962	0.0271123	0.0318183	0.0273573	0.0254389	0.0255681	0.0222569	0.0223287	0.0223809	0.0158058	0.0125789	0.0145556	0.0118475	0.00948085	0.00650112	0.00534058	0.00445313	0.00364583	0.00242441	0.00139914	0.00226275	0.00346021	0.00285819	0.00444709	0.00320292
la	0.0662929	0.0474164	0.029196	0.0194347	0.0213777	0.0151619	0.0102215	0.00803727	0.00774757	0.00403953	0.00994841	0.0109589	0.0153423	0.00979267	0.0111468	0.00992313	0.0175512	0.0152735	0.0166449	0.0168518	0.0156363	0.0140513	0.02247	0.0219007	0.0208357	0.0199188	0.0121342	0.0189195	0.0218334	0.0191865	0.022647	0.0143561	0.024184	0.01992	0.016076	0.0167337	0.0127037	0.0123005	0.0226249	0.0193129	0.0130196	0.0199443	0.0136793	0.0151058	0.018326	0.019606	0.0182141	0.0179661	0.0199654	0.0131585	0.0129997	0.0117165	0.0111449	0.00867665	0.00489479	0.00369654	0.00481489	0.0123442	0.00807264	0.0146482	0.0079017
rue	0.0409371	0.0595151	0.0299752	0.0340348	0.0258682	0.0204842	0.0127768	0.0138317	0.0231423	0.0173818	0.0173828	0.0143685	0.026977	0.0151521	0.0269944	0.0179369	0.021795	0.012816	0.011421	0.0216131	0.0245412	0.0180026	0.0116106	0.0118627	0.0136135	0.0178995	0.0043427	0.0108825	0.0237627	0.00978252	0.0107879	0.0115987	0.00895381	0.0190593	0.0206693	0.0245568	0.0090388	0.008586	0.0204325	0.0133998	0.0140463	0.00959905	0.00991278	0.0108868	0.00891409	0.00624661	0.00701488	0.0075124	0.00705464	0.00616237	0.00991914	0.012705	0.0132193	0.0135683	0.0117701	0.0160787	0.0159855	0.0111408	0.0141042	0.0118375	0.024534
</S>	0.0576121	0.0658176	0.0412942	0.0369368	0.0318476	0.0357767	0.0185928	0.0190024	0.0204813	0.00990525	0.0169577	0.0154625	0.0188192	0.0124844	0.0176512	0.012834	0.0193537	0.0133132	0.0149938	0.0239984	0.0176584	0.0141737	0.018001	0.0171841	0.0173054	0.0142696	0.00570425	0.0125003	0.0176971	0.0107757	0.0108926	0.0116981	0.0101309	0.0194378	0.0194372	0.0230752	0.0129829	0.0131024	0.0243646	0.0161668	0.0126065	0.0105291	0.0102704	0.0148127	0.014249	0.00822373	0.0116293	0.0104789	0.0102767	0.00476143	0.00543818	0.00551821	0.00522335	0.00699459	0.00675863	0.00524446	0.00641295	0.00610866	0.00837848	0.0118215	0.0145702
