 	hier	je	n'	ai	pas	pu	dormir	à	cause	des	moucherons	</S>
a93	0.000975644	0.000997077	0.00176064	0.00240819	0.00452331	0.00516063	0.00973582	0.0125144	0.0117142	0.0310556	0.143815	0.77534
a13	0.000933163	0.00102002	0.0019734	0.00304224	0.00687826	0.00776945	0.0127489	0.0141566	0.0116602	0.0252118	0.117615	0.796991
a99	0.000481129	0.000406688	0.000732057	0.00109247	0.00224165	0.00287291	0.00744269	0.0119252	0.0123194	0.0356213	0.149603	0.775261
a87	0.00247817	0.00163512	0.00215602	0.00268225	0.00402007	0.00448745	0.0115983	0.0184775	0.0200496	0.0514392	0.166771	0.714206
a23	0.0175481	0.0104761	0.0105868	0.0125144	0.0194124	0.0237246	0.0652603	0.101512	0.119864	0.197322	0.193994	0.227785
a87	0.0264553	0.0145719	0.0146499	0.0166579	0.0247361	0.0235787	0.0480986	0.0666414	0.0715502	0.134353	0.188215	0.370492
a23	0.0165702	0.0101409	0.0141075	0.0185444	0.0317871	0.0275438	0.0530783	0.0671153	0.0740996	0.137648	0.168216	0.381149
a87	0.0338796	0.0164727	0.0184028	0.0232428	0.0380169	0.0325378	0.0632712	0.0755771	0.0721163	0.129375	0.14754	0.349567
a10	0.0308579	0.0155102	0.0185779	0.0233859	0.0342656	0.0260053	0.0458305	0.0553769	0.0574973	0.110207	0.136922	0.445562
a87	0.0634731	0.0306873	0.0324633	0.0386659	0.0495858	0.0389609	0.0655234	0.0723179	0.0727912	0.109998	0.119598	0.305936
a10	0.0575913	0.0270142	0.0245649	0.0283368	0.0358875	0.0304048	0.0565477	0.0613296	0.0615452	0.102113	0.142507	0.372158
a87	0.0659253	0.0327528	0.0365661	0.0475661	0.0592931	0.0433148	0.0716157	0.0703795	0.063843	0.0921383	0.107808	0.308797
</S>	0.0523126	0.0240371	0.0229589	0.0268388	0.031509	0.0256917	0.0458458	0.0513694	0.0527138	0.0905598	0.1242	0.451963
