 	les	femmes	sont	en	train	de	vider	la	deuxième	partie	de	l'	étang	</S>
a25	0.00179495	0.00160841	0.00146042	0.00122625	0.00150823	0.00242485	0.00670816	0.0329885	0.134366	0.148272	0.109977	0.112578	0.167722	0.277365
a94	0.000404905	0.000356845	0.000314047	0.00029417	0.00037989	0.000549107	0.00165435	0.0100714	0.0838843	0.131567	0.102089	0.122481	0.19637	0.349583
a32	0.00196628	0.00190065	0.00175138	0.0017269	0.00217162	0.00241224	0.00505247	0.0129962	0.0674906	0.100564	0.078228	0.115945	0.212527	0.395267
a11	0.0016622	0.00137914	0.00143114	0.00153539	0.0018859	0.00220105	0.00477259	0.0138749	0.067235	0.0826941	0.0709827	0.113428	0.216692	0.420226
a62	0.00121031	0.000925225	0.00102215	0.000952773	0.00110095	0.001464	0.00367144	0.0157511	0.0770266	0.0932925	0.0816566	0.121033	0.205188	0.395705
a47	0.00178122	0.00129552	0.00128817	0.00124853	0.00120276	0.00139389	0.00275471	0.0125862	0.0726847	0.087901	0.0915648	0.14227	0.221946	0.360082
a18	0.00212562	0.0015375	0.00167788	0.00195979	0.00207927	0.00264078	0.00524099	0.02482	0.0938721	0.117874	0.11148	0.1458	0.197262	0.291631
a34	0.00247626	0.00162716	0.00171165	0.0016564	0.00149916	0.0020749	0.00400859	0.0262862	0.126577	0.129998	0.110547	0.133392	0.1796	0.278546
a56	0.000960923	0.000613678	0.00066212	0.000594644	0.000652801	0.00091199	0.00235389	0.0130951	0.0896843	0.0833246	0.0996149	0.150047	0.219857	0.337627
a94	0.000577602	0.000498505	0.000563766	0.000625871	0.000787712	0.00107954	0.00267316	0.0106005	0.0753526	0.085082	0.105273	0.14459	0.226612	0.345683
a71	0.000622013	0.000391952	0.000449702	0.000411755	0.000434994	0.000678965	0.00163563	0.0104514	0.0817959	0.0874875	0.0886574	0.138947	0.216746	0.37129
a25	0.0021313	0.00165253	0.00177536	0.00167727	0.00163599	0.00217995	0.00386287	0.020541	0.117881	0.152077	0.123793	0.141916	0.182039	0.246837
a87	0.0149743	0.00903651	0.0100434	0.0108758	0.0090726	0.0098101	0.0110761	0.0436506	0.152701	0.156059	0.121383	0.126343	0.146135	0.17884
a23	0.181972	0.148841	0.123024	0.12466	0.11098	0.0689127	0.0399698	0.0361894	0.0343596	0.0346845	0.0294587	0.0246194	0.0215106	0.0208181
a87	0.0761806	0.0478141	0.0404867	0.0394127	0.0390987	0.0363431	0.0377399	0.0653968	0.100968	0.107235	0.0849785	0.0924935	0.105482	0.12637
</S>	0.0121013	0.00688524	0.00634691	0.00642855	0.00727155	0.00918242	0.0163343	0.053982	0.118281	0.133616	0.114322	0.123447	0.155678	0.236123
