 	cet	enfant	ne	peut	plus	jouer	au	ballon	parce	qu'	il	souffre	d'	hémiplégie	</S>
a47	0.0026454	0.00412024	0.00559544	0.0118046	0.0222019	0.0350345	0.0644717	0.0594473	0.0807886	0.078349	0.0917832	0.0772208	0.133874	0.119161	0.213502
a36	0.00493356	0.00705838	0.00880396	0.0171853	0.0299606	0.0515732	0.0957553	0.090606	0.111449	0.0996633	0.0970608	0.0571096	0.082328	0.0763346	0.170178
a2	0.00641649	0.00678006	0.0079087	0.0143987	0.0252312	0.0526076	0.08816	0.0844879	0.095009	0.0974673	0.108962	0.0715881	0.0833018	0.068319	0.189363
a57	0.0248904	0.0221832	0.0230312	0.0318703	0.0402384	0.0587041	0.0892919	0.0913614	0.0931995	0.0904773	0.0884297	0.0802461	0.0691722	0.0615168	0.135387
a97	0.0260613	0.0158267	0.0143341	0.0185656	0.026522	0.038601	0.0636535	0.0676068	0.0810931	0.0948385	0.113559	0.116238	0.0887343	0.0861139	0.148252
a87	0.0249969	0.0129309	0.0103345	0.012994	0.0237818	0.0381134	0.0623702	0.0575987	0.0666836	0.0725281	0.0896113	0.113781	0.121844	0.11621	0.176221
a97	0.0700016	0.0315787	0.0227381	0.0223572	0.0342443	0.0414065	0.0599631	0.0614429	0.0687497	0.0803444	0.0996858	0.131668	0.110801	0.0796368	0.0853818
a99	0.0677633	0.0314762	0.0228142	0.0224494	0.0298863	0.0345692	0.0477196	0.050277	0.0567692	0.0685764	0.0991634	0.172717	0.126684	0.0929143	0.076221
a97	0.0368713	0.0203406	0.0186083	0.0206468	0.0282203	0.0311328	0.0377969	0.0373858	0.0433458	0.052299	0.0903488	0.166938	0.158928	0.129359	0.127778
a99	0.0362752	0.0194705	0.0168982	0.0183435	0.0254181	0.0273606	0.0363353	0.0342109	0.0422367	0.0506599	0.0997282	0.169997	0.168413	0.137868	0.116785
a97	0.0406311	0.0267683	0.0252989	0.0254635	0.0327595	0.034351	0.0408683	0.0393947	0.047843	0.0591425	0.101003	0.12994	0.124815	0.120707	0.151014
a9	0.0430439	0.0278663	0.0252056	0.022896	0.0289289	0.0282445	0.0357501	0.0327555	0.0417641	0.0512187	0.0942126	0.122737	0.127531	0.13171	0.186136
a50	0.0688289	0.0404316	0.0309363	0.025353	0.0297194	0.0326591	0.03945	0.0392862	0.0475858	0.0557297	0.0801017	0.104924	0.107483	0.117939	0.179572
a94	0.015349	0.00944395	0.00869394	0.0117236	0.0202257	0.0239957	0.0322208	0.028211	0.0362921	0.0387266	0.058099	0.0778591	0.145131	0.175203	0.318825
a75	0.0040124	0.0025272	0.00240462	0.00392195	0.00841077	0.0117095	0.0169326	0.0152646	0.018947	0.0227355	0.0439701	0.0857313	0.192572	0.215247	0.355614
a6	0.000323826	0.000366342	0.000540701	0.00133699	0.00419256	0.00778246	0.0129638	0.0105514	0.0161241	0.0204495	0.0555161	0.137099	0.235642	0.257672	0.239439
a36	0.000256271	0.000370426	0.000690141	0.00205182	0.00554144	0.00911457	0.0125606	0.0106401	0.0133389	0.0151628	0.0363134	0.0966765	0.208003	0.270069	0.31921
a47	0.000527166	0.000686049	0.00102325	0.00234766	0.00557329	0.0103307	0.0144086	0.0123391	0.0149498	0.0164431	0.0380194	0.0790566	0.188383	0.237687	0.378226
a92	0.000582985	0.000751112	0.00102764	0.00204656	0.00445614	0.00810094	0.0121477	0.00941058	0.012802	0.0141607	0.0342593	0.0605606	0.181146	0.229403	0.429144
a61	0.000589083	0.000726705	0.000933305	0.00183094	0.00370073	0.0066868	0.0106892	0.00909115	0.012897	0.0151588	0.0360922	0.0650873	0.182034	0.217796	0.436687
a37	0.000696931	0.000824648	0.00104923	0.00242478	0.00521053	0.00945896	0.0142143	0.0123159	0.0148373	0.0159354	0.0358372	0.0859467	0.199862	0.267863	0.333524
a21	0.001451	0.00143367	0.00147113	0.00254042	0.00494493	0.00886756	0.0149775	0.0131949	0.0163933	0.0175028	0.0393009	0.0855301	0.209728	0.265459	0.317205
a56	0.000502988	0.000589256	0.000733557	0.00158582	0.00320851	0.00613609	0.0110184	0.00992422	0.0138672	0.0151376	0.0331244	0.0804035	0.210476	0.276918	0.336375
a34	0.00114267	0.00133167	0.00151971	0.00283071	0.00506518	0.00851063	0.0147576	0.0140554	0.0192019	0.0208058	0.0394168	0.0845955	0.19265	0.261507	0.332609
a96	0.00082896	0.000992611	0.00117506	0.00227938	0.00411767	0.00734545	0.0130322	0.0124115	0.0168756	0.0183004	0.0349782	0.0815788	0.186167	0.268704	0.351213
a43	0.00114442	0.00126728	0.00147401	0.00262069	0.00459928	0.00730744	0.0126047	0.0117523	0.0153446	0.0168417	0.0334919	0.0729171	0.17657	0.261327	0.380738
a11	0.00113486	0.00105453	0.00111973	0.00171337	0.00293665	0.00463844	0.0083148	0.00749721	0.00997027	0.0122976	0.026958	0.0533651	0.137843	0.247153	0.484003
a70	0.00209591	0.00165791	0.00158232	0.00217153	0.00341169	0.00486963	0.00767381	0.0066736	0.00824958	0.0102029	0.0232088	0.0472552	0.116915	0.257201	0.506831
a13	0.00145324	0.00124515	0.00127741	0.00184145	0.0030226	0.00432153	0.00728561	0.00595388	0.00755226	0.0098501	0.0264353	0.0535109	0.136663	0.257451	0.482137
a9	0.00387607	0.00306889	0.00282123	0.00355769	0.00508077	0.00656028	0.0108376	0.00903255	0.0112716	0.0142586	0.0331986	0.0596697	0.135507	0.242176	0.459083
a97	0.0186317	0.0136487	0.0109387	0.0111325	0.0130977	0.0133168	0.0174247	0.0157103	0.0204393	0.0250419	0.0531411	0.0882869	0.157229	0.211585	0.330376
a87	0.0468301	0.0259167	0.0190437	0.0182113	0.0210501	0.0220513	0.0301774	0.0311147	0.0448386	0.0560379	0.0837732	0.0852616	0.116809	0.151202	0.247682
a97	0.120648	0.0505478	0.0262466	0.0198283	0.021636	0.0301398	0.0414171	0.0536054	0.0643098	0.0805085	0.0828765	0.0661219	0.0621252	0.0873205	0.192668
a10	0.14236	0.0498482	0.0268054	0.0251406	0.0320115	0.0469893	0.0594131	0.0706789	0.0721763	0.0840892	0.0770272	0.0566592	0.0461534	0.0635755	0.147072
a99	0.108993	0.0429297	0.0269492	0.0278041	0.0365823	0.0505256	0.0620814	0.0741613	0.0741415	0.0853657	0.0769313	0.0585188	0.048947	0.0683045	0.157765
a97	0.0453689	0.0191504	0.00959414	0.00784873	0.00971933	0.0126458	0.0147681	0.0170799	0.0183947	0.0206607	0.0236588	0.0348135	0.061882	0.133585	0.570831
a87	0.0666035	0.0313818	0.0213187	0.0205575	0.0242998	0.0285182	0.0327731	0.0384544	0.0368005	0.03971	0.0393088	0.0459715	0.0598955	0.114775	0.399632
a97	0.0760989	0.0359059	0.0226989	0.0209299	0.0245918	0.0296316	0.0329707	0.0401199	0.0370405	0.0397376	0.0382762	0.0456158	0.0526187	0.103712	0.400051
a87	0.118237	0.0493687	0.0348724	0.0334206	0.0385338	0.0430415	0.0470097	0.0572765	0.0508769	0.0535315	0.0466425	0.0502376	0.0500368	0.0826806	0.244234
a23	0.125506	0.0589216	0.0402863	0.0347376	0.0384589	0.0436545	0.0466596	0.0620895	0.0543628	0.0582625	0.0498652	0.0525242	0.0467816	0.074495	0.213395
a99	0.0440379	0.0199253	0.0111714	0.00854831	0.00957022	0.00967324	0.00941045	0.0110516	0.0108874	0.0111909	0.0140864	0.0341655	0.0674299	0.127479	0.611372
a97	0.037323	0.0208414	0.015939	0.0142507	0.0148896	0.0132963	0.0129676	0.0142285	0.0147035	0.0146035	0.0190666	0.0418396	0.0809548	0.131179	0.553917
a99	0.0210805	0.0139469	0.0131055	0.0168852	0.0214471	0.0234669	0.0238879	0.0239594	0.023623	0.0223217	0.0238207	0.0360161	0.0674712	0.129436	0.539532
a87	0.0243553	0.0129587	0.0098515	0.0116791	0.015003	0.01798	0.0178048	0.0186746	0.0181457	0.0175399	0.0205224	0.0384768	0.0747032	0.136572	0.565733
</S>	0.0313439	0.0173201	0.0140586	0.0167762	0.0217859	0.0256698	0.0261696	0.028672	0.0261788	0.0257651	0.0259218	0.0365837	0.0580311	0.117941	0.527782
