 	l'	homme	qui	est	arri	vé	dans	le	village	est	un	brigand	</S>
a75	0.00140825	0.00183294	0.00198724	0.00283072	0.00660004	0.0184286	0.0168487	0.0219183	0.0282083	0.0500058	0.097067	0.246231	0.506633
a98	0.00308998	0.00396675	0.0044463	0.00461788	0.00733619	0.0179272	0.0127126	0.0167338	0.0242592	0.0428081	0.097243	0.250278	0.514581
a47	0.00228478	0.00290158	0.00353065	0.00362311	0.00636951	0.0166644	0.0128536	0.0163201	0.0240106	0.0429535	0.0989684	0.259856	0.509664
a6	0.0025551	0.00375496	0.00540424	0.00626871	0.0118639	0.0296263	0.0192328	0.0197776	0.0279604	0.0453149	0.103197	0.273006	0.452038
a66	0.00150882	0.00214662	0.0028918	0.00362268	0.00711157	0.0220578	0.0133307	0.0144091	0.022131	0.0392832	0.100777	0.273096	0.497634
a71	0.00182046	0.00219997	0.00242329	0.00330044	0.0102694	0.0263794	0.0226393	0.0217746	0.0300337	0.0570436	0.117896	0.261471	0.442749
a9	0.0128783	0.0129676	0.0103704	0.00966916	0.0226275	0.0435726	0.0294353	0.0236591	0.0314059	0.0522391	0.099197	0.22429	0.427688
a87	0.0627921	0.0570922	0.0408098	0.0307555	0.0565684	0.0844101	0.0552932	0.0347931	0.0409782	0.0548325	0.0798128	0.14316	0.258702
a10	0.12898	0.11279	0.0891761	0.076331	0.102018	0.102651	0.0676227	0.0376906	0.0378315	0.0403414	0.0439957	0.0624525	0.0981201
a87	0.135038	0.125272	0.110589	0.0969797	0.0855081	0.0784689	0.0467402	0.0262792	0.0258631	0.0310367	0.0433276	0.0730579	0.121839
a99	0.0866076	0.102296	0.107643	0.0950254	0.0908606	0.0880032	0.0578817	0.0354537	0.0348802	0.0403395	0.0480911	0.0779448	0.134973
a97	0.0897944	0.0799316	0.0770255	0.0608495	0.0423704	0.0546287	0.0407391	0.0277743	0.0295387	0.0433437	0.076574	0.127571	0.249859
a87	0.0694858	0.0786856	0.072599	0.0517822	0.0357228	0.0516181	0.0332517	0.0244507	0.0265672	0.0388032	0.0747821	0.139392	0.30286
a23	0.0671564	0.0744667	0.0662315	0.0447213	0.0380176	0.0489586	0.0295233	0.0210933	0.0238274	0.0346911	0.0681555	0.142504	0.340653
a87	0.0242883	0.0224076	0.0227357	0.0199209	0.0196912	0.0335836	0.0254238	0.0186612	0.025971	0.0469289	0.115987	0.213169	0.411232
</S>	0.0161944	0.0143207	0.0135759	0.0123471	0.0150137	0.0247852	0.0190648	0.0142534	0.0197048	0.0363455	0.102896	0.218051	0.493448
