 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
a14	0.00303937	0.0045459	0.00778461	0.0216794	0.0366666	0.0563573	0.0633197	0.0737658	0.0787046	0.138557	0.211555	0.304025
a30	0.00168728	0.00240688	0.00439852	0.0154189	0.0282151	0.0435639	0.0499154	0.0585276	0.0632395	0.122179	0.222893	0.387556
a57	0.0019628	0.00239507	0.00499558	0.0211296	0.0312196	0.0421267	0.0455028	0.0561478	0.065836	0.125383	0.222228	0.381073
a87	0.00188563	0.00207869	0.00328488	0.0130673	0.0244724	0.032682	0.042476	0.0541459	0.0665926	0.128667	0.233091	0.397556
a23	0.00208564	0.00229086	0.00330464	0.0141365	0.025722	0.0305166	0.0452586	0.0543789	0.0622074	0.121682	0.235869	0.402548
a24	0.00611679	0.00573458	0.00660618	0.0187164	0.0295385	0.0375541	0.0606367	0.0840541	0.0949498	0.167344	0.22549	0.263259
a66	0.00444706	0.00564509	0.00787222	0.0320973	0.0452352	0.0555623	0.0593344	0.0693147	0.0727379	0.112465	0.19424	0.341049
a25	0.000793126	0.00157245	0.0038437	0.0193306	0.0247199	0.0423107	0.0491422	0.0598489	0.0676129	0.118832	0.22419	0.387803
a38	0.000382713	0.000670491	0.00123823	0.0055049	0.00873776	0.017644	0.0322753	0.0408518	0.0534197	0.115058	0.246016	0.478201
a90	0.000307207	0.000624802	0.00139933	0.0070616	0.0109392	0.0254021	0.0418873	0.0501135	0.0599387	0.119145	0.233979	0.449203
a94	0.0004381	0.000643591	0.00157978	0.0107068	0.0154133	0.0323791	0.0444275	0.0549632	0.0608201	0.116443	0.219157	0.443028
a54	0.000316149	0.000503108	0.00122622	0.0063255	0.00974432	0.0236127	0.0389144	0.051153	0.0564442	0.110691	0.216426	0.484643
a14	0.000755875	0.000899345	0.00170392	0.0104201	0.0179455	0.0359286	0.0482764	0.060573	0.065423	0.123585	0.211918	0.422571
a30	0.000895485	0.0010184	0.00198322	0.0128395	0.0223575	0.0393946	0.0463645	0.0570647	0.0629274	0.11757	0.208137	0.429447
a35	0.000877815	0.000933673	0.00171803	0.0117076	0.0195631	0.0325	0.039504	0.0524883	0.0621258	0.120816	0.227327	0.430439
a83	0.00115333	0.00129349	0.00238177	0.0144444	0.0226216	0.034985	0.0418887	0.0535744	0.0631165	0.113952	0.216542	0.434047
a53	0.000361066	0.000480711	0.00101572	0.00559906	0.00938495	0.0195302	0.0260128	0.0359193	0.0433976	0.104141	0.222749	0.531409
a90	0.00133375	0.00143963	0.00249224	0.0118129	0.0205502	0.0354185	0.0391241	0.0444716	0.0464486	0.104675	0.207696	0.484537
a13	0.00192089	0.00235101	0.00353252	0.0140477	0.0245849	0.0389743	0.0413393	0.0449786	0.0454276	0.101945	0.208037	0.472861
a38	0.00573572	0.00581532	0.0050939	0.0130517	0.0209997	0.0376846	0.0460406	0.0523448	0.0586915	0.113579	0.218027	0.422936
a7	0.00722039	0.00654881	0.00533951	0.0144587	0.0205105	0.0291782	0.0356882	0.0484762	0.0614424	0.130428	0.242607	0.398102
a57	0.00636592	0.00616703	0.00577037	0.0148959	0.0200987	0.0288423	0.0368111	0.0520562	0.066379	0.13908	0.244062	0.379472
a87	0.00852909	0.00869907	0.00844618	0.017736	0.0218195	0.0253085	0.0292351	0.0450616	0.0662998	0.155046	0.252957	0.360862
a23	0.0259958	0.0225432	0.0164809	0.021302	0.0245	0.0237261	0.0236267	0.0315053	0.0447798	0.123856	0.261479	0.380205
a87	0.0708514	0.0573214	0.0393022	0.0349791	0.0431934	0.036457	0.0337415	0.0383999	0.0471249	0.114063	0.208903	0.275664
</S>	0.0329589	0.0235302	0.0163199	0.0274215	0.0357664	0.0352405	0.0392154	0.0413813	0.045875	0.105682	0.239062	0.357547
