 	ces	gens	sont	en	train	de	s'	embrasser	car	ils	ne	se	sont	pas	vu	depuis	longtemps	</S>
a79	0.0310689	0.0411795	0.0632955	0.0739497	0.0884394	0.0906732	0.0979652	0.120057	0.100884	0.08475	0.0590181	0.0421511	0.0285605	0.0162983	0.0125668	0.0131822	0.0150491	0.0209122
a98	0.0294968	0.0400592	0.0651714	0.0738836	0.0832232	0.0875079	0.0955069	0.119905	0.103717	0.0874233	0.0597899	0.0415149	0.0284657	0.0171129	0.013583	0.014557	0.0168413	0.0222412
a73	0.0312361	0.0407419	0.0674332	0.0725706	0.0800717	0.0854559	0.0902746	0.107083	0.100469	0.0839138	0.0586077	0.041999	0.0305806	0.0203403	0.0173064	0.0198388	0.0235095	0.0285681
a44	0.0171969	0.0221015	0.0433529	0.0607615	0.0824848	0.091909	0.0967142	0.0913809	0.118839	0.103283	0.0758168	0.0546669	0.0378059	0.0215437	0.0172088	0.0185793	0.0198413	0.0265133
a38	0.0203985	0.0240413	0.0417505	0.053264	0.0658349	0.0794534	0.0903791	0.0895551	0.118524	0.109179	0.0813535	0.0584838	0.0412796	0.024414	0.0202746	0.0226404	0.0250016	0.0341732
a66	0.0184015	0.0211856	0.0358758	0.0439235	0.0531422	0.068437	0.0782745	0.0764382	0.112536	0.116278	0.0906699	0.0657712	0.0464785	0.0302568	0.0262044	0.0309169	0.0364275	0.048783
a90	0.0104802	0.0112841	0.0223812	0.0331399	0.0525587	0.0718287	0.0812083	0.0538421	0.104156	0.108675	0.0978608	0.0858522	0.0589266	0.0376445	0.0316299	0.0360976	0.0422446	0.0601902
a98	0.0175949	0.0184529	0.0280532	0.0345536	0.0467179	0.0557005	0.0605987	0.0614506	0.0787628	0.0898257	0.0852707	0.0735704	0.0647945	0.0493719	0.0491881	0.0551387	0.055867	0.0750879
a47	0.019606	0.0183109	0.0245616	0.0275877	0.0370348	0.0412313	0.0408841	0.0493339	0.066402	0.0721017	0.0687688	0.0582763	0.0530358	0.0475613	0.058094	0.0832026	0.10056	0.133448
a44	0.0320679	0.0272886	0.0331951	0.0351602	0.0440884	0.046328	0.042255	0.0478976	0.0652702	0.0650389	0.0614364	0.0534776	0.0469036	0.039993	0.0456037	0.0691853	0.0954883	0.149322
a26	0.0325528	0.0273584	0.0349821	0.0371777	0.0471797	0.0556866	0.055957	0.062464	0.0756228	0.0769706	0.0704385	0.0655544	0.0581888	0.0422969	0.0409096	0.0515028	0.0626985	0.102459
a38	0.0101377	0.00812246	0.011609	0.0157368	0.0275041	0.037215	0.0407831	0.0287456	0.0498467	0.0544326	0.0681923	0.0824805	0.076505	0.0602633	0.0582566	0.0788069	0.103124	0.188239
a62	0.00884138	0.00681144	0.0103911	0.0147593	0.0275307	0.0399427	0.042635	0.0264925	0.0447427	0.0553433	0.0699456	0.0879828	0.0868799	0.0747298	0.0716892	0.0818362	0.0903809	0.159065
a21	0.0143178	0.0122735	0.0186807	0.0221583	0.0333253	0.0468925	0.0486093	0.0399322	0.0507233	0.0621764	0.0700482	0.0804153	0.0794682	0.0801426	0.080088	0.0788114	0.0791945	0.102743
a5	0.0299957	0.0262921	0.0361442	0.0400164	0.0541833	0.0716105	0.0692639	0.0583961	0.0613991	0.0642305	0.0639416	0.0693559	0.0626981	0.055785	0.0529411	0.0551183	0.0562117	0.0724163
a27	0.0241149	0.0198874	0.0305207	0.0349683	0.0506872	0.0720605	0.0722683	0.0582222	0.0583099	0.0557775	0.0483971	0.0515457	0.0491244	0.0494087	0.0527516	0.0656842	0.0846716	0.1216
a10	0.00540918	0.00397059	0.00505581	0.00597753	0.00953361	0.0144971	0.017921	0.0124677	0.018133	0.0182319	0.0214024	0.0280163	0.0338336	0.0456991	0.0791622	0.142678	0.211272	0.326739
a24	0.00911321	0.00532996	0.00581319	0.00641079	0.00939786	0.0146993	0.0196729	0.0164973	0.0210449	0.0195798	0.0259553	0.032726	0.0395903	0.0525728	0.0807562	0.136609	0.209391	0.29484
a83	0.00346234	0.00213024	0.00263815	0.00302102	0.0047853	0.00762305	0.00992372	0.00752045	0.0105406	0.0103553	0.0132417	0.0180017	0.0238662	0.0366701	0.072906	0.154456	0.252763	0.366095
a75	0.00121794	0.000801908	0.00115096	0.00146496	0.00278081	0.00451614	0.00559263	0.0040549	0.0064925	0.00667285	0.00805019	0.0103363	0.013849	0.0231183	0.0510665	0.129622	0.269913	0.459299
a85	0.00648436	0.004801	0.00725407	0.0097897	0.0196866	0.0235383	0.0219243	0.0182761	0.0259746	0.0232758	0.0236702	0.0277167	0.0305692	0.0416545	0.0686126	0.123781	0.21399	0.309001
a44	0.00641872	0.00545183	0.0084843	0.01117	0.0182207	0.0194873	0.0187335	0.0181185	0.0265352	0.0213765	0.0205829	0.0233963	0.0245726	0.03145	0.0589597	0.122322	0.225377	0.339343
a98	0.00105185	0.000983717	0.00174767	0.00252741	0.00525837	0.0071069	0.00717751	0.00576473	0.00826666	0.00817668	0.00831088	0.00966267	0.011914	0.0200502	0.0469103	0.1279	0.276196	0.450994
a47	0.00452899	0.00376997	0.00485656	0.0053633	0.00741515	0.00816049	0.00783763	0.00850777	0.0112643	0.00956525	0.00922533	0.00948431	0.0111491	0.0170506	0.0454272	0.13548	0.295099	0.405814
a6	0.0015397	0.00136858	0.00208573	0.00263839	0.0043873	0.00512993	0.00506393	0.00578662	0.00875009	0.00846912	0.00935763	0.0101782	0.0129322	0.0217283	0.057848	0.158477	0.306261	0.377998
a37	0.00176468	0.0014667	0.00219563	0.00282717	0.0046676	0.00643653	0.00696978	0.00578539	0.00881712	0.00782046	0.00808364	0.00888365	0.0107543	0.0175031	0.0454681	0.138379	0.295038	0.427139
a61	0.00104116	0.000846584	0.00119267	0.00151661	0.00223854	0.00307497	0.00359898	0.00279499	0.0044423	0.00455781	0.00511503	0.00575728	0.00729678	0.014256	0.0401038	0.136761	0.299802	0.465604
a83	0.000905432	0.000702814	0.000872871	0.000981366	0.00132468	0.00175936	0.00209376	0.00233585	0.00353137	0.00351173	0.00397015	0.00430933	0.00572924	0.0113603	0.0356395	0.134327	0.313683	0.472962
a25	0.00096113	0.00078843	0.00104035	0.00121678	0.00160783	0.00211233	0.00250754	0.00304918	0.0045792	0.00490876	0.00561854	0.00594383	0.00801577	0.0146883	0.0431006	0.140618	0.297913	0.46133
a38	0.00205736	0.00137106	0.00148128	0.00167607	0.00230437	0.00280486	0.00317516	0.00368923	0.00459294	0.00427406	0.00616629	0.00820973	0.0123983	0.0229062	0.0654173	0.16891	0.265105	0.423461
a75	0.00123397	0.00066714	0.000679937	0.000775772	0.0012266	0.00162554	0.00174548	0.00186307	0.00263236	0.00251795	0.00363029	0.0047856	0.00760018	0.0154266	0.054101	0.181528	0.303169	0.414792
a6	0.00251895	0.00196675	0.00252323	0.00344538	0.00551869	0.00616921	0.00619926	0.00508701	0.00740686	0.00722418	0.0089025	0.0113356	0.0147766	0.0272358	0.0626357	0.151428	0.286247	0.389379
a37	0.000598797	0.000548411	0.000808367	0.00121209	0.00208381	0.00223076	0.0024634	0.00215004	0.00369764	0.00374311	0.00494418	0.00664077	0.00927863	0.0183088	0.0510577	0.151928	0.299099	0.439207
a36	0.000279797	0.000224048	0.000315788	0.000435791	0.000738984	0.00087572	0.000924606	0.000914472	0.00162684	0.0018837	0.00261108	0.00346882	0.00552774	0.0110295	0.0365732	0.13732	0.295498	0.499753
a2	0.0015264	0.000910821	0.000992594	0.00126719	0.00208323	0.00264769	0.00269492	0.00249118	0.0034194	0.00352763	0.00540433	0.00747094	0.0113703	0.0195741	0.0566288	0.179178	0.27699	0.421823
a57	0.0333597	0.0192113	0.018588	0.0204175	0.025043	0.0354833	0.0318085	0.0318042	0.0327503	0.0375759	0.0407334	0.041771	0.0489684	0.0663372	0.0871304	0.11472	0.144597	0.169701
a97	0.043987	0.0295506	0.0233326	0.0244244	0.0237131	0.0313188	0.029805	0.0466889	0.0474018	0.0465546	0.0499739	0.0508905	0.06249	0.0835733	0.100473	0.110045	0.103559	0.0922173
a87	0.0388304	0.0242473	0.0191524	0.0210923	0.0224594	0.0329123	0.0353617	0.0528847	0.0692468	0.0671819	0.0734485	0.0615328	0.0658476	0.0742034	0.0859407	0.0921137	0.087993	0.0755513
a23	0.0391297	0.0244773	0.0209389	0.0239757	0.0279421	0.0426525	0.0470637	0.0701809	0.0974541	0.08381	0.0784178	0.05822	0.0566182	0.055876	0.0619388	0.069048	0.0744115	0.0678447
a87	0.0240019	0.0136458	0.0119163	0.0110585	0.012643	0.0153707	0.0141502	0.0191796	0.0258189	0.0287532	0.0325519	0.0323544	0.0372352	0.0537309	0.090073	0.1411	0.19582	0.240596
a23	0.0060463	0.00358278	0.00383829	0.00388871	0.00465526	0.00624851	0.00565172	0.00676343	0.0111751	0.0149527	0.0165195	0.0169182	0.0231685	0.0402539	0.0752141	0.151015	0.261565	0.348543
a87	0.0109716	0.00610581	0.00580107	0.00554837	0.00627199	0.00805951	0.00681437	0.00663527	0.0115265	0.0158057	0.0176464	0.0189742	0.0250815	0.0452174	0.0841316	0.156006	0.255321	0.314081
</S>	0.0112331	0.00548254	0.00495205	0.00471716	0.00526125	0.00662548	0.00544333	0.00613328	0.00891666	0.0114792	0.0122933	0.0122219	0.017441	0.0341133	0.0722128	0.151623	0.281394	0.348457
