 	cet	élève	a	porté	un	chapeau	pour	se	protéger	contre	le	soleil	</S>
a88	0.00167127	0.00155622	0.00204727	0.00391378	0.00722863	0.0212401	0.0276185	0.0412917	0.06558	0.0894578	0.166216	0.260672	0.311507
a70	0.00147437	0.0013385	0.00203548	0.00403192	0.0078651	0.0219371	0.0292254	0.0414824	0.0638507	0.0874516	0.16233	0.252153	0.324825
a34	0.00214466	0.001803	0.00266154	0.00514914	0.010294	0.0254575	0.0338776	0.0475349	0.0678437	0.0922687	0.16103	0.24754	0.302395
a92	0.000606367	0.000876793	0.00115903	0.00243386	0.00449232	0.0109868	0.0133482	0.0220141	0.040926	0.0627011	0.147193	0.296221	0.397041
a85	0.00105503	0.00150878	0.00191191	0.00352807	0.00619887	0.0147542	0.0183574	0.0302938	0.0521534	0.0735424	0.146694	0.274352	0.375651
a92	0.00598443	0.00804746	0.00888076	0.0106322	0.0136623	0.0199695	0.0246653	0.0390611	0.0686108	0.080209	0.150098	0.243629	0.32655
a37	0.00349929	0.00509137	0.00503812	0.00811804	0.0141809	0.0302433	0.0355436	0.0493989	0.080261	0.0937775	0.142861	0.217373	0.314614
a34	0.000350831	0.000434853	0.0003748	0.000791738	0.00164057	0.00545636	0.0072062	0.0144586	0.0301933	0.0516266	0.143539	0.302028	0.441899
a62	0.000433486	0.000550752	0.000514297	0.00105774	0.00217161	0.00727925	0.0100149	0.0183729	0.0352898	0.057667	0.146872	0.295668	0.424108
a0	0.00123904	0.00103043	0.000997722	0.00156805	0.00258818	0.00772671	0.00942319	0.015154	0.0288492	0.0450522	0.129605	0.281449	0.475317
a24	0.00147044	0.00107961	0.00101618	0.00159005	0.00298333	0.0082478	0.0119403	0.0210363	0.0448988	0.0614742	0.155883	0.285204	0.403176
a9	0.00154781	0.00107327	0.00116471	0.00187518	0.00389144	0.00928799	0.0142712	0.0245593	0.0485221	0.0656181	0.152553	0.273363	0.402272
a87	0.0103934	0.00428069	0.00418113	0.00617713	0.0116925	0.0304111	0.0486948	0.0723035	0.0971512	0.132862	0.170514	0.198241	0.213097
a23	0.0545732	0.0210702	0.0174628	0.0220865	0.034454	0.055744	0.0740205	0.0882011	0.104663	0.13152	0.133634	0.140468	0.122102
a38	0.0132678	0.0103136	0.00792598	0.00974814	0.0154272	0.0302065	0.0399774	0.0600101	0.103732	0.145494	0.175856	0.20324	0.184802
a11	0.0124426	0.0114819	0.00788354	0.00962786	0.0142822	0.0293269	0.0344637	0.045658	0.0744114	0.106043	0.162629	0.223814	0.267936
</S>	0.00844489	0.00717955	0.00580117	0.00738994	0.0111782	0.0216735	0.0257445	0.036293	0.0598178	0.0906014	0.161991	0.243712	0.320173
