 	mes	beaux-parents	et	moi	nous	sommes	séparés	hier	sans	se	dire	au	revoir	</S>
a62	0.00963237	0.0130572	0.0238005	0.0336723	0.0420756	0.0296589	0.053347	0.0573216	0.0550922	0.0534646	0.0597168	0.131497	0.153187	0.284477
a21	0.00495885	0.00953706	0.0147231	0.0242569	0.0304563	0.0217121	0.0335154	0.037549	0.0403892	0.0429051	0.0700636	0.170337	0.230893	0.268704
a75	0.00256176	0.00653624	0.0114451	0.0182576	0.023429	0.0144623	0.027476	0.0261674	0.0240308	0.0273162	0.040637	0.13821	0.210315	0.429156
a85	0.0017977	0.00467115	0.00839661	0.0129875	0.0166147	0.00997411	0.0186803	0.0181099	0.0156748	0.0185366	0.0293114	0.12635	0.218797	0.500098
a47	0.0015724	0.00440074	0.00869724	0.0127326	0.0148484	0.00744048	0.0106753	0.0099883	0.0080159	0.0101297	0.0172352	0.0994546	0.229097	0.565713
a36	0.00333832	0.00605703	0.0107664	0.0157469	0.0179931	0.0104852	0.0134149	0.0115696	0.00866888	0.00974264	0.0192249	0.0939813	0.254381	0.52463
a7	0.00909903	0.0069332	0.0104406	0.0136541	0.0156496	0.0132568	0.0194824	0.0196988	0.0201967	0.0259338	0.0470791	0.118544	0.228779	0.451253
a93	0.00929182	0.00586657	0.00846154	0.0111036	0.0129765	0.0103919	0.012233	0.0118966	0.0127598	0.0174533	0.0359178	0.115388	0.229245	0.507014
a69	0.00236511	0.00303463	0.00524096	0.00741481	0.00936929	0.00629793	0.00944225	0.0108461	0.011176	0.0139112	0.0245582	0.117879	0.248185	0.53028
a7	0.00077558	0.00107901	0.00204665	0.00284607	0.00357421	0.0024891	0.00373648	0.00415347	0.00447148	0.00607106	0.0117628	0.073588	0.213973	0.669433
a84	0.000907036	0.000817682	0.00141176	0.00187914	0.00235727	0.00177968	0.00193018	0.0018388	0.00199285	0.00280491	0.00754263	0.0517016	0.198629	0.724408
a10	0.0217061	0.0150801	0.0219202	0.0239492	0.0238541	0.0177233	0.0129936	0.0122167	0.0138872	0.0186256	0.0279955	0.0801553	0.213745	0.496148
a87	0.0584013	0.0278771	0.0345946	0.0320642	0.0339157	0.0389522	0.0303644	0.0364904	0.040288	0.0423234	0.0424803	0.0859659	0.181173	0.31511
a97	0.0581673	0.0244686	0.0336879	0.0296758	0.0360718	0.0597965	0.055095	0.098558	0.110447	0.0952901	0.0698408	0.0923537	0.123755	0.112792
a87	0.0464828	0.0141345	0.0185987	0.018928	0.027123	0.0471933	0.0580487	0.0742396	0.0651053	0.0534759	0.0549223	0.086037	0.171243	0.264468
</S>	0.0383919	0.0135204	0.0203626	0.0219189	0.0319022	0.0552225	0.0719085	0.0751946	0.0625002	0.0478257	0.050178	0.0777392	0.170725	0.26261
