 	elle	a	mis	ses	plus	beaux	atours	pour	aller	à	la	ville	</S>
a94	0.0146776	0.0122132	0.0121981	0.0176038	0.0319429	0.0382194	0.0641955	0.0751235	0.0919816	0.107728	0.136797	0.178906	0.218413
a96	0.0139504	0.0114632	0.0106014	0.0159574	0.0308868	0.0369255	0.06462	0.0730554	0.0883243	0.106362	0.136784	0.184335	0.226735
a13	0.0148489	0.0121261	0.0106995	0.0152367	0.0269737	0.030425	0.0494027	0.0631771	0.0789434	0.101376	0.140829	0.20299	0.252972
a38	0.0126971	0.0111693	0.00982541	0.0143682	0.026453	0.0294037	0.0483751	0.0601971	0.0734967	0.100301	0.13983	0.21374	0.260143
a25	0.0127432	0.0107598	0.00924207	0.0150908	0.027684	0.031134	0.0468015	0.0600914	0.0724922	0.0961843	0.135611	0.207285	0.274881
a73	0.00547626	0.00452585	0.00437306	0.00821316	0.0177867	0.0203867	0.0276972	0.0510036	0.0692403	0.0960324	0.133499	0.23113	0.330636
a54	0.00528559	0.0041542	0.00461027	0.00864967	0.0198531	0.0233963	0.0336249	0.0497832	0.0630583	0.0855793	0.121982	0.229159	0.350863
a73	0.0054578	0.0051552	0.00656742	0.012098	0.0245294	0.0265008	0.0409697	0.0482613	0.0633419	0.0812219	0.120244	0.21461	0.351043
a94	0.00267781	0.00259142	0.0032758	0.00671177	0.0160428	0.0165393	0.0246667	0.0412547	0.0579134	0.0843284	0.133208	0.251406	0.359384
a11	0.00271997	0.00234131	0.00251912	0.00504765	0.0117317	0.0127201	0.0210372	0.0346643	0.0439089	0.0673885	0.117235	0.262631	0.416055
a75	0.0041869	0.00343585	0.00314598	0.00579358	0.010215	0.0108608	0.0156472	0.028733	0.0407402	0.0717591	0.127416	0.26464	0.413427
a56	0.00676255	0.00537452	0.0048959	0.0079826	0.0125478	0.0132538	0.0184999	0.0238017	0.0327798	0.0600161	0.123142	0.266493	0.42445
a75	0.00987113	0.00940977	0.00901558	0.0138733	0.022466	0.0225311	0.0279867	0.038169	0.0514312	0.0759728	0.126757	0.236296	0.35622
a94	0.00603678	0.00537257	0.0051099	0.00790447	0.0127059	0.0137748	0.0192094	0.026444	0.0369935	0.0616751	0.121257	0.264938	0.418579
a58	0.00536828	0.00464147	0.00467095	0.00703762	0.0120885	0.0121229	0.0192065	0.0334437	0.0476903	0.0755551	0.127097	0.257509	0.393569
a82	0.00234404	0.00195821	0.00170238	0.00336528	0.00679138	0.00724949	0.0117125	0.0231845	0.0372446	0.0765875	0.129707	0.274913	0.423241
a87	0.00191749	0.00115855	0.000809198	0.0014229	0.00232169	0.00229982	0.00362608	0.00905171	0.0173858	0.0502716	0.102564	0.269297	0.537874
</S>	0.00223724	0.00124497	0.00076455	0.00123283	0.00176041	0.00139395	0.00247927	0.00923677	0.0206909	0.0668835	0.126283	0.27116	0.494632
