 	ses	yeux	se	sont	enflés	à	cause	de	ses	pleurs	</S>
a53	0.00723291	0.0101763	0.019484	0.0407507	0.10017	0.124643	0.158672	0.137288	0.115668	0.109865	0.17605
a93	0.00675976	0.00832317	0.0138229	0.0276867	0.0796029	0.0958851	0.134825	0.13089	0.13347	0.147686	0.221048
a4	0.00452862	0.00598866	0.0104765	0.0256559	0.0768438	0.0929695	0.133302	0.134895	0.132139	0.147817	0.235384
a13	0.00245338	0.00278479	0.00453609	0.0112393	0.0543603	0.0675493	0.121573	0.131562	0.140146	0.175843	0.287952
a38	0.00236855	0.00235254	0.0035439	0.00749703	0.0392421	0.0477958	0.0953299	0.115672	0.148879	0.215709	0.32161
a94	0.00222828	0.00237344	0.00322362	0.00585091	0.0230822	0.0302126	0.0702502	0.101387	0.155033	0.24378	0.362579
a4	0.00107478	0.00125872	0.00155301	0.00357279	0.0133751	0.0179335	0.041145	0.0706666	0.139197	0.256102	0.454121
a93	0.000637322	0.000740694	0.000938882	0.00219973	0.00818812	0.0112656	0.0284042	0.054061	0.131578	0.292738	0.469249
a62	0.000456632	0.000546211	0.000720992	0.00174158	0.00708473	0.0100557	0.0231784	0.0440523	0.110324	0.298239	0.5036
a88	0.000473307	0.000563919	0.000665821	0.00125012	0.00485426	0.00750434	0.0189384	0.036855	0.0977614	0.303302	0.527831
a11	0.000278407	0.000303283	0.000413167	0.000720955	0.00298005	0.00485662	0.0147525	0.0298618	0.0897337	0.3334	0.522699
a88	0.000217067	0.000204816	0.000283302	0.00058301	0.00296025	0.00508922	0.0167399	0.0356196	0.102591	0.36182	0.473892
a71	0.000191361	0.000185558	0.00025803	0.000562808	0.00251981	0.00506465	0.0158057	0.0363082	0.103651	0.364526	0.470927
a0	0.000973435	0.000744522	0.000937549	0.00153588	0.00636794	0.01167	0.0297415	0.0588233	0.137137	0.353641	0.398428
a88	0.00528828	0.00400077	0.00443451	0.00551435	0.0112659	0.0178909	0.0339775	0.0586756	0.136139	0.340366	0.382446
a38	0.000688133	0.00060825	0.000795665	0.0012785	0.00307479	0.00643761	0.0157295	0.0335569	0.098821	0.348952	0.490058
a93	0.00143293	0.00125216	0.00151909	0.00227677	0.00453369	0.00811946	0.0166016	0.03208	0.0882983	0.334224	0.509662
a61	9.67477e-05	9.951e-05	0.000120074	0.000201067	0.000548568	0.00122555	0.00425131	0.0124308	0.0559991	0.268917	0.65611
a88	0.000156342	0.000175083	0.000220378	0.000357648	0.000966686	0.00218478	0.00739914	0.0191111	0.0675291	0.299076	0.602823
a9	0.000163444	0.000169104	0.000222113	0.000383806	0.00111327	0.00250175	0.00813962	0.0203372	0.0705515	0.320588	0.57583
a10	0.0039802	0.00312624	0.00341525	0.00443699	0.0074767	0.011444	0.0218183	0.0393565	0.0994986	0.309701	0.495746
a97	0.0378029	0.0255349	0.0264764	0.0230793	0.0322188	0.0383109	0.056799	0.0794564	0.128708	0.240325	0.311288
a87	0.0560644	0.037018	0.045842	0.0355506	0.0716621	0.0702499	0.0992794	0.111124	0.123707	0.156962	0.192541
a97	0.0364027	0.026458	0.0441352	0.0435273	0.110265	0.10088	0.123114	0.111511	0.108827	0.133402	0.161479
a99	0.0281341	0.0215597	0.0436707	0.0506777	0.11766	0.105744	0.122538	0.10137	0.0986874	0.130531	0.179427
a97	0.0253911	0.01934	0.0299914	0.0338962	0.0575146	0.070888	0.0782241	0.0929364	0.120202	0.177804	0.293813
</S>	0.0239625	0.0234507	0.0503896	0.0464565	0.0647402	0.0673391	0.0695133	0.0746198	0.0939776	0.159113	0.326438
