 	c'	est	avec	des	tiges	de	bois	ou	de	métal	que	l'	on	renforce	le	manche	d'	une	hache	</S>
a61	0.0222292	0.0171345	0.0171001	0.0215531	0.0651624	0.128632	0.109753	0.0922505	0.0887921	0.0565095	0.0512795	0.042743	0.0377334	0.0416944	0.0360828	0.0325587	0.0301246	0.031406	0.0342058	0.0430553
a47	0.0192152	0.014091	0.0164983	0.0300306	0.0819505	0.140306	0.10076	0.0843098	0.081144	0.0461422	0.0419332	0.0350643	0.032531	0.0353281	0.034574	0.0368082	0.0363277	0.0391477	0.0420085	0.0518296
a96	0.0177316	0.013229	0.0125042	0.0183605	0.0565619	0.153455	0.139106	0.126228	0.114555	0.0566371	0.047704	0.0345825	0.0277162	0.0275362	0.0254887	0.0229055	0.0221002	0.0239029	0.0261837	0.0335116
a83	0.00934174	0.00616454	0.00652424	0.0158243	0.0593191	0.147966	0.137608	0.132409	0.123176	0.0631605	0.0515205	0.0337846	0.0266858	0.0279706	0.0253682	0.0240609	0.0233546	0.0250196	0.0268659	0.0338759
a62	0.00950403	0.00720166	0.00718785	0.0126944	0.0337039	0.10885	0.144355	0.165413	0.148069	0.0772158	0.0611018	0.0364528	0.0258013	0.0264108	0.024246	0.0199358	0.0182151	0.0193031	0.0232048	0.0311334
a12	0.00763498	0.004953	0.0051655	0.0121847	0.0299907	0.0657309	0.0839555	0.109797	0.11131	0.093925	0.0910155	0.0629863	0.052954	0.0487935	0.0395341	0.0374894	0.0339199	0.0342853	0.0335164	0.0408584
a96	0.00462548	0.003697	0.00391006	0.00923618	0.0241409	0.0691007	0.0936598	0.128536	0.125964	0.116481	0.105248	0.0655188	0.0473077	0.0437343	0.0347269	0.0276808	0.0229416	0.0220184	0.0228271	0.0286448
a44	0.0047706	0.00375631	0.0041319	0.00924118	0.0196163	0.0546761	0.078041	0.112586	0.109012	0.119305	0.114884	0.076817	0.0598527	0.0539	0.0417249	0.034039	0.0271332	0.0244627	0.0237699	0.0282813
a98	0.00360592	0.00299452	0.00312451	0.00658472	0.0158536	0.0487537	0.0670638	0.0982505	0.0872327	0.113173	0.113509	0.0781916	0.063241	0.0577292	0.0443767	0.0412425	0.0361401	0.0363612	0.0371824	0.0453897
a47	0.00137515	0.000844199	0.000630936	0.00139371	0.00655155	0.0324975	0.0500396	0.0836843	0.0657639	0.10379	0.10829	0.0814308	0.0751581	0.0725918	0.0476273	0.0524417	0.0509462	0.0545688	0.0521944	0.0581809
a54	0.00116284	0.000730292	0.00057724	0.00143775	0.00582912	0.0287928	0.0447033	0.0839046	0.0606512	0.0915932	0.0990035	0.0731924	0.0635883	0.068074	0.0469064	0.0487583	0.0522839	0.064469	0.0703344	0.0940076
a47	0.00099353	0.000647897	0.00055976	0.00171714	0.00517101	0.018109	0.0263382	0.0450751	0.0393064	0.0693258	0.0895004	0.0833866	0.0903894	0.0761284	0.0561871	0.0722251	0.0759689	0.0847582	0.0791688	0.0850435
a44	0.000767609	0.000429501	0.000308392	0.000921292	0.0046143	0.0213458	0.0313281	0.0573577	0.0416937	0.0683478	0.0794216	0.06927	0.0709417	0.0643322	0.0516492	0.0686097	0.0798237	0.0966227	0.0903018	0.101913
a11	0.00158963	0.000982428	0.000660368	0.00155139	0.00541516	0.021208	0.0312955	0.0541522	0.0387611	0.0568924	0.0661616	0.0586801	0.0593347	0.0469487	0.0416143	0.0623555	0.0775204	0.108591	0.117481	0.148804
a75	0.00367848	0.00305778	0.0022937	0.00400977	0.00794911	0.0173916	0.0288228	0.0622277	0.0365323	0.0457641	0.051055	0.0380986	0.0301369	0.0224148	0.0221024	0.0320717	0.0498068	0.105508	0.164765	0.272314
a37	0.000456138	0.000311221	0.000288939	0.000779938	0.00187094	0.00766567	0.0152358	0.030712	0.0207075	0.034809	0.0453147	0.0421213	0.0475008	0.0389702	0.0373412	0.0593841	0.0841324	0.143549	0.171169	0.21768
a96	0.00220665	0.00172866	0.00148352	0.00315673	0.00627089	0.01244	0.0192068	0.0414411	0.0217911	0.0285276	0.0301437	0.0240398	0.0204635	0.0166644	0.0190943	0.0311205	0.052633	0.119175	0.191072	0.35734
a62	0.00141657	0.00109175	0.000982522	0.00263658	0.0056846	0.0125068	0.0192491	0.0355639	0.0226159	0.0281944	0.0293713	0.0242753	0.0233545	0.0177807	0.0200066	0.0346152	0.0597258	0.12975	0.201029	0.33015
a34	0.00118053	0.00111143	0.00116336	0.00317431	0.00727582	0.0131733	0.018136	0.0335174	0.0212361	0.0301237	0.0308311	0.0255231	0.0230655	0.0185125	0.0217675	0.0349637	0.0590388	0.122113	0.1985	0.335593
a79	0.000544615	0.000491991	0.000560986	0.00156579	0.00337047	0.00758708	0.0120524	0.0235561	0.0142493	0.0212512	0.0225621	0.0192798	0.0202568	0.0158735	0.0183384	0.0343846	0.0607101	0.13041	0.22628	0.366675
a44	0.000659115	0.000595058	0.000653534	0.00153406	0.00343852	0.00626784	0.00921441	0.0215272	0.0113046	0.0147795	0.0154934	0.0139669	0.0134703	0.0137857	0.0173705	0.0278954	0.0514688	0.125696	0.224561	0.426318
a57	0.00116602	0.00104336	0.00115986	0.00283495	0.00618393	0.00929668	0.0126415	0.0278302	0.0145234	0.0182784	0.0182296	0.0164558	0.0150413	0.0159985	0.0205857	0.030333	0.0530619	0.12255	0.206174	0.406612
a82	0.0386416	0.025114	0.0255377	0.054646	0.0732812	0.0589611	0.0475339	0.0600863	0.0278984	0.0295569	0.0323769	0.0335067	0.0333818	0.0261768	0.0252961	0.0317094	0.0410996	0.0716042	0.0896653	0.173926
a87	0.145929	0.0982778	0.0754179	0.0943019	0.0680339	0.052076	0.0381323	0.0380119	0.0251044	0.0256548	0.0278122	0.0264602	0.0279677	0.0244801	0.0205819	0.0232351	0.0284645	0.0416918	0.0460429	0.0723233
a23	0.138826	0.111392	0.0992473	0.0874593	0.0470016	0.0319059	0.0246884	0.0202703	0.0184946	0.0202431	0.0273665	0.0328639	0.0400521	0.0428291	0.0303557	0.0364095	0.0433677	0.0496772	0.0477581	0.0497917
a99	0.0643422	0.0380651	0.0247927	0.0150844	0.00822697	0.00596421	0.004527	0.00388905	0.00375135	0.00602168	0.0117453	0.022636	0.0325648	0.0486883	0.0563765	0.0830184	0.114636	0.145557	0.145441	0.164672
a97	0.0281263	0.0173704	0.0109238	0.0100276	0.0162002	0.0146533	0.0139471	0.0167515	0.0162417	0.0219952	0.0281828	0.0365309	0.044884	0.0520163	0.0539516	0.0740697	0.0983107	0.133509	0.139413	0.172895
</S>	0.00996897	0.00598089	0.00393799	0.00387386	0.00454345	0.00985613	0.0137656	0.0181727	0.0149905	0.0181529	0.0197871	0.0216314	0.0221102	0.0336989	0.0417127	0.0603188	0.0850321	0.145339	0.18835	0.278777
