 	la	manière	dont	le	pain	a	suffi	pour	tout	le	monde	nous	a	surpris	</S>
a6	0.00112946	0.000841244	0.00147964	0.00338046	0.00597709	0.010942	0.0176004	0.0184182	0.0378601	0.0365397	0.051866	0.0579356	0.115905	0.244969	0.395156
a36	0.00152376	0.00130559	0.00221204	0.0056599	0.0114384	0.0222408	0.0335437	0.032362	0.0536167	0.0469628	0.063212	0.0593271	0.11221	0.227315	0.327071
a43	0.00171272	0.00144371	0.00235511	0.00629037	0.0137864	0.0282468	0.046419	0.040429	0.0689474	0.0602757	0.0783301	0.0722927	0.119198	0.194071	0.266202
a24	0.00150693	0.000814105	0.00116941	0.0035518	0.00867529	0.019269	0.0310792	0.0263433	0.054167	0.0499583	0.0723907	0.0806222	0.137263	0.222483	0.290707
a88	0.00129621	0.000609238	0.000793141	0.00227439	0.00499866	0.0104918	0.0168125	0.0148468	0.0350122	0.0351274	0.0546996	0.0775256	0.153812	0.276436	0.315264
a38	0.000619921	0.000430354	0.00062368	0.00171033	0.00343036	0.00768183	0.0120488	0.0100387	0.0261276	0.0266353	0.0379897	0.0615405	0.140672	0.308368	0.362083
a0	0.000612947	0.000418653	0.000641822	0.00176807	0.00366435	0.00836247	0.0139255	0.0100559	0.0279709	0.0266229	0.0360837	0.0543598	0.133731	0.304203	0.37758
a75	0.00360598	0.00210353	0.00306095	0.00625214	0.0117281	0.0223415	0.0299975	0.0242045	0.0470236	0.0395214	0.0529367	0.0639884	0.129072	0.253084	0.311079
a85	0.000269161	0.000215352	0.000386391	0.0011405	0.00210107	0.00477659	0.0082889	0.00676423	0.0186292	0.0179034	0.0302916	0.0436818	0.125737	0.296445	0.44337
a5	0.000301901	0.000307923	0.000566863	0.0017471	0.00348041	0.00757335	0.012055	0.00900496	0.0186958	0.0168701	0.0295752	0.0345773	0.0952421	0.274795	0.495207
a21	0.000549526	0.000500465	0.000784039	0.00180799	0.00315868	0.00657711	0.00857404	0.00668843	0.0174038	0.0174354	0.0340886	0.0579521	0.12981	0.277325	0.437345
a12	0.00065463	0.00059406	0.000922946	0.00211096	0.00345432	0.00665108	0.00902602	0.00777278	0.0178836	0.0179026	0.0306121	0.0529685	0.128472	0.289548	0.431426
a18	0.000908568	0.000737667	0.00114789	0.00242303	0.00369912	0.00709368	0.00891641	0.00657355	0.0143434	0.013496	0.0223495	0.0358793	0.0992005	0.271897	0.511335
a71	0.0023139	0.00115857	0.00209799	0.00545983	0.00862066	0.0143958	0.0203595	0.0125539	0.0238667	0.0184162	0.0300216	0.032877	0.0780596	0.229299	0.5205
a9	0.0194578	0.00855079	0.00920876	0.0156209	0.0245108	0.0377297	0.048548	0.0338138	0.0487092	0.0376208	0.059926	0.0590413	0.0978723	0.198616	0.300774
a97	0.0374453	0.0175766	0.0158423	0.021386	0.0303457	0.0382185	0.0547431	0.0558057	0.0764778	0.0681158	0.0876266	0.0820628	0.103696	0.141957	0.168701
a87	0.0443768	0.0148623	0.0154742	0.0216758	0.0327184	0.0374988	0.0626051	0.0830321	0.138429	0.116183	0.112202	0.0858252	0.0794284	0.0734281	0.0822612
a23	0.0429574	0.0148473	0.0152995	0.023715	0.0414235	0.0532922	0.0879053	0.105654	0.141129	0.116678	0.106057	0.0775562	0.0636433	0.050078	0.0597639
a87	0.0230403	0.00592711	0.00425821	0.00560985	0.00818799	0.00893934	0.0177004	0.0303649	0.0631097	0.0741334	0.114443	0.109416	0.137862	0.158602	0.238407
a23	0.0101017	0.00283338	0.0026806	0.00485879	0.00700063	0.00843081	0.0200026	0.0212794	0.0376754	0.0400329	0.0544819	0.054743	0.0977245	0.210982	0.427172
a87	0.00860954	0.00269587	0.00276726	0.00513746	0.0070325	0.00828923	0.0206292	0.0254838	0.0540578	0.0632326	0.100716	0.0935034	0.133594	0.186636	0.287616
a23	0.00609327	0.00233418	0.00273266	0.00569948	0.00768083	0.00878984	0.0195947	0.0207954	0.0357047	0.0400768	0.0569562	0.0586572	0.105027	0.21106	0.418798
a87	0.00631581	0.00215868	0.00229019	0.00469027	0.00618893	0.00728646	0.0165688	0.0210135	0.0433727	0.0529999	0.0853553	0.0864703	0.134523	0.201594	0.329172
a97	0.00853016	0.0032597	0.003439	0.0064188	0.00801072	0.00853551	0.0173368	0.0212082	0.035169	0.0417448	0.0600913	0.0663454	0.114397	0.217056	0.388457
</S>	0.0321446	0.0131169	0.0152915	0.0216334	0.0259889	0.0270903	0.0423672	0.0479722	0.0569097	0.0554192	0.0579789	0.0532193	0.0752813	0.147926	0.327661
