 	celui	qui	nous	a	lancé	les	pierres	c'	est	le	fils	d'	ibara	</S>
a85	0.0063473	0.00701112	0.00867518	0.0113629	0.0236586	0.031758	0.0562344	0.156991	0.188064	0.167292	0.124106	0.0924949	0.0647283	0.0612762
a6	0.0214632	0.0227967	0.0240733	0.0266031	0.0418464	0.0496443	0.0777666	0.11886	0.132178	0.128499	0.116453	0.0993841	0.0747646	0.0656677
a36	0.00640232	0.00629685	0.00786854	0.0103138	0.0252207	0.0351266	0.0579819	0.128283	0.156184	0.162978	0.141185	0.112109	0.0730498	0.0770005
a47	0.00646302	0.00537269	0.00874941	0.0129276	0.0363447	0.0409971	0.0650804	0.121155	0.116998	0.122862	0.121387	0.115913	0.0873141	0.138435
a88	0.00519478	0.00429234	0.00691244	0.0103248	0.0290177	0.0334386	0.0489602	0.0880595	0.102628	0.126958	0.137885	0.142557	0.105446	0.158326
a71	0.00563957	0.00427176	0.00514656	0.00707407	0.0175213	0.0262125	0.0468039	0.10372	0.11184	0.131246	0.130816	0.133015	0.10591	0.170782
a9	0.0102698	0.00763188	0.00713105	0.00942886	0.0174338	0.0264104	0.0495774	0.0943784	0.0967785	0.117336	0.123832	0.143084	0.127978	0.16873
a62	0.0332706	0.0243986	0.0291041	0.0347309	0.0353348	0.0470957	0.0794747	0.113541	0.12836	0.130731	0.11021	0.0900516	0.0754887	0.0682075
a88	0.00230493	0.00158788	0.00192026	0.0034258	0.0087509	0.0177819	0.0340201	0.0809894	0.107834	0.142478	0.147183	0.157444	0.140831	0.15345
a62	0.0013473	0.00102925	0.00109877	0.00175425	0.00417376	0.00848607	0.017902	0.0541471	0.086556	0.151484	0.178713	0.194065	0.161429	0.137815
a34	0.00149682	0.00138584	0.00173149	0.00260916	0.00592209	0.00951904	0.0187544	0.0453235	0.0694964	0.124732	0.15653	0.190393	0.183138	0.188968
a92	0.00191091	0.00155026	0.00186652	0.00275474	0.0058014	0.00882887	0.0157969	0.0446776	0.066333	0.117478	0.153857	0.193837	0.190728	0.19458
a37	0.00200029	0.00154513	0.00185685	0.00275955	0.00559483	0.0085469	0.0155156	0.0481318	0.0630611	0.0941581	0.127575	0.18195	0.197795	0.249509
a21	0.00076858	0.000555593	0.00053749	0.000848894	0.00169101	0.0034174	0.0081599	0.0251568	0.0386888	0.0728701	0.11605	0.188365	0.221079	0.321812
a47	0.00233041	0.00196665	0.0019654	0.00237244	0.00383438	0.00582559	0.012088	0.0290501	0.0418365	0.074332	0.111296	0.17028	0.208301	0.334521
a96	0.00283892	0.0023519	0.00240428	0.00319594	0.00495432	0.00750062	0.0148431	0.0320943	0.0424521	0.0716165	0.109523	0.169488	0.222819	0.313917
a18	0.00160417	0.00125331	0.00116832	0.00182725	0.00288597	0.00549761	0.0112761	0.0251691	0.0377691	0.07005	0.116491	0.184861	0.225269	0.314878
a75	0.00991446	0.007418	0.00733584	0.010409	0.0115993	0.0181098	0.0294731	0.0362661	0.0432412	0.0759631	0.115274	0.167001	0.168856	0.299139
a47	0.000804496	0.000616526	0.0006351	0.000842847	0.000996132	0.00179933	0.00397314	0.00962501	0.0156093	0.033706	0.0692997	0.145366	0.235319	0.481407
a36	0.00125246	0.00087967	0.000745939	0.00104983	0.00139284	0.00283635	0.00701542	0.0183578	0.0258945	0.0476443	0.0844518	0.152538	0.241523	0.414418
a7	0.00473765	0.00324702	0.00263804	0.00430501	0.00554044	0.0105817	0.018927	0.0275376	0.0346444	0.0604322	0.107864	0.187303	0.217882	0.31436
a2	0.00857565	0.00618219	0.00565174	0.00812743	0.00925311	0.0155038	0.0265357	0.0416209	0.0487769	0.0779597	0.116718	0.169424	0.184988	0.280683
a57	0.127792	0.0755084	0.0617653	0.0689612	0.050971	0.0472806	0.0540282	0.048483	0.0451974	0.0521682	0.0606948	0.0713738	0.0824729	0.153303
a87	0.154849	0.129124	0.103392	0.100244	0.0600133	0.0444202	0.0380997	0.0266757	0.0229293	0.0282461	0.0364597	0.0494323	0.070878	0.135237
a23	0.156671	0.144904	0.123148	0.113885	0.0663786	0.0436547	0.0334022	0.0250193	0.0211361	0.0277446	0.0348385	0.0448269	0.0654357	0.0989559
a87	0.103408	0.094644	0.0779725	0.0652615	0.0410638	0.0280654	0.0238352	0.022857	0.0277814	0.0442492	0.0615634	0.0879648	0.123119	0.198215
</S>	0.0153348	0.0168135	0.0221565	0.024223	0.0190983	0.0167668	0.0181837	0.0314026	0.0430309	0.0649909	0.0862666	0.12272	0.164655	0.354357
