 	ses	cadets	sont	en	train	de	murmurer	contre	lui	parce	qu'	il	mange	à	l'	excès	</S>
a37	0.0593373	0.0822774	0.0960193	0.113487	0.103276	0.120345	0.0993697	0.0725907	0.0501519	0.0358198	0.0258733	0.0181655	0.0179	0.0184971	0.0209218	0.0337032	0.032266
a75	0.0292766	0.047635	0.064304	0.0832095	0.093613	0.140798	0.145429	0.109264	0.0639623	0.0448913	0.0329165	0.0231634	0.020012	0.0205932	0.0218956	0.0294678	0.029569
a98	0.0163727	0.0291673	0.0461173	0.0629861	0.0689785	0.10937	0.102735	0.105251	0.0893978	0.0751215	0.0623198	0.0454776	0.0393674	0.0355429	0.0315529	0.0381852	0.0420562
a15	0.0106605	0.0248251	0.0460951	0.0637969	0.0698014	0.107857	0.0830607	0.100831	0.0919172	0.0796736	0.0670478	0.0503024	0.0445781	0.0397769	0.0335528	0.0398705	0.0463533
a79	0.00740762	0.0133569	0.0222976	0.0387166	0.049614	0.104421	0.120331	0.131894	0.113152	0.0920523	0.0760969	0.0518499	0.0426563	0.0340201	0.0270822	0.0340789	0.0409724
a44	0.00729348	0.0102573	0.0144541	0.0207861	0.027494	0.0666059	0.122243	0.153711	0.12316	0.0953334	0.0802554	0.0598766	0.049122	0.0402314	0.0346824	0.0455881	0.0489054
a93	0.00658651	0.00687031	0.00740735	0.00897416	0.0110019	0.0244224	0.0513041	0.0756289	0.0755614	0.0784353	0.0867861	0.0886021	0.0817038	0.0826604	0.0795727	0.115823	0.118659
a62	0.00532464	0.00458825	0.00497124	0.00573184	0.00657339	0.0122886	0.0305257	0.0492523	0.0593696	0.0674426	0.0831202	0.0940068	0.0929987	0.103656	0.0980068	0.142789	0.139354
a88	0.0044375	0.00449955	0.00530809	0.0057679	0.0062682	0.00797309	0.0167803	0.0510676	0.0678645	0.0807886	0.0909523	0.0953896	0.0904686	0.101009	0.0962101	0.133372	0.141843
a75	0.00242647	0.00205757	0.00255443	0.00327853	0.00416208	0.00619676	0.0146288	0.0469918	0.0587507	0.0701006	0.0768534	0.0742789	0.0706016	0.095751	0.11085	0.169713	0.190805
a47	0.000467725	0.000706829	0.00086989	0.00102012	0.00129054	0.00284077	0.0123755	0.037102	0.0450938	0.0489747	0.0554222	0.0633839	0.0639647	0.101955	0.131323	0.197993	0.235217
a36	0.000124212	0.000187913	0.000221358	0.000267021	0.000327881	0.000905839	0.00420299	0.0151785	0.0214081	0.0251856	0.0304401	0.034723	0.0380473	0.07829	0.127966	0.269792	0.352733
a2	0.000483626	0.00044939	0.00042917	0.000430946	0.000494773	0.000714763	0.00150471	0.007298	0.0118084	0.0182746	0.0226224	0.0278139	0.0309485	0.0760708	0.149054	0.284757	0.366846
a57	0.0123487	0.0125804	0.0102267	0.0110708	0.0124414	0.0118112	0.0122751	0.0212618	0.0318495	0.0413445	0.051049	0.0536976	0.05567	0.0892513	0.131601	0.175619	0.265902
a87	0.0316992	0.0259293	0.0225378	0.0270624	0.0343232	0.0392508	0.0475017	0.0668148	0.0846169	0.0824539	0.0835966	0.0758022	0.062035	0.0667891	0.0686276	0.0735035	0.107456
a23	0.085734	0.035203	0.0256065	0.0228441	0.0241372	0.0239464	0.0297041	0.0572329	0.068877	0.0779787	0.103267	0.109347	0.0887952	0.0777941	0.0612194	0.0510986	0.0572149
a99	0.0126134	0.00748329	0.00502657	0.00372531	0.00344104	0.00343797	0.00412156	0.0056817	0.0109255	0.0160521	0.028388	0.052221	0.0743971	0.152083	0.198543	0.212291	0.209568
a97	0.00504315	0.00441282	0.00347781	0.00332171	0.00288958	0.00392179	0.00755317	0.00849652	0.0158588	0.0197264	0.0261278	0.0371949	0.0543557	0.108391	0.166871	0.281821	0.250537
</S>	0.00174951	0.00125309	0.000970292	0.000905645	0.0009137	0.00160513	0.00200591	0.00213371	0.00332688	0.00419363	0.0070753	0.01148	0.0202923	0.0615869	0.136564	0.372391	0.371553
