 	l'	affaire	est	terminée	ils	se	sont	réunis	pour	discuter	de	l'	affaire	</S>
a57	0.0270606	0.0250057	0.0331679	0.0367135	0.0493282	0.0886839	0.100008	0.110533	0.118652	0.141261	0.0995058	0.0647601	0.0496635	0.0556567
a87	0.0128873	0.0109389	0.0175591	0.0208355	0.0325738	0.0718068	0.0899577	0.122237	0.131113	0.161194	0.103659	0.0766315	0.0623656	0.0862419
a23	0.0229979	0.0210559	0.0329079	0.0331806	0.0453022	0.0726459	0.0727448	0.0850646	0.0992133	0.138206	0.111977	0.100692	0.0721413	0.0918697
a38	0.0273903	0.021883	0.0287462	0.0341907	0.0457509	0.0733645	0.069566	0.0814078	0.0855472	0.106715	0.099947	0.104355	0.0880032	0.133133
a30	0.047746	0.0320602	0.0489976	0.0707393	0.0960094	0.10036	0.0819816	0.0804531	0.0734491	0.0742677	0.0653608	0.0683589	0.0619716	0.098245
a35	0.0272811	0.0217356	0.0326686	0.0481915	0.0862831	0.103418	0.101622	0.110409	0.10117	0.102191	0.080791	0.0675482	0.0539836	0.062707
a57	0.0154555	0.011036	0.0151935	0.0211853	0.0459176	0.0845606	0.0975074	0.114413	0.106648	0.116604	0.0969001	0.0877961	0.0806058	0.106177
a38	0.00699154	0.00549946	0.00692315	0.0080934	0.0190127	0.0422977	0.0631711	0.0843011	0.0906245	0.1301	0.117378	0.127408	0.135398	0.162801
a41	0.0114123	0.00878758	0.0121964	0.0169086	0.0350345	0.0630745	0.0845792	0.111465	0.118162	0.14412	0.110582	0.0949469	0.08677	0.101961
a35	0.0122042	0.0093533	0.013725	0.0200443	0.0375466	0.0685833	0.076619	0.0909762	0.101153	0.127449	0.111011	0.110205	0.100008	0.121123
a94	0.00983776	0.00712564	0.0101092	0.0121916	0.0212235	0.0411257	0.0521012	0.0699149	0.0774601	0.110508	0.109129	0.1336	0.14812	0.197553
a24	0.0064959	0.00497301	0.00646945	0.00719394	0.0127941	0.028833	0.0433385	0.0616582	0.0705623	0.109045	0.115225	0.144974	0.163955	0.224482
a32	0.00737017	0.00585376	0.00773284	0.00920391	0.0146638	0.0239255	0.0289893	0.039387	0.0482364	0.0806956	0.0950019	0.148685	0.188336	0.301919
a76	0.0101387	0.0077445	0.00904335	0.00814207	0.013178	0.0253209	0.0314068	0.0442113	0.0547189	0.0980976	0.108459	0.145733	0.180493	0.263313
a90	0.00572747	0.00416393	0.00600756	0.00653911	0.0110582	0.0215757	0.0318437	0.0495733	0.0601582	0.0973405	0.10551	0.142336	0.172444	0.285722
a38	0.00455683	0.00335609	0.00448328	0.00577176	0.0117775	0.0265616	0.0382099	0.0534761	0.0625352	0.0954871	0.10129	0.12438	0.163985	0.30413
a24	0.00513495	0.00368775	0.00436995	0.00534763	0.0112964	0.0248638	0.0333173	0.0474366	0.0621239	0.098003	0.100302	0.124076	0.168412	0.311629
a41	0.00527467	0.00370505	0.0044021	0.00512926	0.00915192	0.0169444	0.0226073	0.0346646	0.0489715	0.0880325	0.0983457	0.129976	0.177701	0.355094
a14	0.00539133	0.00372817	0.00394894	0.00424735	0.00688292	0.0152927	0.0232003	0.0356709	0.0497907	0.0889578	0.103807	0.140972	0.194007	0.324103
a73	0.00533993	0.00372691	0.00460551	0.00458167	0.00630811	0.0108329	0.0150877	0.02313	0.0303766	0.0519727	0.0725421	0.13966	0.233019	0.398817
a57	0.00882686	0.00611817	0.00648535	0.00564214	0.00670874	0.00969284	0.0124587	0.0187243	0.0256889	0.0464746	0.0650455	0.135128	0.251104	0.401902
a87	0.011033	0.00819377	0.00780557	0.00722487	0.00991474	0.0165117	0.0196835	0.0285499	0.0412433	0.0722188	0.0907961	0.140178	0.222242	0.324404
</S>	0.0193048	0.00968316	0.0114555	0.00814864	0.00684107	0.0104102	0.0110944	0.0164014	0.0264031	0.0648327	0.114384	0.173446	0.232308	0.295287
