 	le	petit	oiseau	enzembe	chantait	non	loin	de	la	champignonnière	où	nous	avons	ramassé	les	champignons	</S>
a21	0.0222383	0.0306179	0.0394554	0.128104	0.148023	0.121367	0.102079	0.113742	0.0994591	0.0956461	0.0342284	0.0245655	0.0143385	0.00824763	0.00559803	0.00540437	0.00688537
a61	0.0263127	0.036962	0.045575	0.126189	0.153255	0.12103	0.0966817	0.117812	0.100667	0.086791	0.0309125	0.0222771	0.0130484	0.00704365	0.00443273	0.00455806	0.00645222
a66	0.0132479	0.0188781	0.0229555	0.0845992	0.134816	0.153718	0.12939	0.141859	0.120264	0.085934	0.0300681	0.0225059	0.0123935	0.00768272	0.00548017	0.00641264	0.00979591
a93	0.00865606	0.0113919	0.0144667	0.0613384	0.117726	0.158216	0.156134	0.144385	0.12728	0.0748385	0.0279409	0.0227896	0.0131682	0.0106374	0.00944713	0.0157442	0.0258404
a0	0.0109158	0.0157354	0.0194479	0.0749586	0.121159	0.159563	0.13361	0.147083	0.122445	0.0819239	0.0319225	0.0269152	0.015711	0.0102343	0.00708543	0.00824267	0.0130479
a21	0.00835466	0.0119461	0.0148971	0.0590226	0.0993629	0.151731	0.134196	0.149216	0.137167	0.0853871	0.0360971	0.0346828	0.0210455	0.0148156	0.0102609	0.0125652	0.019253
a85	0.0140041	0.0195484	0.0219198	0.0631801	0.0900122	0.145084	0.120896	0.147983	0.142686	0.090558	0.0342566	0.0384905	0.0250285	0.0148518	0.00905605	0.00901584	0.0134295
a27	0.0194793	0.0190592	0.0184211	0.0537761	0.0895364	0.132511	0.136082	0.136996	0.134038	0.079953	0.0293918	0.0343241	0.0241545	0.018343	0.0162566	0.0208704	0.0368074
a40	0.00742798	0.0107163	0.0150421	0.036831	0.0484387	0.116105	0.131643	0.112069	0.131889	0.0543614	0.0336021	0.0408275	0.0274145	0.0313774	0.0344433	0.0624976	0.105314
a75	0.0373887	0.0374092	0.0376083	0.0820405	0.0766451	0.101687	0.0923652	0.0910604	0.0823263	0.0516378	0.0262468	0.0327935	0.0279945	0.0293394	0.0306103	0.0548995	0.107948
a47	0.0417589	0.0425971	0.0401023	0.0612766	0.0635341	0.0976401	0.0890207	0.0935323	0.0908156	0.0503845	0.0238121	0.0317218	0.0274678	0.0289122	0.0352563	0.0641538	0.118014
a36	0.0214239	0.0215189	0.0238082	0.0432265	0.0567257	0.11091	0.120691	0.110976	0.118183	0.0603695	0.0276979	0.0385998	0.0288031	0.0280291	0.0236828	0.0497304	0.115623
a2	0.0417077	0.0370302	0.0426916	0.047635	0.0486401	0.0817414	0.0861972	0.0748814	0.0725224	0.0507813	0.0318348	0.0351628	0.0288329	0.0397331	0.0393345	0.0784625	0.162811
a57	0.0351755	0.0309276	0.0359246	0.0274595	0.0281684	0.0961994	0.0896886	0.0695005	0.0754815	0.0591569	0.0440667	0.0451522	0.0318481	0.0281527	0.0342347	0.0715776	0.197286
a87	0.0190388	0.0101	0.00970957	0.0114221	0.0167309	0.0660448	0.0635637	0.0598126	0.076751	0.118555	0.0957584	0.0973114	0.078844	0.0517007	0.0418016	0.0569685	0.125887
a23	0.0206318	0.00849226	0.00618994	0.00565096	0.00666781	0.0185547	0.0198872	0.0207331	0.0302463	0.0989861	0.116452	0.141837	0.132646	0.123124	0.0852517	0.0754603	0.089189
a62	0.0170655	0.0100939	0.0102764	0.00410946	0.00716761	0.0167715	0.0182812	0.0182838	0.0239607	0.0669137	0.0817048	0.0894351	0.11439	0.126483	0.108009	0.120805	0.166249
a83	0.00373099	0.003566	0.00482725	0.00643717	0.0108152	0.0230115	0.0218365	0.0226249	0.0262887	0.037312	0.034982	0.0415922	0.0434846	0.0577445	0.0967045	0.181746	0.383295
a9	0.00652344	0.00709638	0.0091916	0.0231969	0.0395366	0.073312	0.0640392	0.0677678	0.0704864	0.0800278	0.0604812	0.0651558	0.0620889	0.0568982	0.0663688	0.0842877	0.163541
a38	0.0016079	0.00235331	0.00420899	0.0116195	0.0195957	0.0547072	0.0558956	0.0484277	0.0588816	0.055425	0.0490433	0.0604732	0.0584507	0.0746518	0.100516	0.139599	0.204544
a24	0.00249497	0.00309934	0.00454082	0.0109994	0.0173102	0.0465196	0.0471927	0.0450664	0.0581448	0.0573778	0.0427541	0.0530545	0.0541515	0.067768	0.098587	0.154516	0.236423
a31	0.00126503	0.0019709	0.00301966	0.00893165	0.0155266	0.047305	0.0463606	0.0434422	0.0524207	0.0455978	0.0361986	0.0496424	0.054408	0.0758965	0.127882	0.175502	0.214631
a47	0.00422359	0.00688879	0.00799412	0.0224126	0.0395004	0.0738949	0.0623537	0.076074	0.0784094	0.0664337	0.041501	0.0552779	0.0553475	0.0536524	0.0760139	0.10875	0.171272
a70	0.00331703	0.00541982	0.00704856	0.0251784	0.0403265	0.0851644	0.0731358	0.0826551	0.0843453	0.0617503	0.0364151	0.047385	0.0474926	0.0527619	0.0777006	0.11488	0.155024
a61	0.00402998	0.00787487	0.0100643	0.0316412	0.0422321	0.076082	0.0625934	0.0771497	0.0789534	0.0599521	0.0347374	0.048257	0.0494431	0.0481067	0.0770347	0.118974	0.172874
a47	0.00765926	0.0146905	0.014235	0.0298397	0.0425315	0.0766441	0.0631839	0.0765548	0.0839871	0.0643811	0.0421327	0.0577187	0.0572542	0.0534807	0.0767904	0.104747	0.13417
a31	0.0029228	0.00558241	0.00681432	0.0252613	0.034456	0.0703365	0.0616305	0.0753614	0.0837961	0.050576	0.0272677	0.0443189	0.0432964	0.0442256	0.0757846	0.138489	0.20988
a47	0.00445101	0.00914011	0.00995076	0.0268364	0.032889	0.0640797	0.0574762	0.0657316	0.0761267	0.0545595	0.0324936	0.0492142	0.048659	0.0445483	0.0754643	0.135136	0.213244
a96	0.00270577	0.00535334	0.00679321	0.027859	0.0328751	0.0642024	0.0563379	0.0672172	0.073223	0.0451885	0.0249546	0.0399464	0.0388659	0.0361849	0.0725351	0.155863	0.249895
a61	0.00117023	0.00198466	0.00255199	0.0140086	0.0161288	0.0342695	0.0316916	0.0363473	0.0443912	0.030255	0.0171101	0.0320484	0.0344464	0.0368981	0.0865749	0.211227	0.368896
a43	0.00199528	0.00343863	0.00386262	0.0148222	0.018933	0.0402749	0.0387779	0.0432507	0.0548627	0.0369056	0.0225991	0.0404983	0.0434841	0.0441385	0.0912179	0.186874	0.314064
a75	0.00115566	0.00151778	0.00177395	0.0100008	0.00976278	0.0227666	0.0233637	0.0246112	0.0315668	0.019812	0.0118791	0.0252068	0.0299715	0.0353307	0.0916385	0.24047	0.419172
a47	0.0011233	0.00186344	0.00246334	0.00667809	0.00882897	0.0199442	0.0196406	0.0195764	0.0247036	0.015372	0.0113974	0.0241178	0.0305819	0.0474651	0.110296	0.249581	0.406367
a44	0.00110324	0.00135413	0.00167388	0.00651658	0.00572787	0.0124919	0.0126117	0.0120702	0.0151486	0.00827499	0.00490444	0.0104583	0.0130682	0.0192288	0.058552	0.237302	0.579513
a57	0.000770628	0.000844785	0.000999403	0.00506382	0.00390908	0.00805624	0.00795424	0.00718694	0.0084783	0.0050179	0.00323652	0.00663839	0.00875696	0.0136493	0.0480044	0.23899	0.632443
a84	0.000858715	0.000805677	0.000820962	0.00270134	0.001974	0.00562302	0.00514586	0.00404685	0.0052361	0.00460435	0.00393035	0.00671294	0.00937009	0.0177749	0.0622133	0.23633	0.631851
a13	0.00897579	0.00675649	0.00682349	0.00723932	0.00774056	0.0117246	0.00935563	0.00784829	0.00768203	0.00942379	0.0103153	0.0144752	0.0221753	0.0435979	0.106511	0.256066	0.463289
a38	0.0193186	0.0103673	0.00895742	0.00927608	0.0103645	0.0120343	0.00952553	0.00887873	0.00878422	0.0144525	0.0167297	0.0218286	0.0386888	0.0669197	0.125945	0.2534	0.36453
a13	0.002839	0.00149863	0.00143888	0.00154702	0.00205362	0.00437976	0.00347332	0.00292099	0.0035669	0.00656907	0.00620645	0.00908983	0.0147651	0.0231385	0.0642534	0.244573	0.607686
a9	0.00247961	0.00159757	0.00163631	0.00155798	0.00202501	0.00488723	0.00399073	0.00314656	0.00372989	0.00460805	0.00480751	0.00689828	0.0102767	0.0186402	0.053441	0.238685	0.637592
a10	0.0226888	0.0111092	0.0101959	0.00742789	0.0107465	0.0156373	0.0118313	0.0113009	0.0115766	0.0177381	0.0176334	0.0232223	0.0372092	0.0590024	0.111523	0.240006	0.381151
a87	0.016885	0.00791392	0.00712405	0.00394578	0.00668653	0.00831787	0.00642925	0.00602546	0.00631913	0.0133279	0.0107759	0.0141218	0.023366	0.036875	0.0847345	0.245929	0.501223
a97	0.0534659	0.022568	0.0198296	0.00970235	0.0177989	0.0205229	0.0172071	0.0159188	0.0154442	0.0293814	0.0237752	0.0294008	0.0452045	0.0638811	0.103515	0.194198	0.318186
a99	0.061756	0.0262866	0.0235439	0.0112279	0.0237951	0.0261052	0.0223836	0.0210078	0.020883	0.0440498	0.0310159	0.0315035	0.041346	0.0563053	0.0819662	0.165381	0.311443
a97	0.0493312	0.0203398	0.021018	0.0140229	0.0241606	0.0218114	0.0206001	0.0175812	0.0177103	0.0410295	0.024909	0.0292106	0.0360306	0.0437681	0.0683746	0.160529	0.389573
</S>	0.0550924	0.0218761	0.0232274	0.0158562	0.0251885	0.0220655	0.0217941	0.0183488	0.0178582	0.0399783	0.0302339	0.0337823	0.040692	0.0497873	0.0657265	0.147217	0.371275
