 	je	ne	veux	pas	aller	en	forêt	avec	toi	parce	que	tu	es	ennuyeux	</S>
a34	0.000519255	0.000784215	0.00188395	0.0039004	0.0107873	0.0120769	0.014002	0.0154083	0.0168403	0.0122832	0.0177448	0.0237144	0.0427128	0.241357	0.585985
a75	0.00040524	0.000623051	0.00149848	0.00324225	0.0100225	0.0111619	0.0128255	0.0142282	0.0154741	0.0106077	0.0150505	0.0191102	0.0322936	0.226068	0.627388
a96	0.000434354	0.000598623	0.00118063	0.0025358	0.00796061	0.0086654	0.0103206	0.0102751	0.00953372	0.0057279	0.00886064	0.0119686	0.0203346	0.194049	0.707555
a18	0.000593904	0.000777056	0.00150497	0.00294064	0.00824699	0.00913521	0.0106887	0.0116239	0.012311	0.00705884	0.0101437	0.0122943	0.0210485	0.208625	0.683007
a61	0.00521653	0.00564596	0.00859838	0.0108492	0.0199701	0.0205531	0.0223947	0.0233429	0.0223546	0.0126211	0.0204897	0.0250674	0.0400133	0.238901	0.523982
a96	0.000939878	0.00110459	0.00211064	0.00334324	0.00800977	0.00861862	0.00989465	0.0108849	0.0116097	0.00710182	0.0106464	0.0134182	0.0250891	0.224827	0.662402
a93	0.000917505	0.00111478	0.00207969	0.00360713	0.00884146	0.0092392	0.0104529	0.0114277	0.0119128	0.00703537	0.00942473	0.0111361	0.0192914	0.196369	0.69715
a70	0.00069195	0.000886598	0.00172851	0.0027908	0.00725668	0.00815033	0.00961169	0.0104179	0.0108803	0.00650458	0.0101655	0.0130033	0.0248096	0.221975	0.671128
a99	0.000720327	0.000939333	0.00195592	0.00342054	0.00868246	0.00969383	0.0109272	0.0114896	0.0117413	0.00694893	0.0108284	0.0138792	0.0255852	0.230195	0.652992
a9	0.0065903	0.00702931	0.00983877	0.0129925	0.0202675	0.0180674	0.0181639	0.0185723	0.020076	0.01341	0.0219415	0.0258255	0.0390258	0.220277	0.547922
a99	0.040961	0.0299414	0.0269851	0.0359679	0.0475755	0.0441337	0.0475251	0.0538032	0.0559447	0.0451072	0.0572707	0.0558338	0.0688011	0.160579	0.22957
a87	0.0799955	0.0374009	0.0272382	0.0306343	0.0337165	0.0329897	0.0378393	0.0428999	0.0478677	0.0498668	0.0544153	0.05602	0.0815798	0.145271	0.242265
a23	0.0597658	0.024795	0.0167445	0.0191192	0.0250882	0.0276939	0.0363857	0.0454075	0.0509123	0.059057	0.0687247	0.0734017	0.112106	0.156441	0.224358
a99	0.0922096	0.0410357	0.0267564	0.0295389	0.032268	0.0290619	0.037558	0.041023	0.0463961	0.0343451	0.0424934	0.0392179	0.0560975	0.118957	0.333042
a87	0.0547704	0.0260072	0.021637	0.0300565	0.0512252	0.0442393	0.0551284	0.0608806	0.0650184	0.0502533	0.0555254	0.0497193	0.0678615	0.118114	0.249563
a23	0.0369295	0.0263525	0.0260206	0.0371266	0.05751	0.0421024	0.0462513	0.0458621	0.0485596	0.0309817	0.0362648	0.0310717	0.0469994	0.119565	0.368403
a38	0.0602837	0.0325708	0.0241755	0.0297707	0.0427799	0.0337807	0.040592	0.043926	0.0485276	0.0348201	0.0419873	0.0373002	0.0594374	0.126799	0.34325
a3	0.0454166	0.0282909	0.0310608	0.0491236	0.0659109	0.0512776	0.0596739	0.0650883	0.0620566	0.0423704	0.0518517	0.0456003	0.0630854	0.116068	0.223125
a97	0.034907	0.0274266	0.0362013	0.0558379	0.0644468	0.0450381	0.0493372	0.0501096	0.0470101	0.0305749	0.0355264	0.0307823	0.0428943	0.122255	0.327653
</S>	0.0518746	0.0352188	0.0420107	0.060452	0.063206	0.0451897	0.050146	0.0528476	0.0478953	0.0353793	0.0364464	0.0316826	0.0435489	0.0949882	0.309114
