 	la	manière	dont	il	a	blessé	mon	fils	relève	d'	une	tentative	de	meurtre	</S>
a36	0.000934161	0.000705076	0.00108945	0.00482019	0.0112553	0.0284686	0.038737	0.0612636	0.0941726	0.0848127	0.0798063	0.110783	0.142748	0.176592	0.163813
a2	0.00226341	0.00158949	0.00207756	0.00609578	0.0114609	0.0222462	0.0256161	0.0353209	0.0596906	0.0604363	0.0634701	0.101606	0.14938	0.204886	0.25386
a57	0.00531949	0.0041631	0.00456664	0.00899978	0.0142725	0.0210855	0.0213581	0.0248045	0.0414888	0.0402579	0.0417484	0.0662425	0.126467	0.211102	0.368124
a87	0.0136579	0.0114476	0.0119937	0.0150153	0.0179252	0.0199021	0.0197433	0.0223381	0.0356691	0.0366182	0.0382564	0.0673082	0.177137	0.22406	0.288927
a23	0.0814295	0.0452264	0.0331184	0.0381456	0.0386157	0.0390374	0.044109	0.0535366	0.078917	0.0796657	0.0783279	0.101888	0.117034	0.0915324	0.0794157
a40	0.0294155	0.0153717	0.0105137	0.0125887	0.0192201	0.0204049	0.0319574	0.0517137	0.0762941	0.0937146	0.098797	0.118732	0.119433	0.139423	0.162421
a7	0.00232435	0.00146767	0.0014414	0.00342682	0.00714835	0.0126299	0.0201559	0.03315	0.0575102	0.0758108	0.0894176	0.141713	0.169738	0.193917	0.190149
a11	0.00030275	0.000186316	0.00029452	0.000845637	0.00208277	0.0051456	0.00901001	0.0168176	0.0326682	0.0486096	0.072247	0.126931	0.192381	0.233754	0.258723
a70	0.000276804	0.000162233	0.000265095	0.000823072	0.0021202	0.00437917	0.00788685	0.0160247	0.0335704	0.0516513	0.0766245	0.119729	0.186908	0.228246	0.271332
a93	0.000212457	0.000116993	0.000192688	0.00072303	0.00177206	0.00356026	0.00628895	0.0131827	0.0291067	0.0472311	0.0741581	0.119634	0.189671	0.234718	0.279432
a13	0.000172503	8.40461e-05	0.000143061	0.000667303	0.00196343	0.00462459	0.00853519	0.0179906	0.0387164	0.0602605	0.0872123	0.124506	0.183509	0.224211	0.247404
a30	0.000234692	0.000131329	0.000224268	0.000837764	0.00192933	0.00345675	0.00558075	0.0109909	0.0249424	0.0420897	0.0675054	0.113437	0.191028	0.237425	0.300187
a13	0.000470567	0.000286801	0.000443677	0.00107409	0.00216809	0.0033089	0.00480842	0.00871556	0.0205121	0.0363965	0.0577687	0.0950356	0.177669	0.242422	0.348921
a26	0.000670066	0.000463963	0.0007427	0.00210032	0.00465705	0.00645622	0.00854827	0.0140321	0.030086	0.0471256	0.0705781	0.0996714	0.175498	0.218203	0.321167
a3	0.00943297	0.00522825	0.00480717	0.0089117	0.0142867	0.0136999	0.0180249	0.0260158	0.041231	0.0515284	0.0716314	0.0927055	0.160051	0.209987	0.272459
a87	0.0674651	0.0317898	0.0208509	0.024861	0.0297232	0.0288133	0.0342952	0.0449221	0.0593777	0.0695839	0.0865368	0.0898575	0.124228	0.138579	0.149116
</S>	0.142372	0.0876408	0.0602524	0.0451812	0.0421236	0.0445084	0.0480395	0.0555873	0.0574301	0.0655063	0.0695024	0.0649502	0.0755887	0.070969	0.0703482
