 	les	mamans	doivent	vacciner	leurs	enfants	contre	la	rougeole	</S>
a98	0.000213206	0.000239142	0.000906665	0.00236993	0.0179402	0.0343624	0.0342517	0.133727	0.299833	0.476156
a47	0.000175255	0.000236309	0.00133928	0.00349598	0.0298968	0.0472333	0.0420044	0.123629	0.265939	0.486051
a85	0.000256668	0.000393627	0.00132257	0.00250536	0.0225511	0.0412049	0.0381919	0.136112	0.274177	0.483285
a92	0.000169228	0.000212194	0.00102527	0.00199837	0.018472	0.034841	0.0300814	0.121324	0.291797	0.500079
a6	0.000287564	0.000368665	0.00189532	0.00395091	0.027177	0.0458257	0.0411098	0.135445	0.276838	0.467102
a37	0.000319242	0.000449031	0.00251634	0.00442059	0.0214232	0.0400555	0.0338089	0.123102	0.297515	0.47639
a26	0.000890151	0.000974842	0.00299601	0.00476252	0.0162615	0.0305833	0.0260772	0.0980347	0.268007	0.551413
a61	0.00193202	0.00113763	0.00176822	0.0029232	0.0153306	0.0349627	0.033522	0.119451	0.266769	0.522203
a88	0.000572827	0.000588017	0.0017697	0.00334287	0.0124836	0.0224505	0.0230904	0.092354	0.264735	0.578613
a71	0.000488981	0.000366249	0.000955792	0.00210742	0.0131954	0.0242852	0.0254511	0.0988866	0.259365	0.574899
a9	0.00330791	0.00242493	0.00481718	0.0070268	0.041365	0.0720397	0.0651228	0.151898	0.239761	0.412237
a87	0.0242908	0.0143625	0.0206709	0.0216921	0.0633543	0.0997294	0.0859407	0.137972	0.178828	0.353159
a23	0.0446666	0.0295514	0.0442929	0.0320861	0.0520096	0.0923927	0.0908097	0.122903	0.159304	0.331983
a87	0.0247044	0.0130343	0.027738	0.0205041	0.040664	0.0664984	0.057745	0.110672	0.193235	0.445205
</S>	0.00340842	0.00306022	0.0135584	0.0153259	0.0390152	0.0560179	0.0417432	0.0797975	0.172517	0.575556
