 	au	cours	de	cette	petite	saison	de	pluie	mon	barrage	à	nasses	n'	était	pas	rentable	</S>
a4	0.00346671	0.00261013	0.00681227	0.0114111	0.0169271	0.02389	0.0567456	0.0986515	0.135249	0.138546	0.126277	0.103074	0.0848499	0.0662872	0.0560283	0.0322578	0.0369168
a44	0.00196644	0.0010764	0.00290514	0.00528265	0.0095248	0.0146951	0.0312292	0.0498767	0.083075	0.11324	0.111341	0.118299	0.114357	0.112864	0.107885	0.0612547	0.0611281
a70	0.00186267	0.000982445	0.00279285	0.00557475	0.0112853	0.0179016	0.0332663	0.0461964	0.0771845	0.108206	0.1031	0.113316	0.107607	0.118633	0.11447	0.0655412	0.0720795
a66	0.000853099	0.000443721	0.00116448	0.00209681	0.00593871	0.0104457	0.0165089	0.0197375	0.0346803	0.0506107	0.0477627	0.0626194	0.0834542	0.154867	0.190242	0.145877	0.172698
a20	0.00107762	0.000433416	0.00132757	0.00215041	0.00485341	0.00823638	0.012123	0.0127517	0.0213854	0.0309031	0.0327913	0.0498137	0.083537	0.172075	0.203373	0.156824	0.206344
a7	0.00242588	0.00136087	0.0037936	0.0082341	0.0164559	0.0269303	0.0505703	0.0650681	0.0873474	0.0974415	0.0867362	0.0832302	0.0720987	0.0938036	0.11914	0.06669	0.118674
a23	0.001685	0.000682349	0.00242783	0.00358133	0.007128	0.0109819	0.0183342	0.0189937	0.0282967	0.0386779	0.0373267	0.0570178	0.0883159	0.15628	0.201484	0.114793	0.213994
a27	0.00196145	0.00111745	0.00304003	0.00484411	0.0120868	0.0194878	0.0324684	0.0408469	0.0557164	0.0735563	0.0602937	0.0721177	0.0793402	0.110476	0.168018	0.0850364	0.179593
a54	0.00875176	0.00438819	0.0099831	0.0139723	0.0168008	0.0183172	0.0214833	0.017949	0.0257049	0.0391654	0.0421523	0.0534344	0.0614245	0.104815	0.154595	0.14443	0.262632
a36	0.0114117	0.00417736	0.00788616	0.00785894	0.010596	0.0169407	0.0250844	0.0287608	0.0397414	0.0561936	0.0576985	0.074451	0.0899115	0.127868	0.147311	0.111161	0.182948
a2	0.0101634	0.00407097	0.00936567	0.010088	0.0126313	0.0169762	0.0243378	0.024841	0.034036	0.0531247	0.0551442	0.0754233	0.0882211	0.118403	0.136591	0.114472	0.21211
a27	0.0105474	0.00522788	0.0110396	0.0133551	0.0154284	0.0164317	0.0196321	0.0165255	0.0208031	0.0331489	0.0318425	0.0416658	0.046784	0.0909545	0.165295	0.170105	0.291213
a2	0.0559516	0.0290736	0.0408031	0.0341248	0.0354316	0.0349825	0.0373929	0.0358189	0.0319928	0.0392575	0.0368069	0.0342779	0.0330111	0.0450992	0.105463	0.148737	0.221776
a57	0.0994827	0.0507487	0.0544248	0.0330976	0.0276101	0.0272788	0.0310177	0.0341346	0.0308524	0.0386821	0.038862	0.033955	0.0312485	0.0404238	0.097152	0.12052	0.21051
a87	0.10655	0.0592507	0.0617837	0.0359244	0.030872	0.0297539	0.032058	0.0352761	0.0337741	0.0442109	0.0536583	0.0432306	0.0356824	0.0471115	0.0913796	0.0942577	0.165226
</S>	0.154109	0.0950055	0.0965011	0.0544889	0.0406581	0.0368686	0.0400196	0.0536237	0.0583474	0.0649194	0.0863089	0.0537657	0.0366258	0.0294521	0.0368902	0.0253677	0.0370484
