 	ce	petit	enfant	n'	a	pas	pu	bien	nettoyer	son	habit	voilà	pourquoi	il	est	gâté	</S>
a44	0.00475805	0.00565611	0.0108585	0.014378	0.0206498	0.036594	0.0524155	0.0714726	0.0688393	0.123165	0.107796	0.105571	0.0564318	0.0456855	0.0362861	0.0722932	0.167149
a90	0.00793437	0.00677909	0.00972412	0.011884	0.0171109	0.0286916	0.0429582	0.0540732	0.0571222	0.120216	0.133053	0.117596	0.0663944	0.0500478	0.0416058	0.0775421	0.157268
a56	0.00343423	0.00361158	0.00703994	0.00954697	0.0146331	0.0246874	0.0333473	0.0403509	0.0411139	0.0983809	0.112339	0.126576	0.0805764	0.068913	0.0543587	0.0955133	0.185577
a43	0.00241855	0.00218614	0.00448509	0.00649938	0.0115265	0.0227527	0.032146	0.0425937	0.0432308	0.105932	0.124495	0.144774	0.0986874	0.0745398	0.0518573	0.0800984	0.151777
a11	0.00322644	0.00255418	0.00428741	0.00578771	0.00953856	0.0167673	0.0249972	0.0359965	0.0375738	0.0881189	0.100538	0.127278	0.0869431	0.06985	0.0545128	0.10141	0.23062
a90	0.00366088	0.00274202	0.00401496	0.00519341	0.00811752	0.0141616	0.0225527	0.0329093	0.0344941	0.0745041	0.0759639	0.105657	0.0764772	0.0710613	0.0637188	0.123715	0.281056
a69	0.00160592	0.00143088	0.00265992	0.00365941	0.00616287	0.0122017	0.0189441	0.027603	0.0290866	0.0744678	0.0819783	0.115364	0.0820135	0.077787	0.0653555	0.129941	0.269739
a40	0.00118344	0.00109755	0.00215718	0.00306523	0.00524072	0.00999833	0.0149651	0.022717	0.0232334	0.0587534	0.0701098	0.102741	0.0728036	0.0802697	0.0677093	0.146459	0.317497
a47	0.00114616	0.00118425	0.00231575	0.00309914	0.00500709	0.0094638	0.0134081	0.0209833	0.021019	0.0504557	0.0599149	0.094196	0.0701209	0.0798895	0.0718741	0.152175	0.343747
a37	0.000631659	0.000620836	0.00121701	0.00163675	0.00275038	0.0051629	0.00743297	0.0134505	0.0139853	0.0368115	0.0462185	0.0699615	0.0504245	0.0678992	0.0824968	0.198918	0.400382
a6	0.00114321	0.000912124	0.00145488	0.0017614	0.00275052	0.00486943	0.00680837	0.0106515	0.0108565	0.0285445	0.0374196	0.0601258	0.0467737	0.0688814	0.0932048	0.203185	0.420658
a36	0.000722793	0.000642014	0.0010656	0.00126118	0.00194449	0.0035676	0.00488792	0.00820089	0.00836611	0.0237292	0.0319791	0.0538693	0.0446832	0.0670887	0.0997343	0.219606	0.428651
a2	0.0024851	0.00185742	0.00221443	0.00239202	0.00313786	0.00450489	0.00604156	0.00979221	0.0100487	0.0229885	0.0282346	0.041834	0.0440465	0.090099	0.112335	0.207981	0.410006
a82	0.0149293	0.0107787	0.0100521	0.00954366	0.0102358	0.0109401	0.0113445	0.0154492	0.0138992	0.0225003	0.0268839	0.0385402	0.0523769	0.103899	0.128553	0.212527	0.307547
a87	0.0366521	0.0223151	0.0185051	0.0181973	0.0191343	0.020037	0.019455	0.0232257	0.0224144	0.0271189	0.0291718	0.044044	0.0625238	0.11731	0.129208	0.179487	0.211201
a97	0.0727854	0.0426326	0.0277979	0.0241813	0.0204765	0.0217072	0.0186698	0.0218985	0.0234531	0.0373803	0.0413114	0.0714541	0.088382	0.104477	0.104024	0.13292	0.146449
a62	0.048637	0.0292067	0.0171156	0.01347	0.0115913	0.0154858	0.015473	0.0235343	0.0283724	0.0397056	0.0470723	0.0705779	0.0805861	0.0986677	0.122167	0.17276	0.165577
a75	0.0229861	0.0142868	0.00829806	0.00550922	0.00476637	0.00599577	0.00633308	0.00998515	0.0132329	0.0254698	0.0362589	0.0576489	0.0739053	0.0910138	0.144354	0.225555	0.254402
a79	0.00211007	0.00150399	0.00149902	0.00132026	0.00148091	0.00216295	0.00275885	0.00566181	0.00717885	0.026486	0.0319178	0.0628248	0.0951352	0.145415	0.150893	0.184868	0.276784
a37	0.000590852	0.000639647	0.0010384	0.00109666	0.00152899	0.00284652	0.00402811	0.00796924	0.00862669	0.0254802	0.030384	0.0474066	0.0594832	0.113297	0.149733	0.206137	0.339714
a93	0.000611313	0.000544803	0.000888132	0.00110008	0.00180771	0.00396479	0.00647902	0.0109896	0.0117305	0.0317771	0.0380787	0.0587708	0.0646091	0.106599	0.12486	0.190729	0.346461
a96	0.000304285	0.000336531	0.000717027	0.000991415	0.0017973	0.0041506	0.0062811	0.0109953	0.0112449	0.0284538	0.0316799	0.0509438	0.0576708	0.108879	0.130872	0.204591	0.350091
a93	0.0009613	0.000872622	0.00142899	0.00172682	0.00275734	0.00539609	0.0081744	0.0136245	0.0141192	0.0360454	0.0358076	0.0589406	0.0676468	0.108377	0.112519	0.166332	0.365271
a94	0.00122621	0.00109775	0.00164361	0.00191027	0.00289041	0.00515037	0.00763724	0.012129	0.0131131	0.0316855	0.0294685	0.048028	0.0563876	0.0970876	0.110353	0.175821	0.40437
a96	0.0010111	0.000897868	0.00120931	0.00139314	0.00206486	0.0036013	0.00571538	0.00918251	0.0103653	0.0248724	0.0237823	0.0393702	0.0413638	0.078073	0.0986726	0.184454	0.473971
a88	0.00104475	0.00103714	0.001798	0.00221022	0.00339199	0.00557699	0.00746523	0.0110842	0.0110686	0.0243473	0.0221619	0.042795	0.0497997	0.0862465	0.0965885	0.17162	0.461764
a71	0.000892478	0.000793155	0.00114764	0.00133963	0.00201277	0.00319005	0.00439002	0.00756873	0.00784398	0.0167231	0.0156555	0.0261688	0.0318031	0.0643867	0.0882633	0.197213	0.530608
a38	0.00613604	0.00462152	0.00428175	0.00417123	0.00501882	0.0075921	0.0104729	0.0164025	0.0178015	0.0299603	0.0327196	0.0496297	0.0492655	0.0909581	0.106043	0.207318	0.357608
a70	0.00885862	0.00691958	0.0059027	0.00512175	0.00538976	0.00641787	0.00787052	0.0123131	0.0133122	0.0212016	0.0243112	0.0372495	0.0423913	0.0779993	0.106518	0.220643	0.39758
a96	0.00123937	0.00107724	0.00143358	0.00157851	0.00227181	0.00354161	0.00505751	0.00903923	0.0100132	0.0196508	0.0209153	0.0345719	0.0402853	0.0744814	0.101202	0.214146	0.459496
a66	0.00146205	0.00131268	0.00184797	0.00203835	0.002879	0.00428016	0.00558802	0.0100055	0.0107849	0.02057	0.0218293	0.0367432	0.043145	0.077794	0.100927	0.2121	0.446692
a26	0.00954629	0.00807792	0.00762327	0.00701122	0.00754736	0.00922071	0.0112971	0.015797	0.0165881	0.0250568	0.0286448	0.0417119	0.0427179	0.0776246	0.0997546	0.213793	0.377988
a9	0.0433156	0.0323534	0.0270753	0.0248192	0.0232075	0.0236063	0.0230381	0.0259885	0.0271501	0.0334639	0.0352715	0.0470614	0.053385	0.0887261	0.100492	0.157909	0.233138
a82	0.0718184	0.0378309	0.021805	0.0173277	0.0143082	0.0142469	0.0129343	0.014938	0.0166616	0.022825	0.0248525	0.0432038	0.0601846	0.100447	0.114842	0.173021	0.238753
a97	0.0649288	0.0384642	0.0201272	0.0141297	0.0106365	0.0108955	0.00997221	0.013086	0.0155222	0.0247466	0.0283743	0.0516837	0.0661181	0.0903	0.112869	0.183291	0.244854
a99	0.0489834	0.0308234	0.0176831	0.0130037	0.0103658	0.0120208	0.0115827	0.0160492	0.0196933	0.0341539	0.0393823	0.0662667	0.0750114	0.0913401	0.113094	0.179084	0.221462
a97	0.0292054	0.0179063	0.0100216	0.00682912	0.00564841	0.00728649	0.00704329	0.0134754	0.01718	0.0283965	0.0360745	0.0581316	0.0665703	0.0763689	0.127996	0.234095	0.257772
a99	0.0176569	0.0132244	0.00891652	0.00652156	0.00574951	0.00777932	0.00756221	0.0134353	0.0166751	0.0255611	0.0333574	0.0485435	0.0561999	0.0678622	0.129529	0.257469	0.283957
a97	0.023883	0.0177831	0.0128007	0.00907218	0.00799175	0.00948413	0.00889527	0.014217	0.0178604	0.0266076	0.0379709	0.0505359	0.0637533	0.0808654	0.147705	0.238453	0.232122
</S>	0.0202285	0.0154682	0.0116602	0.0088195	0.00805937	0.00984384	0.00892944	0.0135452	0.0160073	0.0206102	0.0281863	0.038814	0.0499734	0.0647698	0.13499	0.266055	0.28404
