 	la	pierre	que	j'	ai	lancée	au	chien	l'	a	atteint	</S>
a44	0.000753586	0.000779286	0.00191285	0.00338268	0.0037092	0.00606137	0.00767649	0.0147206	0.0295961	0.0748973	0.264079	0.592431
a58	0.000980519	0.000999431	0.00238586	0.0040397	0.0042944	0.00689065	0.00969473	0.018394	0.0359733	0.0816245	0.26252	0.572203
a82	0.00652844	0.00631198	0.00781987	0.00863302	0.00806899	0.0125773	0.0156723	0.0272149	0.048126	0.0936854	0.250341	0.515021
a97	0.0607633	0.0326376	0.0270303	0.0262426	0.032943	0.0841807	0.085298	0.101727	0.104511	0.103129	0.143827	0.197711
a87	0.0764507	0.0313358	0.0249233	0.0273178	0.0372789	0.0777309	0.0924474	0.115278	0.121613	0.114193	0.139917	0.141514
a97	0.0565339	0.021087	0.0173598	0.0199665	0.025822	0.0537852	0.0741568	0.108736	0.124707	0.126958	0.178714	0.192174
a82	0.0438712	0.0169238	0.0152623	0.01978	0.0273848	0.0509593	0.0639432	0.0796067	0.0921135	0.123311	0.209107	0.257737
a3	0.022081	0.0122559	0.0154983	0.0261055	0.0396775	0.0586907	0.0579208	0.0593947	0.0667373	0.100281	0.210527	0.33083
a97	0.0296715	0.0196753	0.0306612	0.0455304	0.0558536	0.0663343	0.0579723	0.0523093	0.0555399	0.0810433	0.181615	0.323794
a3	0.0242234	0.0160667	0.020749	0.0278995	0.0340322	0.0414529	0.0396804	0.0382784	0.0448274	0.0779703	0.2114	0.42342
</S>	0.0499891	0.0382181	0.0547241	0.0654501	0.0742967	0.0815311	0.0687705	0.056477	0.0531021	0.0652173	0.134528	0.257696
