 	j'	ai	ramassé	un	vieux	couteau	sur	la	route	d'	ekyembe	</S>
a79	0.00534641	0.00406923	0.00579442	0.00883366	0.0193255	0.0357574	0.0698915	0.0723577	0.0916715	0.153393	0.208262	0.325297
a47	0.0018479	0.0015088	0.00234029	0.00508546	0.0133661	0.0303727	0.0637562	0.0652136	0.0803292	0.14774	0.220212	0.368228
a73	0.000857526	0.0007117	0.00115479	0.00266225	0.0076005	0.0180743	0.0411803	0.040867	0.053932	0.108226	0.217255	0.507478
a7	0.00111556	0.000936608	0.00151669	0.00340737	0.00797698	0.0164161	0.0325729	0.0327428	0.0444375	0.0888577	0.198147	0.571873
a44	0.0022249	0.00159269	0.00221107	0.00418451	0.00826094	0.0166575	0.0363907	0.0365528	0.04571	0.084528	0.201653	0.560034
a4	0.00209164	0.00152227	0.00206249	0.00352847	0.00664505	0.0132214	0.0296694	0.0327573	0.0476829	0.0996408	0.210927	0.550252
a57	0.000838276	0.000631549	0.000842722	0.00159904	0.00339349	0.00725308	0.0191374	0.0249107	0.0428919	0.108877	0.226545	0.56308
a53	0.0045836	0.00366388	0.00448771	0.00625622	0.00881263	0.0141363	0.0264041	0.0277236	0.0401195	0.0909489	0.212981	0.559883
a93	0.00121076	0.0010249	0.00141613	0.00238368	0.00409991	0.00726587	0.0150477	0.0199877	0.0339733	0.093016	0.218303	0.60227
a70	0.000319531	0.000267108	0.000423467	0.000837104	0.00175765	0.00372036	0.00896866	0.0117347	0.0226704	0.0724507	0.186888	0.689963
a62	0.000450584	0.000402104	0.000636403	0.0010943	0.00196572	0.00387956	0.00806774	0.00975203	0.0189722	0.0588336	0.167824	0.728122
a88	0.00104409	0.000966781	0.00143291	0.00248959	0.00364231	0.00703527	0.012672	0.0142459	0.0276547	0.0845785	0.225808	0.61843
a71	0.00142821	0.00136574	0.0018446	0.00298338	0.00387071	0.00699201	0.0112786	0.0119167	0.021612	0.0625532	0.195262	0.678892
a50	0.0140854	0.0114158	0.0117859	0.017249	0.0185408	0.0277645	0.0378562	0.0345372	0.0461155	0.081827	0.180483	0.51834
a83	0.0226639	0.0171064	0.0171185	0.023859	0.0277967	0.0403574	0.057805	0.0536671	0.064463	0.102514	0.172429	0.40022
a71	0.00193035	0.00189233	0.00231671	0.00398476	0.00497799	0.00938276	0.0156109	0.0159765	0.0266023	0.0710013	0.210567	0.635757
a83	0.00758377	0.00648748	0.00706236	0.0103494	0.0119258	0.0193184	0.0311868	0.0309379	0.0434251	0.0855842	0.18952	0.556619
a9	0.00323314	0.00300268	0.00360451	0.00574317	0.0066294	0.0109852	0.0168614	0.0164665	0.025905	0.0635068	0.187645	0.656417
a87	0.0183716	0.0143874	0.0140954	0.0172646	0.0183435	0.0273424	0.0418241	0.0415028	0.0519601	0.0859843	0.167225	0.501698
a23	0.100171	0.0562334	0.0447479	0.0384808	0.036197	0.0446588	0.0607046	0.0598456	0.0638798	0.0872454	0.133965	0.273871
a87	0.0644428	0.0350951	0.0302087	0.0274706	0.0250608	0.0363977	0.0529367	0.049297	0.0559593	0.0781895	0.163527	0.381415
a23	0.0177197	0.0145684	0.0155042	0.0180504	0.0217386	0.037159	0.0528005	0.0446821	0.0484058	0.0643478	0.158981	0.506043
a87	0.0332966	0.0235794	0.0226572	0.0242871	0.0258963	0.0427116	0.0592458	0.0511976	0.0559592	0.0757478	0.170161	0.41526
</S>	0.0221089	0.0151297	0.0153242	0.0210426	0.0262683	0.0437108	0.0553708	0.0463789	0.0489541	0.0650293	0.159409	0.481273
