 	j'	étais	triste	parce	que	mon	oncle	m'	a	traité	d'	ingrat	</S>
a44	0.00745037	0.00770043	0.00783203	0.0235291	0.0583109	0.0888963	0.120854	0.125077	0.123073	0.10168	0.0872115	0.101788	0.146597
a93	0.00587826	0.00594862	0.00624929	0.0191479	0.0471917	0.0765738	0.110469	0.116734	0.12292	0.112567	0.0997214	0.115939	0.16066
a4	0.00456246	0.00469521	0.00519729	0.018401	0.0475295	0.0748125	0.104584	0.108576	0.114603	0.111433	0.102464	0.12028	0.182862
a54	0.00630246	0.00555829	0.00598381	0.0157448	0.0392225	0.0647954	0.0888866	0.0930732	0.101931	0.104438	0.108754	0.133402	0.231908
a36	0.00396655	0.00448677	0.00594282	0.0179795	0.0498313	0.0741489	0.104064	0.103392	0.0884814	0.0838932	0.0937309	0.142546	0.227536
a27	0.0013194	0.00141343	0.0016919	0.00556019	0.0154139	0.0255652	0.0409747	0.0507929	0.0631556	0.0882269	0.123654	0.196897	0.385335
a11	0.0023613	0.00214781	0.002331	0.00416199	0.00908041	0.0166455	0.0309005	0.0466784	0.0637521	0.0800861	0.0903565	0.143565	0.507933
a83	0.00618769	0.00480175	0.00408729	0.00574939	0.0094021	0.0166395	0.0348205	0.0539524	0.0736255	0.103779	0.132	0.168081	0.386875
a36	0.00181332	0.00172965	0.00168094	0.00272847	0.00599049	0.0121497	0.0243811	0.0374806	0.0577233	0.0936192	0.137161	0.19426	0.429282
a37	0.00191375	0.00174049	0.00182095	0.00296027	0.00609344	0.0119192	0.0241413	0.0354377	0.0480243	0.075888	0.116535	0.181839	0.491687
a54	0.00109326	0.00108814	0.00111271	0.00190886	0.00393123	0.00748	0.0142341	0.0216947	0.0320829	0.0616424	0.110983	0.196035	0.546713
a15	0.00126883	0.00121262	0.00128151	0.0035627	0.00847676	0.0148791	0.029253	0.0424755	0.0577191	0.102146	0.138188	0.240686	0.358851
a79	0.000540215	0.000711033	0.000956984	0.00299105	0.00808037	0.0152407	0.0299393	0.0391025	0.0451627	0.0758207	0.110857	0.241301	0.429296
a44	0.000452979	0.000594707	0.000722417	0.00216689	0.004849	0.00860761	0.0145156	0.0192883	0.0240926	0.0484408	0.0902484	0.233584	0.552437
a13	0.000809301	0.00079779	0.000774096	0.00155991	0.00289093	0.00474372	0.00750978	0.0101064	0.0139322	0.0355892	0.0834559	0.183482	0.654349
a50	0.00234064	0.00209998	0.00196231	0.00263252	0.00394122	0.00536582	0.00747321	0.0104809	0.0143849	0.0328832	0.0700546	0.147692	0.698689
a88	0.00918969	0.00777408	0.00683838	0.00943748	0.0167084	0.0241767	0.0298356	0.0304523	0.028658	0.0548411	0.0990824	0.200751	0.482255
a83	0.00490141	0.0045838	0.00348517	0.00469389	0.00605287	0.00779471	0.00905446	0.0112336	0.0137367	0.0321609	0.0743095	0.188119	0.639874
a71	0.0022504	0.00232042	0.00225046	0.00322776	0.00505698	0.00754319	0.0107987	0.0143341	0.0180307	0.0391924	0.0862037	0.202598	0.606194
a13	0.00720856	0.00613311	0.00529995	0.00692892	0.0100468	0.0134485	0.0167887	0.0182587	0.0194364	0.0416024	0.0780827	0.190748	0.586017
a50	0.0110141	0.00864481	0.0071241	0.00942605	0.0140354	0.0183864	0.021742	0.0228265	0.0240859	0.0514523	0.0945604	0.209485	0.507217
a88	0.0026739	0.00253472	0.00245209	0.00384795	0.00707225	0.0103891	0.0128065	0.0138452	0.0141612	0.0310005	0.0791905	0.191946	0.62808
a71	0.00153287	0.00156063	0.00154667	0.00248087	0.00513009	0.00853818	0.0126766	0.0149834	0.0165079	0.0331947	0.0708502	0.177287	0.653711
a10	0.0081648	0.00681521	0.00566979	0.00748465	0.0106074	0.0138743	0.0166583	0.0172739	0.0186447	0.0444558	0.0904385	0.213553	0.546359
a87	0.0187567	0.0131671	0.00816444	0.0106714	0.0128519	0.0161634	0.0192438	0.0240799	0.0331057	0.075056	0.125647	0.207928	0.435165
a23	0.12644	0.0708364	0.0263668	0.0236687	0.0227496	0.0268361	0.0314833	0.0528886	0.0853859	0.12544	0.123005	0.127985	0.156915
a87	0.0672046	0.0407555	0.0182296	0.0244985	0.026316	0.0304337	0.0459526	0.0803151	0.103192	0.112906	0.113032	0.13088	0.206285
</S>	0.0489245	0.037613	0.0182348	0.0240917	0.0276371	0.0323457	0.0506975	0.0835123	0.0885262	0.0841495	0.102217	0.15126	0.250791
