 	dans	ce	village	on	parle	mal	de	ngala	parce	qu'	elle	a	fait	une	bonne	récolte	d'	ignames	</S>
a6	0.00543029	0.00644426	0.00963914	0.0239717	0.0518268	0.0802338	0.0935748	0.108184	0.0770269	0.0572577	0.0495443	0.0380356	0.0349747	0.0301868	0.0269995	0.0306122	0.0342692	0.0547758	0.187012
a56	0.00545453	0.00672742	0.0105253	0.0293719	0.0610184	0.0942849	0.104261	0.114807	0.0775652	0.0546499	0.0471705	0.0354696	0.0318594	0.0271745	0.0258172	0.0284548	0.0282748	0.0500104	0.167104
a70	0.0028328	0.00312637	0.00468614	0.0129062	0.032609	0.0582393	0.0819089	0.0999657	0.0762403	0.050379	0.0405963	0.0271097	0.0253634	0.0232037	0.0203106	0.0236213	0.0276847	0.0629021	0.326315
a13	0.00164327	0.00185854	0.00277456	0.00854755	0.0196981	0.0325343	0.0521268	0.0693441	0.0555531	0.0363393	0.0328489	0.0222386	0.0205185	0.0194381	0.0187637	0.023606	0.0322985	0.0720539	0.477814
a11	0.00115256	0.00124103	0.00151505	0.00350265	0.00780235	0.0149137	0.0266982	0.0461777	0.0417269	0.0319495	0.0293382	0.0196686	0.0155973	0.0134946	0.0152363	0.0196897	0.0301232	0.0664653	0.613707
a54	0.00142816	0.00142219	0.00161792	0.00318195	0.00630373	0.0126849	0.0221161	0.0398507	0.0372484	0.0290695	0.0268171	0.0176122	0.0137871	0.011819	0.0127432	0.016651	0.0279556	0.0667428	0.650949
a7	0.000773062	0.000940285	0.0012794	0.00395165	0.0110445	0.0196455	0.0266527	0.0406438	0.0345446	0.0235104	0.0224853	0.012813	0.00908874	0.00819138	0.00844172	0.013096	0.0212679	0.0708299	0.6708
a2	0.000977797	0.00100975	0.0011461	0.0023129	0.00559455	0.0126835	0.0212241	0.0371609	0.0330962	0.0286909	0.0336794	0.0200193	0.0136147	0.0129966	0.0129126	0.0193269	0.026602	0.0842713	0.632681
a84	0.00539993	0.00451501	0.00456952	0.00609333	0.00886355	0.0180422	0.0293021	0.0416381	0.0334024	0.0324915	0.0415433	0.0337753	0.0293569	0.0344373	0.0328425	0.0434351	0.0553942	0.125994	0.418904
a82	0.0466833	0.0275746	0.0242425	0.026339	0.0269194	0.0344277	0.0400396	0.0477653	0.0472436	0.0497482	0.0628567	0.0612651	0.0531558	0.062102	0.057542	0.0576895	0.0571482	0.0900159	0.127242
a57	0.0703407	0.0341545	0.0230026	0.0210317	0.0219537	0.0266637	0.0319828	0.042287	0.0471398	0.053181	0.0777721	0.0841884	0.0757311	0.0854145	0.0648724	0.0517241	0.0452036	0.0760326	0.0673238
a10	0.0463945	0.0269771	0.0179501	0.0163348	0.018952	0.0248633	0.0321017	0.0481348	0.051885	0.054613	0.0787478	0.0833428	0.0780017	0.0885307	0.0712041	0.057933	0.0550905	0.0936792	0.0552638
a87	0.0381156	0.0267503	0.0191886	0.0189065	0.0247688	0.0353665	0.0472821	0.0650742	0.0652971	0.0601044	0.0718228	0.0734314	0.0643337	0.0701967	0.0639277	0.0576254	0.0501731	0.0908835	0.0567516
a23	0.0353236	0.0256555	0.0188433	0.0188355	0.0249271	0.0368027	0.0468628	0.0636216	0.0612698	0.0567502	0.0701867	0.0748528	0.0629096	0.0674309	0.0674241	0.066347	0.0549829	0.0916249	0.0553488
a87	0.0832402	0.0582906	0.0431091	0.0359507	0.034046	0.0375524	0.0435572	0.0551677	0.0518216	0.0505593	0.0620167	0.0507472	0.0451019	0.0462179	0.040742	0.0416613	0.0335813	0.0768986	0.109739
</S>	0.0750009	0.0619895	0.0454588	0.0398418	0.0494392	0.0601446	0.0576986	0.0643191	0.0545113	0.0451422	0.0549472	0.0467372	0.0394027	0.0412552	0.040133	0.0448975	0.0356579	0.0685136	0.0749098
