 	cette	femme	est	avide	quand	elle	voit	quelqu'	un	avec	de	la	nourriture	elle	doit	en	manger	</S>
a90	0.126402	0.146352	0.115329	0.109125	0.103656	0.115466	0.113944	0.0551652	0.0248166	0.0142249	0.0104675	0.00849653	0.00798404	0.00733108	0.00812682	0.00902542	0.010701	0.0133868
a92	0.0880207	0.113768	0.102646	0.109922	0.106882	0.115448	0.114011	0.0685446	0.0384934	0.0228403	0.016178	0.0125092	0.0110954	0.0106802	0.0124177	0.0146614	0.0182177	0.0236644
a37	0.0640614	0.0880767	0.0898287	0.119031	0.115318	0.128361	0.129699	0.0695921	0.046624	0.0297271	0.0208483	0.0151912	0.0127499	0.0109746	0.0114787	0.0123058	0.0154145	0.0207177
a21	0.0720727	0.0931822	0.0974079	0.122555	0.11763	0.12792	0.130799	0.0726054	0.0411946	0.0256726	0.0184491	0.0137691	0.0116832	0.00980465	0.00936406	0.00956533	0.0113639	0.0149612
a47	0.0663188	0.0849793	0.09292	0.114448	0.121131	0.118317	0.119074	0.0838759	0.0490981	0.0366015	0.0280733	0.0193725	0.0148898	0.0104579	0.00893084	0.00845823	0.00996998	0.0130836
a61	0.0439719	0.0643383	0.0830645	0.108618	0.120701	0.130492	0.128673	0.0834914	0.0542115	0.0374808	0.0286367	0.0216396	0.0192066	0.0162892	0.0143014	0.0133605	0.0143188	0.017205
a43	0.0239975	0.0389437	0.0549638	0.0876714	0.128164	0.146807	0.139399	0.111027	0.0728532	0.0508599	0.0363026	0.0246688	0.0191663	0.0136247	0.0113778	0.0111912	0.0128335	0.0161482
a11	0.0145988	0.0268776	0.0433457	0.0812001	0.125221	0.152861	0.13664	0.138201	0.0965656	0.059141	0.0362123	0.0219327	0.014996	0.00951989	0.00797237	0.00848022	0.0105713	0.0156641
a0	0.0106239	0.0174852	0.0306126	0.0754299	0.112029	0.145582	0.122424	0.145865	0.115207	0.0741241	0.0472239	0.0278941	0.017329	0.0105983	0.00876077	0.0093104	0.0118026	0.0176984
a11	0.00911845	0.013707	0.0240262	0.0665895	0.1096	0.141313	0.123498	0.15432	0.120375	0.0784966	0.050557	0.0298854	0.0183625	0.0112873	0.00932301	0.0099561	0.0122592	0.0173264
a66	0.0117795	0.0157207	0.0234791	0.0599829	0.0964415	0.130462	0.110321	0.156336	0.137285	0.0894092	0.056526	0.0337435	0.0212674	0.0123972	0.00926779	0.009173	0.0110062	0.0154006
a38	0.0133441	0.0162063	0.0229653	0.0559401	0.0936014	0.114227	0.0940733	0.153112	0.140951	0.0976095	0.0621413	0.0400269	0.027138	0.0170655	0.0116972	0.0109057	0.0123601	0.0166359
a13	0.0332338	0.0303298	0.0294811	0.0555189	0.0759785	0.0968673	0.0614302	0.132131	0.107396	0.0833325	0.0589933	0.0441131	0.0340962	0.0241412	0.0204633	0.0240906	0.0341831	0.0542197
a3	0.0318606	0.0274382	0.0259792	0.0486397	0.0654355	0.0913299	0.0585249	0.107931	0.0984189	0.0779711	0.0604766	0.0498757	0.0437998	0.0295058	0.0259001	0.0313081	0.0464491	0.0791561
a97	0.0391984	0.028726	0.024555	0.0393872	0.0482029	0.0698721	0.048312	0.0705388	0.0676184	0.0679646	0.0625729	0.0685334	0.0763275	0.0582917	0.0473042	0.0474431	0.0555624	0.0795892
a99	0.0286215	0.025629	0.0271172	0.0511798	0.0473232	0.0664516	0.0440697	0.0506632	0.0555198	0.0650528	0.0708627	0.0825929	0.0847514	0.0753311	0.057035	0.0523098	0.0518433	0.0636461
a3	0.02834	0.0269734	0.0292846	0.0643279	0.065019	0.0843532	0.0459707	0.0619469	0.0625971	0.0693007	0.0673333	0.0699004	0.0608493	0.0517198	0.0438399	0.0473684	0.0534535	0.0674221
a97	0.0618676	0.0514942	0.0443046	0.0629315	0.047002	0.0634099	0.0395778	0.0453866	0.0501038	0.059907	0.0634079	0.0722056	0.0746877	0.067331	0.0547857	0.0489567	0.0452333	0.0474069
a30	0.0784169	0.060904	0.0525571	0.0750818	0.0542115	0.0685953	0.0435422	0.0411295	0.0461275	0.0562906	0.058146	0.0660556	0.0644571	0.0662184	0.0529097	0.0450145	0.0362002	0.034142
a53	0.0568187	0.0390282	0.0313901	0.0489148	0.0375964	0.045509	0.0236806	0.0269011	0.0362659	0.0478035	0.0565552	0.0717714	0.0805191	0.0989973	0.0891643	0.077286	0.0660628	0.0657356
a15	0.0550547	0.0516841	0.0534295	0.08444	0.0545618	0.059988	0.0469693	0.0392659	0.0342438	0.0344206	0.0356485	0.0423889	0.0440574	0.0447021	0.0653932	0.0801078	0.0821941	0.0914505
a69	0.0524635	0.0668675	0.0649102	0.0863761	0.054873	0.0568779	0.0472463	0.0370476	0.0382818	0.0367962	0.0449739	0.0487605	0.0477222	0.0465675	0.0628102	0.0695496	0.0683891	0.069487
a43	0.0444991	0.0662942	0.0627212	0.0847126	0.0499182	0.0526641	0.043798	0.036305	0.0376902	0.0360565	0.0446323	0.048554	0.0487873	0.0471195	0.0632424	0.0703984	0.0746412	0.0879659
a21	0.0296687	0.0443836	0.0439472	0.0540824	0.0534408	0.0600843	0.0520356	0.0525509	0.0490988	0.0459332	0.0455527	0.0453841	0.0462924	0.0431704	0.0560307	0.0662548	0.0852689	0.12682
a12	0.0235029	0.0322336	0.0310323	0.0339669	0.0417145	0.0447616	0.0395363	0.0425863	0.0403795	0.0422618	0.0468084	0.0496455	0.0539045	0.0546303	0.0785312	0.0968774	0.110452	0.137175
a37	0.00934503	0.0151874	0.0235367	0.0448877	0.0711443	0.0770895	0.066538	0.0879149	0.0815068	0.0753162	0.0670085	0.0583374	0.0479813	0.0407024	0.0459089	0.0519564	0.0591444	0.0764943
a56	0.00702825	0.0105545	0.0168066	0.039481	0.0752827	0.0869081	0.0691932	0.105878	0.102131	0.0907921	0.0766525	0.0639129	0.0496127	0.0393806	0.0384061	0.0378105	0.0394392	0.0507298
a34	0.00491299	0.00790288	0.0124309	0.0298614	0.059841	0.0633563	0.0510969	0.082998	0.0748706	0.0701818	0.0644401	0.058631	0.0516357	0.0511094	0.0573374	0.0662261	0.0799147	0.113253
a75	0.00383313	0.00584023	0.00921073	0.0250594	0.0580733	0.0655679	0.0482002	0.0917058	0.0919412	0.0845956	0.0755497	0.0659697	0.0537399	0.0525903	0.0575559	0.0631433	0.0653384	0.0820851
a6	0.00156147	0.00294557	0.00515997	0.0175202	0.0364448	0.0365536	0.0258819	0.0539274	0.0623798	0.0631668	0.0647077	0.0620826	0.0521481	0.060723	0.0666172	0.0860267	0.11997	0.182183
a37	0.00117676	0.00222169	0.00427439	0.0165068	0.0335436	0.0345147	0.0247671	0.0451132	0.0635148	0.0630935	0.0644253	0.0623424	0.0545756	0.0768554	0.0902861	0.101065	0.11039	0.151333
a21	0.00209826	0.00301137	0.00463328	0.0158241	0.0342346	0.0371557	0.0246473	0.0536272	0.0811477	0.0803757	0.0792083	0.0697202	0.0530492	0.0657417	0.0761878	0.0895431	0.0996388	0.130156
a6	0.00217079	0.00293215	0.00389245	0.010538	0.026997	0.027236	0.0187365	0.045402	0.0649111	0.0706186	0.0819829	0.0795889	0.0693171	0.079426	0.0866979	0.097942	0.106142	0.125469
a36	0.000495633	0.000708574	0.00107499	0.00358047	0.00880567	0.00965985	0.00606806	0.0161508	0.0343046	0.0410186	0.0527739	0.0560931	0.0509201	0.0767275	0.0955665	0.123339	0.16755	0.255163
a2	0.00341655	0.00383947	0.00446206	0.009462	0.0183415	0.0191248	0.0143189	0.0311026	0.0487029	0.0484923	0.0566198	0.0489278	0.0391877	0.0532031	0.0707275	0.110254	0.162994	0.256823
a82	0.0151765	0.0149113	0.0158905	0.0260418	0.0413693	0.036839	0.0320329	0.0587261	0.0713698	0.0646075	0.0587266	0.0499356	0.0399746	0.045636	0.057391	0.0807381	0.119884	0.170749
a3	0.0162406	0.0144481	0.01625	0.0308105	0.0476214	0.0407631	0.039238	0.0538699	0.0698981	0.0643957	0.0565689	0.0544377	0.0474052	0.0551053	0.0707413	0.0876784	0.105924	0.128604
a99	0.0170284	0.00975264	0.00971724	0.0200138	0.0273757	0.0256577	0.02408	0.029688	0.03852	0.0392181	0.0399203	0.0532101	0.063309	0.0852968	0.104769	0.115111	0.132765	0.164567
a53	0.0187478	0.00896159	0.00723015	0.0132864	0.0188213	0.0195398	0.0169768	0.0208525	0.0255217	0.0286611	0.0306879	0.0459251	0.0626267	0.0879435	0.117361	0.139377	0.157276	0.180204
a69	0.00169115	0.00105992	0.000899916	0.00195884	0.00293998	0.00354863	0.0024395	0.00437364	0.0068283	0.00797148	0.0101197	0.0140498	0.0183096	0.0363601	0.083959	0.165248	0.261127	0.377115
a58	0.00079175	0.000854866	0.00109462	0.00347862	0.00643412	0.00613026	0.00432802	0.00847241	0.0143648	0.0151127	0.0165034	0.0173569	0.0159003	0.0273734	0.0603094	0.13617	0.251965	0.413359
a4	0.000817845	0.000727419	0.000720997	0.00177016	0.0032819	0.00409372	0.0030241	0.00544516	0.0102678	0.0117682	0.0138674	0.016067	0.0163547	0.0318036	0.069489	0.146113	0.259114	0.405273
a44	0.000563556	0.00061363	0.000647628	0.0015779	0.00349202	0.00386381	0.00253862	0.00829389	0.0145146	0.0160959	0.0196151	0.022804	0.0223565	0.0410263	0.0808021	0.153959	0.248717	0.358518
a79	0.000305861	0.000311891	0.000313411	0.000749074	0.00165347	0.00189898	0.00124852	0.00437927	0.00924567	0.0111357	0.0142633	0.0161648	0.0150163	0.0302277	0.0664984	0.1456	0.26361	0.417378
a37	0.000242491	0.000221013	0.000228601	0.000493349	0.000765684	0.000815415	0.000542376	0.0014524	0.00384867	0.00536815	0.00834943	0.00996702	0.0102756	0.0215915	0.049954	0.124764	0.27344	0.48768
a47	0.000513677	0.000427182	0.000393532	0.000766693	0.00117923	0.00133776	0.000894728	0.00219979	0.00543277	0.00702147	0.00998175	0.0116353	0.0116861	0.0272551	0.0622834	0.140677	0.271389	0.444925
a96	0.000345019	0.000295092	0.00030796	0.00068653	0.00122669	0.00139053	0.000869444	0.00241013	0.00599987	0.00727886	0.0098863	0.0107144	0.0108115	0.0239905	0.0535279	0.124188	0.269274	0.476797
a88	0.000564331	0.00050222	0.000482054	0.00101188	0.00153237	0.00171279	0.00115232	0.00294518	0.00704225	0.00850872	0.0117885	0.0132634	0.0128295	0.0281943	0.0614474	0.136926	0.266127	0.44397
a62	0.000673102	0.000488984	0.000431219	0.000908893	0.00118519	0.00132774	0.00104755	0.00187871	0.00498513	0.00627487	0.00880229	0.0102307	0.0101456	0.0251473	0.0576602	0.129887	0.262102	0.476823
a12	0.00110243	0.000910693	0.00080133	0.00173843	0.0022495	0.00244102	0.00203928	0.00315013	0.00774022	0.00937554	0.0137475	0.0167581	0.0164535	0.0393283	0.0762132	0.144455	0.24515	0.416346
a18	0.000429447	0.000379906	0.00037006	0.000750625	0.00103542	0.00108588	0.000907909	0.00147097	0.00363822	0.00492497	0.00795114	0.0102855	0.0099327	0.0245843	0.0542497	0.121184	0.252146	0.504673
a27	0.00757288	0.00503106	0.00435676	0.00752364	0.00952473	0.00899313	0.00853715	0.00914282	0.0173707	0.0183782	0.0211459	0.0212367	0.0197015	0.0420333	0.0727021	0.129365	0.223399	0.373986
a9	0.0304407	0.0174813	0.0141239	0.0175706	0.0206475	0.0177971	0.0146026	0.0171136	0.024195	0.0248427	0.0311129	0.0351583	0.0366616	0.0662963	0.093267	0.127529	0.17402	0.23714
a3	0.051733	0.0259374	0.017642	0.0196484	0.0231639	0.0221862	0.0182071	0.0218362	0.0287968	0.032722	0.0453371	0.0577279	0.0594467	0.0834726	0.0918836	0.105244	0.128137	0.166878
a97	0.0479847	0.0246759	0.0173138	0.0210175	0.023818	0.0252716	0.0191808	0.0293583	0.0453702	0.0544999	0.0696246	0.0817433	0.0820016	0.0845749	0.0827337	0.0853437	0.0937757	0.111712
a99	0.0418508	0.0202015	0.0160934	0.0246094	0.0314982	0.0386355	0.0331719	0.0381291	0.0500386	0.0592519	0.0638596	0.0744452	0.0838842	0.077586	0.0742595	0.0760987	0.0879175	0.108469
a3	0.0328208	0.0164782	0.0139892	0.0238192	0.0333958	0.0388032	0.0384093	0.0357285	0.0414913	0.0471786	0.0432047	0.0487543	0.0532762	0.0527708	0.0575647	0.0749361	0.124954	0.222425
a87	0.0338736	0.0188507	0.0165999	0.027049	0.0342299	0.0406337	0.038085	0.0330127	0.036394	0.0404169	0.0359042	0.0407723	0.0435288	0.0438422	0.0493567	0.0691369	0.129922	0.268391
</S>	0.0447004	0.0299466	0.0274043	0.0436448	0.0475165	0.0540376	0.0540689	0.0398098	0.0411429	0.0435232	0.0388586	0.044155	0.0453631	0.0447715	0.046961	0.061346	0.10212	0.19063
