 	l'	huile	de	palme	que	tu	as	laissée	au	soleil	s'	est	fondue	</S>
a21	0.0452435	0.0508146	0.0728386	0.103852	0.146007	0.148989	0.118154	0.0843429	0.0709107	0.0487862	0.0363726	0.0308829	0.0243782	0.0184265
a85	0.0130385	0.0161181	0.0300891	0.0551351	0.111177	0.170183	0.154163	0.115211	0.0958705	0.0636179	0.0498148	0.0477106	0.0434711	0.0344006
a92	0.00482347	0.00646864	0.0165867	0.0395178	0.0964698	0.165836	0.15399	0.135526	0.107033	0.0758221	0.0568432	0.0508305	0.0510038	0.039248
a85	0.00486263	0.0058693	0.0138105	0.0321245	0.0830485	0.142663	0.150966	0.123953	0.108947	0.0805686	0.0665099	0.0651785	0.0691116	0.0523872
a5	0.00358689	0.00479875	0.0123223	0.0289438	0.0733275	0.140728	0.152405	0.126578	0.0998175	0.074457	0.0659557	0.069185	0.0798069	0.0680883
a21	0.00558289	0.00601162	0.011571	0.0219112	0.0510093	0.126862	0.162919	0.164634	0.134994	0.0882831	0.0687691	0.0596416	0.0514858	0.046326
a47	0.00611065	0.00622512	0.00927313	0.0136062	0.0247153	0.0617801	0.0975241	0.116499	0.134024	0.110283	0.10414	0.107088	0.111532	0.0971974
a96	0.00489282	0.00479941	0.00788275	0.0121052	0.0235499	0.0559825	0.102723	0.133842	0.135489	0.111166	0.0977318	0.100206	0.109609	0.10002
a93	0.00330343	0.00308533	0.00540826	0.00835465	0.0163675	0.0323857	0.0607201	0.0932078	0.134436	0.139651	0.130378	0.134394	0.133152	0.105156
a96	0.00245982	0.00237477	0.00357633	0.00557272	0.0102831	0.0202401	0.0372765	0.0595615	0.0919113	0.120248	0.129005	0.160902	0.198456	0.158133
a56	0.00326054	0.00300107	0.00442897	0.00689841	0.0118063	0.0211596	0.0341415	0.0541523	0.0801525	0.10568	0.124135	0.161619	0.213514	0.17605
a75	0.00170281	0.00148953	0.00185639	0.00255079	0.00439361	0.00829043	0.0157863	0.0255768	0.0572589	0.0844869	0.114045	0.167457	0.265745	0.249361
a43	0.000455048	0.000407685	0.000589242	0.000919747	0.00201331	0.00507388	0.0128635	0.0219266	0.0445009	0.0629575	0.0830811	0.134299	0.277221	0.353691
a21	0.000922868	0.000800115	0.00106166	0.00156873	0.00312186	0.00650231	0.0125758	0.0188498	0.0312598	0.0503563	0.074206	0.142745	0.318122	0.337908
a12	0.00142534	0.00123201	0.00141752	0.00180831	0.00287821	0.00554078	0.0100605	0.0158535	0.0265078	0.0408229	0.0637898	0.132049	0.330691	0.365924
a18	0.000810177	0.000759956	0.000901647	0.00121315	0.00229891	0.00480543	0.00960009	0.0129684	0.0199869	0.0307047	0.0464479	0.10219	0.308772	0.458541
a54	0.0054354	0.0056993	0.00593656	0.00735121	0.00886595	0.0142037	0.0210086	0.0282677	0.034934	0.0478717	0.0607132	0.0992046	0.241277	0.419231
a85	0.00026708	0.000222991	0.000246705	0.000304237	0.000618878	0.00131554	0.00348576	0.00571524	0.0116509	0.0225659	0.0345696	0.0755297	0.273155	0.570352
a37	0.000316245	0.000263197	0.000283045	0.000333237	0.000636717	0.00117822	0.00279901	0.0044622	0.00954255	0.0189109	0.0311701	0.0727326	0.279084	0.578288
a61	0.000917385	0.000699394	0.00066454	0.000746288	0.00132863	0.00218807	0.00399869	0.00665242	0.0129261	0.0239724	0.0389352	0.0894201	0.291576	0.525974
a75	0.000725669	0.000587742	0.000575225	0.000662986	0.00107319	0.00187549	0.0033815	0.00608395	0.0107888	0.0204397	0.0354436	0.0900583	0.284034	0.54427
a6	0.000202082	0.000178011	0.000183945	0.000194417	0.000337552	0.000527554	0.0012144	0.00200215	0.00418259	0.00845094	0.0181551	0.0609174	0.311885	0.591568
a36	0.000248012	0.000198316	0.000227574	0.000258811	0.000553074	0.000937624	0.00210908	0.00342991	0.00682414	0.0131199	0.0246129	0.0705598	0.298505	0.578416
a37	0.0058969	0.00516269	0.00430319	0.00397758	0.00424454	0.00403378	0.00600955	0.00804582	0.0158183	0.0313088	0.0471778	0.104327	0.273443	0.486251
a36	0.00296332	0.00257245	0.00223916	0.00226417	0.00272054	0.00322331	0.00524872	0.00737859	0.0132047	0.0288468	0.0483255	0.11671	0.291682	0.472621
a27	0.00649898	0.00584427	0.00531433	0.00509863	0.00544023	0.00599041	0.00889652	0.0109673	0.0180341	0.0361327	0.0555249	0.124218	0.279057	0.432983
a26	0.0441449	0.044385	0.0430526	0.0389989	0.0321363	0.0283232	0.0287764	0.0342704	0.0489052	0.0751928	0.0923896	0.122845	0.161252	0.205328
a3	0.091193	0.0748514	0.0527797	0.0420382	0.0375789	0.0334693	0.0360258	0.0474051	0.0627332	0.0724993	0.079399	0.0920996	0.125357	0.152571
a99	0.112973	0.0765016	0.0391778	0.0276037	0.0265158	0.0237193	0.0347705	0.0492169	0.0649896	0.0703247	0.0819094	0.104636	0.146112	0.141549
a87	0.0301825	0.0194373	0.00808455	0.00515542	0.0065959	0.00625703	0.0127435	0.0206131	0.0312519	0.0442876	0.0721627	0.144473	0.282871	0.315884
a23	0.0643065	0.0478732	0.0226723	0.0144043	0.0167559	0.0171189	0.0320606	0.0434322	0.0530537	0.0603144	0.0718229	0.110077	0.192813	0.253295
a57	0.0431353	0.0324045	0.0190874	0.0135814	0.0162424	0.0134633	0.0308234	0.037024	0.0598631	0.0823331	0.10999	0.157298	0.200557	0.184196
a82	0.013251	0.011045	0.00805978	0.0074174	0.0117407	0.00998358	0.0187795	0.0194232	0.0348677	0.0511852	0.0771795	0.139878	0.265459	0.331731
a57	0.0336556	0.0288174	0.0197176	0.0169251	0.021597	0.017335	0.0245485	0.0284912	0.0359437	0.0456466	0.0651578	0.113311	0.222447	0.326406
</S>	0.0476301	0.0419142	0.0293324	0.0268433	0.0382246	0.0316796	0.0439875	0.0489461	0.0523621	0.0596508	0.0723345	0.102687	0.172028	0.23238
