 	ma	femme	a	un	foulard	rouge	celui	de	ta	femme	est	noir	</S>
a98	0.00400236	0.00409406	0.00566592	0.0143426	0.0314366	0.0725188	0.112188	0.148632	0.150033	0.133662	0.116054	0.102314	0.105057
a85	0.00510233	0.00493676	0.00614061	0.0134533	0.0284353	0.0503994	0.0752947	0.104463	0.124923	0.135992	0.142195	0.151537	0.157128
a92	0.00434935	0.00410867	0.00503333	0.010539	0.0213621	0.0445898	0.0719923	0.105672	0.123192	0.140299	0.143969	0.15633	0.168563
a85	0.00318466	0.00297426	0.00361963	0.0077713	0.0139211	0.0399521	0.0706203	0.108358	0.13185	0.145642	0.145869	0.160807	0.165432
a6	0.00298452	0.0028574	0.00335957	0.00669348	0.0113419	0.0306105	0.0560685	0.0857322	0.108586	0.131652	0.149582	0.19273	0.217801
a36	0.0050218	0.00413119	0.00479942	0.00984581	0.0174171	0.0375024	0.0625397	0.0896253	0.111355	0.147055	0.14732	0.168695	0.194692
a44	0.0210061	0.0199539	0.0205932	0.02381	0.0268477	0.0318557	0.0499015	0.0729897	0.0732449	0.116201	0.131877	0.168298	0.243421
a58	0.00840204	0.00817891	0.00921737	0.0135163	0.0164251	0.0227363	0.0432038	0.0678287	0.0753612	0.132981	0.165618	0.19873	0.237801
a82	0.0347918	0.0295204	0.0294025	0.0355003	0.0432066	0.0358864	0.0399238	0.0473801	0.0430966	0.076215	0.114567	0.183888	0.286622
a87	0.0636949	0.0616513	0.0601184	0.0635848	0.0711957	0.05947	0.053515	0.0567202	0.0573485	0.0780772	0.0933875	0.118991	0.162246
a23	0.150629	0.109889	0.0944938	0.0713543	0.0641878	0.0856983	0.0468652	0.0418132	0.0549461	0.0638807	0.0625959	0.0736952	0.0799521
a40	0.0606466	0.0431986	0.045483	0.0506787	0.0716293	0.103209	0.0585005	0.0568781	0.0724326	0.0920326	0.10361	0.109587	0.132113
a7	0.0411773	0.033786	0.0394733	0.0554802	0.0749499	0.133002	0.0818214	0.0697781	0.0723619	0.0840578	0.0826577	0.103426	0.128028
a54	0.00253022	0.00295221	0.00422384	0.00972825	0.0134174	0.0351226	0.0453163	0.0565418	0.0687062	0.129557	0.170244	0.220763	0.240897
a98	0.00321818	0.003569	0.00443303	0.00896313	0.0162837	0.037807	0.036292	0.0433837	0.0604513	0.105489	0.15062	0.243712	0.285779
a47	0.00271539	0.00303571	0.00400676	0.00781196	0.0126948	0.0278112	0.0274804	0.0318523	0.0445636	0.0906861	0.137585	0.268631	0.341126
a0	0.000869035	0.000897746	0.00112254	0.00272571	0.00517875	0.0145476	0.0222872	0.0349911	0.0542627	0.102588	0.157585	0.273661	0.329284
a98	0.000653119	0.000608689	0.000693006	0.00141765	0.00243235	0.00570334	0.0126546	0.0236027	0.0363441	0.0839955	0.146539	0.276355	0.409001
a92	0.000210815	0.000239243	0.000323067	0.000777829	0.00141143	0.00448279	0.010265	0.0185294	0.0299883	0.0807208	0.140899	0.27731	0.434843
a79	0.000284539	0.000290212	0.000365621	0.000809074	0.00140279	0.0055648	0.0134262	0.027549	0.0456722	0.10286	0.164091	0.259398	0.378286
a44	0.000193651	0.000235292	0.000363582	0.000922708	0.00151274	0.00500512	0.0119436	0.0237784	0.0399933	0.0955539	0.15637	0.259926	0.404201
a58	0.000409062	0.000438406	0.000606542	0.00137031	0.002241	0.00624919	0.0130355	0.0261821	0.0403275	0.0969987	0.165011	0.255836	0.391295
a84	0.00221686	0.00246546	0.00305716	0.00478208	0.00596922	0.00890415	0.0128479	0.0194721	0.0240812	0.0686353	0.138693	0.261531	0.447345
a87	0.0217179	0.0205393	0.0212887	0.025859	0.0303084	0.0353201	0.0344451	0.0396032	0.0431352	0.0767457	0.131148	0.216495	0.303395
a23	0.088417	0.0517402	0.0445234	0.0418425	0.0526084	0.0518406	0.039959	0.0461538	0.0578092	0.0776309	0.108567	0.155303	0.183605
a71	0.0225336	0.0135317	0.0139765	0.0172669	0.0274205	0.0424074	0.0385756	0.0462131	0.0580196	0.0940022	0.141004	0.204253	0.280796
a88	0.0112948	0.00833446	0.00902724	0.0136079	0.0218242	0.0340491	0.043845	0.0565562	0.0583933	0.101885	0.143756	0.198055	0.299372
a71	0.00171299	0.00163939	0.00174053	0.00260315	0.00390985	0.0101389	0.0169059	0.0287055	0.0377266	0.0937295	0.154145	0.247717	0.399326
a25	0.00315332	0.00271115	0.00298792	0.00450182	0.00697318	0.0151467	0.0222042	0.0354267	0.044589	0.092918	0.142784	0.226453	0.400151
a9	0.00994787	0.00731797	0.00764711	0.0102072	0.0151343	0.0236045	0.028149	0.0401798	0.0488585	0.0866115	0.130353	0.206045	0.385944
a10	0.028924	0.018417	0.0178821	0.0195124	0.0276113	0.0410762	0.0440917	0.0599819	0.0677402	0.0920276	0.121248	0.173642	0.287846
a87	0.085011	0.048319	0.043033	0.0355606	0.0485123	0.0655536	0.053222	0.0620342	0.0651275	0.074597	0.0926847	0.126499	0.199846
a23	0.104351	0.0725619	0.0667216	0.0525173	0.0735359	0.107941	0.0686349	0.063724	0.0543298	0.0514807	0.0597991	0.0857367	0.138666
a97	0.0264249	0.0174517	0.0194131	0.025281	0.0464363	0.0802682	0.070893	0.0751478	0.0693595	0.0862142	0.106599	0.145546	0.230966
a87	0.0389117	0.0271097	0.0307941	0.0373692	0.0619285	0.0829858	0.0657531	0.0620182	0.0486326	0.0662737	0.0867797	0.135277	0.256166
</S>	0.0604196	0.0472461	0.0536938	0.0600584	0.094323	0.112076	0.0723417	0.0603523	0.0463549	0.0548303	0.0669172	0.0963319	0.175055
