 	ses	collègues	de	classe	l'	ont	raisonné	parce	qu'	il	est	trop	orgueilleux	</S>
a98	0.0488254	0.0784596	0.0950876	0.116264	0.115498	0.0861875	0.0693358	0.0638709	0.0628029	0.0636111	0.0566687	0.0497817	0.04663	0.0469768
a92	0.0394292	0.0818942	0.101078	0.131734	0.123714	0.0898848	0.0727815	0.0667338	0.0632335	0.0619462	0.0530471	0.0434667	0.0372548	0.0338024
a85	0.0532011	0.0984515	0.105919	0.140312	0.135301	0.0940193	0.0695245	0.0667227	0.059662	0.0514468	0.0420654	0.0327408	0.0263084	0.0243244
a73	0.050718	0.0802401	0.0791067	0.0914655	0.115909	0.090336	0.071395	0.0665081	0.070359	0.0756608	0.0678243	0.0551569	0.0453587	0.0399614
a44	0.0251722	0.0595476	0.0747969	0.103289	0.157158	0.11519	0.0820881	0.0734903	0.0708451	0.0654321	0.0537623	0.0452642	0.0375725	0.0363925
a90	0.0218651	0.052794	0.0611148	0.0835522	0.147839	0.124012	0.0910805	0.0829826	0.0776881	0.0647118	0.05271	0.0490482	0.0429276	0.0476748
a70	0.0256414	0.0619843	0.0685834	0.0792949	0.13134	0.111714	0.0797232	0.072015	0.0802072	0.0774567	0.0674426	0.0573164	0.0430833	0.0441973
a24	0.00845779	0.0246511	0.0247619	0.0396477	0.0959449	0.101438	0.089854	0.0849587	0.106962	0.111772	0.0932473	0.0815172	0.0668471	0.0699404
a0	0.00523914	0.0105235	0.0120076	0.0212554	0.0728973	0.0828755	0.0876974	0.0739645	0.107922	0.120142	0.102527	0.0986548	0.0906268	0.113668
a93	0.00496579	0.0104784	0.0105078	0.0140512	0.04689	0.0627584	0.0699983	0.0584027	0.0945029	0.0984137	0.0978082	0.106692	0.146642	0.177888
a90	0.00302289	0.00973189	0.0110464	0.0201258	0.0632263	0.0713471	0.0699757	0.0657159	0.0960201	0.103412	0.101645	0.117182	0.126514	0.141034
a15	0.00367647	0.0128191	0.0182459	0.0291823	0.0713354	0.076762	0.0738832	0.0718274	0.0980738	0.108297	0.103598	0.114101	0.101525	0.116673
a73	0.00279393	0.00912676	0.0134527	0.0234407	0.0605699	0.0649158	0.0603029	0.0530264	0.0808977	0.0986245	0.101254	0.131619	0.126553	0.173423
a2	0.00207802	0.00541628	0.00665098	0.0120587	0.0419087	0.050268	0.0456289	0.0383246	0.0687157	0.094527	0.104258	0.156697	0.167303	0.206165
a57	0.00234979	0.00399857	0.00529847	0.00576998	0.0278038	0.0481715	0.0477856	0.0360325	0.0617928	0.0687736	0.0792126	0.11009	0.223957	0.278963
a87	0.00575899	0.00804717	0.00579837	0.00500488	0.0167094	0.0285991	0.0403505	0.0328382	0.0546541	0.0698264	0.0903236	0.133076	0.246346	0.262667
a10	0.0117956	0.0190659	0.0150672	0.013511	0.0249567	0.0399568	0.0493442	0.0480394	0.0643019	0.0808261	0.104576	0.150353	0.207559	0.170648
a11	0.0148911	0.0144949	0.0110141	0.00856483	0.0157256	0.0297872	0.0400476	0.0451935	0.0686094	0.0966125	0.131427	0.182981	0.202514	0.138137
a75	0.00146947	0.00312944	0.00114462	0.000858925	0.00284875	0.0084309	0.0127147	0.0162184	0.0323937	0.060671	0.098578	0.184158	0.305459	0.271926
a25	0.002296	0.00572783	0.00478804	0.00731522	0.0163141	0.0247205	0.0267129	0.0256925	0.0348162	0.0526584	0.0791674	0.165793	0.284747	0.269251
a90	0.00154205	0.00429629	0.00434147	0.00689641	0.0197147	0.0257671	0.0247585	0.0211023	0.0283094	0.0429011	0.0589853	0.135184	0.28686	0.339342
a15	0.00109066	0.00418963	0.00488036	0.00796693	0.027664	0.0319471	0.0312665	0.0246058	0.0327039	0.0498529	0.0644906	0.120617	0.292683	0.306042
a44	0.00179245	0.00684923	0.00959518	0.0173193	0.042543	0.051855	0.0501431	0.041242	0.0485425	0.065058	0.0756381	0.129958	0.227013	0.232452
a58	0.000786254	0.00349572	0.00531909	0.0101622	0.0381255	0.0447873	0.0465662	0.0383973	0.0500736	0.0712559	0.0825894	0.127825	0.237262	0.243354
a82	0.00033894	0.0011668	0.00138599	0.00211214	0.0112207	0.017496	0.0200413	0.0190335	0.0286552	0.046302	0.0618175	0.127574	0.298977	0.363879
a38	0.000460004	0.00127505	0.00128194	0.00165324	0.0093333	0.0205514	0.029131	0.0274225	0.0430514	0.0588762	0.0750533	0.121745	0.245303	0.364863
a12	0.000231158	0.000654911	0.000603592	0.000941866	0.00545892	0.0105906	0.0157846	0.0150171	0.0244702	0.0404273	0.0562161	0.124883	0.284221	0.4205
a96	0.000708869	0.00248079	0.00227455	0.00256996	0.010728	0.0169914	0.0214747	0.0192346	0.0300502	0.0493005	0.0674901	0.120257	0.270431	0.386008
a83	0.000404936	0.00171948	0.00156487	0.00184296	0.00957942	0.0159771	0.0182025	0.0162759	0.0288848	0.0476488	0.0659452	0.126383	0.262041	0.40353
a11	0.000324228	0.00134857	0.00110755	0.00116521	0.00535294	0.0103375	0.012584	0.0114552	0.0230744	0.0415634	0.060035	0.124056	0.273754	0.433842
a21	0.000526496	0.00193995	0.00166804	0.00125855	0.00498258	0.0121672	0.0159188	0.0130993	0.0264069	0.0452642	0.0648966	0.127234	0.275362	0.409275
a18	0.000533356	0.00154224	0.00135692	0.00121037	0.00422558	0.00807995	0.011089	0.00994275	0.0190394	0.0370781	0.0552969	0.115326	0.286326	0.448954
a25	0.000314093	0.00131321	0.001128	0.00084704	0.00349429	0.00773055	0.00840639	0.00673081	0.0168656	0.0362359	0.0570526	0.122312	0.285646	0.451924
a75	0.000380689	0.000957853	0.000682803	0.000548563	0.00289752	0.006901	0.00938339	0.00859881	0.0203218	0.0405571	0.0619328	0.126695	0.284845	0.435298
a47	0.000526607	0.00127749	0.00135759	0.00164488	0.00807277	0.0146553	0.0204504	0.0167446	0.0308586	0.0532984	0.0663687	0.128822	0.240123	0.4158
a44	0.000302423	0.00101485	0.00118594	0.00132436	0.00969502	0.0163492	0.0157855	0.0138876	0.0306633	0.0549393	0.0748176	0.13724	0.223004	0.41979
a7	0.000341021	0.00118495	0.00139442	0.00132246	0.00589221	0.0102575	0.010073	0.00757251	0.0166998	0.0316718	0.0467721	0.104475	0.270691	0.491653
a57	0.000286595	0.000899526	0.00102018	0.000818456	0.00347462	0.00764592	0.00919178	0.00719586	0.0173557	0.0316676	0.0479417	0.104302	0.289989	0.478211
a99	0.00474362	0.0068895	0.00655149	0.00397092	0.0131706	0.0300231	0.0393905	0.0310472	0.0512411	0.0684422	0.0930668	0.155221	0.227664	0.268578
a97	0.014751	0.0102845	0.00983767	0.00668047	0.0151316	0.0267065	0.0336308	0.0273756	0.0502641	0.0769938	0.106677	0.168443	0.218737	0.234487
a99	0.0265464	0.0175058	0.0161619	0.0151793	0.0317645	0.0441448	0.0413471	0.0348456	0.0497955	0.0677442	0.0893614	0.15044	0.2049	0.210263
a87	0.0279816	0.0156853	0.011406	0.0115521	0.0222926	0.0318647	0.0294291	0.0242137	0.0347119	0.050696	0.0709733	0.148946	0.250205	0.270043
a23	0.0213717	0.0179412	0.0181101	0.0175599	0.0282367	0.0379282	0.0364992	0.0317666	0.0426768	0.0567081	0.0734698	0.127784	0.227959	0.261989
a99	0.00987051	0.00728659	0.0064505	0.0086914	0.0200148	0.0290056	0.0247677	0.0213336	0.0357012	0.0583361	0.0865946	0.160824	0.272257	0.258867
a9	0.0102966	0.011664	0.00972511	0.0101918	0.0221372	0.026434	0.0207409	0.0178194	0.0321891	0.0553595	0.0871044	0.1652	0.260058	0.27108
a99	0.0133719	0.0150005	0.00980718	0.00791904	0.0164836	0.0195366	0.0145038	0.012477	0.0219867	0.0410495	0.0678113	0.148279	0.259891	0.351883
a9	0.0109899	0.011143	0.00639266	0.00467233	0.010885	0.0145404	0.0117179	0.0109041	0.0200068	0.0395178	0.0672743	0.148748	0.285924	0.357284
</S>	0.0284527	0.0262293	0.0143388	0.0110312	0.0174732	0.0202955	0.0166997	0.0135783	0.0207216	0.0337352	0.0536826	0.122474	0.254805	0.366483
