 	je	ne	sais	pas	pourquoi	il	me	regarde	avec	tant	de	dédain	</S>
a62	0.00216078	0.00182752	0.00237673	0.00485827	0.00733578	0.0110466	0.0128254	0.011392	0.0162991	0.0318329	0.0564516	0.257804	0.58379
a88	0.00190965	0.00181747	0.00268653	0.00572869	0.00827849	0.0120468	0.0127566	0.0113456	0.0163248	0.0310052	0.0612873	0.261804	0.573009
a75	0.00165398	0.00134826	0.00192721	0.00378167	0.00555227	0.00875914	0.00939803	0.00802692	0.0126101	0.0260308	0.0512938	0.237509	0.632109
a85	0.00171557	0.00105255	0.00169725	0.00359636	0.00388689	0.00607261	0.0051847	0.00439445	0.00672692	0.0160153	0.0335286	0.191605	0.724524
a47	0.00128648	0.00104493	0.00182142	0.00330987	0.00347148	0.00504496	0.00416018	0.00342368	0.00527384	0.0143038	0.0348102	0.228541	0.693509
a36	0.0021678	0.00168685	0.00202502	0.00299875	0.00323419	0.00472787	0.004613	0.00495726	0.00946359	0.0350296	0.0774914	0.352648	0.498957
a26	0.0307062	0.0151719	0.0148086	0.0115828	0.0106854	0.0131471	0.00852138	0.0081655	0.0211673	0.0723721	0.154813	0.230283	0.408576
a10	0.0607679	0.0238589	0.0143072	0.0107194	0.00804771	0.0118656	0.00921672	0.0103996	0.0185444	0.0519965	0.120212	0.206253	0.453811
a9	0.0473819	0.0194827	0.00911149	0.00524414	0.00452404	0.00793346	0.00774893	0.0120043	0.0152042	0.0383544	0.12034	0.313843	0.398827
a87	0.0506601	0.0225314	0.0123783	0.00872634	0.00858699	0.0117671	0.0106742	0.0153801	0.0183123	0.0438709	0.13807	0.335714	0.323328
a97	0.0431828	0.019516	0.0139127	0.00962419	0.00883665	0.0116314	0.0115741	0.0190374	0.022065	0.0414085	0.123817	0.33299	0.342404
a87	0.0287629	0.0162375	0.0167599	0.0100677	0.00825294	0.0099297	0.00958574	0.0137797	0.0156033	0.0315366	0.0846631	0.33406	0.420761
</S>	0.030464	0.0194207	0.0161257	0.00951507	0.00716255	0.0091917	0.00985814	0.0176614	0.0246849	0.0489162	0.128018	0.310051	0.368931
