 	les	ressortissants	de	mbesse	polluent	les	ruisseaux	avec	la	plante	lembáa	en	vue	de	tuer	du	poisson	</S>
a24	0.00322122	0.00467653	0.0185358	0.0499399	0.0824565	0.0749073	0.0825823	0.0600562	0.0336987	0.0388817	0.042269	0.0804199	0.0724273	0.0639153	0.0704594	0.0535279	0.0674037	0.100622
a62	0.00445963	0.00557439	0.0209197	0.060014	0.0976393	0.0793843	0.0773685	0.0573785	0.0320878	0.0381203	0.0359084	0.0645534	0.0635975	0.0637614	0.0826206	0.0617411	0.0661624	0.0887091
a70	0.00307567	0.00503983	0.0169671	0.0353379	0.0452269	0.0536083	0.0749656	0.0721375	0.0510955	0.0542135	0.0714703	0.104841	0.0929412	0.0779164	0.0760855	0.0552306	0.0489973	0.06085
a75	0.00364894	0.00560233	0.0188887	0.0388976	0.0472224	0.0513127	0.0698755	0.0545122	0.0355366	0.0364496	0.0535441	0.0916798	0.0844398	0.0829745	0.0959454	0.0789282	0.068417	0.0821245
a47	0.00492279	0.0130709	0.0317432	0.0392773	0.0428744	0.0471639	0.0521096	0.0622516	0.0623459	0.0773208	0.0745288	0.0678401	0.0592368	0.0594367	0.0703945	0.0654681	0.0745136	0.0955011
a36	0.0027395	0.00625721	0.0210457	0.0332743	0.0378324	0.0373136	0.0413972	0.0603951	0.058331	0.0733154	0.074013	0.0856922	0.0713563	0.0712689	0.0848035	0.0709921	0.0730386	0.096934
a2	0.00589225	0.0074373	0.025244	0.0588312	0.0869614	0.0775739	0.0669367	0.0602659	0.0398321	0.0458468	0.0519121	0.0902808	0.0572195	0.0500024	0.0650535	0.0563213	0.0618373	0.0925515
a57	0.0191581	0.0184986	0.0380324	0.0701081	0.124884	0.0956376	0.0719734	0.0450129	0.0305716	0.0377417	0.0304964	0.0608232	0.0401514	0.0377117	0.0465898	0.0486808	0.07467	0.109258
a87	0.0307471	0.0150193	0.0225853	0.0433659	0.0804862	0.0844052	0.0622547	0.0456342	0.038443	0.0601592	0.0540413	0.0712905	0.0624231	0.0662249	0.0610696	0.0580473	0.0661252	0.0776781
a83	0.0712759	0.0195922	0.0164838	0.0392232	0.0849396	0.0837466	0.0515676	0.0460453	0.0436365	0.0676827	0.062485	0.0475942	0.0381012	0.0512247	0.0455475	0.0606325	0.0824216	0.0877997
a50	0.0042321	0.00142097	0.00214027	0.00560157	0.0134581	0.0174039	0.0159174	0.0206187	0.0181785	0.0149823	0.0168752	0.0192267	0.0198931	0.0353812	0.0569094	0.159499	0.278288	0.299974
a88	0.000603512	0.000408395	0.000815331	0.00216041	0.0041387	0.00396235	0.00344867	0.00607666	0.00907611	0.0147976	0.0153716	0.0125817	0.016976	0.0275028	0.0380905	0.136974	0.303521	0.403495
a71	0.000559329	0.000496456	0.00105631	0.00244628	0.00419596	0.00410333	0.0043975	0.0082243	0.0112327	0.0169103	0.0195807	0.0167675	0.0230939	0.0347457	0.0503033	0.163371	0.300811	0.337705
a70	0.000251892	0.000198945	0.000638497	0.00218355	0.00372236	0.0039024	0.00477322	0.00587379	0.0053952	0.00831439	0.0122156	0.015628	0.0233124	0.03582	0.0551124	0.168614	0.302326	0.351718
a44	0.000261087	0.000281007	0.00089586	0.00214476	0.00316133	0.00346139	0.00428908	0.00620564	0.00644219	0.0102856	0.0138137	0.0136328	0.0187785	0.0324066	0.0554267	0.180817	0.31203	0.335667
a79	0.000205954	0.000220776	0.000758559	0.0019877	0.00267097	0.00289013	0.003436	0.0041315	0.00383828	0.00592184	0.00802544	0.00905528	0.0127529	0.0246753	0.0490429	0.17603	0.325022	0.369334
a6	0.000174882	0.000296592	0.00114676	0.00256706	0.00339653	0.00361889	0.00421149	0.00652307	0.00658957	0.00942834	0.0099697	0.0111759	0.0147078	0.0273056	0.0513382	0.152883	0.310562	0.384104
a36	0.000151399	0.000221365	0.000723916	0.00167571	0.00239814	0.00248907	0.00276827	0.00408403	0.00411304	0.00593722	0.00606046	0.00891597	0.0111949	0.0218785	0.0471139	0.14623	0.306764	0.42728
a11	0.000236107	0.000239773	0.000895738	0.00260784	0.00381577	0.00342864	0.00313885	0.00304885	0.00200081	0.00278141	0.00307716	0.00604194	0.005781	0.0098923	0.0252453	0.117261	0.308332	0.502176
a24	0.000234534	0.000144201	0.000493048	0.00158353	0.00263123	0.00277777	0.002358	0.00168949	0.00099202	0.00164971	0.00199293	0.0041385	0.00371425	0.00731655	0.0207423	0.118918	0.316437	0.512187
a71	0.000312975	0.000201425	0.000504208	0.00144471	0.00246351	0.00235869	0.00238318	0.00144976	0.00103972	0.00195079	0.00282653	0.00461893	0.00446329	0.00874821	0.0208202	0.105537	0.288379	0.550497
a9	0.00154488	0.000832909	0.00185723	0.00621975	0.011973	0.00878065	0.00556293	0.00409258	0.00281795	0.00547032	0.00504322	0.00808695	0.00713627	0.0140691	0.0367336	0.136188	0.278628	0.464963
a87	0.00963183	0.00514121	0.00768297	0.0179042	0.0391295	0.0298647	0.0177167	0.0176666	0.0180571	0.0423018	0.0392634	0.034539	0.0287868	0.0436272	0.0780499	0.144992	0.184476	0.241169
a23	0.0186521	0.00667518	0.00746745	0.0177728	0.0491153	0.0540228	0.0338732	0.0343381	0.0327558	0.0732235	0.0764381	0.0801955	0.0629732	0.0690065	0.0645	0.0840295	0.104552	0.130409
a99	0.0054401	0.00091964	0.000728622	0.0019713	0.00559953	0.0107787	0.0156206	0.018945	0.02512	0.0488106	0.0512664	0.0546581	0.0435918	0.0611636	0.0666348	0.12211	0.188058	0.278583
a87	0.00345552	0.000767982	0.000821597	0.00332617	0.010169	0.0171408	0.0234349	0.0323831	0.0379436	0.0511596	0.0430781	0.0549414	0.0438913	0.0552678	0.0697436	0.115987	0.17359	0.262898
a23	0.0022467	0.000614373	0.000735872	0.00281416	0.00743738	0.0109786	0.0149126	0.0162037	0.0169739	0.0285492	0.029199	0.0329657	0.0253605	0.0362504	0.0411792	0.100367	0.228982	0.404229
a87	0.0029906	0.000724649	0.000691864	0.00236044	0.00730992	0.0147283	0.0207685	0.0251214	0.0282927	0.0485691	0.0436045	0.0557871	0.0349232	0.0435233	0.0430177	0.0972403	0.194709	0.335637
</S>	0.00295848	0.000786233	0.000711978	0.00232143	0.00557897	0.0107306	0.0142373	0.0170412	0.0210777	0.036418	0.0326479	0.0381196	0.0255052	0.0327009	0.0329023	0.0956358	0.231497	0.399129
