 	le	bélier	entraîne	le	troupeau	vers	la	rivière	</S>
a94	0.0536812	0.053925	0.0851267	0.142929	0.109014	0.126657	0.120303	0.151898	0.156465
a76	0.0594432	0.0657513	0.0921731	0.157783	0.116114	0.132378	0.113536	0.133565	0.129256
a90	0.0446248	0.0326677	0.0494463	0.0777463	0.076078	0.123042	0.13934	0.218726	0.238329
a13	0.0422008	0.0312472	0.0623754	0.103071	0.101376	0.141714	0.132692	0.181222	0.204103
a54	0.0292582	0.0277889	0.0551633	0.104197	0.133184	0.171019	0.137611	0.164229	0.177549
a41	0.0332034	0.0358939	0.0450431	0.0551958	0.0738186	0.125311	0.153727	0.226776	0.251031
a18	0.0283596	0.0166274	0.0367105	0.0563558	0.0916069	0.142642	0.15585	0.215185	0.256663
a41	0.0160567	0.0141178	0.0264969	0.0512377	0.097276	0.169021	0.166633	0.215246	0.243915
a18	0.0184425	0.0150488	0.0330082	0.0538682	0.106214	0.168618	0.168992	0.198799	0.23701
a53	0.00904517	0.00717719	0.0129775	0.0245	0.071211	0.154283	0.179019	0.246708	0.295079
a94	0.0217564	0.019665	0.0326087	0.0453026	0.0684147	0.124526	0.154138	0.235128	0.29846
a70	0.0116901	0.0114623	0.0229955	0.033083	0.0592526	0.120472	0.156095	0.259672	0.325277
a54	0.0137011	0.0117412	0.0203125	0.0306823	0.0617088	0.126635	0.177058	0.265675	0.292486
a41	0.0187773	0.0156223	0.0264921	0.0360358	0.0565879	0.117446	0.16572	0.251177	0.312142
a73	0.0142132	0.00913082	0.0191187	0.0259925	0.0605815	0.143176	0.190916	0.235244	0.301627
a44	0.0256559	0.0181436	0.0328911	0.0405586	0.0720394	0.138728	0.164921	0.206568	0.300494
a26	0.00948762	0.00992822	0.0256248	0.0383564	0.0591799	0.126743	0.167701	0.246121	0.316858
a11	0.00334389	0.00303978	0.00733043	0.0118954	0.032419	0.0973803	0.162732	0.277052	0.404807
a75	0.00290708	0.00345872	0.00603497	0.00944505	0.0224001	0.0753043	0.148276	0.292637	0.439536
a98	0.00550725	0.00459002	0.0111932	0.0160558	0.0331684	0.0906628	0.138599	0.233275	0.466948
a73	0.0100697	0.00647386	0.0124378	0.0158487	0.0358647	0.0940876	0.147504	0.23557	0.442144
a94	0.00323091	0.00289222	0.00605385	0.00892439	0.0225652	0.0621157	0.109294	0.240767	0.544157
a54	0.00152274	0.0012729	0.00364293	0.00535953	0.0136356	0.044634	0.0998812	0.269183	0.560868
a73	0.00466976	0.00356164	0.00874615	0.0114508	0.0249155	0.069241	0.119628	0.231358	0.526429
a69	0.00467395	0.00466779	0.00912629	0.0117981	0.0242121	0.064801	0.115829	0.229316	0.535575
a20	0.00195933	0.00144267	0.00426029	0.00590458	0.0140296	0.0494681	0.115124	0.269989	0.537822
a73	0.00346907	0.00260076	0.00625934	0.00837578	0.0186495	0.0596773	0.123486	0.255112	0.52237
a20	0.00593529	0.00510732	0.00872768	0.0105745	0.0217082	0.0586457	0.10669	0.226597	0.556015
a69	0.00818828	0.00814549	0.0142223	0.0167662	0.0314818	0.0721441	0.10969	0.21821	0.521152
a57	0.00293311	0.00254365	0.00602772	0.00854016	0.0180071	0.0558316	0.11231	0.265991	0.527815
a11	0.00108826	0.000958686	0.00296518	0.00420825	0.0141527	0.0489251	0.106812	0.276879	0.54401
a75	0.00263041	0.00190258	0.00480483	0.00580859	0.0147943	0.0514438	0.119614	0.267749	0.531252
a56	0.00239557	0.00180053	0.00466181	0.00715267	0.0194326	0.0685326	0.133779	0.265228	0.497018
a43	0.00268753	0.00201829	0.00503757	0.00799964	0.0171294	0.0571396	0.124853	0.286937	0.496197
a32	0.00258867	0.00153919	0.00455487	0.00607661	0.0140805	0.0511888	0.106003	0.253191	0.560778
a11	0.003128	0.00171054	0.00442228	0.00525744	0.0105176	0.0381451	0.0978704	0.261429	0.577519
a88	0.00279073	0.00166936	0.00423721	0.00535168	0.0119413	0.0419297	0.10234	0.259252	0.570487
a71	0.00309606	0.00224706	0.00439233	0.00578755	0.0119724	0.0360696	0.0901801	0.277169	0.569086
a9	0.00395841	0.00299081	0.00450652	0.00563841	0.0110172	0.0359274	0.0878753	0.268693	0.579393
a87	0.00407203	0.00287568	0.00544262	0.00634645	0.0107192	0.0338609	0.0715315	0.262005	0.603147
</S>	0.00407619	0.00191439	0.004606	0.00569832	0.0133434	0.0455395	0.088462	0.276174	0.560187
