 	je	me	suis	égratigné	au	bras	lorsque	j'	ai	heurté	le	mur	</S>
a21	0.0047987	0.00619848	0.0101965	0.0105917	0.0211714	0.0313397	0.0540712	0.0906551	0.114784	0.108281	0.108256	0.176089	0.263567
a12	0.00394616	0.00481471	0.00713685	0.0111313	0.0177059	0.0197412	0.0331921	0.0501082	0.0796097	0.118506	0.147092	0.222757	0.284258
a75	0.00304826	0.00367296	0.00541696	0.00875124	0.0161814	0.0187548	0.0420134	0.062613	0.107195	0.148278	0.161701	0.195004	0.22737
a92	0.002681	0.0035416	0.00545781	0.011196	0.0124668	0.0129878	0.0282787	0.0390122	0.072602	0.0985882	0.164724	0.234481	0.313983
a94	0.00222996	0.00305361	0.00498643	0.0104879	0.0103541	0.0108088	0.021703	0.0285787	0.0551559	0.0751835	0.169886	0.264582	0.342991
a12	0.000963835	0.00130984	0.00256999	0.00433437	0.00567369	0.00648318	0.0171057	0.020173	0.042954	0.052469	0.143504	0.277947	0.424513
a96	0.00120761	0.00160827	0.0029946	0.00553721	0.00876168	0.010495	0.0265744	0.0339372	0.0660353	0.0705695	0.151824	0.248967	0.371489
a75	0.000815002	0.00112634	0.00213163	0.00386426	0.00620291	0.00746316	0.017298	0.0227896	0.0475604	0.0498783	0.132965	0.258832	0.449073
a85	0.000494222	0.000723301	0.00137522	0.00274083	0.00351094	0.00414493	0.0102682	0.0145438	0.033823	0.0373579	0.127154	0.263947	0.499917
a47	0.000612297	0.000884499	0.00169426	0.0031749	0.00340083	0.00374322	0.00845701	0.0122807	0.0286724	0.0315202	0.123205	0.26981	0.512544
a5	0.000659992	0.000969397	0.00207156	0.00448202	0.00420144	0.0043605	0.00975016	0.0138396	0.0287388	0.0329367	0.11265	0.262201	0.523139
a36	0.000703191	0.000858761	0.00180791	0.00354135	0.00574714	0.00689793	0.0143376	0.0157192	0.0295831	0.0271567	0.106399	0.255859	0.531389
a98	0.00278496	0.00207899	0.00463359	0.00699157	0.01639	0.0205277	0.0341285	0.0332045	0.0459595	0.0423934	0.140483	0.252236	0.398189
a85	0.000786514	0.000715767	0.00199506	0.0023318	0.00640351	0.00886263	0.0163626	0.0190378	0.0309427	0.0325905	0.110107	0.25498	0.514884
a6	0.000299885	0.00034013	0.000747208	0.000977804	0.00208696	0.00285228	0.00649655	0.00811252	0.0178709	0.018549	0.0814916	0.251502	0.608673
a37	0.000230203	0.000265477	0.000627122	0.000813247	0.00145106	0.00202122	0.00519531	0.00639673	0.0160199	0.0177897	0.0924067	0.265339	0.591444
a61	0.000871906	0.00082845	0.00226818	0.00261339	0.00621636	0.00819981	0.0143993	0.0166225	0.0325647	0.0330958	0.142154	0.27873	0.461436
a88	0.000774505	0.000765295	0.00176442	0.00222517	0.00565567	0.00684752	0.0120445	0.0147331	0.0305095	0.0296275	0.13743	0.281444	0.476179
a71	0.00130288	0.00110538	0.00260545	0.00376917	0.00738051	0.00779674	0.0121381	0.0143143	0.0289192	0.0320112	0.14224	0.28777	0.458648
a9	0.019445	0.0130264	0.0205061	0.0161989	0.0253395	0.0269865	0.0332184	0.0340779	0.0469478	0.0516276	0.149199	0.228158	0.335269
a99	0.0442423	0.0257744	0.0296666	0.0216019	0.0349034	0.0388937	0.057092	0.0612302	0.0645382	0.0689059	0.139212	0.172496	0.241443
a87	0.0273194	0.0138192	0.0158635	0.0153953	0.0249913	0.0300298	0.052116	0.0606823	0.0757041	0.0829672	0.140492	0.175067	0.285552
a97	0.0166845	0.00874269	0.0099514	0.0111975	0.0192265	0.0220561	0.051941	0.0562815	0.0748333	0.0972687	0.157268	0.190494	0.284055
a87	0.0214863	0.0135604	0.0159621	0.0267513	0.0455759	0.045302	0.0783971	0.0683263	0.0729352	0.0801762	0.106614	0.152984	0.271929
a97	0.0178941	0.0142769	0.0192933	0.0332503	0.0451925	0.0411397	0.0629688	0.0559238	0.0607263	0.0721701	0.112485	0.173684	0.290996
a82	0.0180532	0.0153621	0.0208283	0.0330928	0.0483858	0.0422637	0.0553647	0.0479274	0.0512715	0.0565187	0.095155	0.175747	0.34003
</S>	0.0360177	0.0311237	0.0398339	0.059427	0.0865976	0.0712479	0.0763461	0.0621008	0.0571499	0.0521974	0.0721806	0.118867	0.236911
