 	coupez	cette	plante	parasite	qui	pousse	sur	le	safoutier	pour	que	celui-ci	pousse	bien	</S>
a92	0.00295595	0.0032342	0.00340258	0.0033519	0.0115444	0.0225694	0.0734648	0.113191	0.115333	0.096614	0.0814685	0.0768289	0.100912	0.127528	0.167601
a56	0.00306957	0.00320155	0.00366191	0.00347955	0.0109507	0.0211345	0.0674927	0.105785	0.118647	0.103515	0.0943592	0.0908706	0.104604	0.1187	0.15053
a43	0.00317212	0.00403134	0.00491047	0.00375776	0.0114513	0.0210179	0.0718269	0.113296	0.112896	0.0904706	0.0821499	0.0816565	0.102581	0.123878	0.172905
a75	0.0032468	0.00361214	0.00360296	0.00340022	0.00837688	0.0137284	0.0523936	0.0916081	0.0851503	0.0659956	0.0624461	0.0658903	0.107228	0.166622	0.266699
a85	0.00218706	0.00206383	0.00180886	0.00253141	0.00706275	0.0120315	0.0383075	0.0672031	0.0798323	0.0703093	0.0706496	0.0782918	0.120518	0.177331	0.269872
a98	0.00128211	0.00142277	0.00142114	0.00218711	0.0069721	0.0143583	0.0481579	0.0739747	0.080654	0.0605339	0.0548348	0.0605443	0.105241	0.176067	0.312348
a47	0.00110551	0.00131871	0.00136138	0.00224243	0.00690618	0.0141499	0.0457051	0.0675811	0.0734173	0.0524522	0.0466383	0.0557046	0.103846	0.188043	0.339528
a56	0.000612988	0.00074834	0.000652015	0.00114763	0.00412916	0.00815907	0.0269724	0.0419621	0.0490226	0.037251	0.0352334	0.0488244	0.118114	0.23684	0.39033
a93	0.000744857	0.000854699	0.00103687	0.00111698	0.0026869	0.00491803	0.0186329	0.0319671	0.0396118	0.0328702	0.0384837	0.0603705	0.141993	0.238962	0.385751
a4	0.000448281	0.00052105	0.000638089	0.000639831	0.0018053	0.00290271	0.0123424	0.0243293	0.0300191	0.0258129	0.0306443	0.0481826	0.123634	0.249266	0.448814
a13	0.000731383	0.000912104	0.00121496	0.00113131	0.00266701	0.00327524	0.0109851	0.0207678	0.0242236	0.0222313	0.0283849	0.0450942	0.117268	0.265139	0.455974
a99	0.00511525	0.00718089	0.00901539	0.00883953	0.0115462	0.0144902	0.025362	0.0314384	0.0393282	0.0313205	0.0374034	0.0556028	0.121453	0.230674	0.37123
a87	0.0103235	0.0130377	0.0169117	0.0189361	0.0214456	0.0256371	0.0358721	0.0384053	0.046454	0.0363195	0.0451396	0.0690714	0.132614	0.205973	0.283859
a23	0.0340216	0.0424427	0.0580211	0.0487316	0.0440645	0.0431671	0.0495078	0.0500947	0.0623945	0.0623176	0.0745251	0.0822664	0.0980083	0.111812	0.138625
a54	0.0041081	0.00562053	0.00774267	0.00717548	0.00484188	0.00639242	0.00950735	0.0137559	0.024515	0.0303661	0.0571574	0.0949529	0.171494	0.228428	0.333941
a7	0.000652062	0.00136547	0.00243121	0.00571901	0.0104697	0.0219908	0.0421766	0.0435862	0.0463344	0.0366974	0.0490604	0.0648991	0.113937	0.209862	0.350819
a90	0.000226539	0.000435919	0.00103656	0.00336151	0.0069164	0.0144524	0.0252103	0.0254906	0.033056	0.0229965	0.031476	0.0518293	0.121288	0.263752	0.398472
a92	0.000218429	0.000345597	0.000824515	0.00266901	0.00481029	0.0106931	0.0186953	0.0189356	0.0227401	0.0157899	0.0232059	0.0430969	0.113778	0.270243	0.453954
a56	0.00016588	0.000244593	0.000556862	0.00145391	0.00328895	0.00792554	0.0188824	0.0218927	0.0268419	0.0204768	0.0299286	0.0538773	0.132497	0.262918	0.41905
a75	0.000199424	0.00028665	0.00060003	0.00107218	0.00196394	0.00422068	0.0110891	0.0142301	0.0175912	0.0147206	0.0227194	0.0428265	0.117138	0.268095	0.483247
a6	0.000170432	0.000236633	0.000415989	0.000966239	0.0021732	0.00440954	0.0127166	0.0178093	0.0237206	0.0201017	0.0289238	0.0518587	0.129577	0.26019	0.44673
a36	0.000102838	0.000149373	0.000268916	0.00059154	0.00140834	0.00290584	0.00951304	0.0142721	0.0179844	0.0148508	0.0204288	0.036933	0.106125	0.251238	0.523228
a26	0.000194004	0.000273863	0.00043346	0.000612614	0.000770542	0.00114393	0.00392754	0.00779078	0.0114941	0.0101252	0.0161099	0.0305035	0.101045	0.269594	0.545982
a57	0.00452014	0.00613794	0.0108614	0.0143832	0.0126606	0.014439	0.0213186	0.0238971	0.031689	0.0245361	0.0344816	0.053932	0.125638	0.251296	0.37021
a87	0.0551692	0.0645131	0.0524503	0.0391463	0.0320057	0.0324631	0.0389501	0.0403616	0.0461374	0.0430569	0.0516529	0.0644273	0.105677	0.147272	0.186717
a23	0.081679	0.15906	0.0848075	0.0377087	0.0236749	0.0215173	0.0279544	0.0333412	0.0370637	0.0421496	0.0566841	0.0684143	0.0860309	0.103285	0.136629
a87	0.00497155	0.00965525	0.00670579	0.00444803	0.00324535	0.00411823	0.0072438	0.0113921	0.0186195	0.0227415	0.0389833	0.0684753	0.141042	0.232371	0.425987
</S>	0.00566958	0.0110629	0.00646099	0.00487131	0.00494846	0.00767632	0.0126203	0.017101	0.0200376	0.0202421	0.0261958	0.0414609	0.0892904	0.209399	0.522964
