 	ouvre	grandement	l'	oeil	pour	qu'	on	y	mette	le	médi-	cament	</S>
a54	0.0126012	0.0131717	0.0203952	0.0405352	0.0810175	0.0944988	0.0949371	0.0938654	0.081938	0.0716195	0.0860158	0.0957806	0.213624
a56	0.0202082	0.017666	0.0248805	0.0309108	0.0687755	0.0675284	0.0688941	0.0800063	0.0829054	0.0830613	0.106904	0.124272	0.223988
a41	0.0190738	0.0167921	0.0219363	0.032079	0.0601342	0.0538621	0.0528676	0.0639646	0.0725229	0.0838883	0.121491	0.143283	0.258105
a94	0.0112335	0.00822748	0.00962716	0.0140467	0.0331627	0.031177	0.0286058	0.0351625	0.0427371	0.0689437	0.11023	0.172048	0.434798
a38	0.00192253	0.00150708	0.00200549	0.00377731	0.0132446	0.0133393	0.0119486	0.0152544	0.0215259	0.0629395	0.109309	0.200132	0.543095
a75	0.00128714	0.00106573	0.0015332	0.00284566	0.0110195	0.0124049	0.0105081	0.014751	0.0213052	0.0739611	0.126202	0.227485	0.495632
a6	0.00331839	0.00246205	0.00263586	0.00313241	0.00915502	0.00963056	0.00844485	0.0112959	0.0165225	0.0514331	0.0944216	0.218997	0.568551
a94	0.00264622	0.00196471	0.00198542	0.002416	0.00728279	0.00772103	0.00769512	0.0112836	0.019261	0.0645061	0.113404	0.223265	0.536569
a26	0.000567514	0.000481432	0.000681524	0.0010105	0.00296215	0.00324006	0.00282763	0.00378705	0.00688939	0.0442765	0.0869256	0.229982	0.616368
a37	0.00357429	0.00239849	0.00272712	0.00301388	0.00708596	0.00762833	0.00580746	0.00917096	0.0169681	0.0999466	0.175657	0.250067	0.415954
a66	0.00607649	0.00417291	0.00440959	0.0036479	0.00672699	0.0074483	0.00652191	0.0108338	0.0212244	0.104236	0.180919	0.248082	0.395701
a38	0.0108334	0.00795987	0.00913064	0.00922899	0.0133655	0.0128967	0.010677	0.0145515	0.0250245	0.107499	0.174883	0.228148	0.375802
a50	0.019902	0.0131461	0.013392	0.0131915	0.0173177	0.01528	0.012278	0.0176477	0.0283532	0.110312	0.175173	0.219538	0.344469
a83	0.00502258	0.00449772	0.00567322	0.00550764	0.011843	0.0142553	0.0111369	0.0141088	0.0217406	0.087922	0.16814	0.233485	0.416667
a9	0.00367062	0.00328931	0.00403429	0.00395377	0.00859826	0.0101444	0.00768712	0.01035	0.0172418	0.0830967	0.163634	0.23384	0.45046
a3	0.00950009	0.00719014	0.00837421	0.0143707	0.0202628	0.0155258	0.0107411	0.0151989	0.0213552	0.0856718	0.174055	0.216053	0.401701
a97	0.0618206	0.0340225	0.0252225	0.0302957	0.0313177	0.0255491	0.0181196	0.024419	0.0314799	0.0943285	0.140577	0.197113	0.285735
a99	0.0914801	0.0515953	0.0335322	0.0298354	0.0315292	0.0287642	0.0208829	0.0267711	0.0333774	0.0875817	0.114489	0.178303	0.271859
a82	0.139385	0.0797009	0.0528507	0.051785	0.0386698	0.0325227	0.0262249	0.0329639	0.0392905	0.0884147	0.0966865	0.143514	0.177991
a97	0.127663	0.0781861	0.0593656	0.0694611	0.0472037	0.0411935	0.0359924	0.0379082	0.0379427	0.0767977	0.0908132	0.12751	0.169963
a3	0.133083	0.0834336	0.059613	0.0627931	0.0461626	0.0435356	0.0376565	0.0419095	0.0425304	0.0825314	0.0929989	0.122798	0.150954
a82	0.127361	0.0978051	0.0751591	0.0715262	0.0476386	0.0490426	0.0398061	0.0436113	0.0421931	0.0801963	0.0831564	0.110568	0.131936
a87	0.0948004	0.0801967	0.0673345	0.0748485	0.0567477	0.0571704	0.0455876	0.0520435	0.0487108	0.0819593	0.0852034	0.113517	0.14188
</S>	0.0941691	0.0807123	0.0701756	0.074134	0.0526191	0.0511274	0.0403104	0.0457216	0.0428175	0.0818363	0.0849945	0.120257	0.161125
