 	la	manière	dont	ils	ont	égaré	mon	fils	relève	de	la	sorcellerie	</S>
a47	0.0361814	0.0444452	0.0926917	0.150722	0.204145	0.178064	0.0933884	0.0678154	0.0336098	0.021713	0.0212619	0.0256388	0.0303227
a61	0.0137956	0.0208133	0.061001	0.137819	0.229949	0.225704	0.108258	0.0701368	0.0324339	0.0213362	0.0213258	0.0258177	0.0316099
a31	0.0110355	0.0174949	0.0492521	0.129548	0.230817	0.228735	0.116484	0.0770383	0.0348707	0.0221307	0.0218221	0.0268698	0.0339008
a0	0.0136053	0.0212716	0.0493177	0.117412	0.215668	0.213596	0.129966	0.0860688	0.0395715	0.0253122	0.0242218	0.0288822	0.0351063
a24	0.0180028	0.0241348	0.0446268	0.0941362	0.194804	0.214751	0.146384	0.094413	0.0400567	0.0245037	0.0253936	0.0340402	0.0447525
a94	0.0142671	0.0187286	0.0343474	0.0670518	0.148521	0.185921	0.163124	0.120375	0.0604677	0.0364447	0.0372897	0.048443	0.0650182
a75	0.0155051	0.0165854	0.0282675	0.0573643	0.12175	0.156312	0.169315	0.131741	0.069669	0.0433973	0.0461123	0.0616341	0.0823485
a98	0.00527072	0.00651105	0.0117555	0.0327103	0.0777191	0.138822	0.11461	0.0961778	0.0758127	0.0747843	0.0856778	0.111996	0.168154
a85	0.0041563	0.00545838	0.00951451	0.0282317	0.0718672	0.153841	0.118771	0.10083	0.0716218	0.070574	0.0830203	0.114373	0.167741
a92	0.00585139	0.00685581	0.0113741	0.0306493	0.068492	0.109805	0.0873982	0.078979	0.0587515	0.0623436	0.0866161	0.151773	0.24111
a37	0.00390973	0.00552525	0.00985637	0.0250221	0.0539918	0.0992233	0.0939618	0.0908342	0.0753062	0.0785332	0.100672	0.154238	0.208927
a85	0.00435924	0.0058278	0.00953303	0.0198926	0.0440784	0.0652523	0.0897604	0.092633	0.0805691	0.0806682	0.103631	0.161728	0.242068
a79	0.00248877	0.00300862	0.00486381	0.013985	0.0343346	0.0679003	0.0731487	0.0757412	0.071054	0.0796224	0.107385	0.182667	0.283801
a36	0.00345113	0.0046486	0.00660997	0.0139679	0.0279448	0.0504165	0.0594172	0.0663697	0.0788022	0.103133	0.134547	0.188361	0.262331
a37	0.00649063	0.00715731	0.00980362	0.0150021	0.0249959	0.0341859	0.0439613	0.0469395	0.0581921	0.0796628	0.119526	0.21021	0.343872
a98	0.00335202	0.00354639	0.00518411	0.00892469	0.0156574	0.0206312	0.03004	0.0342706	0.0476912	0.0753964	0.125874	0.235944	0.393488
a92	0.00112848	0.00162154	0.00261265	0.00522752	0.0104743	0.0188648	0.0262573	0.0268748	0.038702	0.0663978	0.116237	0.242772	0.44283
a85	0.000883826	0.00115664	0.00208652	0.00453905	0.0099195	0.0203919	0.0323344	0.0395826	0.0591899	0.0937766	0.141671	0.239514	0.354955
a6	0.000550815	0.0006987	0.00125122	0.00296131	0.0066062	0.0131344	0.0211266	0.0253323	0.0393344	0.0747794	0.135441	0.258534	0.420249
a36	0.000577111	0.000806548	0.00137909	0.00276019	0.00590969	0.0116118	0.0197067	0.0243194	0.042671	0.0825816	0.145443	0.26167	0.400565
a26	0.00178991	0.00155653	0.00180464	0.00276992	0.00496871	0.00664799	0.0116729	0.0139139	0.0279199	0.0628761	0.132649	0.270036	0.461395
a57	0.00328729	0.00203874	0.0016863	0.00225226	0.00393944	0.00522323	0.0108546	0.0114035	0.0268594	0.0633819	0.13125	0.273481	0.464342
a62	0.0257075	0.0143529	0.00837408	0.00973197	0.0151368	0.017561	0.0430942	0.0405391	0.0672202	0.0998119	0.140156	0.214782	0.303533
a31	0.00112361	0.000783771	0.000769048	0.00123964	0.00234132	0.00344959	0.0080287	0.0104517	0.0303479	0.0711874	0.1396	0.283325	0.447352
a62	0.000722097	0.000587275	0.000628173	0.00103768	0.00205945	0.00322094	0.00688089	0.00838645	0.0242496	0.0602713	0.125926	0.288738	0.477292
a88	0.000614159	0.00050498	0.000574584	0.00117274	0.00254205	0.00400162	0.00783348	0.00884927	0.0230791	0.0548006	0.116245	0.288583	0.491199
a71	0.000728636	0.000533417	0.000528995	0.000868047	0.00182662	0.00294569	0.00630776	0.00732468	0.0217009	0.0539954	0.116418	0.296177	0.490645
a38	0.00619588	0.0033472	0.00233146	0.00296711	0.00477334	0.00582879	0.0123967	0.0150574	0.0389397	0.0833492	0.151328	0.288829	0.384656
a70	0.00446672	0.0024635	0.0019211	0.0026312	0.00445021	0.005982	0.0123184	0.013148	0.0325328	0.0722355	0.134952	0.29356	0.419339
a83	0.000367644	0.00026618	0.00030148	0.000549867	0.00112198	0.00175298	0.00407373	0.00532043	0.0182422	0.0504302	0.112608	0.296062	0.508903
a66	0.00148329	0.000895009	0.000788446	0.00124689	0.00265402	0.00403224	0.00920013	0.0102831	0.0265688	0.0622251	0.123397	0.292265	0.464961
a13	0.00641166	0.00412157	0.00306548	0.00449234	0.00777289	0.0103224	0.0191729	0.0199024	0.0378181	0.071078	0.127545	0.275405	0.412892
a3	0.00783401	0.00536933	0.00414566	0.00604068	0.00967219	0.0126929	0.022801	0.0229252	0.0417845	0.074594	0.127634	0.269604	0.394902
a97	0.0262835	0.013837	0.00889429	0.0112615	0.0147329	0.0183523	0.0345915	0.0375793	0.0593221	0.103561	0.1525	0.230549	0.288535
a99	0.0400446	0.0185551	0.010935	0.0118826	0.0155589	0.0197731	0.0584999	0.0691525	0.0910542	0.14404	0.169609	0.172369	0.178526
a30	0.0341346	0.0146458	0.00784387	0.00768299	0.0118335	0.0164456	0.0492259	0.0489102	0.0603626	0.106121	0.148091	0.212492	0.282211
</S>	0.0134006	0.00499892	0.00280387	0.00305151	0.00613168	0.0123755	0.0308849	0.0296073	0.0418231	0.0918758	0.149722	0.256868	0.356457
