 	cette	jeune	fille	est	indolente	en	effet	elle	n'	est	pas	entreprenante	</S>
a62	0.00211628	0.00351346	0.0122361	0.0443541	0.195107	0.199416	0.151373	0.139141	0.0748384	0.0473487	0.0288702	0.0389029	0.0627824
a70	0.00427249	0.00618932	0.0162759	0.0487752	0.163995	0.167538	0.139616	0.136646	0.0837193	0.0553353	0.030335	0.0454658	0.101836
a13	0.00488616	0.007095	0.0156586	0.0385824	0.129031	0.140178	0.12502	0.14872	0.102907	0.0783302	0.0433769	0.055359	0.110856
a99	0.00210613	0.00318112	0.00913102	0.0296659	0.128957	0.150472	0.116781	0.151193	0.0974562	0.0707805	0.0416158	0.0638948	0.134765
a97	0.00284524	0.00424601	0.0114878	0.0336544	0.162854	0.17284	0.124043	0.137482	0.0847186	0.0579704	0.0378222	0.0622201	0.107816
a87	0.00415637	0.00485549	0.0114377	0.0370872	0.121961	0.145203	0.124947	0.134422	0.108406	0.100223	0.0667439	0.0648542	0.075703
a23	0.0218565	0.0172289	0.0323821	0.0695319	0.0998227	0.114648	0.103884	0.105153	0.101002	0.0909435	0.0756973	0.0719571	0.0958935
a53	0.0144546	0.00975019	0.0137881	0.0248934	0.0299151	0.03503	0.0445838	0.0539287	0.0754695	0.0808074	0.0937911	0.175951	0.347637
a15	0.00838079	0.00763987	0.0203365	0.0440719	0.0473417	0.0478527	0.0423169	0.0362297	0.0405514	0.0442424	0.084909	0.183923	0.392204
a5	0.00432635	0.00964053	0.0325624	0.0621161	0.0714957	0.0698905	0.058083	0.0531714	0.0511067	0.0526696	0.0739302	0.168425	0.292583
a18	0.00492785	0.00828591	0.0228721	0.0439211	0.0570344	0.0522691	0.0496668	0.0459725	0.0498304	0.0576476	0.092818	0.205688	0.309066
a62	0.00147978	0.00284203	0.00761784	0.0182644	0.03304	0.0398471	0.0349413	0.041396	0.0481032	0.0656177	0.122325	0.251431	0.333096
a75	0.00252765	0.00344332	0.00713777	0.0146609	0.0303408	0.0364087	0.0422654	0.0582553	0.063103	0.0841807	0.141348	0.257926	0.258403
a25	0.0050555	0.00595068	0.0098252	0.0197051	0.0395843	0.041946	0.038338	0.0532335	0.054288	0.0616154	0.0797257	0.206644	0.384089
a92	0.00198067	0.00325286	0.00749616	0.0175295	0.0377184	0.0427316	0.0383079	0.0576916	0.0563578	0.0743612	0.103085	0.230382	0.329105
a43	0.00288371	0.00400629	0.0091255	0.0234505	0.0520578	0.0593012	0.0577529	0.0874996	0.0821804	0.0867189	0.0964432	0.170706	0.267874
a75	0.00162115	0.00229524	0.00483774	0.0101898	0.0258988	0.0317541	0.028942	0.0471017	0.0434832	0.0551981	0.0981917	0.272739	0.377748
a85	0.00182403	0.00229401	0.0047488	0.0100105	0.0239532	0.029254	0.0286813	0.0576336	0.0562855	0.067237	0.0989634	0.246066	0.373049
a36	0.001999	0.00253247	0.00450667	0.00872781	0.0200979	0.0243691	0.0242009	0.0512553	0.0490614	0.0637158	0.104372	0.265503	0.379659
a26	0.000595621	0.000674883	0.00138706	0.00288902	0.00946055	0.0124714	0.0104859	0.0271453	0.022805	0.0285622	0.0671931	0.30877	0.50756
a27	0.000768689	0.000666294	0.000980163	0.00234273	0.00866578	0.0124224	0.00691451	0.0177304	0.0161256	0.0254554	0.0865019	0.320868	0.500558
a54	0.00754814	0.00407465	0.00363624	0.00512207	0.012048	0.0169429	0.0128584	0.0356421	0.0373245	0.0548684	0.141056	0.302522	0.366357
a6	0.00118247	0.000768171	0.00105967	0.0022328	0.00509141	0.0077189	0.00514274	0.0133399	0.0153345	0.0224518	0.0774238	0.338561	0.509693
a36	0.00052949	0.000463315	0.000806511	0.00188036	0.00443415	0.00758187	0.00622046	0.0245002	0.0261885	0.0390773	0.0951296	0.337922	0.455267
a2	0.000555374	0.000495514	0.000706693	0.00147404	0.00450218	0.00817134	0.00480462	0.0148273	0.0153519	0.0240159	0.0816614	0.334859	0.508575
a57	0.00817156	0.00591781	0.00622897	0.00890831	0.0152041	0.026501	0.022231	0.0577451	0.0584235	0.074362	0.135507	0.271556	0.309244
a87	0.024608	0.0115338	0.00717914	0.00840918	0.0152166	0.0220193	0.0227277	0.0569046	0.066852	0.0897243	0.18431	0.235094	0.255422
a3	0.0265061	0.0170953	0.0112899	0.0154102	0.0275571	0.0363306	0.0343859	0.0723206	0.0915272	0.103149	0.168054	0.178999	0.217376
a87	0.0217214	0.0199483	0.0253793	0.0353974	0.0433808	0.0487116	0.0416838	0.0780718	0.0946624	0.105881	0.139729	0.157876	0.187558
a97	0.0179577	0.0183992	0.0270949	0.0365143	0.0414653	0.0460506	0.0342324	0.0651013	0.0805702	0.0925744	0.137715	0.180345	0.22198
</S>	0.0291728	0.0289413	0.035456	0.0426237	0.0470551	0.0476543	0.0352422	0.0623756	0.0731528	0.0818784	0.125441	0.173758	0.217249
