 	la	tornade	d'	hier	a	emporté	beaucoup	de	toits	dans	notre	village	</S>
a21	0.0128916	0.0310633	0.0340884	0.0721483	0.116039	0.199057	0.191241	0.100015	0.0710083	0.0295988	0.0325204	0.0470718	0.063257
a96	0.0526562	0.08158	0.0652923	0.0975625	0.12392	0.170663	0.152385	0.0685819	0.0489376	0.0290744	0.0308013	0.0375179	0.0410284
a21	0.0261215	0.0508882	0.0459162	0.0719389	0.0995866	0.17983	0.170553	0.0950409	0.0792618	0.0382076	0.0382326	0.0452386	0.0591845
a75	0.0381628	0.0616416	0.0510785	0.079873	0.109928	0.18413	0.168194	0.0788415	0.05973	0.0351828	0.0378511	0.0456134	0.0497736
a85	0.0208782	0.0346863	0.0320555	0.0505166	0.0644704	0.107323	0.0935782	0.0600643	0.0809009	0.0575083	0.10253	0.139609	0.155879
a73	0.023683	0.0318194	0.0313918	0.0526103	0.0748802	0.130268	0.122034	0.0904596	0.119956	0.0582482	0.0806587	0.0902887	0.0937021
a26	0.0294949	0.0384286	0.0393193	0.0564198	0.065367	0.12382	0.129871	0.0956369	0.097516	0.049441	0.0698328	0.0932384	0.111614
a57	0.0176209	0.0269948	0.0249177	0.0301584	0.0389168	0.0910281	0.103574	0.0807362	0.0968355	0.0710519	0.0828157	0.117523	0.217827
a53	0.0133315	0.018032	0.0177344	0.0233599	0.0380824	0.0968093	0.100289	0.0773582	0.139408	0.109631	0.0926849	0.0923824	0.180897
a15	0.0202283	0.0197463	0.019667	0.0275592	0.0343789	0.0713795	0.0727662	0.0590006	0.0860956	0.0898683	0.0981156	0.149399	0.251795
a73	0.0200211	0.0184248	0.0198752	0.0290422	0.0397601	0.0730448	0.065311	0.0472099	0.0740457	0.0779425	0.114117	0.176542	0.244664
a2	0.0150173	0.0196373	0.0218893	0.0312368	0.0349572	0.0692598	0.0546382	0.0471618	0.0939352	0.0779966	0.123757	0.162835	0.247679
a57	0.00558191	0.0101891	0.0105785	0.0135749	0.018173	0.0494132	0.0461571	0.0446773	0.111509	0.0967782	0.124951	0.144454	0.323962
a40	0.00639646	0.00605768	0.00662705	0.00927465	0.0132255	0.0316707	0.0342266	0.0499951	0.179431	0.162452	0.125777	0.110581	0.264285
a5	0.0175106	0.015681	0.0149197	0.0197743	0.0228755	0.0489534	0.0423451	0.0346916	0.0626446	0.0751083	0.122152	0.208284	0.315059
a61	0.0146731	0.0205329	0.0187226	0.0308153	0.0382528	0.0781062	0.0689989	0.0498831	0.0643168	0.0795602	0.125126	0.164088	0.246924
a85	0.020149	0.0264004	0.0250592	0.0386174	0.0472251	0.0907343	0.0785538	0.060626	0.0789508	0.0824993	0.117337	0.13901	0.194838
a6	0.0117155	0.0180508	0.016702	0.0252245	0.0322651	0.0640181	0.0587236	0.04257	0.0576152	0.072296	0.134834	0.198146	0.267839
a61	0.010986	0.0150279	0.0134727	0.0198324	0.0300181	0.0744208	0.0676048	0.051783	0.0743789	0.0779031	0.149649	0.197776	0.217147
a83	0.0072543	0.0127973	0.0115567	0.0162926	0.0202303	0.0547312	0.0497771	0.0387923	0.0561829	0.0781737	0.158212	0.2404	0.255599
a21	0.00307564	0.00692582	0.0065882	0.0101886	0.0134691	0.037172	0.0342728	0.0319088	0.0607957	0.0755678	0.16364	0.24315	0.313246
a85	0.00878873	0.0147624	0.0140126	0.0204589	0.0255527	0.0690738	0.0637646	0.0536658	0.0725597	0.0805502	0.134024	0.208205	0.234582
a41	0.00794163	0.0122886	0.0117801	0.0164368	0.0204139	0.0426862	0.0382481	0.0275868	0.03385	0.0575115	0.144111	0.257012	0.330133
a12	0.00289838	0.0050371	0.00493482	0.00717838	0.00984612	0.027071	0.0236336	0.019551	0.0300523	0.0519792	0.157622	0.307405	0.352792
a31	0.00484637	0.00933522	0.0081715	0.0108112	0.0122046	0.0318934	0.0296626	0.0235362	0.0331071	0.0522706	0.128552	0.28165	0.373959
a0	0.00111542	0.00303276	0.00318158	0.00458828	0.00562814	0.017381	0.0139163	0.0154507	0.0349419	0.0480698	0.137036	0.269348	0.44631
a75	0.000460721	0.000954431	0.00113938	0.00155318	0.00201924	0.00729324	0.00640243	0.00999252	0.0274282	0.0415692	0.129733	0.267198	0.504257
a44	0.00108544	0.00223226	0.00262853	0.00383127	0.00436691	0.0105783	0.007951	0.00876225	0.0191348	0.0442369	0.144758	0.305459	0.444975
a26	0.000366125	0.00111519	0.00137886	0.00210514	0.00266963	0.00809487	0.00595009	0.00741286	0.0222113	0.0435696	0.139599	0.267541	0.497987
a53	0.000739801	0.000750678	0.000953075	0.00108088	0.00122623	0.00419339	0.00392979	0.006281	0.0230961	0.0443887	0.118011	0.25271	0.542639
a15	0.000167165	0.000388102	0.000503261	0.00075139	0.000994785	0.00313444	0.00271739	0.0041931	0.0138538	0.0375017	0.113506	0.247852	0.574437
a44	0.000686744	0.00163357	0.00206369	0.00302459	0.00353996	0.00941661	0.0078756	0.0105271	0.0293753	0.050988	0.136775	0.245817	0.498277
a13	0.000329451	0.00105016	0.0013728	0.0022135	0.00293206	0.00948473	0.0066705	0.00838765	0.0271233	0.0491803	0.144018	0.251912	0.495326
a62	0.000216579	0.000507888	0.000800811	0.00120155	0.00159108	0.00569141	0.00436681	0.00691257	0.0241368	0.0446718	0.128129	0.254563	0.527211
a0	0.00102135	0.00203082	0.00253191	0.00324693	0.00374127	0.0147228	0.0117065	0.018479	0.0403263	0.0402077	0.108682	0.22975	0.523553
a9	0.000730882	0.00155647	0.00219499	0.00293292	0.00279608	0.00842041	0.00641119	0.0104729	0.0304742	0.040853	0.116873	0.25381	0.522473
a10	0.00211264	0.00203354	0.00236343	0.00254625	0.00271263	0.0091955	0.00862097	0.0118494	0.0423609	0.0742115	0.157987	0.264685	0.419321
a87	0.00592509	0.00367049	0.00487397	0.00520745	0.00471764	0.0123977	0.0112563	0.0175603	0.0708662	0.117093	0.163995	0.237583	0.344855
a23	0.0284354	0.0177372	0.0227902	0.0278989	0.0218721	0.0353944	0.0290165	0.0368286	0.119534	0.139583	0.166965	0.17036	0.183585
a97	0.00805377	0.00530675	0.00900269	0.0125447	0.0109567	0.0184863	0.0113791	0.0172754	0.08086	0.103782	0.205098	0.24901	0.268244
</S>	0.0188699	0.0165626	0.0253144	0.0274046	0.0153917	0.0164445	0.0106675	0.0172853	0.0816905	0.0959724	0.142337	0.20176	0.330299
