 	la	branchette	de	l'	arbre	ngyenya	est	utilisée	comme	support	dans	les	pièges	aux	animaux	</S>
a98	0.0209362	0.0138332	0.0174057	0.0184388	0.0446623	0.0725054	0.11996	0.103373	0.0759202	0.0901148	0.074988	0.0786591	0.062915	0.0522724	0.0644541	0.0895616
a47	0.00549991	0.00345328	0.00577834	0.00854844	0.0270265	0.044785	0.0910755	0.0683633	0.0491907	0.069021	0.0659951	0.085275	0.0874792	0.109298	0.134191	0.14502
a15	0.0041343	0.00220763	0.00217024	0.00269795	0.010448	0.016761	0.0694041	0.0812575	0.0867912	0.113539	0.0928449	0.112912	0.0822103	0.075305	0.10044	0.146877
a7	0.00393784	0.00199195	0.00185285	0.00189433	0.00562686	0.00954873	0.0545621	0.0850868	0.110577	0.151937	0.111301	0.112478	0.0676672	0.067389	0.0869669	0.127183
a44	0.00487177	0.00364107	0.00369029	0.00383722	0.00784001	0.00935702	0.0389756	0.0635792	0.101882	0.186803	0.123802	0.0875541	0.0497514	0.0543148	0.0889701	0.17113
a90	0.00601501	0.00509324	0.00534438	0.00527609	0.00872206	0.00916607	0.0228839	0.0409967	0.0671928	0.147273	0.107376	0.0779173	0.0550659	0.0739053	0.123773	0.243999
a98	0.00119886	0.0010569	0.00124777	0.00118448	0.00192603	0.00282828	0.011782	0.0245416	0.0335255	0.0790886	0.0727299	0.0686133	0.0566178	0.119752	0.21013	0.313777
a85	0.000770719	0.000596877	0.00078939	0.000904901	0.00165048	0.00253932	0.0116598	0.0240775	0.0264003	0.0565725	0.0523076	0.0520996	0.0392159	0.103801	0.238666	0.387948
a92	0.000448719	0.000360924	0.000357986	0.00044846	0.000797105	0.00127051	0.00634996	0.0121279	0.0147712	0.0305845	0.0296777	0.0332949	0.0267395	0.0940722	0.29521	0.453489
a21	0.000428343	0.000308365	0.000329017	0.000348735	0.000708872	0.000947199	0.00342621	0.00674872	0.00862283	0.0221244	0.0238209	0.0280501	0.0314929	0.104665	0.327486	0.440493
a5	0.000278593	0.00015306	0.000163416	0.000218771	0.000499395	0.000684948	0.00188835	0.00368866	0.00394317	0.0111267	0.0126703	0.0171373	0.0206484	0.0840576	0.356695	0.486146
a36	0.000280744	0.000121293	0.000121105	0.000163102	0.000385928	0.000505762	0.0011495	0.00187955	0.00218159	0.00623367	0.00807378	0.0127641	0.0156243	0.0640639	0.338268	0.548184
a90	0.000464312	0.000231744	0.00019017	0.00012914	0.000365745	0.000303134	0.00117971	0.00180978	0.00377406	0.0070177	0.00768098	0.0144415	0.0179137	0.052294	0.295646	0.596559
a69	0.000189144	8.99144e-05	7.87467e-05	6.87833e-05	0.000144483	0.000144905	0.00058095	0.00129317	0.00286359	0.00669266	0.0064758	0.0112681	0.0139965	0.0454462	0.284448	0.626219
a58	0.000168752	7.24612e-05	8.9795e-05	6.73872e-05	0.00015764	0.000163106	0.000696249	0.00176876	0.00405621	0.009636	0.00852508	0.0144961	0.0162851	0.0465501	0.271863	0.625404
a82	0.00148238	0.000688422	0.000647712	0.000455689	0.00110076	0.000477575	0.000933855	0.00218804	0.00644875	0.00846753	0.0135603	0.0216221	0.0331482	0.0930831	0.321584	0.494111
a87	0.0215832	0.0217048	0.0130139	0.012883	0.0220729	0.0161173	0.0188699	0.0276004	0.050924	0.0471608	0.050392	0.0592259	0.0762577	0.124999	0.203676	0.233519
a23	0.0320609	0.0391599	0.0284129	0.022082	0.0355442	0.0260495	0.0399296	0.0898594	0.0994777	0.0786629	0.0806778	0.0766373	0.0953521	0.091467	0.0849343	0.0796926
a87	0.00850319	0.00464485	0.00461242	0.00197299	0.00243851	0.00154864	0.00219965	0.0067306	0.0107959	0.01291	0.0113233	0.0204944	0.0629141	0.169234	0.330595	0.349081
a23	0.00265628	0.00197502	0.00183137	0.00101882	0.0014174	0.00139525	0.0027076	0.0075823	0.00896721	0.00945003	0.0077414	0.0116371	0.0276973	0.0761505	0.301883	0.535889
a99	0.00244703	0.00210615	0.00279237	0.00143505	0.00188521	0.0016988	0.00332849	0.0082951	0.0111985	0.0127054	0.0129311	0.0211436	0.0513037	0.121821	0.294312	0.450597
a38	0.00163283	0.00212798	0.00319345	0.00177512	0.00287495	0.00313338	0.00576573	0.011547	0.0132343	0.0142087	0.0138177	0.0212074	0.0423579	0.0918282	0.277026	0.494269
a26	0.00161206	0.00301238	0.00416665	0.00261689	0.00428129	0.00450663	0.0059191	0.0136688	0.0160582	0.0172812	0.0192718	0.0294411	0.0550675	0.102655	0.264866	0.455575
</S>	0.000812574	0.00181406	0.00186408	0.00139631	0.00235609	0.00240378	0.00275581	0.00689834	0.0078347	0.0101569	0.013258	0.0208733	0.0441832	0.0934632	0.27048	0.519449
