 	cette	rue	est	animée	de	ce	côté	à	cause	de	la	musique	</S>
a50	0.00456928	0.00472514	0.00781053	0.0149413	0.0235746	0.0297946	0.0361684	0.0582092	0.0694621	0.137827	0.165054	0.226634	0.22123
a34	0.00322425	0.00309886	0.00688599	0.0113701	0.0166049	0.0214081	0.0203318	0.0321021	0.0437059	0.117053	0.144621	0.225666	0.353928
a21	0.0010966	0.0010503	0.00212303	0.00444116	0.00727186	0.00907539	0.0105992	0.0216031	0.0356503	0.115802	0.157838	0.250397	0.383053
a12	0.00084364	0.000786229	0.0011644	0.00193991	0.00271966	0.00332179	0.00435733	0.0109291	0.0226698	0.0935345	0.135307	0.221434	0.500993
a96	0.000499016	0.000446115	0.000942755	0.00178295	0.00287625	0.00395526	0.00490374	0.0111183	0.0223844	0.0895879	0.135547	0.231494	0.494462
a62	0.000935473	0.000810258	0.00218453	0.00453149	0.00614566	0.00833121	0.00764403	0.0166079	0.0332538	0.110045	0.138707	0.205742	0.465061
a88	0.00103857	0.000915529	0.00162167	0.00292435	0.00463133	0.00668112	0.0084951	0.0172437	0.0290642	0.0986938	0.133757	0.219647	0.475287
a71	0.00145411	0.00130906	0.00340952	0.00699935	0.0094744	0.0134451	0.0121187	0.023878	0.0416516	0.122108	0.145749	0.194996	0.423406
a9	0.00708227	0.00895041	0.022369	0.0423937	0.042707	0.0476537	0.0334416	0.046368	0.0709386	0.133582	0.127982	0.141108	0.275424
a87	0.0295685	0.0256805	0.0451307	0.0864147	0.0755827	0.0821403	0.0676539	0.091941	0.0807123	0.109724	0.0805376	0.0803395	0.144574
a23	0.107474	0.0500596	0.0509745	0.0621316	0.0599316	0.0757753	0.0998884	0.122018	0.0825565	0.084588	0.0607305	0.0600743	0.083797
a99	0.00959416	0.00284945	0.00320938	0.00380303	0.00407411	0.00642289	0.0106483	0.0230602	0.0435854	0.121682	0.187652	0.246147	0.337272
a62	0.00545092	0.00164359	0.00235094	0.00352812	0.00490664	0.00752099	0.0128298	0.0317034	0.0528427	0.126902	0.188709	0.240647	0.320965
a5	0.00146625	0.00074626	0.00177654	0.00405158	0.0047002	0.00626437	0.0104113	0.0319776	0.0509251	0.143662	0.173648	0.229015	0.341356
a85	0.000703433	0.000519965	0.000997282	0.00207268	0.00287027	0.004234	0.00982612	0.0362752	0.0589585	0.159424	0.172468	0.205848	0.345802
a6	0.000107839	8.55739e-05	0.000214301	0.00060608	0.00119581	0.00221454	0.00702165	0.0319056	0.0522793	0.140457	0.182201	0.196953	0.384759
a5	0.00018698	0.000155736	0.000306766	0.000736331	0.00106702	0.00188633	0.00485209	0.0226931	0.0397377	0.136671	0.184356	0.216709	0.390642
a12	0.00016102	0.000127319	0.000241793	0.000570644	0.000929103	0.00163908	0.00406635	0.0184726	0.0321286	0.119231	0.164888	0.213046	0.444499
a62	0.000352412	0.000251738	0.000430872	0.00086534	0.00144309	0.00228189	0.00418194	0.0193271	0.0340747	0.105453	0.140985	0.204198	0.486155
a96	0.000836773	0.000614265	0.00114475	0.00214851	0.00319579	0.00468894	0.00650031	0.0221732	0.0415416	0.126811	0.15042	0.204035	0.43589
a18	0.000650237	0.000499892	0.00114787	0.0020473	0.00299821	0.00421463	0.00519471	0.0198376	0.0420671	0.123687	0.145054	0.205054	0.447547
a26	0.00636562	0.00600646	0.0108483	0.0178277	0.0151446	0.0175169	0.0171277	0.0459879	0.0630665	0.1307	0.145279	0.176389	0.347741
a57	0.0490948	0.0325384	0.0420934	0.0584042	0.0406694	0.0472772	0.0478978	0.0653689	0.0633222	0.104003	0.107974	0.126001	0.215356
a87	0.12866	0.0615909	0.0565701	0.060172	0.0466185	0.0560694	0.0608392	0.0629462	0.0573499	0.0843995	0.0846579	0.0963996	0.143727
a23	0.15814	0.0911055	0.0733484	0.053973	0.0555674	0.0705402	0.0761502	0.069358	0.0504184	0.0666065	0.0616382	0.0715853	0.101569
a99	0.00948713	0.00256652	0.00277703	0.00233178	0.0034489	0.00581324	0.0112813	0.0311598	0.0619131	0.156639	0.20036	0.213543	0.298678
a97	0.0114838	0.00281557	0.00304676	0.00404047	0.00764505	0.0123997	0.0199646	0.0340112	0.0546793	0.122694	0.191947	0.224441	0.310831
</S>	0.00496543	0.00150645	0.00173235	0.00282179	0.00429287	0.00618951	0.0105365	0.0216795	0.0422539	0.100597	0.203492	0.261462	0.33847
