 	les	plaisirs	du	monde	ont	détourné	ce	garçon	du	droit	chemin	</S>
a47	0.0507832	0.117604	0.138041	0.152874	0.145929	0.106086	0.0677024	0.0738259	0.0533618	0.0316066	0.0261448	0.0360422
a88	0.0257633	0.0794508	0.111134	0.127871	0.149906	0.143862	0.0922504	0.09763	0.0723051	0.0342965	0.0248958	0.0406353
a62	0.0184462	0.0573742	0.0918544	0.111265	0.139946	0.160005	0.111524	0.109782	0.0709619	0.0371346	0.0328026	0.0589038
a21	0.0192413	0.0566656	0.0825366	0.0983115	0.128682	0.15761	0.122884	0.111838	0.0742394	0.0449647	0.0372607	0.0657651
a47	0.046902	0.071254	0.114082	0.127299	0.140191	0.100426	0.0884679	0.0968909	0.0696064	0.0544787	0.0398119	0.0505901
a31	0.0338727	0.061611	0.0760066	0.0829926	0.096473	0.0986771	0.108802	0.118517	0.0843025	0.0739095	0.0628793	0.101956
a62	0.0291798	0.044772	0.0627587	0.0765357	0.0919724	0.115673	0.137306	0.146302	0.0961192	0.0728536	0.0510297	0.0754971
a47	0.0214387	0.0387846	0.0558551	0.0690506	0.0882293	0.126621	0.160491	0.165687	0.106661	0.0671307	0.0374211	0.0626301
a62	0.0226075	0.0463498	0.0627859	0.0765141	0.0961846	0.119597	0.14931	0.141197	0.0871927	0.0679145	0.0466074	0.0837394
a93	0.0223996	0.0391478	0.0516186	0.0632856	0.0785374	0.111515	0.160415	0.164692	0.107823	0.0775955	0.0473715	0.0755985
a56	0.0161612	0.0266141	0.0404052	0.0504045	0.0612957	0.0772724	0.13572	0.141758	0.105528	0.11436	0.0951096	0.135372
a62	0.0151501	0.0227433	0.032819	0.0405425	0.0475248	0.0623384	0.131878	0.155293	0.122547	0.123632	0.10857	0.136962
a47	0.0135576	0.0226732	0.0331419	0.0420288	0.0538502	0.0793206	0.152152	0.146068	0.101374	0.116141	0.0905506	0.149143
a43	0.0109101	0.0244702	0.0345022	0.0444219	0.059148	0.0862505	0.139967	0.132131	0.0897778	0.112338	0.0979294	0.168155
a75	0.00564601	0.0131812	0.0203376	0.0261139	0.0363162	0.0620868	0.128819	0.114878	0.079477	0.128355	0.122869	0.26192
a92	0.00729315	0.011931	0.0187514	0.0243882	0.0326023	0.0591662	0.118254	0.110283	0.076135	0.106831	0.146561	0.287804
a37	0.0111026	0.0141401	0.0224581	0.0294418	0.0401511	0.0691372	0.125191	0.132606	0.0958275	0.104563	0.131422	0.223959
a98	0.0061021	0.0118161	0.0183502	0.0241796	0.0310701	0.0431815	0.0971005	0.103509	0.083222	0.115987	0.147378	0.318103
a85	0.01222	0.0129157	0.019706	0.0237042	0.0316956	0.0492526	0.10976	0.121023	0.0876585	0.0965156	0.138215	0.297333
a75	0.0176969	0.0190341	0.0279762	0.0302365	0.0380896	0.0593144	0.0969582	0.0929114	0.0661489	0.0790605	0.145919	0.326654
a47	0.0192724	0.0162839	0.0240551	0.0303925	0.0409924	0.0684088	0.120443	0.130758	0.0917247	0.0880091	0.125206	0.244454
a62	0.012406	0.0115375	0.0171538	0.0200792	0.0266048	0.0476101	0.100357	0.108855	0.0811191	0.0944336	0.164615	0.315229
a88	0.0119545	0.0125193	0.0181202	0.0221928	0.0290732	0.052147	0.106053	0.0917079	0.070418	0.0905591	0.15289	0.342365
a75	0.00517823	0.00850813	0.011442	0.0132423	0.0150777	0.0260225	0.0599777	0.0420508	0.0299261	0.0705308	0.172524	0.54552
a98	0.00663189	0.00777582	0.0105007	0.0129627	0.0161604	0.0251785	0.0656409	0.0550047	0.0442184	0.0908854	0.189815	0.475225
a25	0.00890906	0.0109314	0.0145899	0.0153293	0.0175859	0.0315023	0.0790394	0.0667524	0.0532019	0.0804552	0.188784	0.432919
a93	0.00438922	0.00684501	0.00871201	0.00973388	0.0119329	0.0261602	0.075375	0.0560223	0.040648	0.0678809	0.210645	0.481656
a4	0.00298285	0.00471725	0.00666732	0.00823161	0.0108284	0.0270259	0.0814198	0.0539863	0.0397218	0.0914585	0.19078	0.482181
a13	0.00180176	0.00332928	0.00433826	0.00522017	0.00669392	0.016482	0.0482963	0.0296436	0.0232285	0.0694381	0.179745	0.611783
a82	0.000729633	0.00204116	0.00250026	0.00280742	0.00403714	0.00767842	0.021939	0.0132278	0.0119223	0.0381418	0.175771	0.719204
a87	0.0178609	0.0198981	0.0261689	0.0270242	0.0291325	0.0390874	0.0677003	0.0472417	0.0342115	0.0628755	0.20676	0.422039
a23	0.0303449	0.0460557	0.0700497	0.0743033	0.0867483	0.11975	0.108446	0.0786126	0.058095	0.0582913	0.0910322	0.178271
a87	0.0100344	0.0131891	0.0173082	0.0204723	0.0280605	0.0582459	0.0575134	0.0332791	0.0313063	0.0560925	0.208525	0.465974
a23	0.00582727	0.0101373	0.0165175	0.0193665	0.0240859	0.041583	0.0419356	0.0279081	0.0265044	0.0516762	0.232817	0.501641
a97	0.0164228	0.0242514	0.0315526	0.0276102	0.030413	0.0494664	0.0486876	0.0312621	0.0379411	0.0703949	0.179353	0.452645
</S>	0.0143982	0.0266315	0.0295396	0.0255732	0.0274111	0.0364168	0.0365089	0.026807	0.0305351	0.0536304	0.201896	0.490652
