 	le	py	thon	s'	est	enroulé	autour	de	l'	arbre	sur	lequel	mon	mari	a	grimpé	</S>
a34	0.000815524	0.00091358	0.00131411	0.00194151	0.00198405	0.00157171	0.00401989	0.0140931	0.0198395	0.0307818	0.0300719	0.0455354	0.0593413	0.0599403	0.0814889	0.18728	0.459068
a93	0.000812059	0.000950695	0.00159801	0.00224384	0.00206411	0.00175843	0.00415742	0.012199	0.0167926	0.0269683	0.0275571	0.0396232	0.0503073	0.0521009	0.0739461	0.194961	0.49196
a96	0.000550501	0.00064484	0.00109992	0.00184136	0.00168032	0.0012026	0.00284765	0.0080953	0.0106146	0.0165019	0.0192286	0.0264281	0.0409385	0.0467265	0.0681822	0.218804	0.534613
a70	0.000540777	0.000648885	0.00117095	0.00210569	0.00188042	0.0011787	0.00295213	0.00985918	0.0130787	0.02075	0.0226368	0.0291051	0.0444705	0.0504529	0.0766631	0.223473	0.499033
a71	0.000662978	0.000887766	0.00145486	0.00231101	0.0019392	0.00116158	0.00268769	0.00825878	0.0105267	0.0169748	0.0190516	0.0250314	0.0384618	0.0470905	0.0784306	0.231141	0.513928
a9	0.00314521	0.00409547	0.00478555	0.00589022	0.00510256	0.00509766	0.0103081	0.0221423	0.0235384	0.034982	0.0324482	0.0408984	0.0496364	0.0525605	0.083568	0.234493	0.387309
a87	0.083371	0.0836049	0.115046	0.0687813	0.0314286	0.0318373	0.0311248	0.0387328	0.0320033	0.0397235	0.0361714	0.0488543	0.0530741	0.05384	0.0542354	0.0794121	0.118759
a23	0.206101	0.173836	0.132545	0.0646563	0.0304233	0.0335047	0.029122	0.0283993	0.0248807	0.0313706	0.0321142	0.0403322	0.0368704	0.0321162	0.0270939	0.0315923	0.0450419
a87	0.0738305	0.0452653	0.0296493	0.0161668	0.00795433	0.010329	0.0075964	0.00789168	0.00754312	0.0101178	0.0132116	0.0218802	0.0366909	0.0423075	0.0663923	0.167889	0.435284
</S>	0.0579634	0.0320454	0.0133175	0.00692688	0.00389466	0.00782618	0.00701575	0.00948084	0.0111387	0.0182957	0.024972	0.0373063	0.0504041	0.0448513	0.0599664	0.161367	0.453228
