 	tu	n'	es	pas	le	seul	à	t'	abriter	de	la	pluie	dans	cette	case	</S>
a70	0.0394056	0.0488881	0.0675543	0.108445	0.130819	0.12861	0.0983555	0.0890415	0.0718348	0.047009	0.0345098	0.0288424	0.0274963	0.0250277	0.027726	0.0264352
a90	0.0232326	0.0279318	0.0402688	0.0851422	0.118731	0.129416	0.112881	0.108069	0.0948715	0.0617708	0.0415599	0.030869	0.0291267	0.0284446	0.0340765	0.0336081
a98	0.0168735	0.0209234	0.0293034	0.0628707	0.0879885	0.100577	0.0909825	0.0869545	0.090699	0.0744589	0.06098	0.0509492	0.051328	0.0508657	0.0610516	0.0631941
a56	0.0136653	0.0156346	0.0217268	0.0471732	0.0633549	0.0773493	0.0690168	0.0616894	0.0780613	0.0946591	0.0915978	0.0804371	0.0712982	0.067082	0.070763	0.0764912
a75	0.0126741	0.0140265	0.0171316	0.0344852	0.0539933	0.0822659	0.0865844	0.0830249	0.0852305	0.0942669	0.0777422	0.0667064	0.0643377	0.0649296	0.0758103	0.0867903
a92	0.00597988	0.00627445	0.00781205	0.015661	0.0235064	0.0365665	0.0395029	0.038409	0.059325	0.0994444	0.115249	0.118364	0.115946	0.108615	0.101885	0.10746
a37	0.00536646	0.00555798	0.00697075	0.014644	0.0228952	0.0376615	0.0444408	0.0432293	0.0601291	0.0980705	0.110821	0.115277	0.116388	0.109288	0.102685	0.106575
a21	0.00732121	0.00654963	0.00753253	0.0149768	0.0230095	0.0412846	0.0589173	0.0671225	0.0963343	0.139457	0.116928	0.0928781	0.078054	0.0750536	0.0796135	0.0949674
a47	0.00690133	0.00621261	0.0067957	0.0114757	0.0160121	0.0277529	0.0416829	0.0519292	0.0853935	0.127158	0.119265	0.109051	0.0960373	0.0924519	0.0944562	0.107425
a62	0.00676402	0.00671033	0.00768479	0.0129724	0.0173569	0.0267601	0.0351987	0.0422098	0.0815246	0.136961	0.125029	0.111553	0.0937626	0.0899693	0.0934542	0.112089
a34	0.00623362	0.00609924	0.00633911	0.0092503	0.0111061	0.0162004	0.02091	0.027346	0.0736735	0.147769	0.142597	0.132215	0.104765	0.0947975	0.0924309	0.108267
a56	0.00464789	0.00465202	0.00525318	0.00742929	0.00874802	0.0116337	0.0147581	0.0202545	0.055854	0.120701	0.125728	0.129651	0.119261	0.114949	0.116995	0.139485
a93	0.00228043	0.00217028	0.00267337	0.00433194	0.00529249	0.00716353	0.00944284	0.01337	0.0407796	0.0969498	0.109733	0.125212	0.133451	0.138514	0.143163	0.165472
a70	0.0022748	0.00207794	0.00228	0.00356615	0.00436335	0.00590854	0.0076173	0.0114039	0.0363255	0.0845255	0.0949557	0.115484	0.135393	0.150148	0.158581	0.185094
a11	0.00176021	0.00147499	0.00152844	0.00220436	0.00263399	0.00357329	0.00457208	0.00657792	0.0202852	0.051606	0.0642064	0.091346	0.128702	0.164325	0.202242	0.252963
a93	0.00125552	0.00105488	0.00113557	0.00185907	0.00248702	0.00337362	0.00462607	0.00584415	0.0160524	0.0406667	0.0530441	0.0716853	0.113781	0.163309	0.217685	0.302141
a4	0.000462434	0.000385737	0.000422288	0.000734993	0.00101936	0.00149276	0.00221721	0.00329147	0.0118024	0.0328998	0.043811	0.0638726	0.107587	0.162036	0.231869	0.336095
a13	0.000392596	0.000290971	0.000304701	0.000606282	0.000866939	0.00133643	0.00193986	0.0028403	0.00928421	0.0267336	0.0394259	0.0644107	0.115928	0.17251	0.242414	0.320716
a44	0.00188762	0.00144036	0.00136456	0.00238321	0.00323454	0.00422773	0.00527465	0.0048328	0.011037	0.0265725	0.0412696	0.0588424	0.112652	0.178937	0.244082	0.301963
a54	0.000503761	0.000360421	0.000334577	0.000710719	0.00114358	0.00174875	0.00249374	0.00288662	0.00766252	0.0201867	0.0326905	0.0544863	0.111651	0.177293	0.25365	0.332198
a36	8.12588e-05	5.95335e-05	5.19557e-05	0.000100142	0.000161426	0.000282223	0.00050329	0.000834603	0.0038822	0.0134412	0.0217665	0.0365758	0.0810828	0.150396	0.258674	0.432107
a2	0.00641993	0.00397172	0.00279487	0.00344874	0.00379282	0.00476663	0.00646804	0.00757248	0.0165173	0.0225346	0.0318682	0.047666	0.103005	0.165394	0.245556	0.328223
a57	0.0337152	0.0197728	0.0143197	0.0168897	0.0168585	0.0205204	0.023222	0.0291372	0.0557926	0.0641282	0.0729146	0.0877194	0.115389	0.120954	0.144275	0.164391
a87	0.093803	0.0450316	0.0278298	0.0253848	0.0273303	0.030797	0.0375796	0.0431361	0.052803	0.0610091	0.0691566	0.0803121	0.0977908	0.100986	0.102655	0.104396
a23	0.0662604	0.0433803	0.0320844	0.0310506	0.0353565	0.0444157	0.064771	0.0780299	0.0548098	0.0626697	0.0767732	0.0909557	0.0915024	0.082926	0.0728589	0.0721554
a99	0.0301676	0.0182578	0.0107083	0.00749717	0.00664208	0.00559542	0.00895551	0.0145551	0.0183993	0.0272857	0.0665058	0.102666	0.156763	0.180897	0.175675	0.16943
a97	0.0268233	0.0126334	0.00672084	0.00547316	0.00560748	0.00683779	0.0112188	0.0168406	0.0242342	0.0291453	0.0497774	0.0720933	0.122072	0.156133	0.218159	0.23623
</S>	0.0067793	0.00307406	0.00176529	0.00182619	0.0023555	0.00332108	0.00501409	0.00663555	0.0108836	0.0181867	0.0329084	0.0492727	0.0972734	0.151299	0.265147	0.344258
