 	le	côté	paternel	de	ma	femme	m'	a	exigé	beaucoup	d'	argent	pour	la	dot	</S>
a9	0.00480913	0.0102887	0.0152996	0.0316231	0.0576704	0.068167	0.0746078	0.0744822	0.0730195	0.0676284	0.0690894	0.0677381	0.0616486	0.0664077	0.102121	0.1554
a62	0.00355152	0.00762028	0.00744552	0.0166313	0.0345734	0.0483532	0.0604712	0.0658792	0.0729554	0.0753373	0.0798388	0.067212	0.0630458	0.0666625	0.121807	0.208615
a75	0.00946009	0.0150173	0.0149121	0.0333903	0.0477202	0.0542999	0.0601065	0.0688139	0.087486	0.0819232	0.0766024	0.0663442	0.0697909	0.0732127	0.100794	0.140126
a79	0.00416067	0.00553505	0.00670624	0.026409	0.0493767	0.0580884	0.0641238	0.0655825	0.074327	0.0675973	0.0613472	0.0546921	0.0622621	0.0761649	0.133366	0.190261
a44	0.00266986	0.00358031	0.00484582	0.0194222	0.0491823	0.0584206	0.0631145	0.0597914	0.0669053	0.0603562	0.0565318	0.0567425	0.0650041	0.0787557	0.147743	0.206935
a7	0.00376854	0.00454163	0.00518585	0.018256	0.0525433	0.0719995	0.0848933	0.0818073	0.0817513	0.0729112	0.0673058	0.0649456	0.0668832	0.0696782	0.109024	0.144505
a90	0.00209755	0.0022492	0.00244112	0.00792522	0.0298059	0.052531	0.0737691	0.0720315	0.0719558	0.0641106	0.065327	0.0684181	0.0753239	0.0829936	0.137128	0.191893
a96	0.00179622	0.00180966	0.00195509	0.00570729	0.0219618	0.0415071	0.0622401	0.0604134	0.0676588	0.0622866	0.0646573	0.0714495	0.0787501	0.0846255	0.153206	0.219976
a56	0.000942344	0.00102748	0.00124283	0.00505102	0.0201132	0.0383125	0.0593984	0.0590697	0.065922	0.0619237	0.0663604	0.0717363	0.082538	0.0920357	0.154317	0.220009
a93	0.000581365	0.000646936	0.000844004	0.0039413	0.0149553	0.0298004	0.0497237	0.0523072	0.0633635	0.0638427	0.071307	0.0775843	0.0896761	0.0991788	0.158335	0.223912
a70	0.000359657	0.00039097	0.000520246	0.00234904	0.0124707	0.0284325	0.049527	0.0486695	0.0556937	0.0503315	0.0539374	0.0614254	0.0741391	0.0942382	0.186064	0.281451
a11	0.000479845	0.000558082	0.000747789	0.00317656	0.0125517	0.0261751	0.0464846	0.0463713	0.0520201	0.0483901	0.0537602	0.0613863	0.0777862	0.104722	0.191759	0.273631
a24	0.000558764	0.000586695	0.000669011	0.00221843	0.00966962	0.0197432	0.0368275	0.0354937	0.0367977	0.0324706	0.0369761	0.0439884	0.060618	0.0962932	0.227824	0.359265
a50	0.000870484	0.000963918	0.00107753	0.00359279	0.0127763	0.0214013	0.0351747	0.0335494	0.0341727	0.0286864	0.0319353	0.0365638	0.0539449	0.1003	0.239045	0.365945
a62	0.00156746	0.00178312	0.00191819	0.00573844	0.0175077	0.0262519	0.0411301	0.039185	0.0396811	0.0309294	0.0344962	0.0380987	0.0578757	0.110384	0.233754	0.319698
a88	0.00225444	0.00251073	0.00256624	0.00690674	0.0216211	0.0319004	0.0478185	0.0439705	0.0423268	0.0316324	0.0360402	0.039155	0.0611035	0.117605	0.23247	0.280118
a71	0.000941388	0.00124982	0.00139803	0.00397352	0.0117713	0.018582	0.0281348	0.025225	0.024118	0.0191146	0.0227025	0.0255678	0.0410344	0.0935867	0.259012	0.423589
a90	0.00599629	0.00507869	0.00499568	0.0100759	0.0340931	0.0543364	0.0703295	0.0611072	0.0594592	0.0425126	0.0437559	0.0492961	0.0674714	0.106884	0.18852	0.196089
a92	0.000304311	0.000376068	0.000403044	0.00102576	0.00363634	0.00773281	0.0152851	0.0149012	0.0165889	0.0132906	0.016843	0.0218915	0.0379531	0.0903254	0.283231	0.476212
a79	0.000117565	0.000174866	0.000237647	0.000864481	0.00372172	0.00774041	0.0145428	0.0150668	0.0182921	0.0166202	0.0193053	0.0231188	0.0364592	0.0807003	0.260476	0.502562
a54	0.000121895	0.000177375	0.000268081	0.00101002	0.00446332	0.00869787	0.0155719	0.0146944	0.0158245	0.0137119	0.0154921	0.0195595	0.0317475	0.0731759	0.265218	0.520265
a92	0.000157848	0.000227866	0.000340349	0.00110044	0.00388289	0.00808302	0.014886	0.0145494	0.0169311	0.0152974	0.017057	0.022068	0.0357608	0.0818432	0.284017	0.483798
a6	0.000118259	0.000164181	0.000235004	0.000874951	0.00393546	0.00788371	0.0153888	0.0161329	0.0211786	0.01959	0.0230453	0.0293907	0.0493414	0.0966031	0.268326	0.447792
a7	0.000186198	0.000214353	0.000306337	0.00130139	0.00559893	0.00865838	0.014436	0.0147143	0.0187951	0.0169045	0.0202396	0.0264132	0.0460109	0.0952813	0.268314	0.462626
a36	0.000677243	0.000735091	0.000872579	0.00223468	0.00553182	0.00783115	0.0131101	0.012296	0.0139086	0.0123034	0.0169164	0.0234546	0.0464047	0.110531	0.316992	0.4162
a2	0.00800041	0.00805076	0.00796597	0.0140071	0.0251049	0.0281778	0.0401685	0.0389791	0.0423471	0.0321287	0.0377008	0.0463117	0.0723505	0.122083	0.229833	0.246791
a57	0.0492414	0.0409019	0.0396045	0.0524899	0.0677592	0.0595466	0.0724666	0.0730244	0.0678999	0.0527205	0.0543573	0.0638224	0.0725086	0.0766992	0.0814801	0.0754774
a87	0.11948	0.0706105	0.0700255	0.0518385	0.046117	0.0367659	0.0495129	0.0516457	0.0468321	0.0343739	0.0322772	0.0412388	0.0573313	0.0795138	0.105268	0.107169
a23	0.0611655	0.0401948	0.0475449	0.0556091	0.0567537	0.0451265	0.0695546	0.0718401	0.0611112	0.0416318	0.0377641	0.0484871	0.063897	0.083607	0.101236	0.114476
a38	0.0103288	0.00541577	0.00441632	0.0060326	0.01239	0.0156054	0.0326839	0.0386267	0.0506549	0.0366815	0.0379731	0.0515876	0.083414	0.12379	0.210812	0.279587
a99	0.0139151	0.00865306	0.00875904	0.0140427	0.021552	0.0233844	0.0356833	0.0407987	0.0541254	0.0458117	0.0460865	0.0554716	0.0831077	0.105218	0.185094	0.258296
a30	0.00484125	0.00318787	0.00410302	0.00865897	0.0165772	0.0200945	0.0313258	0.0331251	0.0412157	0.0352838	0.0367976	0.045737	0.0697634	0.0989294	0.220043	0.330316
</S>	0.00310336	0.00229433	0.00275746	0.00703218	0.0153956	0.0168899	0.0246351	0.0268873	0.0340765	0.0297074	0.0312524	0.0410592	0.071052	0.108982	0.254281	0.330594
