 	pêcher	le	protoptère	au	harpon	est	l'	activité	lucrative	des	natifs	de	ngwooni	</S>
a12	0.00694441	0.00486823	0.00556297	0.0100763	0.0154039	0.0463823	0.077407	0.0921154	0.131694	0.128689	0.126528	0.0967003	0.106358	0.151271
a21	0.0042759	0.00302394	0.00371457	0.00633868	0.00902054	0.0246046	0.0398151	0.043991	0.0756807	0.0742114	0.117799	0.131661	0.177954	0.28791
a85	0.00376043	0.00282506	0.00307484	0.0044923	0.00592863	0.0136764	0.0241904	0.0304469	0.0515948	0.062154	0.104247	0.144099	0.201102	0.348407
a0	0.0023473	0.00175269	0.00202536	0.00331027	0.00420299	0.00960314	0.0131175	0.0156902	0.0300343	0.036634	0.0668057	0.110199	0.195339	0.508938
a12	0.00324607	0.00200361	0.00195464	0.00279483	0.00346329	0.00811759	0.00999795	0.00876256	0.0163791	0.0199086	0.0692157	0.154856	0.248636	0.450664
a96	0.00290301	0.00184504	0.00171985	0.00240796	0.00282675	0.0059724	0.00770489	0.00759116	0.0152138	0.0196283	0.071943	0.209795	0.264274	0.386175
a90	0.00214986	0.00142466	0.00138214	0.00184455	0.00206904	0.00370851	0.00440576	0.00473891	0.0106642	0.0144968	0.0685421	0.216698	0.278492	0.389384
a44	0.000794724	0.000440972	0.000394092	0.000553051	0.000655032	0.00140849	0.00178408	0.00193455	0.00528156	0.00827947	0.0427156	0.176818	0.285734	0.473207
a96	0.000788601	0.000404639	0.000345246	0.000470207	0.000563459	0.00120488	0.00123244	0.00098082	0.00225362	0.00327192	0.022551	0.133189	0.268782	0.563962
a18	0.000950094	0.000580569	0.000554013	0.000783318	0.000986241	0.0019757	0.00197338	0.00132756	0.00249608	0.00351365	0.0228599	0.105644	0.258549	0.597807
a57	0.00715932	0.00452936	0.00443626	0.00589371	0.00683018	0.00886892	0.00951522	0.00671305	0.00945274	0.0117985	0.0491676	0.154933	0.252193	0.468509
a3	0.0384371	0.0208669	0.0148626	0.0162094	0.0146758	0.0152876	0.0156129	0.0128489	0.0170806	0.022206	0.0619168	0.156201	0.214487	0.379307
a10	0.102102	0.0660449	0.0550872	0.0568576	0.0523898	0.0455504	0.0569942	0.0505149	0.035993	0.032058	0.0561818	0.108469	0.124109	0.157649
a87	0.118487	0.0815237	0.0653694	0.0636005	0.0604267	0.055499	0.0682124	0.0535541	0.0336222	0.0282761	0.0413523	0.0807054	0.105709	0.143662
a23	0.0922388	0.0696944	0.058678	0.0606565	0.0614046	0.063098	0.0819917	0.067326	0.0511179	0.0425804	0.0484695	0.0754284	0.0976083	0.129707
a99	0.0608137	0.0326908	0.0216931	0.0181679	0.0146801	0.0169717	0.0208222	0.0211043	0.027694	0.0258138	0.0420101	0.100468	0.21239	0.38468
a97	0.0578978	0.0298296	0.0188855	0.0181476	0.0163824	0.0238925	0.0281849	0.028286	0.038334	0.0326097	0.0493074	0.0984218	0.190353	0.369468
</S>	0.0164588	0.0103568	0.0084735	0.0100702	0.0114692	0.0186619	0.0193871	0.0160329	0.0163543	0.0138603	0.0226855	0.069635	0.202353	0.564202
