 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
a25	0.00148306	0.0012423	0.00188736	0.00521034	0.0107409	0.0164688	0.0275886	0.0626	0.124084	0.175363	0.23496	0.338372
a69	0.00105671	0.000732166	0.00120594	0.00297073	0.00516159	0.00743139	0.012823	0.0327497	0.0844368	0.144429	0.257871	0.449132
a58	0.000812478	0.000706702	0.00126793	0.00328848	0.00526223	0.00656649	0.00968788	0.022112	0.0489695	0.107197	0.245601	0.548528
a90	0.00355724	0.00211408	0.00225128	0.00298027	0.00364534	0.00453693	0.00741468	0.0196756	0.0622303	0.130356	0.268006	0.493231
a92	0.00101844	0.000688937	0.000871137	0.0013612	0.00184951	0.00247742	0.00416373	0.00973153	0.0298879	0.084031	0.249718	0.614201
a96	0.00083185	0.000607158	0.000822838	0.00166976	0.00238758	0.00316528	0.00522384	0.0111094	0.0308087	0.0778625	0.229016	0.636495
a88	0.00128662	0.000732853	0.00103176	0.00176695	0.00230946	0.00312534	0.00551491	0.0120561	0.0372949	0.0882907	0.261739	0.584852
a71	0.00290685	0.00168186	0.00187607	0.00281472	0.00353492	0.00452822	0.00779706	0.0173441	0.0510135	0.106598	0.265085	0.53482
a3	0.0244483	0.0167017	0.0161702	0.0130921	0.0138164	0.0141772	0.0185387	0.0262191	0.052883	0.0938216	0.234215	0.475917
a87	0.0454093	0.0246685	0.0162827	0.01204	0.0129738	0.0134712	0.0173676	0.0342413	0.0782789	0.152995	0.253475	0.338796
a97	0.0681229	0.0385156	0.0189891	0.013795	0.0153566	0.0158669	0.0193844	0.0400629	0.0822156	0.158756	0.233915	0.29502
a87	0.0698424	0.0366848	0.0184617	0.016949	0.0210199	0.0232034	0.0280778	0.0527245	0.0854719	0.153832	0.212196	0.281537
a10	0.0940792	0.0440349	0.0196567	0.0159476	0.0164858	0.0177758	0.0211433	0.0407834	0.0735972	0.14018	0.204681	0.311636
a87	0.101812	0.0517031	0.0234484	0.0180478	0.0170374	0.0185588	0.0223142	0.0437117	0.0772744	0.136374	0.192734	0.296984
a97	0.088746	0.0539654	0.0258754	0.0190852	0.0191528	0.0201839	0.0227834	0.0432991	0.0741798	0.129176	0.189258	0.314294
a87	0.11613	0.0641401	0.0331165	0.028217	0.0256675	0.02428	0.025708	0.036851	0.0629487	0.114629	0.171635	0.296678
</S>	0.108003	0.0630161	0.0320207	0.0251735	0.0224756	0.021687	0.0230107	0.0351839	0.0623656	0.114753	0.176597	0.315713
