 	le	mari	est	mort	et	a	laissé	sa	femme	dans	les	souffrances	</S>
a87	0.00808667	0.00750295	0.0113567	0.0243806	0.058086	0.0852465	0.124238	0.151721	0.146223	0.114272	0.085687	0.0820368	0.101162
a23	0.0524092	0.0266282	0.0209741	0.0248495	0.0429882	0.0563667	0.0794967	0.106763	0.126916	0.128012	0.107184	0.106242	0.12117
a87	0.0354008	0.0212617	0.0199195	0.0230104	0.0362948	0.0428645	0.05083	0.0561843	0.0808941	0.115799	0.139263	0.149948	0.22833
a40	0.00804989	0.00414103	0.00462145	0.00760638	0.0161874	0.0241485	0.034434	0.0411233	0.0554504	0.102	0.170078	0.234732	0.297428
a36	0.0102637	0.00647279	0.00622058	0.00725353	0.011221	0.0158176	0.0184946	0.0173121	0.018113	0.0210345	0.05832	0.274831	0.534646
a61	0.00831155	0.0084743	0.0123632	0.0211385	0.0347377	0.0482281	0.0594885	0.0526064	0.0549864	0.0656172	0.108217	0.206041	0.31979
a88	0.0292633	0.0273097	0.0292049	0.0375278	0.06209	0.0782834	0.0958018	0.0875217	0.0793444	0.0801938	0.0993912	0.11917	0.174898
a31	0.0148565	0.0143201	0.0182782	0.0251132	0.0398709	0.0489157	0.0657499	0.0815105	0.095516	0.0982654	0.133859	0.161289	0.202456
a24	0.0185435	0.0190522	0.0235143	0.0301909	0.0450074	0.0546775	0.0725117	0.0878421	0.102977	0.106425	0.140243	0.147027	0.151989
a75	0.00953597	0.00969426	0.0145834	0.0238709	0.0387229	0.0454453	0.0608012	0.0819095	0.0985314	0.0924681	0.133487	0.189095	0.201856
a85	0.0146014	0.0160669	0.0215732	0.0325622	0.0476685	0.0581822	0.0694651	0.0745373	0.0775236	0.0691165	0.0839867	0.12989	0.304827
a43	0.0197872	0.0220628	0.0286056	0.041015	0.0568835	0.0705311	0.0837694	0.0997282	0.103509	0.0903121	0.0874843	0.106125	0.190187
a11	0.00714965	0.00753325	0.0113942	0.0219326	0.0389842	0.0474857	0.0575574	0.0800571	0.0957552	0.095385	0.126958	0.151752	0.258056
a31	0.00372738	0.00365111	0.00586498	0.0136305	0.0283151	0.0361163	0.0490231	0.0671534	0.0740267	0.0661572	0.103066	0.212225	0.337043
a0	0.00536784	0.00521614	0.00767237	0.0144875	0.0285409	0.0363376	0.0500311	0.0681268	0.0712065	0.0627999	0.108808	0.217907	0.323499
a31	0.00300594	0.00284111	0.00378303	0.00713481	0.0129392	0.0153914	0.0210375	0.0297511	0.0317631	0.0289668	0.0602716	0.279355	0.50376
a75	0.00370364	0.00348461	0.00430291	0.00698515	0.0125895	0.0151774	0.0214028	0.0305762	0.0310296	0.0260887	0.0564148	0.253045	0.535199
a56	0.00368345	0.00360408	0.00511458	0.0101136	0.0196534	0.0267131	0.03756	0.0517452	0.0490619	0.0379633	0.0746252	0.202988	0.477174
a96	0.00143246	0.00131075	0.00158405	0.00272885	0.00514303	0.00676563	0.0101981	0.0156806	0.0180749	0.016726	0.0443138	0.244444	0.631598
a66	0.000761428	0.000746655	0.00102884	0.00202285	0.00377373	0.00475196	0.00689691	0.0102521	0.0111189	0.0104829	0.0294512	0.218875	0.699837
a24	0.00102568	0.000712264	0.000789336	0.00145184	0.00247718	0.00345594	0.0046177	0.00575032	0.00614759	0.00693676	0.0218541	0.273408	0.671373
a88	0.00076795	0.000569402	0.000627291	0.00111069	0.00187748	0.00250785	0.00318257	0.00397782	0.00419271	0.004816	0.0158881	0.234979	0.725503
a9	0.000597185	0.000477957	0.000538948	0.000923765	0.001584	0.00209378	0.00273888	0.00345586	0.00363616	0.00395948	0.013687	0.204846	0.761461
a10	0.00556885	0.00354841	0.00336784	0.00430782	0.00668785	0.0085665	0.0105246	0.0125821	0.0113521	0.0107725	0.0297771	0.2791	0.613845
a87	0.0240909	0.0123103	0.0084614	0.00933264	0.0136745	0.0159462	0.0192637	0.0234352	0.0222359	0.0209883	0.055889	0.288749	0.485623
a23	0.116053	0.0607231	0.0386342	0.0328246	0.0379983	0.0392328	0.0443193	0.0587347	0.0839572	0.0896097	0.109922	0.140901	0.147091
a87	0.0339312	0.0146244	0.0100071	0.0079246	0.00764	0.00749072	0.00941885	0.0143278	0.0262473	0.0405198	0.122686	0.338677	0.366506
a97	0.0104941	0.00384146	0.00268526	0.00271384	0.00404106	0.0049158	0.00680556	0.00984664	0.0154634	0.0274334	0.0675356	0.269888	0.574336
a87	0.0921176	0.0352096	0.0218056	0.022265	0.0274951	0.0305087	0.0370978	0.0499122	0.0636858	0.0600753	0.083569	0.185842	0.290416
</S>	0.105675	0.0491357	0.0295808	0.0233367	0.0275684	0.0316564	0.0390882	0.0497334	0.066079	0.0690448	0.0933852	0.162308	0.253408
