 	celui	qui	s'	embourbe	à	cet	endroit	n'	arrivera	pas	à	brazaville	aujourd'	hui	</S>
a61	0.00453215	0.013314	0.0427464	0.198194	0.173565	0.151426	0.137106	0.0868429	0.0465965	0.0399171	0.0283787	0.0187875	0.0168501	0.020047	0.0216976
a47	0.00375535	0.0103557	0.0378071	0.185717	0.172752	0.156674	0.142606	0.0892323	0.0482351	0.0394036	0.0280272	0.0196594	0.0188772	0.022091	0.024807
a62	0.00647039	0.0167657	0.0498558	0.165882	0.149514	0.144965	0.136247	0.0953611	0.0605173	0.0470588	0.033319	0.022402	0.0202711	0.0236386	0.0277329
a21	0.00390837	0.0118875	0.0392491	0.163308	0.157863	0.1544	0.153235	0.095318	0.0650601	0.0500825	0.0311421	0.0179341	0.01543	0.0184067	0.0227746
a12	0.0034023	0.00789798	0.0228561	0.118349	0.13044	0.134723	0.136548	0.0931055	0.0774209	0.0689765	0.0545007	0.0377574	0.0322878	0.0387204	0.0430146
a18	0.00283319	0.00765386	0.0212203	0.109706	0.130938	0.143734	0.143446	0.086329	0.0694119	0.0613222	0.0483701	0.0379836	0.0354015	0.0463184	0.055333
a25	0.00355648	0.0107266	0.0268295	0.103449	0.0929552	0.136575	0.133328	0.0835118	0.0949535	0.0815182	0.0492708	0.0291919	0.0324627	0.0491873	0.0724842
a40	0.00445224	0.0109864	0.0263174	0.097611	0.0720786	0.122066	0.117638	0.0747199	0.103067	0.083453	0.0496682	0.0362262	0.0420323	0.0638366	0.0958468
a6	0.00239976	0.00433268	0.0083172	0.029327	0.0259427	0.0348856	0.0358732	0.0216846	0.0432369	0.0549898	0.0647761	0.0929342	0.11731	0.186325	0.277666
a37	0.0020678	0.00326773	0.00626107	0.0240489	0.0200652	0.0290211	0.0300277	0.0196802	0.052549	0.0677021	0.0782607	0.105533	0.12475	0.180154	0.256612
a12	0.00329671	0.00644613	0.0116016	0.0307647	0.0297241	0.0449412	0.0520732	0.0328618	0.0750721	0.0797869	0.0644459	0.067025	0.0988315	0.15398	0.249149
a96	0.00397027	0.00738348	0.0145151	0.0403721	0.0426444	0.0561142	0.0646393	0.0419261	0.079595	0.087276	0.0806464	0.0863219	0.102241	0.125582	0.166773
a62	0.00376356	0.00642817	0.0119092	0.0353405	0.0339591	0.0451964	0.051062	0.0302596	0.0687454	0.0820722	0.0804903	0.0886797	0.110868	0.144543	0.206683
a21	0.00342499	0.00609721	0.0111079	0.0308707	0.0284738	0.036581	0.0414347	0.0241201	0.0573871	0.0752317	0.0786958	0.0994721	0.12685	0.155245	0.225008
a92	0.00152742	0.00205646	0.00413727	0.0145812	0.0149389	0.023019	0.0271179	0.0184531	0.0470742	0.0598326	0.0689637	0.103934	0.159854	0.197977	0.256533
a56	0.00103156	0.00151267	0.00324032	0.0109042	0.00913224	0.012756	0.0144673	0.010095	0.0311555	0.0447228	0.0582389	0.0933819	0.160641	0.222633	0.326088
a90	0.00110302	0.00171431	0.00304452	0.00896113	0.00716188	0.00968037	0.010719	0.00643903	0.0192901	0.0285119	0.0372145	0.0787784	0.176557	0.244446	0.366379
a69	0.000450832	0.000681391	0.00156599	0.00686472	0.00512328	0.0077951	0.00840715	0.00514577	0.0205006	0.0340571	0.0467013	0.0909262	0.177053	0.242909	0.351819
a98	0.000439795	0.000591249	0.0011425	0.00396518	0.00282547	0.00437867	0.00442473	0.00292554	0.0132381	0.0232232	0.032866	0.0745537	0.168348	0.25987	0.407208
a15	0.000183434	0.000358105	0.000849201	0.00248431	0.00156911	0.00269256	0.00251402	0.00168615	0.00697479	0.0127078	0.0209913	0.0528462	0.152581	0.272939	0.468623
a7	0.000199088	0.000307389	0.000617519	0.00179937	0.001122	0.00181842	0.00173493	0.00124737	0.00470321	0.00962343	0.0174096	0.0480735	0.156729	0.290159	0.464456
a36	0.00148049	0.00169512	0.00174315	0.00126725	0.000799207	0.0010933	0.00104678	0.00086168	0.00273747	0.0056105	0.0114345	0.0411335	0.153231	0.289827	0.486039
a26	0.00613433	0.00650045	0.00583522	0.00302069	0.00212545	0.00262948	0.00234102	0.00218514	0.00493857	0.00947951	0.0175873	0.0550679	0.168442	0.283738	0.429975
a57	0.033468	0.0288642	0.0220868	0.0180554	0.0202048	0.023224	0.0230541	0.0216981	0.0314741	0.0475363	0.0589653	0.109405	0.146103	0.190818	0.225043
a87	0.113608	0.0660242	0.0419682	0.0301282	0.038646	0.0420635	0.0427474	0.0316633	0.0378823	0.054663	0.0603562	0.0909644	0.0989261	0.117544	0.132815
a97	0.135145	0.0839527	0.0556693	0.029271	0.0325739	0.0398811	0.0372807	0.0276733	0.0363647	0.0496602	0.0545988	0.0810104	0.0980302	0.108715	0.130174
a87	0.0724032	0.0513942	0.0442432	0.0358063	0.0398823	0.0565444	0.0487773	0.0361413	0.0323393	0.0390191	0.0395713	0.0643662	0.112018	0.141394	0.1861
a23	0.0507183	0.0416864	0.0564239	0.0565755	0.0526117	0.0581495	0.0444581	0.0293235	0.0228257	0.0272517	0.0280711	0.048427	0.112783	0.156111	0.214583
a87	0.00821866	0.00547816	0.00682228	0.0060281	0.00691823	0.0103615	0.00916061	0.0106135	0.0128844	0.0232775	0.0429589	0.0807292	0.207578	0.249845	0.319126
a97	0.00380426	0.00406978	0.00688309	0.00536568	0.00556028	0.00769557	0.00616504	0.0052395	0.00570181	0.0116004	0.0236833	0.0553436	0.188262	0.28553	0.385096
a87	0.0201899	0.0281667	0.0553738	0.0367848	0.0319545	0.0353704	0.0280896	0.0175822	0.0125781	0.0176838	0.0202089	0.0332173	0.120325	0.212325	0.33015
</S>	0.0250573	0.0344335	0.0625594	0.0468954	0.0411506	0.0418425	0.03395	0.0219684	0.0165613	0.021488	0.0232204	0.0359302	0.118399	0.193286	0.283258
