 	la	manière	dont	cette	enfant	vomit	il	a	certainement	des	ascaris	</S>
a36	0.00502848	0.00378043	0.00465065	0.00920315	0.0155866	0.0269591	0.0490907	0.0683567	0.110251	0.164377	0.228534	0.314182
a37	0.000444064	0.000388383	0.000836035	0.0023445	0.00454288	0.0111746	0.017549	0.0295227	0.0725815	0.128912	0.244093	0.487612
a61	0.000333035	0.000202937	0.000317906	0.0012807	0.00323673	0.00833294	0.0158942	0.0327722	0.095007	0.148446	0.259256	0.43492
a62	0.000751138	0.000422557	0.000475484	0.00151493	0.00303326	0.00643957	0.0145229	0.0319391	0.0994623	0.151881	0.277268	0.41229
a70	0.00130084	0.000854137	0.000922683	0.00210128	0.0037047	0.00674432	0.0145053	0.0307846	0.0884142	0.145733	0.276818	0.428118
a93	0.00135352	0.000686989	0.000641132	0.0015255	0.0029119	0.00653538	0.014401	0.0252002	0.0744087	0.149477	0.302347	0.420511
a90	0.000278768	0.000178684	0.000216355	0.000586206	0.00120127	0.00265129	0.00666021	0.0160987	0.0596922	0.130852	0.337841	0.443743
a69	0.000231229	0.000119579	0.000189139	0.000845895	0.00201464	0.00456854	0.00867395	0.0200657	0.0664859	0.135541	0.310645	0.450619
a54	0.000105914	5.60845e-05	9.60424e-05	0.000381357	0.00093062	0.0025042	0.00580622	0.0138196	0.0453051	0.105262	0.29119	0.534543
a79	5.60418e-05	3.01087e-05	5.03424e-05	0.000192101	0.000507924	0.0016453	0.00459169	0.0110485	0.0383832	0.100374	0.313995	0.529125
a37	8.99374e-05	4.85898e-05	7.31241e-05	0.000266159	0.000704318	0.0023149	0.00574229	0.0124169	0.0379723	0.0953958	0.290113	0.554863
a61	0.0029228	0.00132281	0.00141851	0.00298081	0.0054055	0.016236	0.0316294	0.0433219	0.0829367	0.146538	0.259024	0.406263
a18	0.0285371	0.0152643	0.0120543	0.0144438	0.0163935	0.0307257	0.0420744	0.0507659	0.0808967	0.126998	0.226186	0.35566
a25	0.219847	0.0932917	0.0491911	0.0486615	0.0465436	0.0586707	0.0549054	0.0534034	0.0623948	0.0745252	0.0982265	0.140339
a87	0.114879	0.0674312	0.0382676	0.0339697	0.0335056	0.0366603	0.0505546	0.0595761	0.0901487	0.107781	0.167036	0.200189
a23	0.323519	0.195017	0.0842531	0.0519811	0.0399638	0.0278113	0.0294512	0.032797	0.0392419	0.0487257	0.0636872	0.0635521
a87	0.0855312	0.0622773	0.0350083	0.0341289	0.0401182	0.0364851	0.0531435	0.059752	0.0760385	0.0990453	0.160812	0.25766
</S>	0.0186722	0.0172569	0.0161918	0.0203146	0.0235728	0.0216399	0.0326875	0.0415368	0.0643632	0.114331	0.238279	0.391154
