 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
a70	0.0664762	0.0938153	0.0888294	0.120367	0.0947581	0.0842031	0.0954066	0.0770719	0.0475927	0.0360896	0.0281974	0.0230604	0.0210179	0.021391	0.0258373	0.0372805	0.0208831	0.0177223
a93	0.0435533	0.0613091	0.0651159	0.105237	0.10312	0.100137	0.1117	0.0856971	0.0498888	0.0370276	0.0305455	0.0235438	0.0187507	0.0177372	0.0188634	0.0377608	0.0408383	0.0491735
a70	0.0572147	0.072459	0.0702555	0.103281	0.0988445	0.0951461	0.101964	0.0816798	0.0501429	0.0381825	0.0316771	0.0244667	0.0185565	0.0170082	0.0168239	0.030778	0.0382557	0.0532634
a50	0.0402861	0.0535119	0.0583768	0.0886787	0.102441	0.103599	0.109779	0.0938151	0.0627111	0.050457	0.043326	0.0321422	0.0226458	0.0191048	0.0155226	0.0252912	0.0324946	0.0458176
a70	0.01372	0.0177164	0.0271155	0.047659	0.0967425	0.1138	0.127091	0.122091	0.0877975	0.0740167	0.0669541	0.0482241	0.0331805	0.0250586	0.0169929	0.019946	0.0252017	0.0366931
a90	0.0116005	0.0137987	0.0206619	0.0355115	0.0822795	0.104398	0.123217	0.126996	0.093261	0.0788435	0.0731638	0.0527119	0.0347496	0.0251721	0.0166945	0.0238785	0.0329005	0.0501612
a69	0.0105335	0.0128084	0.0188422	0.0356789	0.0761788	0.0901365	0.0961724	0.091003	0.0710496	0.0657916	0.0665169	0.0549658	0.0417458	0.0347185	0.0261507	0.0525745	0.0650023	0.0901305
a93	0.00861222	0.0101133	0.0162418	0.030389	0.0756866	0.0927291	0.102132	0.0946581	0.0723716	0.0659996	0.064609	0.0540606	0.0428213	0.0365924	0.0287241	0.0513417	0.0659274	0.0869901
a44	0.00712207	0.00735488	0.0118297	0.022373	0.0659522	0.0896685	0.103138	0.105809	0.0816726	0.0742361	0.0728985	0.0592425	0.0445357	0.0350667	0.0262258	0.0453623	0.0597321	0.0877799
a93	0.00675707	0.00633561	0.0090193	0.0148722	0.0487486	0.0747988	0.0949244	0.105316	0.0871785	0.0824403	0.0841045	0.0688626	0.0526955	0.0419305	0.030629	0.0500906	0.0577093	0.0835869
a56	0.00673446	0.00679222	0.010225	0.0156737	0.0468879	0.0666599	0.0774548	0.0813417	0.0710866	0.0733682	0.0786105	0.0719405	0.063148	0.0575318	0.0459938	0.0662102	0.0724533	0.0878875
a70	0.00401491	0.00392192	0.00608219	0.00976002	0.0337996	0.0587866	0.0819098	0.0938672	0.0844441	0.0846017	0.0886645	0.0763922	0.0641207	0.0553138	0.04191	0.0593791	0.0678159	0.0852158
a11	0.00286698	0.00285231	0.00403104	0.00643354	0.0254436	0.0524752	0.0935082	0.121298	0.113314	0.106283	0.103849	0.0787468	0.0564021	0.0438687	0.0292958	0.0422436	0.047525	0.0695619
a43	0.00205099	0.00191169	0.00281119	0.004633	0.0163667	0.035902	0.081998	0.122972	0.116949	0.109164	0.104649	0.0782463	0.0571003	0.045212	0.0300246	0.0490582	0.0553906	0.0855608
a24	0.00351596	0.00292219	0.00388485	0.00583655	0.0152076	0.0277474	0.0686984	0.112692	0.11219	0.106643	0.100745	0.0766566	0.0601528	0.0515132	0.032842	0.0537364	0.0645662	0.100451
a50	0.00588007	0.0051302	0.00561729	0.006726	0.013295	0.0206106	0.0418923	0.0724388	0.0831497	0.084203	0.0888304	0.0736571	0.0603925	0.0580759	0.0451002	0.0871662	0.105266	0.142569
a34	0.00395066	0.00344658	0.00390266	0.00535059	0.0118784	0.0212478	0.0493613	0.0823182	0.0919702	0.0968464	0.102335	0.088172	0.0782196	0.0751102	0.0473959	0.0640673	0.0744095	0.100017
a54	0.0013473	0.00116169	0.00152359	0.00184111	0.00499213	0.0102604	0.0240797	0.0399218	0.0504869	0.0551853	0.0644291	0.0622579	0.0562539	0.0588509	0.0648508	0.129689	0.161976	0.210892
a37	0.000906642	0.000910217	0.0013951	0.00247532	0.00858362	0.0166686	0.032907	0.0466832	0.0632396	0.0676022	0.074612	0.0683649	0.0586273	0.0586598	0.0612984	0.0992828	0.14491	0.192873
a34	0.000471029	0.000467796	0.000754583	0.00138109	0.00514826	0.0106075	0.020922	0.0330639	0.0460678	0.0494618	0.0582999	0.0527672	0.0457252	0.0436895	0.04684	0.117396	0.192849	0.274088
a70	0.000384066	0.000383026	0.000648188	0.00100915	0.00343074	0.00725333	0.0153013	0.0244925	0.0352541	0.0412672	0.0498539	0.0501322	0.0476669	0.0525676	0.0591882	0.141878	0.2056	0.26369
a83	0.000405805	0.000397558	0.000584545	0.000841339	0.00252232	0.004892	0.0117057	0.0219025	0.0320746	0.036047	0.0435744	0.0398879	0.0363796	0.0397826	0.0404497	0.13181	0.21831	0.338433
a34	0.000323347	0.000299332	0.000422795	0.000638667	0.0019513	0.00379781	0.00884108	0.017521	0.0266705	0.0310273	0.0388804	0.0360842	0.0331469	0.0360893	0.0362867	0.130999	0.232435	0.364586
a54	0.000177888	0.000166504	0.000248091	0.000357395	0.00107891	0.00207949	0.00465136	0.00886301	0.0146836	0.0186563	0.0253947	0.0268631	0.0276016	0.0336377	0.0408158	0.137185	0.252134	0.405406
a37	6.72879e-05	6.6925e-05	0.000106827	0.000218567	0.000916771	0.00212741	0.00499852	0.0088241	0.0155847	0.0201737	0.0290777	0.0319352	0.0318025	0.0377725	0.0415482	0.11907	0.254046	0.401662
a70	0.000100419	8.38582e-05	0.000121389	0.000236283	0.000856348	0.0016699	0.00341295	0.0066244	0.0110355	0.0132742	0.0182437	0.0174335	0.0155008	0.0157756	0.0155895	0.101925	0.280376	0.49774
a90	0.000110171	8.19458e-05	9.9263e-05	0.000189429	0.00073693	0.00151611	0.00305407	0.0056698	0.0094782	0.0113831	0.0160722	0.0152375	0.0138031	0.0132672	0.0117917	0.0775027	0.293352	0.526655
a79	6.20689e-05	5.09851e-05	7.57648e-05	0.000132889	0.000504193	0.000936109	0.00181056	0.00371692	0.00768252	0.0107215	0.0172429	0.019198	0.0195766	0.0224863	0.0252936	0.115562	0.297132	0.457815
a69	5.15774e-05	4.46374e-05	6.48485e-05	0.000111741	0.000385588	0.000772365	0.00161117	0.00302893	0.0060579	0.00885759	0.0154847	0.0178822	0.0190377	0.0224148	0.0225032	0.0902379	0.290493	0.500961
a4	5.23023e-05	4.80299e-05	7.29409e-05	0.000130399	0.000469669	0.000891634	0.00172076	0.00328689	0.00629505	0.00849158	0.0133255	0.0142604	0.0146552	0.0172738	0.0195358	0.0968544	0.310513	0.492123
a93	5.45742e-05	4.99836e-05	7.83767e-05	0.000144695	0.000491684	0.000868077	0.00145252	0.00295846	0.00598485	0.00820594	0.0132951	0.0149794	0.0150396	0.0170116	0.0152521	0.0738835	0.306631	0.523619
a70	0.000102958	9.25205e-05	0.000152427	0.000256221	0.000629855	0.000957421	0.00146542	0.00298655	0.00664721	0.00962905	0.0166088	0.0193869	0.020443	0.0226674	0.0227121	0.107877	0.302245	0.46514
a99	0.000159154	0.000148471	0.000252397	0.000404361	0.000870232	0.00124999	0.00179101	0.00338119	0.00681564	0.00959945	0.015324	0.0185403	0.0198149	0.0231967	0.020893	0.088473	0.303302	0.485784
a62	0.000101687	8.56605e-05	0.00010847	0.00018081	0.000428597	0.000710797	0.00119486	0.00203482	0.00337543	0.00414826	0.00636881	0.00713514	0.00697621	0.00762465	0.00823942	0.0620675	0.306474	0.582745
a12	0.000169808	0.000153595	0.000223631	0.000414963	0.0010084	0.0014945	0.00228837	0.00366835	0.00549579	0.00638991	0.00933851	0.0098802	0.00879811	0.00835692	0.00798004	0.0538325	0.28351	0.596996
a56	0.000116427	9.5848e-05	0.000156488	0.000289682	0.00077815	0.00118385	0.00192122	0.00319853	0.00550714	0.00715122	0.0113397	0.0134226	0.0134869	0.0145458	0.0140238	0.0776081	0.27679	0.558385
a96	0.000112397	9.28386e-05	0.000140499	0.00025401	0.000709363	0.00106152	0.0016297	0.00286833	0.00532542	0.00703667	0.0113518	0.0126579	0.0125448	0.012772	0.0117558	0.0706667	0.279678	0.569343
a70	0.000128488	0.00011144	0.000171183	0.000316864	0.000881083	0.00130697	0.00195446	0.00334325	0.00569524	0.00711286	0.0111908	0.0124714	0.0121526	0.0119753	0.0118261	0.0698732	0.285346	0.564142
a11	0.000116941	9.95215e-05	0.000146311	0.000270251	0.000768131	0.0011688	0.00185521	0.00319638	0.00582105	0.00740271	0.0119229	0.0137502	0.0136996	0.0139338	0.0142296	0.0757819	0.285785	0.550051
a53	0.000319759	0.000251003	0.000263235	0.000402764	0.000888324	0.0014775	0.00280936	0.00448063	0.00692045	0.00753044	0.0109358	0.0103957	0.00909338	0.00792981	0.00811495	0.0512349	0.268791	0.608161
a4	0.000136027	0.000118846	0.00015405	0.000264871	0.000756482	0.00124234	0.00204753	0.00369388	0.00707314	0.00905037	0.0149164	0.0156749	0.015025	0.0140506	0.0137364	0.0664747	0.291112	0.544472
a58	0.000129656	0.00011846	0.000191787	0.000356672	0.000937946	0.00140115	0.00209508	0.00324367	0.00546333	0.00697763	0.0110679	0.0129238	0.0132067	0.0136857	0.0125226	0.0619438	0.293963	0.559772
a26	0.000596892	0.000442831	0.000468912	0.000786139	0.00143	0.0021883	0.00339693	0.00444887	0.00706871	0.00795735	0.0112777	0.0113057	0.0106974	0.010629	0.0121845	0.055242	0.280452	0.579427
a82	0.0188649	0.00936703	0.00773515	0.00924809	0.0114219	0.013724	0.0176221	0.0221092	0.036777	0.0384563	0.0486162	0.0401988	0.0358615	0.0309867	0.0291094	0.0552314	0.185984	0.388686
a27	0.0689496	0.0347767	0.0251569	0.0221971	0.0238345	0.0259139	0.0309478	0.0352308	0.0529573	0.060105	0.071736	0.0591238	0.0560232	0.051415	0.0438629	0.0483774	0.112814	0.176579
a10	0.135699	0.0801355	0.0518683	0.0331681	0.0244847	0.0245477	0.026182	0.0270042	0.0346834	0.0461038	0.0553022	0.0554169	0.0640589	0.0725459	0.0708899	0.0530008	0.0726487	0.0722595
a87	0.0699466	0.0507031	0.0372933	0.0234305	0.0180306	0.0196296	0.0234191	0.0281883	0.0385707	0.0593274	0.0791903	0.0859991	0.103637	0.116441	0.0971441	0.0538698	0.0518004	0.0433785
a23	0.053331	0.0451233	0.0377769	0.0268648	0.0240253	0.0274305	0.03599	0.0435479	0.0538127	0.0721548	0.0865854	0.0848259	0.0959268	0.0970737	0.0809472	0.0499927	0.0474025	0.0371886
a87	0.0294988	0.0218245	0.0181559	0.0136378	0.0155854	0.0227894	0.0323697	0.044121	0.0633948	0.0877462	0.10334	0.10088	0.109565	0.108452	0.0945185	0.0470909	0.0419561	0.0450745
</S>	0.0221112	0.0191038	0.0182854	0.0170435	0.0234816	0.038952	0.0574704	0.0584404	0.0680443	0.0793058	0.0858419	0.0847379	0.0966519	0.0987815	0.0786162	0.0514116	0.0499119	0.0518088
