 	la	mère	l'	a	frappé	parce	qu'	il	abîme	ses	vêtements	</S>
a44	0.040438	0.0496801	0.080526	0.131763	0.151623	0.109624	0.0980793	0.0963465	0.0783855	0.0509112	0.0468692	0.0657538
a79	0.0300591	0.0401343	0.070199	0.127318	0.153945	0.114787	0.105273	0.107744	0.088371	0.0512694	0.0441909	0.0667099
a44	0.0247837	0.0322622	0.0515415	0.107261	0.155786	0.132239	0.119065	0.11351	0.0821424	0.0509683	0.0497646	0.0806759
a11	0.0275254	0.0307831	0.0415247	0.0864134	0.144772	0.134034	0.124883	0.132436	0.089805	0.0578886	0.0520487	0.0778858
a83	0.0212169	0.0232865	0.032035	0.0637934	0.116857	0.124013	0.127003	0.159908	0.108295	0.0664642	0.0595178	0.0976097
a61	0.0205327	0.0208132	0.0262373	0.0493755	0.0912183	0.103192	0.112794	0.159307	0.126409	0.0848788	0.079057	0.126185
a54	0.0257824	0.0271538	0.0310525	0.0521238	0.0917267	0.100093	0.107559	0.151578	0.134134	0.0949609	0.0779713	0.105865
a7	0.0221982	0.0257564	0.0259134	0.0406981	0.0616142	0.0669418	0.0717994	0.106842	0.081053	0.09036	0.140588	0.266235
a54	0.0249461	0.0255129	0.0272313	0.0442724	0.0625878	0.0607784	0.0600946	0.106282	0.131806	0.0891258	0.107682	0.259681
a6	0.0189638	0.0183588	0.0174657	0.0288647	0.0390942	0.0349345	0.0346271	0.0522105	0.0646552	0.102946	0.195862	0.392018
a36	0.0204134	0.021513	0.0208819	0.0331308	0.0473329	0.0470628	0.0506451	0.0718449	0.0781064	0.103736	0.17984	0.325492
a11	0.010878	0.00944959	0.00922006	0.0167455	0.0277053	0.0292026	0.0324025	0.0631611	0.115631	0.108278	0.170973	0.406354
a66	0.00760142	0.00648022	0.00659607	0.0134367	0.0231923	0.0247504	0.0270627	0.0490433	0.120533	0.117558	0.16988	0.433865
a99	0.00514181	0.00457346	0.00445827	0.00852747	0.0141285	0.0145944	0.0159572	0.0286762	0.0901432	0.108046	0.182832	0.522922
a11	0.00343042	0.00256109	0.00221394	0.00378617	0.00610432	0.00615015	0.00627879	0.011062	0.0476092	0.0801884	0.195067	0.635549
a0	0.00250777	0.00173495	0.00153888	0.00277171	0.00469874	0.0053582	0.00613203	0.0111238	0.0433082	0.076508	0.193983	0.650334
a75	0.00334751	0.00234434	0.00204946	0.00344371	0.005668	0.005963	0.00605948	0.00989737	0.0337903	0.0664006	0.194506	0.666531
a5	0.00588788	0.00592753	0.00604795	0.0106839	0.0140486	0.0110497	0.00964605	0.0123513	0.0388482	0.0593415	0.167257	0.65891
a18	0.00702918	0.0060912	0.00609897	0.0105582	0.0152222	0.0146825	0.0156932	0.0234505	0.0502582	0.0717965	0.191661	0.587459
a11	0.0014962	0.00125493	0.00114997	0.00218192	0.00381878	0.00378158	0.00416825	0.00657426	0.0244588	0.0531443	0.206183	0.691788
a9	0.00111174	0.00087311	0.000734891	0.00124766	0.00202107	0.00197787	0.00196266	0.00313089	0.0162193	0.0432728	0.194789	0.732659
a38	0.00532274	0.00359725	0.00257251	0.00325809	0.00414825	0.0034463	0.00278194	0.00500832	0.0261135	0.0715129	0.234944	0.637294
a36	0.0101682	0.00587086	0.00398658	0.00485279	0.00637606	0.00576713	0.00455126	0.00633358	0.0324226	0.0707129	0.220256	0.628702
a37	0.00958555	0.00586623	0.00414501	0.00520562	0.00683538	0.00580367	0.00398504	0.00453119	0.0247982	0.0562365	0.20289	0.670118
a66	0.00331615	0.00241701	0.001864	0.00270939	0.00362824	0.0032723	0.00247814	0.00265352	0.0195599	0.0516936	0.194727	0.711681
a26	0.00261811	0.00197347	0.00151041	0.00205186	0.00253883	0.00196795	0.00136445	0.0015438	0.0113349	0.0359555	0.187831	0.749309
a27	0.00769302	0.00463452	0.00312188	0.00350062	0.00423158	0.00368026	0.00290179	0.00473268	0.0269354	0.0642668	0.217743	0.656558
a30	0.0350232	0.0182385	0.0117149	0.011495	0.0141808	0.0142806	0.0117782	0.0190561	0.0572411	0.0966776	0.225876	0.484438
a57	0.0260556	0.0152678	0.0105882	0.0108983	0.0148288	0.0157978	0.0129603	0.0172231	0.0524552	0.0849172	0.230157	0.508851
a87	0.0605765	0.0364191	0.0265431	0.0276297	0.0340402	0.0387483	0.0303907	0.0405446	0.0630199	0.0762555	0.187697	0.378135
a23	0.0683365	0.0519723	0.0407793	0.0447533	0.0526212	0.0602873	0.0554374	0.0763034	0.0950826	0.0726697	0.143098	0.238659
a10	0.087625	0.0637075	0.0400323	0.047339	0.0734512	0.101649	0.0792521	0.0762103	0.0741241	0.0553361	0.118253	0.18302
a87	0.0423968	0.0350661	0.0244073	0.0321919	0.0628198	0.0928812	0.0745369	0.0663338	0.0763732	0.0657731	0.157213	0.270007
</S>	0.0484321	0.0425276	0.0286725	0.0331016	0.058214	0.086097	0.073784	0.0707042	0.0846144	0.0662519	0.149208	0.258393
