 	oyibha	est	en	train	de	prélever	de	l'	arachide	comme	tribut	à	l'	entrée	de	la	vouma	</S>
a90	0.0919009	0.0796626	0.0827643	0.0670261	0.0829986	0.0711026	0.0555802	0.0557776	0.0394697	0.0386884	0.0645034	0.0544509	0.0426188	0.0380938	0.0299763	0.0287898	0.0347831	0.0418127
a98	0.0584177	0.0649964	0.06683	0.05448	0.0677872	0.0631499	0.0546158	0.0619544	0.0442371	0.04941	0.0795288	0.071183	0.0535664	0.0462898	0.0354204	0.0352534	0.042718	0.0501618
a85	0.04034	0.0443646	0.0360082	0.0261066	0.0306464	0.0375266	0.0404014	0.0500573	0.0340203	0.0460245	0.0800837	0.0885099	0.0748162	0.0705468	0.0603939	0.0636242	0.0814865	0.0950429
a6	0.0363897	0.0410962	0.0286227	0.0196072	0.0236777	0.0307046	0.0337229	0.0444698	0.0315766	0.0493665	0.0792323	0.0902208	0.0751903	0.0713418	0.0628574	0.0668876	0.093628	0.121408
a36	0.0262338	0.0296959	0.0200672	0.0137074	0.015776	0.024934	0.0299495	0.0427638	0.0309197	0.0549057	0.0985463	0.118461	0.0909143	0.0832149	0.0694016	0.0683179	0.0840579	0.0981331
a98	0.0220276	0.0267588	0.0167512	0.00974771	0.0110015	0.0198611	0.0256862	0.0413077	0.0361187	0.0706273	0.114762	0.13289	0.0932211	0.0778171	0.0588952	0.0504628	0.0770793	0.114984
a15	0.00755086	0.010692	0.00740802	0.00570897	0.00650533	0.0119981	0.0169857	0.0286094	0.0222978	0.045009	0.0867529	0.116403	0.0911211	0.0823088	0.0716647	0.0776438	0.129623	0.181718
a98	0.00634591	0.00941043	0.00690092	0.00576179	0.00663593	0.0110172	0.0146358	0.0243994	0.0236619	0.0553084	0.0929578	0.140903	0.104477	0.0898465	0.0688926	0.0676004	0.111812	0.159432
a47	0.00713439	0.0127514	0.0092457	0.00811095	0.00884181	0.0137061	0.0173306	0.0259101	0.0237792	0.044816	0.0623624	0.0877603	0.0734444	0.0683386	0.0633128	0.0813629	0.167515	0.224278
a79	0.00542678	0.00700325	0.0043357	0.00307735	0.00327797	0.00725244	0.00961978	0.0155118	0.013249	0.0265505	0.0505932	0.0843821	0.0680104	0.0662819	0.0650424	0.0939707	0.198723	0.277692
a44	0.00279636	0.00394448	0.0024993	0.00202148	0.00188731	0.0039295	0.00592246	0.0101996	0.00895926	0.0204229	0.0324484	0.0638327	0.0575557	0.0615116	0.0704097	0.108447	0.233477	0.309735
a37	0.00378067	0.0036044	0.00197271	0.00128594	0.00125911	0.00291544	0.0044013	0.00851974	0.00722289	0.0247251	0.0327589	0.0802396	0.0717979	0.084343	0.0995812	0.133776	0.199941	0.237875
a93	0.00492454	0.00408637	0.00241594	0.00170325	0.00158686	0.00350088	0.00484786	0.00795233	0.00800347	0.0221442	0.0251627	0.0659723	0.0598054	0.074115	0.0901613	0.133164	0.211981	0.278473
a44	0.0040491	0.00389108	0.00231376	0.00189261	0.00166931	0.00279595	0.00371794	0.00589933	0.00484452	0.015344	0.0172022	0.050598	0.0463967	0.0591002	0.0785379	0.130595	0.248471	0.322681
a90	0.00296129	0.00258327	0.00144975	0.00105143	0.000933187	0.00197603	0.00268554	0.00418207	0.00409691	0.0122715	0.0140199	0.0437999	0.0406146	0.0518681	0.0686206	0.124493	0.257386	0.365007
a79	0.0018039	0.00153288	0.000952716	0.000736646	0.000680964	0.00145074	0.00184558	0.00294074	0.00279341	0.00876596	0.013009	0.0407877	0.0380967	0.0494732	0.0642373	0.122029	0.255781	0.393082
a94	0.0012684	0.000884637	0.000465095	0.000278139	0.000248162	0.000746869	0.00111546	0.00206933	0.00213057	0.00643876	0.00954704	0.0341402	0.0294883	0.035211	0.0444183	0.0893255	0.252738	0.489486
a79	0.00190203	0.00150782	0.000773638	0.000456359	0.000298281	0.000935398	0.00144661	0.00245017	0.00277587	0.00802704	0.0110442	0.0399619	0.0339346	0.042547	0.056467	0.0984231	0.238662	0.458388
a15	0.00171382	0.00134386	0.000714047	0.000461163	0.000280892	0.000833172	0.00130328	0.00212721	0.00207201	0.00561483	0.00908929	0.035585	0.0346015	0.0436514	0.0577487	0.0983273	0.239054	0.465478
a69	0.00217035	0.00244204	0.00152363	0.00110363	0.000555705	0.00148334	0.00236979	0.00359226	0.00429483	0.00992592	0.0205249	0.0553318	0.0493711	0.0556691	0.0642181	0.0914311	0.220002	0.413991
a93	0.002835	0.00277047	0.00157405	0.000980987	0.000558198	0.00170728	0.00266481	0.00365687	0.00355339	0.00859221	0.0136763	0.0438385	0.038981	0.0463934	0.0607975	0.0937753	0.230327	0.443318
a44	0.00250582	0.00270607	0.00143504	0.000979586	0.000633613	0.00151321	0.00219083	0.0025542	0.00210217	0.0055456	0.00885989	0.0307576	0.0281459	0.0367686	0.0552272	0.0965419	0.250057	0.471476
a7	0.00434659	0.00488842	0.00309309	0.00214544	0.00121305	0.00326831	0.00477496	0.00465059	0.00429352	0.00821863	0.0116768	0.0312266	0.0303837	0.0400374	0.0603162	0.095233	0.247792	0.442442
a26	0.00280595	0.0038607	0.00294214	0.00269328	0.0017518	0.00460409	0.00701775	0.00678226	0.00827459	0.0141183	0.0205785	0.0554316	0.0545818	0.0672802	0.0891831	0.119084	0.2288	0.31021
a10	0.00798724	0.0114615	0.00890489	0.00942004	0.00837448	0.0161097	0.0213234	0.0246321	0.0411273	0.0655988	0.107196	0.15481	0.130994	0.100614	0.0749096	0.0683184	0.0747714	0.0734462
a82	0.0214155	0.0213843	0.0170077	0.0204879	0.017183	0.0236606	0.0293898	0.0348477	0.0543131	0.0746784	0.11742	0.144374	0.115236	0.0837116	0.0615646	0.0516633	0.0560327	0.0556297
a10	0.0426121	0.0428426	0.0326544	0.0328178	0.0246763	0.0240784	0.0284101	0.0299108	0.0362861	0.0574102	0.0769185	0.125617	0.0982154	0.080314	0.0720559	0.0677131	0.0679217	0.0595455
a57	0.0313527	0.0315828	0.0235359	0.0225642	0.0166996	0.0159238	0.0203368	0.0235435	0.0291481	0.0517334	0.0766348	0.125238	0.103116	0.0882378	0.0778376	0.0811327	0.0925156	0.088867
</S>	0.0163861	0.0132908	0.00934052	0.00815532	0.00701617	0.00774705	0.00947161	0.0125212	0.0137161	0.0246354	0.0410756	0.104456	0.0922858	0.0909325	0.0919652	0.106881	0.163456	0.186668
