 	otomba	a	chassé	de	chez	lui	les	enfants	qu'	il	a	hérité	de	son	frère	aîné	</S>
a40	0.0216972	0.0251529	0.0379797	0.0658537	0.0602761	0.056628	0.0547905	0.0414935	0.0302552	0.0280265	0.0441123	0.0970976	0.0625853	0.0603648	0.0780709	0.0995506	0.136065
a37	0.020248	0.0168678	0.0261065	0.0410125	0.0497784	0.0568265	0.0606852	0.0487877	0.0405085	0.0428014	0.0564317	0.101657	0.0642488	0.0610726	0.0811999	0.0983147	0.133453
a11	0.0195133	0.0161929	0.0210644	0.03094	0.0470319	0.0538826	0.0609981	0.0619328	0.0663785	0.0802759	0.0851393	0.0896837	0.0581292	0.0534741	0.066474	0.0782567	0.110633
a94	0.0147554	0.0132285	0.0168946	0.0255835	0.0427313	0.0551247	0.0638076	0.0749269	0.0832177	0.0960779	0.0920036	0.0840465	0.0575275	0.0499361	0.0579585	0.0709126	0.101267
a11	0.0103111	0.00947281	0.0120505	0.0179999	0.0275452	0.0359759	0.0423324	0.053427	0.0617554	0.07376	0.0773723	0.0855644	0.0763927	0.0695435	0.082399	0.10781	0.156288
a75	0.0152523	0.0146404	0.0187453	0.025291	0.0404352	0.0514534	0.0529963	0.0662034	0.0713379	0.0797268	0.0731338	0.0644943	0.0639329	0.0579776	0.0653986	0.0897069	0.149274
a79	0.00864634	0.00942067	0.0115783	0.0178805	0.0183166	0.0218048	0.026389	0.0295419	0.0333842	0.0416288	0.0501787	0.0774474	0.0907501	0.0923136	0.128554	0.153842	0.188323
a98	0.00540971	0.0053494	0.0074196	0.0113675	0.0149541	0.0227102	0.0299766	0.0324517	0.0365463	0.0473177	0.0646699	0.0963326	0.0983297	0.090945	0.120677	0.137876	0.177668
a6	0.00586652	0.00769209	0.0109197	0.0156879	0.0182216	0.02356	0.0281054	0.028888	0.0306246	0.0372522	0.0498474	0.0726307	0.0875742	0.0934499	0.139593	0.155168	0.194919
a7	0.00337747	0.00318138	0.00450781	0.00522866	0.00931346	0.0144315	0.0216772	0.0249615	0.0317423	0.0458063	0.0590142	0.0947459	0.108586	0.105802	0.139135	0.139012	0.189477
a98	0.00987995	0.00889436	0.0141425	0.0139152	0.0207926	0.0261701	0.0269276	0.0313298	0.0379682	0.0499154	0.0477995	0.0618725	0.0833289	0.0803082	0.109492	0.137265	0.239999
a47	0.0027893	0.00259625	0.00410627	0.00441323	0.00714367	0.0093376	0.00971061	0.010982	0.0127026	0.0178273	0.0186593	0.0368556	0.0767612	0.0949474	0.154186	0.196726	0.340255
a85	0.00104672	0.000986449	0.0014125	0.00137357	0.00257626	0.00343322	0.00359939	0.00391126	0.00428856	0.00577417	0.00670694	0.025934	0.0741761	0.0917149	0.14212	0.208149	0.422797
a92	0.000453729	0.000433958	0.000632969	0.000616054	0.00102062	0.00138823	0.00148194	0.00157171	0.0017468	0.00250762	0.0031986	0.0174226	0.0529888	0.0737993	0.126772	0.225862	0.488103
a61	0.00115322	0.00102446	0.00154393	0.00134019	0.00239972	0.0033785	0.00394778	0.00467545	0.00591488	0.00826718	0.00811399	0.023334	0.0627989	0.0940543	0.155652	0.239157	0.383245
a34	0.00204442	0.00188542	0.00273932	0.00241745	0.00360434	0.00474889	0.00518986	0.00546746	0.0061207	0.00733759	0.00695061	0.0187057	0.0505312	0.0911238	0.168434	0.256115	0.366584
a90	0.00143825	0.00147397	0.00228496	0.00224257	0.00327432	0.00373489	0.00329633	0.00298739	0.00294959	0.00329631	0.00397961	0.0137088	0.0346075	0.0747476	0.163537	0.276052	0.40639
a44	0.00108438	0.000980992	0.00145415	0.00141065	0.00211281	0.00253492	0.00229931	0.00229304	0.00236347	0.00273685	0.00336615	0.0121029	0.0367555	0.0821893	0.171184	0.278989	0.396143
a96	0.000696066	0.000688178	0.00107858	0.00120815	0.00179027	0.00190344	0.0013892	0.00123608	0.00122871	0.00149163	0.00226718	0.00954071	0.031463	0.0717365	0.16859	0.256883	0.446809
a54	0.000918023	0.0010021	0.00160972	0.00177786	0.00271365	0.00291864	0.00219708	0.00178327	0.00168908	0.00191273	0.00291436	0.0134275	0.0320388	0.0693409	0.162292	0.263256	0.438208
a7	0.000180146	0.000208225	0.000340354	0.000390632	0.000610442	0.000777307	0.000644387	0.000554353	0.000536504	0.000712182	0.00109182	0.00576745	0.0196777	0.0510642	0.139985	0.262488	0.514971
a84	0.000497984	0.000677508	0.00107226	0.00106693	0.00160308	0.00171126	0.00117702	0.000915565	0.000704322	0.000827799	0.00105827	0.00646928	0.0267965	0.0630651	0.137915	0.248488	0.505953
a57	0.0106715	0.0114297	0.0143782	0.014992	0.0194578	0.0178167	0.0153278	0.0105526	0.00774053	0.00740384	0.0105399	0.057618	0.077794	0.109314	0.176134	0.208564	0.230265
a87	0.0723366	0.0491708	0.0553295	0.0339826	0.0341328	0.0386576	0.0364733	0.0247296	0.0192994	0.0206738	0.0277837	0.0676799	0.0710061	0.0872298	0.110528	0.124162	0.126825
a23	0.116609	0.0942433	0.0964848	0.0508751	0.0494049	0.0537	0.0465012	0.032393	0.0249781	0.0279771	0.0362934	0.0475516	0.0412512	0.051648	0.0756776	0.0761054	0.0783063
a87	0.0518571	0.0474494	0.040738	0.0304	0.0219643	0.0267499	0.0193111	0.0133468	0.00972782	0.0137112	0.0245638	0.067128	0.0648798	0.0974127	0.123794	0.152329	0.194637
</S>	0.00443849	0.00392724	0.00414658	0.00352056	0.00297454	0.00451725	0.00384089	0.0025764	0.0020018	0.00294252	0.00657655	0.0312688	0.0584992	0.106785	0.160882	0.249899	0.351202
